Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,83.00,83.5625,80.375,80.9375,3103200,30.1725
2000-01-04,80.9375,81.8125,80.3125,81.3125,4469600,30.31237
2000-01-05,81.3125,86.50,81.00,86.00,6243200,32.05982
2000-01-06,86.00,86.375,84.8125,84.875,8989400,31.64043
2000-01-07,84.875,86.875,84.5625,84.625,9069400,31.54723
2000-01-10,84.625,87.25,84.375,84.375,7671600,31.45404
2000-01-11,84.375,84.50,82.00,83.875,4463200,31.26764
2000-01-12,83.875,83.875,82.75,83.125,3747200,30.98805
2000-01-13,83.125,83.1875,81.3125,81.625,4190800,30.42887
2000-01-14,81.625,81.625,79.25,80.00,3757000,29.82309
2000-01-18,80.00,80.625,77.9375,78.00,4920800,29.07751
2000-01-19,78.00,79.00,77.625,78.125,4988600,29.12411
2000-01-20,76.0625,76.0625,72.50,73.50,10355400,27.39996
2000-01-21,73.625,77.00,73.625,75.375,7344800,28.09894
2000-01-24,75.375,76.375,72.75,73.4375,3672200,27.37666
2000-01-25,73.4375,74.375,71.8125,72.3125,5039000,26.95727
2000-01-26,72.3125,72.75,70.8125,71.1875,6285600,26.53789
2000-01-27,71.1875,72.1875,70.125,70.50,4525200,26.28159
2000-01-28,70.50,72.125,69.1875,69.50,6086400,25.9088
2000-01-31,69.50,70.875,69.25,69.6875,3578000,25.97870
2000-02-01,70.3125,72.8125,70.3125,72.125,4459400,26.88738
2000-02-02,72.125,75.5625,71.5625,74.5625,5585000,27.89273
2000-02-03,74.5625,74.5625,71.375,72.25,2885000,27.02766
2000-02-04,72.25,72.50,69.75,70.50,2949400,26.37301
2000-02-07,70.50,70.8125,68.125,68.125,4947000,25.48456
2000-02-08,68.125,69.0625,65.875,65.9375,6816200,24.6662
2000-02-09,65.9375,66.75,64.4375,64.625,10457000,24.17526
2000-02-10,64.6875,67.5625,64.6875,65.50,5411200,24.50258
2000-02-11,66.3125,68.75,66.3125,67.6875,4910800,25.32089
2000-02-14,68.1875,72.50,68.1875,72.25,4129000,27.02766
2000-02-15,72.25,74.1875,71.8125,73.875,5181000,27.63555
2000-02-16,73.875,75.4375,73.1875,73.75,7003000,27.58879
2000-02-17,74.00,77.4375,74.00,76.9375,5612800,28.78118
2000-02-18,76.9375,77.00,75.125,75.125,10101000,28.10315
2000-02-22,74.6875,74.6875,72.00,72.50,4255600,27.12118
2000-02-23,72.50,73.125,71.125,71.125,3263400,26.60681
2000-02-24,71.125,72.50,69.5625,69.6875,4012400,26.0690
2000-02-25,69.6875,70.8125,69.0625,70.1875,2730000,26.25611
2000-02-28,70.1875,74.375,69.1875,71.0625,4138800,26.58343
2000-02-29,71.00,71.00,67.6875,68.50,4695200,25.62484
2000-03-01,68.50,70.8125,66.125,69.75,4780600,26.0924
2000-03-02,69.1875,69.1875,66.25,66.8125,4693800,24.99357
2000-03-03,66.8125,69.4375,65.75,67.9375,7162400,25.41442
2000-03-06,67.9375,68.50,66.00,66.75,3009800,24.97019
2000-03-07,66.75,67.50,64.625,64.9375,3418800,24.29216
2000-03-08,64.9375,68.375,64.25,67.375,4510800,25.20399
2000-03-09,67.375,68.00,65.50,67.6875,2724000,25.32089
2000-03-10,67.6875,68.625,66.3125,67.00,3950000,25.06371
2000-03-13,67.00,69.1875,65.5625,68.0625,2961400,25.46118
2000-03-14,66.00,66.00,60.8125,61.25,9301400,22.91272
2000-03-15,61.75,64.6875,61.75,64.0625,7042000,23.9648
2000-03-16,64.625,69.25,64.625,68.9375,7262600,25.78850
2000-03-17,68.00,68.00,64.4375,64.6875,5595000,24.19864
2000-03-20,64.9375,66.8125,64.9375,65.5625,4542200,24.52596
2000-03-21,65.5625,68.75,64.875,68.3125,3939800,25.55470
2000-03-22,68.0625,68.0625,66.25,66.875,2441600,25.01695
2000-03-23,66.875,70.6875,66.75,69.50,3568800,25.99892
2000-03-24,69.6875,72.375,69.6875,71.5625,4357400,26.7704
2000-03-27,71.5625,72.5625,71.125,72.0625,3083600,26.95752
2000-03-28,72.0625,72.125,70.625,71.125,2937600,26.60681
2000-03-29,71.125,72.4375,70.875,72.125,2793400,26.98090
2000-03-30,72.125,73.50,71.50,71.875,3370800,26.88738
2000-03-31,71.875,72.375,70.25,70.25,2826200,26.27949
2000-04-03,70.25,71.875,70.1875,71.75,3040600,26.84062
2000-04-04,71.75,74.125,67.875,70.6875,4645200,26.44315
2000-04-05,70.6875,72.1875,69.00,69.1875,2867600,25.88202
2000-04-06,69.625,71.9375,69.625,70.9375,3374600,26.53667
2000-04-07,70.6875,70.6875,67.875,67.9375,4449600,25.41442
2000-04-10,67.9375,68.625,66.5625,67.6875,3817400,25.32089
2000-04-11,67.6875,70.375,67.3125,70.375,3719600,26.32625
2000-04-12,70.375,71.25,69.8125,70.3125,3274800,26.30287
2000-04-13,70.3125,70.50,69.0625,69.8125,5029400,26.11583
2000-04-14,69.6875,69.6875,66.00,67.5625,4489400,25.27413
