Date,Open,High,Low,Close,Volume,Adj Clos
2001-12-05,8.25,8.25,8.25,8.25,7000,4.7826
2001-12-06,8.09989,8.4501,8.0749,8.4501,66900,4.8986
2001-12-07,8.39991,8.39991,8.19999,8.39991,4300,4.8695
2001-12-10,8.25,8.25,8.12991,8.25,6900,4.7826
2001-12-11,8.25,8.25,8.12991,8.25,49500,4.7826
2001-12-12,7.995,7.9995,7.75049,7.75049,11900,4.4930
2001-12-13,7.7501,7.7501,7.7501,7.7501,300,4.4928
2001-12-14,7.7501,7.7501,7.7501,7.7501,000,4.4928
2001-12-17,8.00,8.00,8.00,8.00,1700,4.6376
2001-12-18,8.00,8.00,8.00,8.00,1300,4.6376
2001-12-19,8.00,8.00,8.00,8.00,1700,4.6376
2001-12-20,8.00,8.00,8.00,8.00,000,4.6376
2001-12-21,8.00,8.00,8.00,8.00,000,4.6376
2001-12-24,8.00,8.00,8.00,8.00,000,4.6376
2001-12-26,8.00,8.00,8.00,8.00,000,4.6376
2001-12-27,7.9995,7.9995,7.9995,7.9995,4300,4.6373
2001-12-28,8.00,8.00,8.00,8.00,000,4.6376
2001-12-31,8.00,8.00,8.00,8.00,000,4.6376
2002-01-02,8.00,8.00,8.00,8.00,000,4.6376
2002-01-03,8.3501,8.3501,8.00,8.3501,2900,4.8406
2002-01-04,8.00,8.3501,8.00,8.3501,3400,4.8406
2002-01-07,8.3501,8.3501,8.3501,8.3501,000,4.8406
2002-01-08,7.995,7.9995,7.9005,7.9005,5100,4.5
2002-01-09,7.905,7.9995,7.9005,7.9995,1000,4.6373
2002-01-10,8.39991,8.39991,8.25,8.39991,500,4.8695
2002-01-11,8.25,8.25,8.25,8.25,000,4.7826
2002-01-14,8.25,8.25,8.25,8.25,000,4.7826
2002-01-15,8.00,8.00,8.00,8.00,9800,4.6376
2002-01-16,8.00,8.00,8.00,8.00,000,4.6376
2002-01-17,8.25,8.25,8.25,8.25,100,4.7826
2002-01-18,8.00,8.50009,8.00,8.50009,22500,4.9275
2002-01-22,8.50009,8.50009,8.50009,8.50009,000,4.9275
2002-01-23,8.50009,8.50009,8.50009,8.50009,000,4.9275
2002-01-24,8.50009,8.50009,8.50009,8.50009,000,4.9275
2002-01-25,8.50009,8.50009,8.50009,8.50009,000,4.9275
2002-01-28,8.50009,8.50009,8.50009,8.50009,000,4.9275
2002-01-29,8.50009,8.50009,8.50009,8.50009,000,4.9275
2002-01-30,8.50009,8.50009,8.50009,8.50009,000,4.9275
2002-01-31,8.00,8.09989,8.00,8.09989,36200,4.6955
2002-02-01,7.995,8.10,7.9005,8.10,10300,4.6956
2002-02-04,8.10,8.10,8.10,8.10,600,4.6956
2002-02-05,8.25,8.25,8.25,8.25,100,4.7826
2002-02-06,8.25,8.25,8.25,8.25,500,4.7826
2002-02-07,8.25,8.25,8.25,8.25,000,4.7826
2002-02-08,8.25,8.25,8.25,8.25,000,4.7826
2002-02-11,8.25,8.25,8.25,8.25,10300,4.7826
2002-02-12,8.00,8.50009,8.00,8.50009,15100,4.9275
2002-02-13,8.12991,8.12991,8.12991,8.12991,000,4.7129
2002-02-14,8.12991,8.12991,8.12991,8.12991,000,4.7129
2002-02-15,8.12991,8.12991,8.12991,8.12991,000,4.7129
2002-02-19,8.12991,8.12991,8.12991,8.12991,000,4.7129
