Date,Open,High,Low,Close,Volume,Adj Clos
2001-07-19,15.10,15.29,15.00,15.17,34994300,12.29936
2001-07-20,15.05,15.05,14.80,15.01,9238500,12.1696
2001-07-23,15.00,15.01,14.55,15.00,7501000,12.16153
2001-07-24,14.95,14.97,14.70,14.86,3537300,12.04802
2001-07-25,14.70,14.95,14.65,14.95,4208100,12.12099
2001-07-26,14.95,14.99,14.50,14.50,6335300,11.75614
2001-07-27,14.51,14.59,14.50,14.51,3524000,11.76425
2001-07-30,14.50,14.78,14.50,14.70,3654300,11.91830
2001-07-31,14.71,15.01,14.60,14.96,1429000,12.12910
2001-08-01,15.00,15.50,14.90,15.50,2087900,12.56691
2001-08-02,15.40,15.50,15.10,15.40,1717400,12.48583
2001-08-03,15.40,15.40,14.98,15.15,983600,12.28314
2001-08-06,15.15,15.22,15.02,15.10,777400,12.24260
2001-08-07,15.10,15.55,15.10,15.50,788900,12.56691
2001-08-08,15.40,15.60,15.00,15.00,2190300,12.16153
2001-08-09,15.05,15.50,15.00,15.50,928000,12.56691
2001-08-10,15.40,15.40,15.12,15.19,703300,12.31557
2001-08-13,15.15,15.34,14.90,15.01,1770400,12.1696
2001-08-14,15.05,15.06,14.65,14.70,1000800,11.91830
2001-08-15,14.75,14.90,14.70,14.79,530900,11.9912
2001-08-16,14.78,14.78,14.05,14.05,1522700,11.39130
2001-08-17,14.06,14.80,13.90,14.52,2342400,11.77236
2001-08-20,14.60,15.35,14.49,15.35,1434900,12.44530
2001-08-21,15.25,15.60,15.01,15.46,1038200,12.53448
2001-08-22,15.32,15.39,14.78,15.34,829000,12.43719
2001-08-23,15.45,15.45,15.25,15.25,470000,12.36422
2001-08-24,15.25,15.48,15.00,15.40,689000,12.48583
2001-08-27,15.48,15.65,15.40,15.48,827700,12.550
2001-08-28,15.42,15.58,15.25,15.36,736900,12.45340
2001-08-29,15.29,15.31,15.00,15.01,397400,12.1696
2001-08-30,14.85,15.04,14.85,14.95,640100,12.12099
2001-08-31,15.00,15.10,14.90,14.90,3337900,12.08045
2001-09-04,15.00,15.65,15.00,15.38,1068600,12.46962
2001-09-05,15.38,15.38,14.90,14.91,1053200,12.08856
2001-09-06,14.75,15.01,14.40,14.50,1384500,11.75614
