Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,25.00,25.00,23.9375,24.75,6800,24.50823
2000-01-04,24.75,24.75,24.75,24.75,100,24.50823
2000-01-05,24.75,24.75,24.75,24.75,000,24.50823
2000-01-06,23.875,24.00,22.9375,23.50,11800,23.27044
2000-01-07,22.75,27.375,22.50,25.25,27700,25.00334
2000-01-10,24.875,26.375,24.875,25.00,2100,24.75578
2000-01-11,25.25,26.00,25.25,26.00,3500,25.74602
2000-01-12,25.25,26.00,25.25,25.375,2400,25.12712
2000-01-13,25.50,26.25,25.50,26.25,1700,25.99357
2000-01-14,26.25,26.25,26.25,26.25,300,25.99357
2000-01-18,26.00,26.375,25.75,26.00,22000,25.74602
2000-01-19,26.00,27.875,26.00,27.6875,5300,27.41703
2000-01-20,28.25,28.25,27.125,28.00,4500,27.72648
2000-01-21,27.84375,28.00,25.03125,27.75,10900,27.47892
2000-01-24,27.50,27.875,27.50,27.875,800,27.60270
2000-01-25,27.25,29.00,27.25,28.75,1500,28.46915
2000-01-26,29.75,29.75,28.50,28.75,2900,28.46915
2000-01-27,28.75,29.875,28.75,29.875,2000,29.58316
2000-01-28,29.00,31.09375,29.00,31.09375,6900,30.79001
2000-01-31,31.75,31.875,31.4375,31.875,1400,31.56363
2000-02-01,31.25,32.50,31.25,32.50,19700,32.18252
2000-02-02,32.00,33.50,32.00,33.50,7000,33.17275
2000-02-03,33.50,33.875,33.125,33.50,4700,33.17275
2000-02-04,33.75,33.75,33.50,33.75,1100,33.42031
2000-02-07,33.875,34.00,33.25,33.25,3200,32.925
2000-02-08,33.6875,33.875,31.75,33.00,14000,32.67764
2000-02-09,31.75,32.25,31.50,32.00,2800,31.6874
2000-02-10,32.00,32.375,31.1875,31.875,6300,31.56363
2000-02-11,31.75,32.125,29.875,31.375,11000,31.06851
2000-02-14,31.34375,31.8125,31.00,31.50,4800,31.19229
2000-02-15,31.00,31.75,31.00,31.3125,900,31.00662
2000-02-16,31.75,31.75,31.25,31.25,1200,30.94473
2000-02-17,31.25,31.375,31.00,31.375,5300,31.06851
2000-02-18,31.50,31.50,31.125,31.50,2800,31.19229
2000-02-22,31.125,31.50,29.625,30.3125,35500,30.01639
2000-02-23,30.00,30.625,30.00,30.625,2000,30.32584
2000-02-24,30.5625,31.375,29.75,31.00,3300,30.69717
2000-02-25,31.00,31.28125,30.50,31.00,4600,30.69717
2000-02-28,31.00,31.00,30.50,31.00,5300,30.69717
2000-02-29,30.75,30.75,30.50,30.75,4400,30.44962
2000-03-01,30.75,30.75,30.50,30.50,1100,30.20206
2000-03-02,30.50,31.00,30.25,31.00,1600,30.69717
2000-03-03,30.625,31.00,30.625,31.00,2300,30.69717
2000-03-06,31.00,31.00,30.50,31.00,1800,30.69717
2000-03-07,30.8125,31.00,28.00,28.9375,38700,28.65482
2000-03-08,28.75,28.9375,27.9375,28.875,7600,28.59293
2000-03-09,28.625,28.875,28.625,28.875,2000,28.59293
2000-03-10,28.875,28.875,28.4375,28.875,5300,28.59293
2000-03-13,28.50,28.75,28.50,28.625,11600,28.34537
2000-03-14,28.5625,28.625,28.00,28.00,9200,27.72648
2000-03-15,28.00,28.125,27.8125,27.9375,13400,27.66459
2000-03-16,27.75,28.00,27.75,28.00,5000,27.72648
2000-03-17,27.375,28.00,27.375,28.00,2300,27.72648
2000-03-20,28.00,28.00,28.00,28.00,1600,27.72648
2000-03-21,27.75,28.375,27.75,28.1875,2900,27.91215
2000-03-22,28.00,28.50,28.00,28.50,1000,28.221
2000-03-23,29.00,30.125,28.25,30.125,7000,29.83072
2000-03-24,30.125,30.25,29.875,30.125,4400,29.83072
2000-03-27,29.875,30.25,29.875,30.25,300,29.95450
2000-03-28,30.25,30.25,30.25,30.25,000,29.95450
2000-03-29,30.00,31.00,30.00,31.00,3700,30.69717
2000-03-30,30.625,31.00,30.625,31.00,900,30.69717
2000-03-31,31.00,31.625,31.00,31.625,1300,31.31607
