Date,Open,High,Low,Close,Volume,Adj Clos
2001-11-06,17.29,22.55,17.00,20.90,8773600,10.4
2001-11-07,20.75,21.90,20.35,21.25,1841200,10.62
2001-11-08,21.59,21.60,18.48,19.23,2041600,9.61
2001-11-09,19.22,19.60,18.80,18.95,195000,9.47
2001-11-12,19.04,19.30,18.55,19.05,332400,9.52
2001-11-13,19.15,19.29,19.05,19.29,470000,9.64
2001-11-14,19.00,19.05,18.30,18.50,435800,9.2
2001-11-15,18.69,18.69,18.40,18.45,374600,9.22
2001-11-16,18.45,18.45,18.07,18.35,445600,9.17
2001-11-19,18.30,18.65,18.10,18.50,494400,9.2
2001-11-20,18.60,18.70,18.40,18.56,374600,9.2
2001-11-21,18.70,19.32,18.60,19.02,770000,9.5
2001-11-23,19.15,19.15,19.05,19.15,396400,9.57
2001-11-26,19.10,19.10,18.83,18.95,256200,9.47
2001-11-27,18.96,19.00,18.64,18.85,622600,9.42
2001-11-28,18.84,18.84,18.40,18.59,204200,9.29
2001-11-29,18.40,18.40,18.10,18.13,419000,9.06
2001-11-30,18.22,18.35,18.00,18.10,136400,9.0
2001-12-03,18.54,18.95,18.34,18.75,318200,9.37
2001-12-04,18.965,19.15,18.965,19.15,361800,9.57
2001-12-05,19.38,20.93,19.23,20.40,587800,10.2
2001-12-06,20.40,20.90,20.35,20.41,243000,10.20
2001-12-07,20.62,21.12,20.40,20.50,326400,10.2
2001-12-10,20.60,20.60,20.38,20.55,318600,10.27
2001-12-11,20.54,20.65,19.95,20.02,457200,10.0
2001-12-12,19.96,20.05,19.43,19.50,191800,9.7
2001-12-13,19.40,20.41,19.30,20.40,150600,10.2
2001-12-14,20.04,20.40,19.29,20.38,330400,10.1
2001-12-17,19.90,20.20,19.85,20.02,17200,10.0
2001-12-18,20.10,20.10,19.77,19.90,54200,9.9
2001-12-19,19.80,19.88,19.60,19.60,67400,9.8
2001-12-20,19.795,19.795,19.45,19.795,521200,9.897
2001-12-21,19.36,19.57,19.35,19.47,252400,9.73
2001-12-24,19.50,19.59,19.50,19.52,29400,9.7
2001-12-26,19.52,19.78,19.51,19.78,62600,9.8
2001-12-27,19.76,19.95,19.65,19.92,311400,9.9
2001-12-28,19.966,21.00,19.966,21.00,72400,10.5
2001-12-31,21.10,23.00,21.09,21.80,401400,10.9
2002-01-02,22.04,22.35,21.60,22.10,266200,11.0
2002-01-03,22.20,22.40,22.00,22.30,115800,11.1
2002-01-04,22.36,23.07,22.07,22.50,147400,11.2
2002-01-07,23.14,23.45,22.35,23.00,149000,11.5
2002-01-08,23.00,23.35,22.79,23.05,341400,11.52
2002-01-09,23.355,25.14,23.355,25.14,152000,12.5
2002-01-10,25.24,26.10,24.51,26.05,406000,13.02
2002-01-11,25.98,26.42,25.37,26.42,256000,13.2
2002-01-14,26.45,26.45,25.30,25.75,249800,12.87
2002-01-15,26.00,26.00,25.04,25.20,144800,12.6
2002-01-16,25.25,25.25,24.90,24.90,97800,12.4
2002-01-17,25.00,25.25,24.90,25.22,128800,12.6
2002-01-18,25.25,25.25,24.35,24.55,97800,12.27
2002-01-22,24.44,24.50,23.65,24.05,205400,12.02
2002-01-23,24.04,24.95,23.60,24.35,88400,12.17
2002-01-24,24.70,24.70,23.91,24.20,101600,12.1
2002-01-25,24.33,25.25,24.33,25.07,143800,12.53
2002-01-28,25.14,25.15,24.48,24.75,93400,12.37
2002-01-29,24.50,24.83,23.73,23.73,32200,11.86
2002-01-30,24.30,24.30,22.90,23.30,134800,11.6
2002-01-31,23.36,23.83,22.62,22.67,271000,11.33
2002-02-01,22.60,23.17,22.30,22.35,423400,11.17
2002-02-04,22.30,23.05,21.75,21.90,1330600,10.9
2002-02-05,22.04,22.09,21.00,21.00,133400,10.5
2002-02-06,21.14,21.25,20.65,21.25,149600,10.62
2002-02-07,21.49,22.00,21.49,22.00,25400,11.0
2002-02-08,22.10,22.60,22.02,22.60,12400,11.3
2002-02-11,22.76,23.25,22.70,22.79,266800,11.39
2002-02-12,23.00,23.75,22.95,23.20,117800,11.6
2002-02-13,23.68,23.96,23.40,23.65,88200,11.82
2002-02-14,23.76,23.76,23.37,23.70,114800,11.8
2002-02-15,23.84,23.85,23.40,23.80,91800,11.9
2002-02-19,23.88,23.89,23.45,23.45,16600,11.72
2002-02-20,23.70,24.00,23.30,23.49,76200,11.74
2002-02-21,23.58,24.15,23.15,23.25,561000,11.62
2002-02-22,23.54,23.54,22.40,22.50,751800,11.2
2002-02-25,22.34,22.85,21.41,21.47,154800,10.73
2002-02-26,21.62,22.00,21.62,21.80,210600,10.9
2002-02-27,21.76,22.54,21.75,22.17,423600,11.08
2002-02-28,22.36,23.40,22.25,23.40,56800,11.7
2002-03-01,23.56,23.97,23.48,23.97,102600,11.98
2002-03-04,23.96,24.28,23.96,24.21,91800,12.10
2002-03-05,24.25,24.25,23.50,23.75,139200,11.87
2002-03-06,23.70,23.79,23.55,23.75,34600,11.87
2002-03-07,23.80,23.90,23.75,23.90,102600,11.9
2002-03-08,23.60,24.55,23.60,24.55,75200,12.27
2002-03-11,24.115,27.25,24.115,27.25,375400,13.62
2002-03-12,26.68,27.90,26.68,27.51,156400,13.75
2002-03-13,27.41,27.83,27.41,27.70,370800,13.8
2002-03-14,27.725,27.80,27.45,27.80,407600,13.9
2002-03-15,27.005,27.55,27.005,27.55,54600,13.77
2002-03-18,27.54,30.19,27.25,29.50,490400,14.7
2002-03-19,29.50,29.50,27.35,27.90,519800,13.9
2002-03-20,27.20,29.04,27.20,28.30,74600,14.1
2002-03-21,28.50,28.90,28.06,28.89,162000,14.44
2002-03-22,28.60,28.84,28.27,28.33,151400,14.16
2002-03-25,28.28,28.45,27.20,27.31,207400,13.65
2002-03-26,27.30,27.95,27.16,27.95,58400,13.97
2002-03-27,27.80,28.39,27.80,28.20,162600,14.1
2002-03-28,28.30,28.50,28.12,28.15,226400,14.07
2002-04-01,28.16,28.55,28.16,28.30,218400,14.1
2002-04-02,28.44,28.45,27.86,28.00,91400,14.0
2002-04-03,28.14,30.00,28.00,28.00,799400,14.0
2002-04-04,28.20,29.15,28.20,28.61,352800,14.30
2002-04-05,28.88,28.90,27.90,28.40,162800,14.2
2002-04-08,28.545,29.35,28.545,29.35,413800,14.67
2002-04-09,28.88,29.45,28.63,29.35,250200,14.67
2002-04-10,29.39,30.98,29.39,30.49,490400,15.24
2002-04-11,30.76,32.25,30.52,32.15,838200,16.07
2002-04-12,32.00,33.25,31.60,32.86,391800,16.4
2002-04-15,33.28,34.00,33.00,33.60,341800,16.8
2002-04-16,33.79,34.39,33.79,34.39,313600,17.19
2002-04-17,33.96,35.20,33.95,34.85,230200,17.42
2002-04-18,34.97,35.49,34.97,35.49,676000,17.74
2002-04-19,35.18,35.19,33.51,34.00,541000,17.0
2002-04-22,34.14,34.80,33.54,34.50,865200,17.2
2002-04-23,34.80,34.878,34.05,34.15,587000,17.07
2002-04-24,34.26,34.45,33.25,33.80,300600,16.9
2002-04-25,33.70,33.90,33.30,33.50,202800,16.7
2002-04-26,33.62,33.66,33.39,33.50,339000,16.7
2002-04-29,33.60,33.60,32.00,33.20,284200,16.6
2002-04-30,33.20,33.40,30.16,30.55,1069800,15.27
2002-05-01,28.60,29.71,28.60,29.71,1841000,14.85
2002-05-02,27.96,28.41,25.65,27.00,1426000,13.5
2002-05-03,26.86,26.99,25.25,25.32,1089000,12.6
2002-05-06,23.40,24.19,20.25,23.60,9321000,11.8
2002-05-07,23.64,25.05,22.90,25.00,2577200,12.5
2002-05-08,25.04,25.63,24.95,25.49,2564200,12.74
2002-05-09,25.60,26.05,25.23,26.04,1087400,13.0
2002-05-10,26.40,27.20,26.15,26.99,1369200,13.49
2002-05-13,27.10,27.57,26.54,26.862,700400,13.43
2002-05-14,26.98,27.01,25.75,26.47,1197200,13.23
2002-05-15,26.26,26.49,25.64,26.04,741400,13.0
2002-05-16,25.70,26.07,25.50,26.038,708000,13.01
2002-05-17,25.96,26.55,25.96,26.50,742000,13.2
2002-05-20,26.50,26.80,25.80,26.75,316000,13.37
2002-05-21,26.60,26.75,26.15,26.16,381600,13.0
2002-05-22,26.10,26.65,26.10,26.44,580400,13.2
2002-05-23,26.39,27.63,26.39,27.07,653200,13.53
2002-05-24,27.06,28.70,27.06,28.35,652800,14.17
2002-05-28,28.50,28.65,28.05,28.11,539400,14.05
2002-05-29,28.06,28.24,27.63,28.19,431800,14.09
2002-05-30,28.26,29.24,28.06,29.052,435000,14.52
2002-05-31,28.94,29.44,28.93,29.16,1648800,14.5
2002-06-03,29.14,29.15,28.65,29.00,467000,14.5
2002-06-04,28.90,29.20,28.90,29.09,401600,14.54
2002-06-05,29.10,30.05,29.00,29.24,437800,14.6
2002-06-06,29.14,29.80,29.02,29.25,173400,14.62
2002-06-07,29.04,30.06,28.90,29.88,315000,14.9
