Date,Open,High,Low,Close,Volume,Adj Clos
2003-12-05,23.879999,24.98,23.790001,24.52,837700,18.89554
2003-12-08,24.450001,24.610001,24.049999,24.299999,334600,18.72600
2003-12-09,24.15,24.299999,23.90,23.90,745100,18.4177
2003-12-10,23.90,23.969999,23.709999,23.75,671600,18.30216
2003-12-11,23.799999,24.08,23.50,24.00,482000,18.49482
2003-12-12,24.00,24.200001,23.75,23.75,463500,18.30216
2003-12-15,23.65,23.76,23.40,23.43,610700,18.05557
2003-12-16,23.40,23.91,23.299999,23.91,149200,18.42546
2003-12-17,23.85,24.15,23.85,24.030001,172500,18.51794
2003-12-18,23.950001,24.00,23.50,23.90,346000,18.4177
2003-12-19,23.91,23.91,23.610001,23.610001,247400,18.19428
2003-12-22,23.610001,23.75,23.40,23.549999,186000,18.14804
2003-12-23,23.40,23.620001,23.40,23.51,419200,18.1172
2003-12-24,23.40,23.700001,23.299999,23.700001,14400,18.26363
2003-12-26,23.75,23.799999,23.66,23.799999,3600,18.34069
2003-12-29,23.75,24.629999,23.75,24.52,142000,18.89554
2003-12-30,24.450001,24.549999,24.120001,24.450001,89200,18.84160
2003-12-31,24.35,24.98,24.35,24.809999,163400,19.11902
2004-01-02,24.870001,24.90,24.450001,24.60,43700,18.95719
2004-01-05,24.50,25.67,24.50,25.639999,363300,19.75863
2004-01-06,25.59,25.59,25.200001,25.35,117200,19.53515
2004-01-07,25.35,25.50,25.200001,25.450001,131000,19.61221
2004-01-08,25.40,25.90,25.40,25.90,81500,19.95899
2004-01-09,26.00,26.450001,26.00,26.16,41300,20.15935
2004-01-12,26.059999,26.25,25.65,26.25,38800,20.22871
2004-01-13,26.40,26.57,25.74,26.290001,388800,20.25953
2004-01-14,26.290001,26.77,26.00,26.77,375300,20.62943
2004-01-15,26.50,26.85,26.25,26.27,218600,20.24412
2004-01-16,26.40,26.40,25.959999,26.15,26300,20.1516
2004-01-20,26.00,26.10,25.950001,25.950001,127100,19.99752
2004-01-21,26.00,27.15,25.99,26.950001,255000,20.76814
2004-01-22,27.00,27.00,26.42,26.49,59900,20.4136
2004-01-23,26.49,26.50,26.299999,26.450001,155200,20.38283
2004-01-26,26.549999,26.719999,26.50,26.50,166200,20.42136
2004-01-27,26.60,26.60,26.299999,26.35,85300,20.30577
2004-01-28,26.299999,26.440001,26.25,26.440001,165200,20.3751
2004-01-29,26.50,27.08,26.50,26.84,62000,20.68337
2004-01-30,26.799999,27.00,26.65,27.00,43600,20.80667
2004-02-02,27.200001,27.65,27.049999,27.049999,174800,20.84520
2004-02-03,27.10,27.25,26.90,27.219999,22200,20.97621
2004-02-04,27.049999,27.049999,26.25,26.60,137200,20.49842
2004-02-05,26.50,26.74,26.50,26.68,92900,20.56007
2004-02-06,26.700001,26.700001,26.57,26.65,43000,20.53695
2004-02-09,26.700001,27.09,26.60,26.90,107600,20.72961
2004-02-10,26.85,26.860001,26.700001,26.75,15100,20.61402
2004-02-11,26.75,26.75,26.200001,26.200001,422100,20.19018
2004-02-12,26.27,26.27,25.75,25.90,197100,19.95899
2004-02-13,25.950001,26.700001,25.90,26.49,73200,20.4136
2004-02-17,26.59,26.90,26.549999,26.82,39200,20.66796
2004-02-18,26.75,26.799999,26.60,26.700001,47100,20.57549
2004-02-19,26.75,26.85,26.24,26.370001,56900,20.32118
2004-02-20,26.50,26.60,25.85,26.00,141200,20.03605
2004-02-23,26.00,26.110001,25.690001,25.690001,345300,19.79716
2004-02-24,25.690001,25.690001,25.10,25.26,200200,19.46580
2004-02-25,25.309999,25.65,25.26,25.59,55400,19.72010
2004-02-26,25.65,26.139999,25.65,26.00,22300,20.03605
2004-02-27,26.15,26.299999,25.969999,26.10,31700,20.1131
2004-03-01,26.299999,26.549999,26.299999,26.450001,100200,20.38283
2004-03-02,26.50,26.50,25.60,25.66,217100,19.77404
2004-03-03,25.75,26.34,25.639999,25.639999,69700,19.75863
2004-03-04,25.73,26.35,25.65,26.200001,238700,20.19018
2004-03-05,26.299999,26.549999,26.200001,26.549999,24400,20.45989
2004-03-08,26.50,26.65,26.50,26.65,47300,20.53695
2004-03-09,26.620001,26.620001,25.50,26.299999,193300,20.26724
2004-03-10,26.25,26.25,25.48,25.48,74500,19.63533
2004-03-11,25.48,25.65,25.48,25.50,91300,19.65074
2004-03-12,25.50,25.60,25.450001,25.530001,108200,19.67386
2004-03-15,25.60,25.639999,25.469999,25.50,41400,19.65074
2004-03-16,25.58,25.65,25.549999,25.57,13100,19.70469
2004-03-17,25.67,25.950001,25.67,25.950001,13300,19.99752
2004-03-18,25.85,27.08,25.85,27.00,40400,20.80667
2004-03-19,26.870001,26.870001,26.35,26.549999,43500,20.48265
2004-03-22,26.450001,26.540001,26.15,26.15,23300,20.17406
2004-03-23,26.15,26.15,25.65,25.809999,92800,19.91176
2004-03-24,25.799999,25.90,25.450001,25.50,89100,19.67260
2004-03-25,25.50,26.120001,25.50,25.98,18800,20.04291
2004-03-26,26.049999,26.15,25.799999,25.85,18600,19.94262
2004-03-29,25.90,25.90,25.50,25.690001,124100,19.81918
2004-03-30,25.790001,26.10,25.700001,26.00,79000,20.05834
2004-03-31,26.00,26.00,25.75,25.75,18900,19.86547
2004-04-01,25.700001,25.77,25.40,25.549999,121900,19.7111
2004-04-02,25.620001,25.620001,25.50,25.50,138000,19.67260
2004-04-05,25.549999,25.799999,25.50,25.66,38100,19.79604
2004-04-06,25.700001,25.90,25.65,25.85,89500,19.94262
2004-04-07,25.799999,25.85,25.75,25.82,9100,19.91947
2004-04-08,25.90,26.25,25.90,26.00,8100,20.05834
2004-04-12,25.950001,25.950001,25.66,25.85,4900,19.94262
2004-04-13,25.85,25.85,25.40,25.40,238800,19.59545
2004-04-14,25.40,25.40,25.15,25.200001,21000,19.44116
2004-04-15,25.200001,25.200001,24.700001,24.799999,28800,19.13257
2004-04-16,24.799999,24.90,23.889999,24.49,486600,18.89341
2004-04-19,24.549999,24.60,24.09,24.49,40900,18.89341
2004-04-20,24.549999,24.700001,23.91,23.91,133300,18.44596
2004-04-21,24.00,24.00,23.799999,23.90,119300,18.43824
2004-04-22,23.90,24.32,23.799999,24.190001,91500,18.66197
2004-04-23,24.25,24.25,23.91,24.10,7000,18.59254
2004-04-26,24.200001,24.67,24.200001,24.60,69300,18.9782
2004-04-27,24.50,24.700001,23.49,23.90,183100,18.43824
2004-04-28,23.85,23.860001,23.700001,23.75,38600,18.32252
2004-04-29,23.75,23.799999,23.35,23.75,81600,18.32252
2004-04-30,23.700001,23.700001,23.209999,23.32,23100,17.99079
2004-05-03,23.42,23.99,23.42,23.799999,145900,18.36109
2004-05-04,23.75,24.60,23.75,23.83,329200,18.38424
2004-05-05,23.90,24.610001,23.90,24.200001,124700,18.6696
2004-05-06,24.17,24.25,24.00,24.00,73800,18.51539
2004-05-07,24.10,24.35,24.10,24.110001,430200,18.60025
2004-05-10,24.23,24.299999,23.90,23.90,191000,18.43824
2004-05-11,23.90,24.049999,23.74,23.799999,117000,18.36109
2004-05-12,23.799999,23.799999,23.15,23.65,263800,18.24537
2004-05-13,23.65,23.870001,23.57,23.870001,51500,18.41510
2004-05-14,23.85,24.01,23.559999,23.690001,79600,18.27623
2004-05-17,23.74,23.74,23.50,23.540001,35700,18.16051
2004-05-18,23.75,23.75,23.60,23.68,44400,18.26852
2004-05-19,23.690001,23.969999,23.690001,23.799999,186600,18.36109
2004-05-20,23.85,24.00,23.85,24.00,39200,18.51539
2004-05-21,24.049999,24.049999,23.08,23.40,153000,18.0525
2004-05-24,23.450001,23.73,23.40,23.620001,16700,18.22223
2004-05-25,23.57,23.66,23.50,23.66,16400,18.25309
2004-05-26,23.59,24.040001,23.59,23.99,68500,18.5076
2004-05-27,23.84,24.049999,23.50,23.90,56000,18.43824
2004-05-28,23.91,24.18,23.90,24.10,64400,18.59254
2004-06-01,24.02,24.50,23.93,24.42,80500,18.83941
2004-06-02,24.719999,25.40,24.700001,25.10,38900,19.36401
2004-06-03,25.10,25.10,24.690001,24.700001,72800,19.05542
2004-06-04,24.73,24.75,24.309999,24.540001,38700,18.93199
2004-06-07,24.540001,24.60,24.440001,24.51,69800,18.90884
2004-06-08,24.52,24.549999,24.299999,24.35,48600,18.78541
2004-06-09,24.25,24.299999,23.950001,23.950001,21600,18.47682
2004-06-10,23.90,23.93,23.700001,23.799999,65500,18.36109
2004-06-14,23.799999,24.110001,23.799999,23.879999,14500,18.42281
2004-06-15,23.98,24.00,23.51,23.67,25300,18.26080
