Date,Open,High,Low,Close,Volume,Adj Clos
2003-08-26,9.000004,9.000004,9.000004,9.000004,5871000,2.88043
2003-08-27,9.000004,9.080004,9.000004,9.080004,1621500,2.90603
2003-08-28,9.080004,9.319988,9.080004,9.240004,675600,2.95724
2003-08-29,9.240004,9.240004,9.160004,9.240004,463100,2.95724
2003-09-02,9.160004,9.160004,9.000004,9.160004,2620500,2.9316
2003-09-03,9.160004,9.160004,9.080004,9.080004,1566000,2.90603
2003-09-04,9.160004,9.319988,9.160004,9.240004,339600,2.95724
2003-09-05,9.299996,9.449993,9.249992,9.299996,385600,2.97644
2003-09-08,9.399988,9.499996,9.379996,9.399988,704400,3.00844
2003-09-09,9.399988,9.399988,9.249992,9.299996,64600,2.97644
2003-09-10,9.299996,9.299996,9.050007,9.099996,146700,2.91243
2003-09-11,9.15,9.15,9.099996,9.120004,123500,2.91883
2003-09-12,9.200004,9.299996,9.11,9.299996,190500,2.97644
2003-09-15,9.27,9.27,9.15,9.179996,269000,2.93803
2003-09-16,9.15,9.200004,9.15,9.179996,128700,2.93803
2003-09-17,9.179996,9.179996,9.11,9.15,64900,2.92843
2003-09-18,9.15,9.15,9.07,9.120004,386600,2.91883
2003-09-19,9.15,9.249992,9.15,9.200004,326600,2.94444
2003-09-22,9.19,9.23,9.15,9.169992,107000,2.93483
2003-09-23,9.169992,9.499996,9.15,9.369992,871200,2.99884
2003-09-24,9.319988,9.35,9.200004,9.200004,91300,2.94444
2003-09-25,9.200004,9.200004,9.099996,9.120004,112900,2.91883
2003-09-26,9.120004,9.120004,8.850007,8.850007,671300,2.83242
2003-09-29,8.95,8.959988,8.889992,8.95,533000,2.86442
2003-09-30,8.95,9.000004,8.95,8.969992,324800,2.87082
2003-10-01,9.000004,9.089992,9.000004,9.009992,354700,2.88362
2003-10-02,9.050007,9.07,8.969992,9.019996,111200,2.88683
2003-10-03,9.000004,9.099996,9.000004,9.099996,81600,2.91243
2003-10-06,9.099996,9.249992,9.099996,9.200004,793800,2.94444
2003-10-07,9.200004,9.290008,9.15,9.169992,244800,2.93483
2003-10-08,9.169992,9.399988,9.169992,9.27,104100,2.96684
2003-10-09,9.210008,9.329992,9.15,9.200004,1044700,2.94444
2003-10-10,9.23,9.240004,9.15,9.200004,137900,2.94444
2003-10-13,9.15,9.200004,9.15,9.15,64000,2.92843
2003-10-14,9.200004,9.200004,9.15,9.200004,142900,2.94444
2003-10-15,9.219996,9.260012,9.160004,9.240004,296600,2.95724
2003-10-16,9.249992,9.35,9.19,9.23,278900,2.95404
2003-10-17,9.249992,9.280004,9.200004,9.249992,88100,2.9604
2003-10-20,9.200004,9.35,9.200004,9.260012,176300,2.96364
2003-10-21,9.249992,9.280004,9.200004,9.249992,402700,2.9604
2003-10-22,9.200004,9.329992,9.19,9.299996,268800,2.97644
2003-10-23,9.280004,9.329992,9.200004,9.200004,729800,2.94444
2003-10-24,9.200004,9.240004,9.000004,9.039988,365200,2.89322
2003-10-27,9.089992,9.169992,9.019996,9.130008,71700,2.9220
2003-10-28,9.099996,9.120004,9.050007,9.099996,103900,2.91243
2003-10-29,9.099996,9.200004,9.099996,9.200004,108900,2.94444
2003-10-30,9.15,9.179996,9.120004,9.179996,55300,2.93803
2003-10-31,9.15,9.249992,9.15,9.15,214300,2.92843
