Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,15.50,15.50,14.875,15.125,53700,11.64363
2000-01-04,15.00,15.0625,14.25,14.3125,54800,11.01814
2000-01-05,14.1875,14.625,14.1875,14.50,41300,11.16248
2000-01-06,14.4375,14.4375,14.0625,14.1875,54800,10.92191
2000-01-07,14.25,14.8125,14.25,14.75,57100,11.35494
2000-01-10,15.00,15.00,14.5625,14.75,35200,11.35494
2000-01-11,14.6875,14.875,14.6875,14.75,25300,11.35494
2000-01-12,14.6875,14.9375,14.6875,14.875,25100,11.45117
2000-01-13,14.75,14.9375,14.75,14.8125,20000,11.4030
2000-01-14,14.875,14.875,14.6875,14.75,32100,11.35494
2000-01-18,14.625,14.875,14.4375,14.8125,39200,11.4030
2000-01-19,14.8125,14.8125,14.6875,14.75,7700,11.35494
2000-01-20,14.75,14.9375,14.5625,14.625,63300,11.25871
2000-01-21,14.625,14.625,13.9375,14.00,69500,10.77757
2000-01-24,14.125,14.375,13.875,13.875,30800,10.68134
2000-01-25,13.875,13.875,12.75,12.75,100900,9.81529
2000-01-26,13.00,13.75,13.00,13.625,451000,10.48889
2000-01-27,13.6875,14.0625,13.625,14.00,37100,10.77757
2000-01-28,14.125,14.9375,14.125,14.9375,500600,11.49928
2000-01-31,14.9375,14.9375,14.8125,14.8125,48100,11.4030
2000-02-01,14.875,15.00,14.5625,14.8125,61200,11.4030
2000-02-02,14.8125,14.875,14.625,14.625,39900,11.25871
2000-02-03,14.5625,15.00,14.50,14.875,71700,11.45117
2000-02-04,14.9375,14.9375,14.1875,14.1875,39100,10.92191
2000-02-07,14.3125,14.50,14.0625,14.125,22500,10.87380
2000-02-08,14.125,14.4375,14.125,14.1875,30000,10.92191
2000-02-09,14.3125,14.3125,14.00,14.00,26500,10.77757
2000-02-10,14.0625,14.1875,14.00,14.125,72900,10.87380
2000-02-11,14.125,14.1875,13.75,13.875,70400,10.68134
2000-02-14,14.00,15.00,13.9375,14.9375,65600,11.49928
2000-02-15,15.00,15.00,14.75,15.00,41500,11.54740
2000-02-16,14.875,14.875,14.625,14.6875,23100,11.30683
2000-02-17,14.75,14.75,14.625,14.6875,85300,11.30683
2000-02-18,14.75,15.00,14.5625,14.5625,47300,11.21060
2000-02-22,14.6875,14.875,14.625,14.875,15100,11.45117
2000-02-23,14.8125,14.8125,14.25,14.5625,28300,11.21060
2000-02-24,14.50,14.625,14.25,14.3125,27400,11.01814
2000-02-25,14.3125,14.4375,14.0625,14.125,18000,10.87380
2000-02-28,14.0625,14.1875,13.9375,14.0625,21600,10.8256
2000-02-29,14.125,14.6875,14.125,14.50,49700,11.16248
2000-03-01,14.50,14.625,14.00,14.3125,92600,11.01814
2000-03-02,14.25,14.25,13.00,13.50,104500,10.39266
2000-03-03,13.50,14.3125,13.50,14.3125,86500,11.01814
2000-03-06,14.3125,14.3125,13.8125,13.8125,12500,10.63323
2000-03-07,13.9375,14.00,13.4375,13.4375,42200,10.34454
2000-03-08,13.4375,13.4375,13.00,13.125,45000,10.10397
2000-03-09,13.25,13.3125,13.0625,13.1875,55800,10.15209
2000-03-10,13.125,13.25,13.125,13.1875,44500,10.15209
2000-03-13,13.375,13.375,13.125,13.1875,37500,10.15209
2000-03-14,13.1875,13.1875,12.875,12.9375,48300,9.95963
2000-03-15,13.0625,13.125,12.9375,12.9375,76200,9.95963
2000-03-16,13.25,14.1875,13.1875,14.1875,82700,10.92191
2000-03-17,14.0625,14.50,14.0625,14.25,61400,10.97003
2000-03-20,14.25,14.5625,14.25,14.4375,24900,11.11437
2000-03-21,14.3125,14.3125,14.0625,14.1875,144200,10.92191
