Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,3.50,3.50,3.1875,3.1875,5300,2.10245
2000-01-04,3.25,3.25,3.25,3.25,1200,2.14368
2000-01-05,3.25,3.25,3.25,3.25,000,2.14368
2000-01-06,3.25,3.25,3.25,3.25,000,2.14368
2000-01-07,3.375,3.5625,3.375,3.5625,700,2.34980
2000-01-10,3.375,3.375,3.375,3.375,200,2.22613
2000-01-11,3.5625,3.5625,3.375,3.50,3500,2.30858
2000-01-12,3.375,3.375,3.375,3.375,1000,2.22613
2000-01-13,3.50,3.50,3.25,3.50,5300,2.30858
2000-01-14,3.25,3.25,3.25,3.25,2600,2.14368
2000-01-18,3.375,3.375,3.25,3.25,600,2.14368
2000-01-19,3.25,3.25,3.25,3.25,400,2.14368
2000-01-20,3.25,3.5625,3.25,3.5625,1200,2.34980
2000-01-21,3.25,3.5625,3.1875,3.1875,13300,2.10245
2000-01-24,3.1875,3.1875,3.1875,3.1875,2300,2.10245
2000-01-25,3.5625,3.5625,3.5625,3.5625,100,2.34980
2000-01-26,3.1875,3.1875,3.1875,3.1875,2600,2.10245
2000-01-27,3.1875,3.1875,3.1875,3.1875,600,2.10245
2000-01-28,3.1875,3.1875,3.1875,3.1875,000,2.10245
2000-01-31,3.5625,3.5625,3.1875,3.1875,1000,2.10245
2000-02-01,3.50,3.50,3.1875,3.1875,2100,2.10245
2000-02-02,3.1875,3.1875,3.1875,3.1875,000,2.10245
2000-02-03,3.1875,3.1875,3.1875,3.1875,1100,2.10245
2000-02-04,3.50,3.50,3.50,3.50,700,2.30858
2000-02-07,3.1875,3.1875,3.1875,3.1875,1000,2.10245
2000-02-08,3.50,3.50,3.375,3.50,1700,2.30858
2000-02-09,3.5625,3.5625,3.25,3.25,300,2.14368
2000-02-10,3.50,3.50,3.50,3.50,600,2.30858
2000-02-11,3.4375,3.50,3.4375,3.50,9700,2.30858
2000-02-14,3.50,3.50,3.50,3.50,3800,2.30858
2000-02-15,3.5625,3.75,3.50,3.50,5300,2.30858
2000-02-16,3.4375,3.75,3.4375,3.75,4700,2.47348
2000-02-17,3.875,4.00,3.625,3.625,24200,2.39103
2000-02-18,3.50,3.625,3.50,3.50,10300,2.30858
2000-02-22,3.4375,3.625,3.4375,3.50,8800,2.30858
2000-02-23,3.50,3.50,3.50,3.50,9500,2.30858
2000-02-24,3.34375,3.50,3.34375,3.50,5200,2.30858
2000-02-25,3.34375,3.50,3.1875,3.50,1500,2.30858
2000-02-28,3.34375,3.34375,3.1875,3.1875,4400,2.10245
2000-02-29,3.25,3.25,3.25,3.25,1000,2.14368
2000-03-01,3.25,3.25,3.1875,3.1875,3700,2.10245
2000-03-02,3.25,3.25,3.25,3.25,200,2.14368
2000-03-03,3.25,3.25,3.25,3.25,000,2.14368
2000-03-06,3.25,3.375,3.25,3.375,7500,2.22613
2000-03-07,3.59375,3.625,3.5625,3.625,7300,2.39103
2000-03-08,3.5625,3.5625,3.5625,3.5625,3000,2.34980
2000-03-09,3.5625,3.5625,3.5625,3.5625,2000,2.34980
2000-03-10,3.5625,3.625,3.3125,3.3125,5300,2.18490
2000-03-13,3.625,3.625,3.3125,3.3125,3400,2.18490
2000-03-14,3.3125,3.625,3.3125,3.625,600,2.39103
2000-03-15,3.50,3.625,3.50,3.625,2600,2.39103
2000-03-16,3.5625,3.5625,3.50,3.50,2900,2.30858
2000-03-17,3.50,3.50,3.50,3.50,000,2.30858
2000-03-20,3.50,3.50,3.50,3.50,700,2.30858
2000-03-21,3.59375,3.625,3.59375,3.625,4600,2.39103
2000-03-22,3.625,3.75,3.625,3.75,8100,2.47348
2000-03-23,3.75,3.75,3.375,3.375,11400,2.22613
2000-03-24,3.50,3.50,3.50,3.50,1200,2.30858
2000-03-27,3.50,3.50,3.50,3.50,000,2.30858
2000-03-28,3.50,3.50,3.50,3.50,000,2.30858
2000-03-29,3.50,3.50,3.50,3.50,000,2.30858
