Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,19.3125,19.3125,18.00,18.00,134000,6.73775
2000-01-04,17.75,18.5625,17.75,18.00,68200,6.73775
2000-01-05,18.00,18.50,18.00,18.3125,70000,6.8547
2000-01-06,18.1875,19.00,18.0625,18.9375,78600,7.08867
2000-01-07,18.875,18.9375,18.50,18.625,71800,6.97170
2000-01-10,18.6875,18.6875,18.375,18.5625,67000,6.94830
2000-01-11,18.625,18.6875,18.50,18.50,68200,6.92491
2000-01-12,18.50,18.625,18.4375,18.625,93000,6.97170
2000-01-13,18.625,19.00,18.50,18.875,94400,7.06528
2000-01-14,19.00,19.00,18.50,18.50,118000,6.92491
2000-01-18,18.375,18.375,17.875,18.125,74000,6.78454
2000-01-19,18.125,18.4375,18.00,18.1875,106000,6.8079
2000-01-20,18.25,18.625,17.75,17.9375,77400,6.7143
2000-01-21,18.0625,18.375,17.75,18.1875,111200,6.8079
2000-01-24,18.5625,18.5625,17.875,17.875,120400,6.69096
2000-01-25,17.9375,17.9375,17.125,17.125,67200,6.41022
2000-01-26,17.1875,17.75,17.125,17.75,91200,6.64417
2000-01-27,17.875,18.1875,17.875,18.0625,83000,6.7611
2000-01-28,18.0625,18.3125,17.50,17.625,90800,6.59738
2000-01-31,17.6875,18.375,17.6875,18.0625,114600,6.7611
2000-02-01,18.00,18.00,17.3125,17.5625,59000,6.5739
2000-02-02,17.4375,17.875,17.3125,17.625,122200,6.59738
2000-02-03,17.625,17.75,17.375,17.625,61600,6.59738
2000-02-04,17.5625,17.5625,17.125,17.375,101400,6.50380
2000-02-07,17.125,17.375,17.00,17.375,62200,6.50380
2000-02-08,17.5625,17.6875,17.00,17.125,70800,6.41022
2000-02-09,17.25,17.625,16.625,16.875,98800,6.31664
2000-02-10,16.8125,17.00,16.4375,16.875,522200,6.31664
2000-02-11,16.875,17.0625,15.9375,16.00,135000,5.98911
2000-02-14,15.9375,16.50,15.8125,16.4375,56200,6.1528
2000-02-15,16.625,16.875,16.3125,16.875,76200,6.31664
2000-02-16,16.875,17.0625,16.25,16.25,86000,6.08269
2000-02-17,16.4375,16.9375,16.375,16.50,82400,6.17627
2000-02-18,16.5625,16.5625,15.875,15.9375,60400,5.9657
2000-02-22,15.9375,16.00,15.625,15.9375,123800,5.9657
2000-02-23,16.0625,16.1875,15.375,15.75,95600,5.89553
2000-02-24,15.75,15.875,15.3125,15.375,41400,5.75516
2000-02-25,15.4375,15.50,15.25,15.3125,63600,5.7317
2000-02-28,15.25,15.5625,15.00,15.3125,110800,5.7317
2000-02-29,15.3125,16.1875,15.0625,15.0625,194800,5.63819
2000-03-01,15.00,15.0625,14.5625,14.5625,123200,5.45103
2000-03-02,14.5625,15.00,14.5625,14.9375,156600,5.59140
2000-03-03,14.875,15.125,14.875,15.00,65000,5.61479
2000-03-06,15.00,16.00,15.00,15.5625,179000,5.8253
2000-03-07,15.6875,15.90624,15.00,15.00,222600,5.61479
2000-03-08,15.75,15.9375,15.75,15.75,152400,5.89553
2000-03-09,15.5625,15.8125,15.375,15.4375,161200,5.7785
2000-03-10,15.375,16.15624,15.1875,16.00,167600,5.98911
2000-03-13,15.625,16.00,15.3125,15.6875,85600,5.91279
2000-03-14,15.8125,15.875,15.6875,15.8125,139200,5.95990
2000-03-15,15.8125,17.3125,15.6875,17.25,141200,6.50171
2000-03-16,17.3125,18.5625,17.3125,18.5625,368600,6.9964
2000-03-17,18.25,19.00,18.25,18.9375,267800,7.13775
2000-03-20,18.9375,19.625,18.9375,19.625,275800,7.39687
2000-03-21,19.50,19.75,19.1875,19.75,353400,7.44399
2000-03-22,19.75,20.00,18.8125,18.8125,338000,7.09063
2000-03-23,18.625,18.8125,18.00,18.6875,399200,7.04352
2000-03-24,18.50,19.00,18.00,18.875,61600,7.11419
2000-03-27,18.75,19.00,18.1875,18.875,67800,7.11419
2000-03-28,18.75,18.8125,17.625,18.3125,63800,6.90218
2000-03-29,18.1875,18.1875,17.8125,17.9375,134400,6.7608
2000-03-30,18.0625,19.125,18.0625,19.125,83800,7.20842
2000-03-31,19.3125,21.125,19.00,20.75,418200,7.82090
2000-04-03,20.375,20.375,20.00,20.00,172000,7.53821
2000-04-04,20.00,20.375,19.50,20.25,154400,7.63244
2000-04-05,20.3125,20.3125,19.3125,19.5625,86200,7.37332
2000-04-06,19.6875,20.00,19.625,19.875,99400,7.49110
2000-04-07,19.875,20.4375,19.875,20.3125,40200,7.65600
2000-04-10,20.1875,20.375,19.8125,19.8125,71400,7.46754
2000-04-11,19.8125,20.375,19.6875,20.00,375200,7.53821
2000-04-12,20.125,20.25,19.9375,19.9375,295600,7.51466
2000-04-13,19.9375,20.00,19.3125,19.9375,219400,7.51466
2000-04-14,20.00,20.25,19.8125,19.875,218800,7.49110
2000-04-17,19.8125,19.8125,19.3125,19.50,81200,7.34976
2000-04-18,19.50,19.50,18.75,18.9375,173800,7.13775
2000-04-19,19.0625,19.5625,19.0625,19.50,159000,7.34976
2000-04-20,19.4375,20.00,19.375,19.9375,502200,7.51466
2000-04-24,19.75,20.625,19.75,20.5625,157200,7.75023
2000-04-25,20.9375,22.00,20.6875,21.125,344200,7.96224
2000-04-26,21.125,21.25,20.00,20.3125,147200,7.65600
2000-04-27,20.3125,21.625,20.1875,21.00,178400,7.9151
2000-04-28,20.875,20.9375,20.25,20.9375,65600,7.89157
2000-05-01,20.8125,21.50,20.8125,21.1875,260200,7.98580
2000-05-02,21.25,21.50,21.125,21.3125,71400,8.03291
2000-05-03,21.4375,22.25,21.4375,22.1875,355200,8.36271
2000-05-04,22.125,22.50,21.375,21.50,165200,8.10358
2000-05-05,21.5625,22.50,21.25,21.6875,237600,8.17425
2000-05-08,21.75,22.00,21.5625,22.00,86800,8.29204
2000-05-09,21.875,22.00,21.375,22.00,196200,8.29204
2000-05-10,21.875,21.875,21.50,21.5625,70400,8.12714
2000-05-11,21.6875,22.00,21.625,21.9375,182400,8.26848
