Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,6.000005,6.062499,6.000005,6.062499,2000,2.74704
2000-01-04,6.499996,6.499996,6.499996,6.499996,200,2.94528
2000-01-05,6.499996,6.499996,6.000005,6.000005,2300,2.71873
2000-01-06,5.750002,6.000005,5.750002,5.937498,9600,2.69040
2000-01-07,5.937498,6.499996,5.937498,5.937498,1100,2.69040
2000-01-10,6.499996,6.499996,6.499996,6.499996,1300,2.94528
2000-01-11,6.000005,6.000005,5.750002,5.750002,6100,2.6054
2000-01-12,6.249994,6.249994,5.50,5.50,1100,2.49216
2000-01-13,6.437502,6.437502,5.50,6.000005,12800,2.71873
2000-01-14,6.499996,6.499996,5.625001,6.000005,3500,2.71873
2000-01-18,5.625001,5.625001,5.625001,5.625001,500,2.54880
2000-01-19,5.625001,5.625001,5.625001,5.625001,000,2.54880
2000-01-20,5.625001,5.625001,5.625001,5.625001,000,2.54880
2000-01-21,6.000005,6.499996,6.000005,6.125006,26700,2.77537
2000-01-24,6.374995,6.374995,6.125006,6.249994,6300,2.83200
2000-01-25,6.000005,6.000005,5.875004,5.875004,1100,2.6620
2000-01-26,5.875004,6.125006,5.625001,5.625001,600,2.54880
2000-01-27,5.625001,5.625001,5.50,5.625001,12000,2.54880
2000-01-28,5.750002,5.750002,5.750002,5.750002,1600,2.6054
2000-01-31,6.249994,6.499996,6.249994,6.249994,28300,2.83200
2000-02-01,6.249994,6.249994,6.249994,6.249994,000,2.83200
2000-02-02,6.499996,6.499996,6.499996,6.499996,100,2.94528
2000-02-03,6.499996,6.499996,6.000005,6.499996,3700,2.94528
2000-02-04,6.000005,6.249994,6.000005,6.249994,600,2.83200
2000-02-07,6.000005,6.000005,5.750002,6.000005,2700,2.71873
2000-02-08,6.249994,6.249994,6.249994,6.249994,3600,2.83200
2000-02-09,6.249994,6.499996,6.249994,6.249994,9000,2.83200
2000-02-10,6.249994,6.249994,6.249994,6.249994,500,2.83200
2000-02-11,6.249994,6.249994,6.249994,6.249994,2000,2.83200
2000-02-14,6.265627,6.265627,6.000005,6.000005,4200,2.71873
2000-02-15,6.000005,6.000005,6.000005,6.000005,1800,2.71873
2000-02-16,6.281248,6.281248,6.249994,6.249994,1500,2.83200
2000-02-17,6.249994,6.249994,6.249994,6.249994,000,2.83200
2000-02-18,6.125006,6.125006,6.000005,6.000005,22000,2.71873
2000-02-22,6.000005,6.249994,6.000005,6.000005,5200,2.71873
2000-02-23,6.000005,6.125006,6.000005,6.000005,14700,2.71873
2000-02-24,6.000005,6.000005,6.000005,6.000005,000,2.71873
2000-02-25,6.249994,6.249994,6.000005,6.125006,4300,2.77537
2000-02-28,6.125006,6.125006,5.281251,5.281251,5500,2.39304
2000-02-29,5.531254,6.000005,5.50,6.000005,8200,2.71873
