Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,2.063,2.25,2.063,2.25,6100,2.2
2000-01-04,2.063,2.625,2.063,2.625,11400,2.62
2000-01-06,2.375,2.375,2.375,2.375,1200,2.37
2000-01-07,2.38,2.50,2.375,2.50,400,2.5
2000-01-10,2.44,2.469,2.375,2.375,2200,2.37
2000-01-11,2.25,2.375,2.25,2.375,6400,2.37
2000-01-12,2.25,2.25,2.25,2.25,200,2.2
2000-01-13,2.406,2.406,2.00,2.00,17200,2.0
2000-01-14,2.00,2.00,2.00,2.00,3500,2.0
2000-01-18,2.19,2.25,2.00,2.188,6300,2.18
2000-01-19,2.06,2.063,1.906,1.938,35600,1.93
2000-01-20,1.94,2.00,1.938,2.00,7400,2.0
2000-01-21,2.00,2.094,1.938,1.938,9600,1.93
2000-01-24,2.03,2.063,1.938,2.00,11000,2.0
2000-01-25,1.94,2.00,1.906,2.00,9200,2.0
2000-01-26,1.969,1.969,1.938,1.938,3700,1.93
2000-01-27,2.00,2.00,1.938,1.938,3700,1.93
2000-01-28,1.91,1.938,1.906,1.938,8300,1.93
2000-01-31,1.97,2.031,1.906,2.00,19300,2.0
2000-02-01,2.06,2.063,1.969,1.969,2700,1.96
2000-02-02,2.06,2.063,1.938,1.938,23400,1.93
2000-02-03,2.031,2.031,2.031,2.031,2300,2.03
2000-02-04,2.03,2.031,1.906,2.031,8000,2.03
2000-02-07,1.91,2.031,1.906,2.031,5300,2.03
2000-02-08,2.00,2.031,2.00,2.00,7600,2.0
2000-02-09,2.03,2.063,2.00,2.063,20700,2.06
2000-02-10,2.06,2.25,2.00,2.125,9300,2.12
2000-02-11,2.19,2.375,2.188,2.188,13000,2.18
2000-02-14,2.28,2.375,2.188,2.375,13800,2.37
2000-02-15,2.25,2.50,2.188,2.25,9500,2.2
2000-02-16,2.41,2.438,2.375,2.375,800,2.37
2000-02-17,2.38,2.50,2.156,2.375,11600,2.37
2000-02-18,2.25,2.375,2.25,2.313,4000,2.31
2000-02-22,2.31,2.438,2.219,2.219,4500,2.21
2000-02-23,2.219,2.219,2.219,2.219,1200,2.21
2000-02-24,2.406,2.406,2.188,2.188,1500,2.18
2000-02-25,2.13,2.188,2.125,2.188,1700,2.18
2000-02-28,2.125,2.125,2.094,2.094,1800,2.09
2000-02-29,2.16,2.188,2.094,2.094,6900,2.09
2000-03-01,2.125,2.125,2.094,2.094,1200,2.09
2000-03-02,2.09,2.25,2.063,2.25,11600,2.2
2000-03-03,2.22,2.50,2.00,2.375,14400,2.37
2000-03-06,2.56,2.563,2.375,2.438,9000,2.43
2000-03-07,2.438,2.438,2.375,2.438,4200,2.43
2000-03-08,2.41,2.438,2.406,2.406,5200,2.40
2000-03-09,2.438,2.438,2.438,2.438,1000,2.43
2000-03-10,2.44,2.50,2.375,2.406,8500,2.40
2000-03-13,2.56,2.563,2.469,2.50,2800,2.5
2000-03-14,2.50,3.375,2.469,3.25,30200,3.2
2000-03-15,3.19,3.25,3.125,3.125,13000,3.12
2000-03-16,3.25,3.25,3.063,3.188,12900,3.18
2000-03-17,3.28,3.50,3.188,3.50,13100,3.5
2000-03-20,3.50,4.313,3.50,3.75,29300,3.7
2000-03-21,4.00,4.00,3.125,3.375,14600,3.37
2000-03-22,3.31,3.375,3.25,3.25,5600,3.2
2000-03-23,3.50,3.50,3.375,3.50,1600,3.5
2000-03-24,3.375,3.375,3.375,3.375,1700,3.37
2000-03-27,3.375,3.375,3.25,3.25,3700,3.2
2000-03-28,3.25,3.313,2.75,2.75,8800,2.7
2000-03-29,2.875,2.875,2.625,2.75,4200,2.7
2000-03-30,2.688,2.688,2.625,2.688,4000,2.68
2000-03-31,2.688,2.688,2.625,2.625,2900,2.62
2000-04-03,2.63,2.656,2.625,2.656,1600,2.65
2000-04-04,2.63,2.875,2.375,2.875,2800,2.87
2000-04-05,2.50,2.50,2.50,2.50,100,2.5
2000-04-06,2.844,2.844,2.844,2.844,300,2.84
2000-04-07,2.84,2.938,2.813,2.938,8300,2.93
2000-04-10,3.00,3.063,3.00,3.063,2900,3.06
2000-04-11,2.844,3.063,2.844,2.938,2800,2.93
2000-04-12,3.00,3.00,3.00,3.00,400,3.0
2000-04-13,3.00,3.25,2.563,2.563,15700,2.56
2000-04-14,2.656,2.656,2.406,2.406,3300,2.40
2000-04-17,2.38,2.406,2.313,2.375,23300,2.37
2000-04-18,2.50,2.50,2.406,2.50,8300,2.5
2000-04-19,2.438,2.438,2.313,2.313,4200,2.31
2000-04-20,2.438,2.438,2.375,2.375,500,2.37
2000-04-24,2.313,2.313,2.313,2.313,400,2.31
2000-04-25,2.25,2.375,2.25,2.375,600,2.37
2000-04-27,2.25,2.25,2.25,2.25,1300,2.2
2000-04-28,2.25,2.25,2.063,2.25,5600,2.2
2000-05-01,2.25,2.25,2.25,2.25,1800,2.2
2000-05-02,2.188,2.188,2.188,2.188,200,2.18
2000-05-03,2.219,2.219,2.219,2.219,500,2.21
2000-05-04,2.188,2.188,2.063,2.063,1500,2.06
2000-05-05,2.063,2.063,2.063,2.063,200,2.06
2000-05-08,2.25,2.25,2.156,2.156,1100,2.15
2000-05-10,2.156,2.156,2.00,2.031,7100,2.03
2000-05-11,1.94,2.00,1.938,2.00,2200,2.0
2000-05-15,2.031,2.031,2.031,2.031,100,2.03
2000-05-16,2.06,2.063,2.031,2.031,700,2.03
2000-05-18,2.063,2.063,2.063,2.063,700,2.06
2000-05-22,1.94,2.00,1.875,2.00,9900,2.0
2000-05-23,2.063,2.125,2.063,2.125,3400,2.12
2000-05-24,2.188,2.188,2.188,2.188,900,2.18
2000-05-25,2.25,2.25,2.25,2.25,2700,2.2
2000-05-26,2.156,2.156,2.156,2.156,100,2.15
2000-05-30,2.25,2.25,2.25,2.25,1000,2.2
2000-05-31,2.25,2.25,2.25,2.25,1600,2.2
2000-06-02,2.19,2.25,2.156,2.25,41700,2.2
2000-06-05,2.125,2.125,2.125,2.125,1600,2.12
2000-06-06,2.125,2.125,2.125,2.125,1700,2.12
2000-06-07,2.125,2.125,2.125,2.125,100,2.12
2000-06-08,2.19,2.25,2.188,2.25,900,2.2
2000-06-09,2.25,2.25,2.219,2.219,400,2.21
2000-06-12,2.22,2.25,2.219,2.25,1500,2.2
2000-06-14,2.125,2.125,2.125,2.125,3100,2.12
2000-06-16,2.25,2.25,2.188,2.25,1800,2.2
2000-06-20,2.13,2.438,2.063,2.375,8100,2.37
2000-06-21,2.406,2.406,2.25,2.406,13700,2.40
2000-06-22,2.34,2.344,2.313,2.313,400,2.31
2000-06-23,2.344,2.375,2.344,2.375,1600,2.37
2000-06-26,2.313,2.313,2.313,2.313,300,2.31
2000-06-27,2.31,2.313,2.25,2.25,4000,2.2
2000-06-28,2.375,2.375,2.25,2.25,500,2.2
2000-06-29,2.375,2.375,2.375,2.375,600,2.37
2000-06-30,2.31,2.313,2.125,2.125,7000,2.12
2000-07-05,2.25,2.438,2.25,2.438,2400,2.43
2000-07-06,2.19,2.50,2.188,2.50,2800,2.5
2000-07-07,2.44,2.688,2.375,2.375,6500,2.37
2000-07-10,2.375,2.375,2.25,2.25,3500,2.2
2000-07-11,2.375,2.375,2.375,2.375,2400,2.37
2000-07-12,2.469,2.469,2.469,2.469,100,2.46
2000-07-13,2.656,2.656,2.625,2.625,1300,2.62
2000-07-14,2.44,2.75,2.375,2.375,4900,2.37
2000-07-17,2.69,2.75,2.625,2.625,4700,2.62
2000-07-18,2.969,2.969,2.938,2.938,1800,2.93
2000-07-19,2.78,2.781,2.625,2.625,600,2.62
2000-07-21,2.88,2.969,2.75,2.75,1300,2.7
2000-07-24,2.625,2.813,2.625,2.813,300,2.81
2000-07-25,2.81,2.813,2.625,2.625,900,2.62
2000-07-26,2.625,2.625,2.625,2.625,1500,2.62
2000-07-27,2.625,2.75,2.625,2.625,5700,2.62
2000-07-28,2.625,2.625,2.625,2.625,600,2.62
2000-07-31,2.438,2.438,2.438,2.438,1300,2.43
2000-08-01,2.75,2.75,2.375,2.375,4100,2.37
2000-08-02,2.063,2.375,2.063,2.375,9800,2.37
2000-08-03,2.50,2.50,2.25,2.25,1300,2.2
2000-08-07,2.375,2.375,2.375,2.375,100,2.37
2000-08-08,2.375,2.375,2.375,2.375,400,2.37
2000-08-09,2.25,2.25,2.25,2.25,1000,2.2
2000-08-10,2.25,2.375,2.25,2.25,1000,2.2
2000-08-14,2.188,2.188,2.063,2.125,15800,2.12
2000-08-16,2.063,2.063,2.063,2.063,800,2.06
2000-08-17,2.25,2.313,2.25,2.313,3800,2.31
2000-08-18,2.219,2.219,2.219,2.219,200,2.21
2000-08-24,2.188,2.188,2.125,2.125,2100,2.12
2000-08-25,2.25,2.25,2.25,2.25,2100,2.2
2000-08-28,2.188,2.188,1.813,1.813,9900,1.81
2000-08-29,2.13,2.188,2.063,2.063,15000,2.06
2000-08-31,2.25,2.531,2.25,2.25,6400,2.2
2000-09-05,2.25,2.25,2.25,2.25,500,2.2
2000-09-06,2.25,2.25,2.25,2.25,500,2.2
2000-09-08,2.25,2.25,2.00,2.00,1600,2.0
2000-09-11,2.188,2.188,2.156,2.156,2700,2.15
2000-09-12,2.03,2.063,2.00,2.031,5900,2.03
2000-09-13,2.125,2.125,2.031,2.063,14900,2.06
2000-09-14,2.031,2.063,2.031,2.063,8100,2.06
2000-09-15,2.063,2.063,2.063,2.063,2200,2.06
2000-09-21,2.13,2.188,2.125,2.188,700,2.18
2000-09-22,2.09,2.125,2.063,2.125,16900,2.12
2000-09-27,2.19,2.563,2.031,2.375,12800,2.37
2000-09-28,2.34,2.50,2.125,2.50,4500,2.5
2000-10-02,2.44,2.563,2.125,2.125,12700,2.12
2000-10-03,2.125,2.125,2.063,2.063,2900,2.06
2000-10-04,2.188,2.188,2.063,2.063,3000,2.06
2000-10-05,2.063,2.063,2.063,2.063,600,2.06
2000-10-09,2.063,2.063,2.063,2.063,300,2.06
2000-10-10,2.31,2.438,2.188,2.188,8400,2.18
2000-10-12,2.50,2.50,2.156,2.156,500,2.15
2000-10-16,2.50,2.50,2.50,2.50,1100,2.5
2000-10-17,2.156,2.156,2.156,2.156,200,2.15
2000-10-18,2.13,2.313,2.125,2.188,3500,2.18
2000-10-19,2.13,2.375,2.125,2.188,1400,2.18
2000-10-20,2.125,2.125,2.125,2.125,500,2.12
2000-10-23,2.188,2.188,2.188,2.188,300,2.18
2000-10-24,2.438,2.438,2.438,2.438,3000,2.43
2000-10-25,2.25,2.25,2.125,2.125,7400,2.12
2000-10-27,2.125,2.125,2.125,2.125,4000,2.12
2000-10-30,2.34,2.375,2.313,2.313,2200,2.31
2000-11-01,2.344,2.563,2.344,2.563,7200,2.56
2000-11-02,2.75,2.875,2.25,2.875,11600,2.87
2000-11-03,2.875,2.875,2.50,2.50,900,2.5
