Date,Open,High,Low,Close,Volume,Adj Clos
2001-08-14,15.801,16.061,14.75,15.50,8507600,13.1611
2001-08-15,15.17,15.289,14.60,14.60,1535900,12.3969
2001-08-16,14.59,14.859,13.85,14.60,1601700,12.3969
2001-08-17,14.24,15.08,14.24,15.00,431100,12.7365
2001-08-20,14.90,15.43,14.561,15.301,451100,12.9921
2001-08-21,15.199,15.26,15.00,15.131,288700,12.847
2001-08-22,15.01,15.26,14.949,15.199,142900,12.9055
2001-08-23,15.00,15.20,15.00,15.15,181200,12.8639
2001-08-24,15.15,15.25,14.949,14.949,464100,12.6932
2001-08-27,14.961,15.119,14.85,15.02,431800,12.7535
2001-08-28,14.939,14.98,14.449,14.561,344600,12.3638
2001-08-29,14.561,14.721,14.50,14.65,302700,12.4393
2001-08-30,14.689,14.75,14.50,14.60,307700,12.3969
2001-08-31,14.60,14.74,14.00,14.449,259300,12.2687
2001-09-04,14.17,14.60,14.17,14.50,288000,12.3120
2001-09-05,14.32,14.70,14.32,14.70,205100,12.4818
2001-09-06,14.56,14.70,14.50,14.55,165700,12.3544
2001-09-07,14.52,14.75,14.21,14.60,130800,12.3969
2001-09-10,14.36,14.70,14.35,14.49,73200,12.3035
2001-09-11,14.49,14.49,14.49,14.49,000,12.3035
2001-09-12,14.49,14.49,14.49,14.49,000,12.3035
2001-09-13,14.49,14.49,14.49,14.49,000,12.3035
2001-09-14,14.49,14.49,14.49,14.49,000,12.3035
2001-09-17,11.891,13.301,10.25,13.10,1831800,11.1232
2001-09-18,13.199,14.199,13.10,14.00,696300,11.8874
2001-09-19,13.60,14.801,13.60,14.801,583700,12.5675
2001-09-20,14.109,14.949,13.961,14.65,708200,12.4393
2001-09-21,14.50,14.85,14.15,14.48,491500,12.2950
2001-09-24,14.35,15.00,13.85,14.99,311900,12.7280
2001-09-25,14.50,15.051,14.50,15.00,337300,12.7365
2001-09-26,14.50,14.85,13.90,13.90,374300,11.8025
2001-09-27,14.029,14.051,13.301,13.561,250300,11.514
2001-09-28,13.41,14.35,13.41,14.301,933100,12.1430
2001-10-01,14.051,14.90,13.40,14.90,289600,12.6516
2001-10-02,14.50,15.66,14.50,15.60,307200,13.2460
2001-10-03,15.59,16.25,15.15,15.961,1237900,13.5525
2001-10-04,16.15,16.15,15.699,15.85,767100,13.458
2001-10-05,15.75,15.811,15.42,15.42,242900,13.0931
2001-10-08,15.41,15.80,15.20,15.65,400200,13.2884
2001-10-09,15.80,17.00,15.70,16.99,738500,14.4262
2001-10-10,16.50,17.25,16.35,17.15,1010000,14.5621
2001-10-11,17.10,17.60,16.90,17.55,496700,14.9017
2001-10-12,17.48,17.48,17.08,17.35,385700,14.7319
2001-10-15,16.95,17.25,16.95,17.20,490700,14.604
2001-10-16,17.15,17.38,17.07,17.20,206700,14.604
2001-10-17,17.30,17.30,16.85,17.05,439000,14.4772
2001-10-18,16.95,17.00,15.76,16.20,78700,13.7554
2001-10-19,16.40,16.98,16.16,16.78,17200,14.2479
2001-10-22,16.70,17.00,16.69,16.89,181500,14.3413
2001-10-23,16.70,17.00,16.70,16.75,66600,14.222
2001-10-24,16.50,17.00,16.35,16.50,162700,14.0102
2001-10-25,16.50,16.75,16.47,16.65,66600,14.1375
2001-10-26,16.66,16.75,16.46,16.46,76100,13.9762
2001-10-29,17.09,17.10,16.50,16.65,115100,14.1375
2001-10-30,16.50,16.85,16.50,16.59,127700,14.0866
2001-10-31,16.74,16.75,16.50,16.50,118100,14.0102
2001-11-01,16.43,16.75,15.93,15.99,89700,13.5771
2001-11-02,15.99,16.35,15.75,15.85,131000,13.458
2001-11-05,15.80,17.00,15.40,16.80,196300,14.2649
2001-11-06,17.10,17.10,16.47,16.75,76600,14.222
2001-11-07,16.60,16.85,15.87,15.87,136700,13.4752
2001-11-08,15.86,16.40,15.86,16.25,53300,13.7979
2001-11-09,16.00,16.20,15.72,15.72,112500,13.3479
2001-11-12,16.05,16.05,15.25,15.39,100400,13.0677
2001-11-13,15.85,15.85,15.26,15.50,109300,13.1611
2001-11-14,15.45,16.60,15.41,16.60,541300,14.1133
2001-11-15,16.30,16.85,16.20,16.66,118600,14.1643
2001-11-16,16.50,16.75,16.45,16.61,69500,14.1218
2001-11-19,16.61,16.89,16.30,16.60,73400,14.1133
2001-11-20,16.28,16.80,15.84,16.00,41000,13.6032
2001-11-21,16.00,16.55,15.99,16.55,31800,14.0708
2001-11-23,16.65,17.00,16.65,16.81,83300,14.2918
2001-11-26,16.89,16.90,16.53,16.80,30200,14.2833
2001-11-27,16.79,17.00,16.75,16.80,169900,14.2833
2001-11-28,16.85,17.05,16.80,16.82,115300,14.3003
2001-11-29,16.81,16.93,16.75,16.75,39000,14.2408
2001-11-30,16.95,16.95,16.60,16.85,121700,14.3258
2001-12-03,16.70,16.85,16.70,16.80,19000,14.2833
2001-12-04,16.63,16.80,16.60,16.60,13900,14.1133
2001-12-05,16.53,16.87,15.60,16.60,110200,14.1133
2001-12-06,16.50,16.70,14.71,16.58,333700,14.0963
2001-12-07,16.58,16.58,16.39,16.45,21700,13.9858
2001-12-10,16.41,16.41,16.10,16.10,26100,13.6882
2001-12-11,16.26,16.30,15.95,15.95,29100,13.5607
2001-12-12,16.07,16.15,15.75,15.75,172100,13.3906
2001-12-13,15.76,16.04,15.58,15.58,161400,13.2461
2001-12-14,15.60,15.60,15.26,15.40,76100,13.093
2001-12-17,15.39,15.63,15.221,15.25,364600,12.9655
2001-12-18,15.35,15.50,15.25,15.27,156100,12.9825
2001-12-19,15.34,16.48,15.30,16.10,313900,13.6882
2001-12-20,15.81,16.10,15.28,15.65,87800,13.3056
2001-12-21,15.50,15.84,15.49,15.50,25700,13.1781
2001-12-24,15.73,15.99,15.62,15.76,10400,13.3991
2001-12-26,15.86,16.10,15.50,15.55,26000,13.2206
2001-12-27,15.81,15.81,15.36,15.80,13800,13.4331
2001-12-28,15.50,15.88,15.45,15.80,8800,13.4331
2001-12-31,15.90,15.96,15.50,15.66,34400,13.3141
2002-01-02,15.50,16.20,15.50,16.11,47200,13.6967
2002-01-03,16.10,16.15,15.71,15.85,138400,13.4756
2002-01-04,15.75,16.13,15.65,15.77,79400,13.4076
2002-01-07,15.70,15.89,15.45,15.51,41300,13.1866
2002-01-08,15.50,15.82,15.45,15.45,69000,13.1356
2002-01-09,15.40,16.20,15.25,15.35,244100,13.0505
2002-01-10,15.40,15.70,15.12,15.29,87500,12.9995
2002-01-11,15.21,15.75,15.21,15.50,153300,13.1781
2002-01-14,15.49,15.53,14.10,14.59,225100,12.4044
2002-01-15,14.84,15.24,14.84,15.00,84900,12.7530
2002-01-16,14.96,15.02,14.95,14.95,4100,12.7105
2002-01-17,14.90,15.14,14.90,15.10,382400,12.8380
2002-01-18,14.97,15.10,14.96,14.97,4300,12.7275
2002-01-22,14.10,14.45,13.58,14.00,103300,11.9028
2002-01-23,13.65,13.70,13.35,13.50,376600,11.4777
2002-01-24,13.69,14.42,13.59,14.30,97700,12.1578
2002-01-25,14.10,15.50,14.06,15.50,175600,13.1781
2002-01-28,15.89,16.70,15.85,16.25,190900,13.8157
2002-01-29,16.25,16.28,16.011,16.18,93400,13.7562
2002-01-30,16.26,16.50,16.08,16.50,82000,14.0283
2002-01-31,16.499,16.50,16.20,16.50,27600,14.0283
2002-02-01,16.485,16.70,16.42,16.57,36400,14.0878
2002-02-04,16.67,16.67,15.67,15.90,64800,13.518
2002-02-05,16.00,16.15,15.73,16.00,139500,13.6032
2002-02-06,15.70,16.00,14.43,14.90,108800,12.66
2002-02-07,15.00,15.20,14.80,15.10,74900,12.8380
2002-02-08,14.89,15.10,14.89,15.00,53400,12.7530
2002-02-11,15.00,15.00,14.51,14.84,589900,12.6169
2002-02-12,14.84,15.39,14.75,15.15,103600,12.8805
2002-02-13,15.09,16.45,15.09,16.20,322400,13.7732
2002-02-14,16.24,16.30,15.75,15.85,399900,13.4756
2002-02-15,16.00,16.00,15.50,15.80,225900,13.4331
2002-02-19,15.60,15.75,15.45,15.45,117600,13.1356
2002-02-20,15.45,15.45,14.93,14.95,706200,12.7269
2002-02-21,15.00,15.45,14.85,15.40,1085600,13.1100
2002-02-22,15.21,15.43,15.10,15.11,46500,12.8631
2002-02-25,15.22,15.45,15.15,15.15,223000,12.8972
2002-02-26,15.151,15.44,15.151,15.26,349400,12.9908
2002-02-27,15.35,15.75,15.32,15.55,176000,13.2377
2002-02-28,15.58,16.05,15.58,15.87,89100,13.5101
2002-03-01,16.19,16.90,16.01,16.60,287800,14.1316
2002-03-04,16.89,16.90,16.03,16.09,64800,13.6974
