Date,Open,High,Low,Close,Volume,Adj Clos
2004-07-19,14.00,14.00,14.00,14.00,2600,5.49722
2004-07-20,14.00,14.00,13.00,14.00,15800,5.49722
2004-07-21,14.00,14.00,14.00,14.00,000,5.49722
2004-07-22,14.15,14.15,14.15,14.15,400,5.55612
2004-07-23,14.15,14.15,14.15,14.15,1400,5.55612
2004-07-26,14.23,14.48,14.00,14.00,4200,5.49722
2004-07-27,13.90,13.90,13.65,13.65,7800,5.35979
2004-07-28,13.35,13.65,13.35,13.65,1200,5.35979
2004-07-29,13.65,13.65,13.65,13.65,000,5.35979
2004-07-30,13.55,13.55,12.51,12.75,10800,5.00640
2004-08-02,12.75,13.01,12.75,13.00,1800,5.1045
2004-08-03,13.45,13.45,13.45,13.45,1000,5.28126
2004-08-04,13.90,13.94,13.49,13.50,98800,5.300
2004-08-05,13.49,14.20,13.49,13.50,28200,5.300
2004-08-06,13.50,13.50,13.50,13.50,000,5.300
2004-08-09,14.20,14.69,14.20,14.69,1000,5.76816
2004-08-10,14.93,14.95,14.93,14.95,4600,5.87025
2004-08-11,14.70,14.75,13.90,14.00,6600,5.49722
2004-08-12,14.50,14.50,14.02,14.02,8200,5.50508
2004-08-13,14.08,14.08,14.01,14.01,3600,5.50115
2004-08-16,14.08,14.08,14.01,14.01,1800,5.50115
2004-08-17,14.58,14.58,14.58,14.58,400,5.72497
2004-08-18,14.10,14.10,13.52,13.75,35600,5.39906
2004-08-19,13.60,13.70,13.60,13.70,2200,5.37943
2004-08-20,13.59,13.70,13.59,13.70,2000,5.37943
2004-08-23,13.51,13.52,13.51,13.52,4200,5.30875
2004-08-24,13.60,13.66,13.53,13.53,7600,5.3126
2004-08-25,13.56,13.90,13.56,13.74,12000,5.39513
2004-08-26,14.00,14.10,13.85,14.00,13600,5.49722
2004-08-27,14.00,14.01,13.92,13.97,10600,5.4854
2004-08-30,13.97,13.97,13.97,13.97,000,5.4854
2004-08-31,14.00,14.00,13.85,13.85,3200,5.43833
2004-09-01,14.24,14.24,13.85,14.00,41200,5.49722
2004-09-02,14.00,14.01,13.96,14.00,18400,5.49722
2004-09-03,14.00,14.00,14.00,14.00,8200,5.49722
2004-09-07,14.00,14.00,14.00,14.00,11400,5.49722
2004-09-08,14.00,14.50,13.87,14.11,29200,5.54042
2004-09-09,14.10,14.50,14.10,14.20,4800,5.57576
2004-09-10,14.40,14.40,14.12,14.20,5200,5.57576
2004-09-13,14.20,14.25,14.20,14.25,400,5.59539
2004-09-14,14.14,14.25,14.14,14.24,12400,5.59146
2004-09-15,14.25,14.40,14.12,14.30,9800,5.61502
2004-09-16,14.17,14.25,14.11,14.13,15200,5.54827
2004-09-17,14.15,14.15,14.15,14.15,200,5.55612
2004-09-20,14.15,14.15,14.15,14.15,000,5.55612
2004-09-21,14.15,14.15,14.15,14.15,000,5.55612
2004-09-22,14.15,14.25,14.15,14.25,6600,5.59539
2004-09-23,14.25,14.25,14.21,14.21,2200,5.57968
2004-09-24,14.11,14.25,14.11,14.16,4800,5.56005
2004-09-27,14.16,14.16,14.12,14.12,4200,5.54434
2004-09-28,14.12,14.12,14.12,14.12,000,5.54434
2004-09-29,14.12,14.12,14.12,14.12,000,5.54434
2004-09-30,14.15,14.15,14.11,14.12,3000,5.54434
2004-10-01,14.11,14.11,14.11,14.11,1000,5.54042
2004-10-04,14.11,14.11,14.11,14.11,000,5.54042
2004-10-05,14.11,14.15,14.11,14.11,4600,5.54042
2004-10-06,14.65,14.65,14.12,14.12,1400,5.54434
2004-10-07,14.11,14.11,14.11,14.11,3200,5.54042
2004-10-08,14.11,14.14,14.11,14.14,2200,5.55220
2004-10-11,14.11,14.20,14.11,14.15,18600,5.55612
2004-10-12,14.25,14.25,14.15,14.15,3800,5.55612
2004-10-13,14.12,14.12,14.10,14.10,2800,5.53649
2004-10-14,14.10,14.10,14.01,14.01,6200,5.50115
2004-10-15,14.01,14.20,14.01,14.20,8200,5.57576
