Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,3.25,3.375,3.0625,3.1875,7600,24.70748
2000-01-04,3.0625,3.125,2.9375,3.00,5100,23.254
2000-01-05,2.9375,3.25,2.9375,3.125,6000,24.22302
2000-01-06,3.125,3.25,3.00,3.0625,3500,23.7385
2000-01-07,3.00,3.125,3.00,3.0625,1900,23.7385
2000-01-10,3.0625,3.125,3.0625,3.0625,2600,23.7385
2000-01-11,3.125,3.25,3.125,3.25,3600,25.19194
2000-01-12,3.25,3.25,3.0625,3.125,6700,24.22302
2000-01-13,3.25,3.3125,3.125,3.125,3700,24.22302
2000-01-14,3.25,3.3125,3.125,3.1875,3400,24.70748
2000-01-18,3.25,3.3125,3.1875,3.25,5500,25.19194
2000-01-19,3.3125,3.3125,3.1875,3.25,3700,25.19194
2000-01-20,3.25,3.25,2.9375,3.00,11500,23.254
2000-01-21,3.00,3.00,2.9375,2.9375,4200,22.76963
2000-01-24,3.00,3.0312,2.9375,3.00,12700,23.254
2000-01-25,3.00,3.00,2.875,2.875,15000,22.28517
2000-01-26,3.00,3.00,2.9375,2.9375,5300,22.76963
2000-01-27,3.00,3.00,2.8125,2.875,3900,22.28517
2000-01-28,2.9375,2.9375,2.75,2.8125,6500,21.80071
2000-01-31,2.9375,2.9375,2.75,2.75,8200,21.31625
2000-02-01,2.75,2.8125,2.6875,2.8125,12900,21.80071
2000-02-02,2.75,3.00,2.6875,2.875,23000,22.28517
2000-02-03,2.8125,3.00,2.8125,2.875,5500,22.28517
2000-02-04,2.8125,2.875,2.75,2.75,4000,21.31625
2000-02-07,2.9375,2.9375,2.6875,2.8125,14800,21.80071
2000-02-08,2.9375,3.0625,2.875,3.00,41300,23.254
2000-02-09,3.00,3.0625,2.9375,3.00,8500,23.254
2000-02-10,2.9375,3.00,2.875,2.875,6600,22.28517
2000-02-11,3.00,3.00,2.875,2.9375,36100,22.76963
2000-02-14,3.00,3.00,2.875,2.9375,5300,22.76963
2000-02-15,2.9375,3.00,2.9375,3.00,3100,23.254
2000-02-16,2.9375,3.00,2.875,2.9375,13000,22.76963
2000-02-17,2.8125,2.9375,2.75,2.8125,5600,21.80071
2000-02-18,2.875,2.875,2.75,2.8125,6200,21.80071
2000-02-22,2.8125,2.8125,2.625,2.625,9000,20.34733
2000-02-23,2.6875,2.6875,2.5625,2.5625,4700,19.86287
2000-02-24,2.6875,2.8125,2.625,2.6875,5300,20.83179
2000-02-25,2.6875,2.8125,2.50,2.50,4600,19.37841
2000-02-28,2.50,2.625,2.50,2.625,8400,20.34733
2000-02-29,2.50,2.625,2.375,2.4375,16600,18.89395
2000-03-01,2.50,3.25,2.25,2.75,21700,21.31625
2000-03-02,3.00,3.00,2.375,2.375,36600,18.40949
2000-03-03,2.50,2.6875,2.50,2.6875,15100,20.83179
2000-03-06,2.6875,2.75,2.50,2.5625,6000,20.23942
2000-03-07,2.625,2.625,2.50,2.50,7200,19.74577
2000-03-08,2.5625,2.5625,2.4375,2.50,5200,19.74577
2000-03-09,2.4375,2.5625,2.4375,2.5625,8800,20.23942
2000-03-10,2.4375,2.6875,2.4375,2.50,4600,19.74577
2000-03-13,2.50,2.50,2.4375,2.50,1500,19.74577
2000-03-14,2.50,2.5625,2.375,2.4375,5400,19.25213
2000-03-15,2.50,2.5625,2.4375,2.50,7400,19.74577
2000-03-16,2.5625,2.625,2.50,2.625,5900,20.73306
2000-03-17,2.50,2.6875,2.50,2.6875,9200,21.22671
2000-03-20,2.5625,2.6875,2.50,2.5625,3700,20.23942
2000-03-21,2.625,2.8125,2.5625,2.6875,16100,21.22671
2000-03-22,2.6875,2.75,2.625,2.75,5600,21.72035
2000-03-23,2.6875,2.75,2.625,2.625,4400,20.73306
2000-03-24,2.625,2.6875,2.5625,2.5625,3700,20.23942
2000-03-27,2.625,2.75,2.625,2.6875,17400,21.22671
2000-03-28,2.6875,2.75,2.3125,2.375,19600,18.7584
2000-03-29,2.4375,2.50,2.3125,2.375,3400,18.7584
2000-03-30,2.3125,2.4375,2.25,2.375,11400,18.7584
2000-03-31,2.50,2.50,2.375,2.375,3500,18.7584
2000-04-03,2.375,2.50,2.3125,2.50,14300,19.74577
2000-04-04,2.50,2.50,2.3125,2.4375,15400,19.25213
2000-04-05,2.4375,2.50,2.3125,2.4375,10200,19.25213
2000-04-06,2.375,2.4375,2.3125,2.375,4800,18.7584
2000-04-07,2.4375,2.4375,2.3125,2.3125,8700,18.26484
2000-04-10,2.3125,2.3125,2.3125,2.3125,2900,18.26484
2000-04-11,2.3125,2.375,2.3125,2.3125,12800,18.26484
2000-04-12,2.3125,2.4375,2.3125,2.375,15200,18.7584
2000-04-13,2.375,2.4375,2.3125,2.3125,5800,18.26484
2000-04-14,2.3125,2.375,2.3125,2.375,10500,18.7584
2000-04-17,2.3125,2.375,2.25,2.25,12200,17.77120
2000-04-18,2.3125,2.375,2.25,2.375,15800,18.7584
2000-04-19,2.375,2.375,2.1875,2.25,11700,17.77120
2000-04-20,2.25,2.3125,2.1875,2.1875,6000,17.27755
2000-04-24,2.25,2.25,2.00,2.00,30600,15.79662
2000-04-25,2.0625,2.0625,1.9375,2.00,21000,15.79662
