Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,8.25,8.25,8.25,8.25,400,3.88213
2000-01-04,8.25,8.25,8.25,8.25,000,3.88213
2000-01-05,8.625,9.00,8.625,8.6875,8000,4.0880
2000-01-06,8.6875,8.6875,8.6875,8.6875,000,4.0880
2000-01-07,8.625,8.625,7.625,7.9375,28700,3.73508
2000-01-10,7.8125,7.8125,7.75,7.75,5500,3.64685
2000-01-11,7.75,8.03125,7.75,8.03125,2300,3.77920
2000-01-12,8.375,8.375,8.375,8.375,1000,3.94095
2000-01-13,8.375,8.375,8.375,8.375,000,3.94095
2000-01-14,7.875,8.25,7.875,8.25,1800,3.88213
2000-01-18,8.125,8.125,8.00,8.00,1400,3.76449
2000-01-19,8.125,8.125,8.00,8.00,2500,3.76449
2000-01-20,7.875,7.875,7.875,7.875,1400,3.70567
2000-01-21,7.875,7.875,7.875,7.875,600,3.70567
2000-01-24,7.875,8.25,7.875,8.25,6200,3.88213
2000-01-25,8.25,8.25,8.25,8.25,000,3.88213
2000-01-26,8.00,8.00,8.00,8.00,2000,3.76449
2000-01-27,7.96875,7.96875,7.96875,7.96875,1600,3.74979
2000-01-28,7.96875,7.96875,7.96875,7.96875,000,3.74979
2000-01-31,8.00,8.00,8.00,8.00,2100,3.76449
2000-02-01,8.25,8.50,8.00,8.50,13200,3.99977
2000-02-02,8.00,8.00,8.00,8.00,1300,3.76449
2000-02-03,8.00,8.00,7.50,7.50,4500,3.52921
2000-02-04,7.75,7.75,7.375,7.375,1300,3.47039
2000-02-07,7.50,7.50,7.25,7.25,2300,3.41157
2000-02-08,7.25,7.25,7.25,7.25,4800,3.41157
2000-02-09,7.00,7.00,7.00,7.00,2400,3.29393
2000-02-10,7.00,7.9375,7.00,7.5625,13600,3.55862
2000-02-11,7.3125,8.00,7.3125,8.00,1800,3.76449
2000-02-14,7.75,7.75,7.75,7.75,2000,3.64685
2000-02-15,7.875,7.875,7.75,7.75,700,3.64685
2000-02-16,7.9375,7.9375,7.9375,7.9375,1300,3.73508
2000-02-17,7.75,7.75,7.75,7.75,3000,3.64685
2000-02-18,7.875,7.875,7.3125,7.3125,6300,3.44098
2000-02-22,7.3125,7.3125,7.3125,7.3125,300,3.44098
2000-02-23,7.3125,7.3125,7.3125,7.3125,000,3.44098
2000-02-24,7.3125,7.3125,7.3125,7.3125,300,3.44098
2000-02-25,7.3125,7.3125,7.3125,7.3125,000,3.44098
2000-02-28,7.3125,7.3125,7.125,7.125,3000,3.35275
2000-02-29,7.4375,7.4375,7.4375,7.4375,1000,3.49980
2000-03-01,7.00,7.00,7.00,7.00,1800,3.29393
2000-03-02,7.00,7.00,7.00,7.00,000,3.29393
2000-03-03,7.00,7.00,7.00,7.00,2700,3.29393
2000-03-06,7.00,7.00,7.00,7.00,3000,3.29393
2000-03-07,6.9375,6.9375,6.9375,6.9375,100,3.26452
2000-03-08,6.875,6.875,6.875,6.875,800,3.23511
2000-03-09,6.875,6.875,6.875,6.875,000,3.23511
2000-03-10,6.75,6.75,6.75,6.75,11500,3.17629
2000-03-13,6.75,7.09375,6.75,7.0625,6100,3.32334
2000-03-14,6.625,7.25,6.625,7.25,2000,3.41157
2000-03-15,7.00,7.00,6.98438,7.00,2300,3.29393
2000-03-16,6.96875,6.96875,6.96875,6.96875,1200,3.27923
2000-03-17,7.00,7.50,7.00,7.25,6600,3.41157
2000-03-20,7.00,7.00,7.00,7.00,600,3.29393
2000-03-21,7.00,7.00,7.00,7.00,000,3.29393
2000-03-22,7.00,7.00,7.00,7.00,000,3.29393
2000-03-23,7.00,7.00,7.00,7.00,000,3.29393
2000-03-24,6.75,6.75,6.75,6.75,1100,3.17629
2000-03-27,6.75,6.75,6.50,6.5625,5700,3.08806
2000-03-28,6.625,6.625,6.625,6.625,3000,3.11747
2000-03-29,6.50,6.50,6.25,6.25,3500,2.94101
2000-03-30,6.25,6.25,6.25,6.25,000,2.94101
2000-03-31,6.125,6.625,6.125,6.625,22400,3.11747
2000-04-03,6.625,6.875,6.50,6.625,28600,3.11747
2000-04-04,6.625,6.625,6.625,6.625,5800,3.11747
2000-04-05,6.625,6.625,6.625,6.625,5200,3.11747
2000-04-06,6.75,6.75,6.75,6.75,1100,3.17629
2000-04-07,6.64062,6.65625,6.64062,6.65625,9600,3.1321
2000-04-10,6.65625,6.65625,6.625,6.625,2300,3.11747
2000-04-11,6.625,6.625,6.625,6.625,1300,3.11747
2000-04-12,6.625,6.625,6.625,6.625,1300,3.11747
2000-04-13,6.625,6.65625,6.625,6.625,2400,3.11747
2000-04-14,6.625,6.625,6.50,6.50,37300,3.05865
2000-04-17,6.50,6.50,6.50,6.50,900,3.05865
2000-04-18,6.50,6.50,6.50,6.50,000,3.05865
2000-04-19,6.625,6.625,6.625,6.625,1000,3.11747
2000-04-20,6.625,6.625,6.625,6.625,000,3.11747
2000-04-24,6.625,6.625,6.625,6.625,700,3.11747
2000-04-25,6.625,6.625,6.625,6.625,000,3.11747
2000-04-26,6.65625,6.65625,6.625,6.625,1200,3.11747
2000-04-27,6.625,6.625,6.625,6.625,1000,3.11747
2000-04-28,6.625,6.625,6.625,6.625,500,3.11747
2000-05-01,6.5625,6.5625,6.5625,6.5625,1000,3.08806
2000-05-02,6.5625,6.5625,6.5625,6.5625,1500,3.08806
2000-05-03,6.75,6.75,6.5625,6.5625,7000,3.08806
2000-05-04,6.5625,6.5625,6.5625,6.5625,000,3.08806
2000-05-05,6.9375,7.00,6.9375,7.00,6600,3.29393
2000-05-08,7.00,7.00,7.00,7.00,000,3.29393
2000-05-09,7.50,7.50,7.50,7.50,2000,3.52921
2000-05-10,7.625,7.625,7.00,7.00,9500,3.29393
2000-05-11,6.75,6.75,6.75,6.75,500,3.17629
2000-05-12,6.75,6.75,6.75,6.75,000,3.17629
2000-05-15,7.00,7.00,7.00,7.00,6100,3.29393
2000-05-16,7.00,7.00,7.00,7.00,000,3.29393
2000-05-17,6.75,6.76562,6.75,6.76562,2400,3.18364
2000-05-18,7.00,7.00,7.00,7.00,400,3.29393
2000-05-19,7.00,7.00,7.00,7.00,000,3.29393
2000-05-22,7.00,7.00,7.00,7.00,000,3.29393
2000-05-23,7.00,7.00,7.00,7.00,000,3.29393
2000-05-24,7.00,7.00,7.00,7.00,700,3.29393
2000-05-25,7.50,7.75,7.50,7.75,4100,3.64685
2000-05-26,7.875,7.875,7.3125,7.3125,11200,3.44098
2000-05-30,7.3125,7.3125,7.3125,7.3125,000,3.44098
2000-05-31,7.4375,8.25,7.4375,7.4375,1300,3.49980
2000-06-01,7.4375,7.4375,7.4375,7.4375,000,3.49980
2000-06-02,7.4375,7.4375,7.4375,7.4375,1200,3.49980
2000-06-05,7.4375,7.4375,7.4375,7.4375,000,3.49980
2000-06-06,7.4375,7.4375,7.375,7.4375,20100,3.49980
2000-06-07,7.4375,7.4375,7.4375,7.4375,000,3.49980
2000-06-08,7.4375,7.4375,7.4375,7.4375,000,3.49980
2000-06-09,7.5625,7.5625,7.4375,7.4375,1200,3.49980
2000-06-12,7.4375,7.4375,7.4375,7.4375,000,3.49980
2000-06-13,7.4375,7.4375,7.4375,7.4375,000,3.49980
2000-06-14,7.4375,7.4375,7.4375,7.4375,000,3.49980
2000-06-15,7.4375,7.4375,7.4375,7.4375,000,3.49980
2000-06-16,8.03125,8.03125,7.8125,7.8125,1500,3.67626
2000-06-19,7.8125,7.8125,7.8125,7.8125,000,3.67626
2000-06-20,7.50,7.50,7.50,7.50,7900,3.52921
2000-06-21,7.50,7.50,7.25,7.25,32400,3.41157
2000-06-22,7.25,7.25,7.25,7.25,000,3.41157
2000-06-23,7.25,7.25,7.25,7.25,000,3.41157
2000-06-26,7.0625,7.0625,7.0625,7.0625,10000,3.32334
2000-06-27,7.03125,7.03125,7.03125,7.03125,500,3.30864
2000-06-28,7.03125,7.03125,7.00,7.00,12600,3.29393
2000-06-29,7.00,7.25,7.00,7.0625,8200,3.32334
2000-06-30,7.75,7.75,7.75,7.75,100,3.64685
2000-07-03,7.75,7.75,7.75,7.75,000,3.64685
2000-07-05,6.875,6.875,6.875,6.875,200,3.23511
2000-07-06,6.875,6.875,6.875,6.875,000,3.23511
2000-07-07,6.875,6.875,6.875,6.875,100,3.23511
2000-07-10,6.875,6.875,6.875,6.875,000,3.23511
2000-07-11,6.875,6.875,6.875,6.875,500,3.23511
2000-07-12,6.875,6.875,6.875,6.875,700,3.23511
2000-07-13,6.875,6.875,6.875,6.875,000,3.23511
2000-07-14,6.875,6.875,6.875,6.875,000,3.23511
2000-07-17,8.00,8.125,8.00,8.125,200,3.82331
2000-07-18,6.875,6.875,6.50,6.625,19900,3.11747
2000-07-19,6.8125,6.8125,6.375,6.375,1100,2.99983
2000-07-20,6.00,6.00,5.75,5.75,400,2.70573
2000-07-21,6.75,6.75,6.00,6.03125,7100,2.83807
2000-07-24,6.75,7.00,6.75,7.00,1700,3.29393
2000-07-25,7.00,7.00,7.00,7.00,000,3.29393
