Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,60.50,61.50,59.25,59.814,502600,14.3481
2000-01-04,59.26,60.75,56.938,58.25,71600,13.9730
2000-01-05,60.00,60.626,58.00,58.50,103200,14.0329
2000-01-06,58.00,59.00,57.75,58.75,230400,14.0929
2000-01-07,58.50,65.25,58.00,62.75,398000,15.0524
2000-01-10,64.25,64.25,61.50,62.126,178800,14.9027
2000-01-11,62.14,63.00,59.25,60.00,294600,14.3928
2000-01-12,59.88,61.50,58.25,60.25,621200,14.4527
2000-01-13,59.26,61.75,59.25,61.00,24000,14.6326
2000-01-14,61.126,61.126,59.25,61.126,23200,14.6629
2000-01-18,60.32,61.126,59.00,59.876,331000,14.3630
2000-01-19,59.38,61.376,59.376,61.064,236400,14.6480
2000-01-20,59.64,64.75,59.626,62.00,276000,14.8725
2000-01-21,60.88,63.50,60.064,63.50,102200,15.2323
2000-01-24,63.75,63.75,61.876,61.876,34200,14.8428
2000-01-25,61.82,64.00,61.064,64.00,58200,15.3523
2000-01-26,64.06,70.00,62.00,68.75,780000,16.4917
2000-01-27,71.00,74.75,69.00,71.00,337400,17.0314
2000-01-28,70.25,70.25,66.00,67.50,321200,16.1919
2000-01-31,67.50,68.50,65.00,68.126,89200,16.3420
2000-02-01,66.00,69.25,66.00,67.25,180200,16.1319
2000-02-02,67.564,73.25,67.564,72.50,359000,17.3913
2000-02-03,71.50,80.50,71.376,78.00,858800,18.7106
2000-02-04,79.06,82.064,73.97,77.50,545800,18.5907
2000-02-07,77.76,80.75,76.50,80.00,196800,19.1904
2000-02-08,78.32,85.00,78.314,85.00,241000,20.3898
2000-02-09,85.26,85.314,82.876,82.876,234200,19.8803
2000-02-10,83.04,85.626,73.00,85.00,513200,20.3898
2000-02-11,83.64,86.50,81.876,84.626,289600,20.300
2000-02-14,84.50,87.00,83.626,86.00,326400,20.6296
2000-02-15,85.50,86.25,83.75,84.376,94200,20.2401
2000-02-16,84.38,85.376,82.126,83.376,137000,20.0002
2000-02-17,82.00,89.00,82.00,87.50,259200,20.9895
2000-02-18,88.64,92.50,88.626,90.064,310600,21.6045
2000-02-22,91.76,91.814,87.50,91.00,263400,21.8290
2000-02-23,89.82,90.564,87.00,88.376,206800,21.1996
2000-02-24,88.88,91.00,87.50,90.75,329600,21.7691
2000-02-25,95.064,104.188,95.064,96.50,569600,23.1484
2000-02-28,96.76,109.876,96.75,109.00,412800,26.1469
2000-02-29,107.06,124.376,106.75,123.50,347600,29.625
2000-03-01,124.76,158.50,116.814,118.00,1072000,28.3058
2000-03-02,116.64,119.75,108.50,113.626,180400,27.2566
2000-03-03,119.70,131.00,115.25,117.126,177600,28.096
2000-03-06,120.00,122.00,115.00,115.626,188800,27.7363
2000-03-07,119.75,119.75,112.064,112.376,170000,26.9567
2000-03-08,116.94,117.626,111.876,117.626,80400,28.2161
2000-03-09,117.626,117.626,112.50,114.064,32200,27.3616
2000-03-10,114.04,114.438,110.00,110.064,89000,26.4021
2000-03-13,114.64,115.25,105.00,107.25,198800,25.7271
2000-03-14,109.20,109.25,72.064,101.50,342000,24.3478
2000-03-15,99.76,101.50,94.50,100.064,155600,24.0033
2000-03-16,96.00,101.532,85.064,97.126,223800,23.298
2000-03-17,92.064,103.50,92.064,100.97,160600,24.220
2000-03-20,102.00,103.25,88.25,96.00,187600,23.028
2000-03-21,97.00,100.25,90.00,97.50,325000,23.3883
2000-03-22,100.00,100.50,95.00,95.00,199400,22.7886
2000-03-23,100.00,100.00,93.25,93.25,275600,22.3688
2000-03-24,93.00,98.00,92.00,93.876,87000,22.5189
2000-03-27,96.00,96.00,87.00,87.00,196800,20.8695
2000-03-28,94.00,96.00,89.00,89.188,448800,21.3944
2000-03-29,95.00,95.00,86.25,86.75,136400,20.809
2000-03-30,86.76,92.00,82.00,82.50,230200,19.7901
2000-03-31,86.50,92.00,81.50,92.00,468000,22.0689
2000-04-03,91.688,91.688,81.00,81.75,220200,19.610
2000-04-04,81.50,84.50,79.00,82.50,154800,19.7901
2000-04-05,83.00,86.876,75.032,79.906,527000,19.1678
2000-04-06,82.50,86.25,78.50,78.50,249200,18.8305
2000-04-07,86.75,86.75,79.00,85.00,51400,20.3898
2000-04-10,77.50,85.50,72.376,76.00,194400,18.2308
2000-04-11,76.00,82.50,75.00,81.938,109000,19.655
2000-04-12,82.00,82.00,70.564,76.00,747600,18.2308
2000-04-13,74.00,81.938,74.00,79.25,60200,19.010
2000-04-14,79.00,86.188,79.00,81.75,613400,19.610
2000-04-17,80.26,85.50,80.25,85.126,69000,20.4200
2000-04-18,84.00,88.00,79.876,82.876,276400,19.8803
2000-04-19,85.00,90.50,84.25,89.25,250800,21.409
2000-04-20,88.14,105.00,88.126,93.626,255200,22.4590
2000-04-24,94.14,95.50,86.75,95.50,129800,22.9085
2000-04-25,95.76,104.00,94.876,101.50,215800,24.3478
2000-04-26,101.00,101.50,96.25,96.50,165000,23.1484
2000-04-27,97.00,100.25,96.00,100.25,114200,24.0479
2000-04-28,100.26,104.00,99.75,101.876,231400,24.4380
2000-05-01,105.00,106.00,102.25,105.126,255000,25.2176
2000-05-02,106.00,106.00,99.50,100.00,100600,23.9880
2000-05-03,99.76,100.626,97.25,100.25,151800,24.0479
2000-05-04,102.00,102.00,94.00,97.00,277000,23.2683
2000-05-05,99.00,99.938,98.00,99.00,104600,23.7481
2000-05-08,102.82,102.876,97.75,97.75,154000,23.4482
2000-05-09,97.50,97.688,93.00,95.75,59800,22.9685
2000-05-10,92.64,93.00,84.75,85.376,198200,20.4800
2000-05-11,86.00,87.50,83.376,85.126,95400,20.4200
2000-05-12,86.00,91.126,82.50,82.50,84600,19.7901
2000-05-15,84.938,84.938,77.75,78.126,359600,18.7408
2000-05-16,80.26,82.188,78.25,80.814,272800,19.3856
2000-05-17,80.82,84.626,80.626,84.064,267800,20.1652
2000-05-18,82.76,87.75,82.75,85.50,173800,20.5097
2000-05-19,84.00,86.126,84.00,86.126,247200,20.6599
2000-05-22,85.00,90.00,83.50,89.75,444000,21.5292
2000-05-23,86.44,88.75,85.50,86.688,271000,20.7947
2000-05-24,88.00,88.00,81.00,86.564,343800,20.7649
2000-05-25,90.00,95.00,87.126,87.376,412200,20.9597
2000-05-26,87.50,89.626,85.25,86.00,49800,20.6296
2000-05-30,88.00,88.876,86.25,88.626,103600,21.2596
2000-05-31,89.50,89.50,85.25,85.25,299000,20.4497
2000-06-01,85.25,85.25,78.75,80.688,330200,19.3554
2000-06-02,81.126,83.25,81.126,82.00,395600,19.6701
2000-06-05,82.28,84.626,82.00,84.626,246600,20.300
2000-06-06,84.00,85.00,78.938,79.376,258200,19.0407
2000-06-07,81.00,81.00,79.376,80.126,173000,19.2206
2000-06-08,81.00,81.00,79.00,79.564,168800,19.0858
2000-06-09,79.38,80.626,79.376,80.064,296800,19.2057
2000-06-12,80.376,80.376,72.25,73.00,368800,17.5112
2000-06-13,72.94,75.564,72.438,75.064,627000,18.0063
2000-06-14,76.62,77.00,73.064,73.50,707800,17.6311
2000-06-15,73.56,73.564,54.75,57.75,2596400,13.8530
2000-06-16,59.88,59.938,54.50,54.906,2433000,13.1708
2000-06-19,54.88,57.25,46.50,50.75,766600,12.1739
2000-06-20,51.44,51.50,42.376,46.00,1935000,11.0344
2000-06-21,46.56,53.50,46.50,53.25,2370200,12.7736
2000-06-22,54.06,57.688,51.75,53.564,971000,12.8489
2000-06-23,53.88,57.00,52.626,56.438,748400,13.5383
2000-06-26,57.00,60.376,56.75,58.00,705800,13.9130
2000-06-27,60.00,60.00,57.75,57.75,416600,13.8530
2000-06-28,58.44,58.50,54.50,55.064,337800,13.2087
2000-06-29,55.00,55.00,50.50,51.626,409600,12.3840
2000-06-30,52.64,55.25,52.438,53.25,931600,12.7736
2000-07-03,55.438,55.438,52.564,52.564,289000,12.6090
2000-07-05,26.13,26.75,23.875,26.438,421200,12.683
2000-07-06,27.63,37.50,27.594,35.938,3465200,17.2416
2000-07-07,33.63,41.938,32.75,39.813,1476900,19.100
2000-07-10,42.19,48.25,41.375,41.50,1890600,19.9100
2000-07-11,41.91,42.50,33.50,38.813,708000,18.6209
2000-07-12,38.69,41.25,38.50,40.063,531800,19.2206
2000-07-13,41.00,41.938,36.75,39.625,927200,19.010
2000-07-14,39.69,40.125,38.625,38.938,1060000,18.6809
2000-07-17,39.12,39.125,37.875,38.00,639200,18.2308
2000-07-18,39.12,39.125,37.75,37.938,1066700,18.2011
2000-07-19,37.88,38.00,36.00,37.00,723600,17.7511
2000-07-20,37.50,38.375,35.875,37.125,439300,17.811
2000-07-21,38.25,38.875,36.00,36.125,741100,17.3313
2000-07-24,35.31,37.50,35.188,35.25,824700,16.9115
2000-07-25,36.25,38.00,36.125,37.375,591200,17.9310
2000-07-26,37.50,39.25,37.375,38.688,260700,18.5609
2000-07-27,36.75,39.75,35.50,37.688,287000,18.0812
2000-07-28,37.50,37.656,36.50,37.188,216600,17.8413
2000-07-31,36.75,38.50,36.063,36.313,300600,17.4215
2000-08-01,36.69,37.625,36.125,36.625,285600,17.5712
2000-08-02,36.06,36.375,31.688,35.50,635000,17.0314
2000-08-03,34.938,34.938,33.00,34.063,492500,16.3420
2000-08-04,34.13,34.75,34.00,34.25,529600,16.4317
2000-08-07,34.06,36.875,34.00,34.938,219300,16.7618
2000-08-08,34.50,34.875,31.938,33.25,780300,15.9520
2000-08-09,33.13,34.875,33.00,33.563,325000,16.102
2000-08-10,34.50,34.50,32.531,34.00,241700,16.3118
2000-08-11,33.81,34.00,32.00,33.813,581700,16.2221
2000-08-14,32.25,34.00,32.25,33.50,194500,16.0719
2000-08-15,33.38,33.875,32.375,33.375,180000,16.01
2000-08-16,33.47,34.75,33.063,34.25,550800,16.4317
2000-08-17,35.00,38.00,34.50,36.75,518500,17.6311
2000-08-18,37.06,37.125,36.25,37.063,243300,17.7813
2000-08-21,36.88,40.50,36.50,38.00,248900,18.2308
2000-08-22,38.41,38.938,37.438,38.031,210300,18.2457
2000-08-23,39.25,40.563,38.875,40.563,402700,19.4605
2000-08-24,40.72,44.75,40.563,43.813,771800,21.0197
2000-08-25,43.63,43.75,40.00,40.125,114000,19.2503
2000-08-28,41.13,43.75,40.375,43.75,544700,20.9895
2000-08-29,43.31,45.75,42.688,45.25,316600,21.7091
2000-08-30,44.88,45.563,44.00,44.031,275900,21.1243
2000-08-31,44.00,45.313,43.875,44.50,338300,21.3493
2000-09-01,44.81,45.063,43.688,43.938,482400,21.0797
2000-09-05,43.94,44.688,42.625,42.813,266700,20.5399
2000-09-06,43.31,43.313,41.00,41.438,442100,19.8803
2000-09-07,42.00,43.813,41.438,42.438,69500,20.3600
2000-09-08,42.03,44.00,41.25,41.313,81600,19.8203
2000-09-11,41.13,41.875,39.75,41.75,274900,20.0299
2000-09-12,41.53,42.688,40.25,40.563,243800,19.4605
2000-09-13,40.28,40.375,35.125,36.438,365100,17.4815
2000-09-14,37.19,38.00,35.75,35.938,655300,17.2416
2000-09-15,35.91,35.938,30.375,30.875,1057000,14.812
2000-09-18,31.00,32.00,27.75,31.25,772500,14.9925
2000-09-19,31.25,32.25,30.25,31.875,427800,15.2923
2000-09-20,31.81,34.50,31.50,33.313,776000,15.9822
2000-09-21,32.97,33.00,30.375,30.875,436600,14.812
2000-09-22,30.44,31.75,19.00,22.50,7355500,10.7946
2000-09-25,23.44,23.938,20.125,21.75,3200000,10.4347
2000-09-26,22.125,22.125,17.563,19.875,3345700,9.5352
2000-09-27,19.13,19.313,18.625,18.75,882400,8.9955
2000-09-28,18.78,19.125,18.00,18.438,610200,8.8458
2000-09-29,18.19,19.75,18.188,19.438,596600,9.3255
2000-10-02,19.16,19.563,18.625,19.438,388200,9.3255
2000-10-03,19.56,19.625,18.875,18.875,655200,9.0554
2000-10-04,18.47,18.875,17.313,18.00,406500,8.6356
2000-10-05,17.88,19.438,17.813,18.125,268600,8.6956
2000-10-06,17.81,18.50,17.25,18.063,219200,8.6659
2000-10-09,17.78,17.813,16.25,16.875,358600,8.0959
2000-10-10,16.81,17.25,16.00,16.25,401400,7.7961
2000-10-11,16.47,16.625,16.00,16.375,541600,7.8560
2000-10-12,16.38,17.375,16.344,16.875,504300,8.0959
2000-10-13,13.69,16.625,12.25,15.50,2567000,7.4362
2000-10-16,15.50,17.00,15.375,15.438,847700,7.4065
2000-10-17,15.56,16.00,15.313,15.75,666100,7.5562
2000-10-18,15.13,17.125,14.625,15.938,903400,7.6464
2000-10-19,16.44,17.50,15.875,16.75,434900,8.0359
2000-10-20,17.00,18.50,15.75,18.313,822500,8.7858
2000-10-23,18.31,24.438,18.25,22.625,830700,10.8545
2000-10-24,22.38,23.25,21.875,22.063,415700,10.5849
2000-10-25,22.19,22.375,21.75,21.75,671600,10.4347
2000-10-26,21.88,22.75,20.875,21.375,376300,10.2548
2000-10-27,22.00,25.00,21.25,22.781,328700,10.9294
2000-10-30,21.53,22.875,21.50,22.188,586900,10.6449
2000-10-31,22.06,24.281,21.875,22.688,349600,10.884
2000-11-01,22.81,24.25,21.50,22.625,289300,10.8545
2000-11-02,22.88,24.50,22.375,23.813,301700,11.4245
2000-11-03,24.25,25.00,23.00,23.375,209200,11.214
2000-11-06,23.75,24.25,22.875,22.938,204600,11.0047
2000-11-07,23.19,23.469,22.563,23.00,297200,11.0344
2000-11-08,23.06,23.50,22.25,22.313,315700,10.7048
2000-11-09,22.375,22.375,20.375,21.25,296900,10.1949
2000-11-10,21.22,21.25,18.50,18.563,116100,8.9057
2000-11-13,19.94,20.375,18.375,19.25,134800,9.2353
2000-11-14,20.28,21.25,19.438,20.063,251800,9.6254
2000-11-15,19.31,20.00,18.50,19.50,150400,9.3553
2000-11-16,19.81,19.813,17.625,17.625,122300,8.4557
2000-11-17,19.50,19.75,17.125,18.563,238100,8.9057
2000-11-20,18.13,18.75,17.25,17.813,423700,8.5459
2000-11-21,18.00,18.125,17.75,18.125,388300,8.6956
2000-11-22,17.03,17.688,16.00,16.563,448100,7.9462
2000-11-24,16.84,17.688,16.25,16.75,78800,8.0359
2000-11-27,17.38,18.125,16.75,17.50,353700,8.3958
2000-11-28,16.88,19.75,16.75,19.00,429900,9.1154
2000-11-29,18.75,19.625,17.938,18.125,181200,8.6956
2000-11-30,17.69,18.00,15.75,16.25,894500,7.7961
2000-12-01,16.41,17.50,16.188,16.813,462500,8.0662
2000-12-04,17.16,18.125,16.75,17.156,436800,8.2307
2000-12-05,17.78,18.25,17.25,18.00,283800,8.6356
2000-12-06,18.44,18.50,17.25,17.375,401400,8.3358
2000-12-07,17.25,17.563,16.875,17.188,523300,8.2461
2000-12-08,17.00,17.625,16.25,16.438,515400,7.886
2000-12-11,17.19,17.25,16.813,16.938,446600,8.1261
2000-12-12,16.94,17.375,16.938,17.063,709300,8.1861
2000-12-13,17.44,18.125,17.375,17.438,425400,8.3660
2000-12-14,17.53,17.938,16.875,17.125,247100,8.215
2000-12-15,16.63,17.00,16.375,16.938,664100,8.1261
2000-12-18,19.00,19.50,16.25,16.375,385700,7.8560
2000-12-19,16.38,17.375,16.375,16.938,381700,8.1261
2000-12-20,18.06,18.375,17.625,18.00,2379600,8.6356
2000-12-21,17.00,17.75,17.00,17.25,416800,8.2758
2000-12-22,17.13,20.313,17.125,18.063,495900,8.6659
2000-12-26,17.94,19.50,17.938,18.813,170900,9.0257
2000-12-27,18.50,20.00,18.313,20.00,368800,9.5952
2000-12-28,20.25,21.25,19.75,21.00,432500,10.0749
2000-12-29,20.63,21.125,19.50,19.50,252300,9.3553
2001-01-02,19.50,20.00,18.063,18.125,90200,8.6956
2001-01-03,17.97,19.75,17.875,19.625,234500,9.415
2001-01-04,19.50,19.875,19.125,19.375,203600,9.2953
2001-01-05,19.313,19.375,17.563,19.375,190500,9.2953
2001-01-08,17.563,17.563,17.063,17.563,329600,8.4260
2001-01-09,17.016,17.438,17.016,17.438,109200,8.3660
2001-01-10,16.938,17.813,16.938,17.813,103700,8.5459
