Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,15.75,16.50,14.00004,16.437479,7225800,1.25963
2000-01-04,16.125,16.25004,14.25,15.93744,4262400,1.22131
2000-01-05,15.812521,16.37496,15.75,15.99996,3389000,1.22611
2000-01-06,15.87504,15.99996,15.56256,15.687479,2429000,1.20216
2000-01-07,15.87504,16.25004,15.50004,16.125,15549000,1.23569
2000-01-10,16.25004,17.00004,15.87504,16.937521,10950600,1.29795
2000-01-11,17.00004,18.24996,16.875,17.687521,10710600,1.35543
2000-01-12,17.25,17.25,16.37496,16.937521,2688200,1.29795
2000-01-13,16.875,17.25,16.50,17.12496,3267200,1.31232
2000-01-14,16.875,17.12496,16.68744,16.937521,2553800,1.29795
2000-01-18,17.00004,17.43744,16.937521,17.00004,2460800,1.30274
2000-01-19,17.12496,17.12496,16.68744,16.74996,3593600,1.28358
2000-01-20,16.62504,17.00004,15.62496,15.812521,5339600,1.21174
2000-01-21,15.781199,15.812521,14.87496,15.12504,11460400,1.15906
2000-01-24,15.031199,15.18744,14.75004,15.00,5056200,1.14948
2000-01-25,15.12504,15.12504,13.59372,14.49996,6113200,1.11116
2000-01-26,14.75004,16.50,14.49996,15.87504,11746000,1.21653
2000-01-27,17.25,17.625,16.25004,17.187479,9348400,1.31711
2000-01-28,16.74996,17.00004,16.125,16.37496,2914000,1.25484
2000-01-31,16.562521,16.62504,15.50004,15.62496,1468800,1.19737
2000-02-01,15.781199,17.49996,15.75,16.875,2315600,1.29316
2000-02-02,17.00004,17.687521,16.50,17.37504,6186800,1.33148
2000-02-03,17.43744,17.625,17.187479,17.562479,6501200,1.3458
2000-02-04,17.53128,17.562479,15.00,15.75,25299200,1.20695
2000-02-07,15.12504,15.312479,14.937479,15.00,10279600,1.14948
2000-02-08,15.12504,15.24996,14.25,14.75004,7245000,1.13032
2000-02-09,14.75004,14.937479,14.37504,14.53128,2530000,1.11356
2000-02-10,14.87496,14.87496,14.37504,14.43744,2599600,1.10637
2000-02-11,14.75004,15.00,14.562479,14.87496,1787600,1.13989
2000-02-14,14.87496,15.00,14.25,14.37504,2164400,1.10158
2000-02-15,14.562479,14.562479,14.00004,14.00004,2474800,1.07285
2000-02-16,14.37504,14.687521,14.00004,14.015639,2820400,1.07404
2000-02-17,14.37504,14.562479,14.00004,14.03124,2438400,1.07524
2000-02-18,14.25,14.49996,12.62496,13.50,5574600,1.03453
2000-02-22,13.50,13.812479,13.062479,13.37496,1397200,1.02495
2000-02-23,13.50,13.50,12.87504,13.062479,1273800,1.00100
2000-02-24,13.25004,13.25004,12.75,13.125,1603400,1.00579
2000-02-25,13.25004,13.25004,12.62496,12.75,2985600,0.97705
2000-02-28,12.687479,12.87504,12.50004,12.56256,2762800,0.96269
2000-02-29,12.50004,12.87504,12.50004,12.687479,2793600,0.97226
2000-03-01,12.87504,15.00,12.75,14.49996,16404400,1.11116
2000-03-02,14.78124,15.00,14.12496,14.49996,2438400,1.11116
2000-03-03,14.49996,15.062521,14.12496,14.81256,12320000,1.13511
2000-03-06,15.00,15.00,14.25,14.37504,2217800,1.10158
2000-03-07,14.49996,14.81256,13.187521,13.74996,2758400,1.05368
2000-03-08,13.74996,13.74996,13.1406,13.187521,1924400,1.01058
2000-03-09,13.50,14.43744,13.437479,14.43744,2037200,1.10637
2000-03-10,14.43744,14.81256,14.25,14.312521,5174400,1.09679
2000-03-13,14.49996,14.49996,13.50,13.562521,1632200,1.03932
2000-03-14,13.812479,14.06256,12.99996,13.875,2685000,1.0632
2000-03-15,14.00004,14.00004,12.812521,12.99996,7386800,0.99621
2000-03-16,13.74996,13.74996,12.93744,12.99996,2022600,0.99621
2000-03-17,12.87504,13.62504,12.87504,13.093801,3273600,1.00340
2000-03-20,13.25004,14.12496,13.156199,13.50,2267600,1.03453
2000-03-21,13.812479,14.00004,13.25004,13.437479,840400,1.02974
2000-03-22,13.62504,13.937521,13.31256,13.37496,1156400,1.02495
2000-03-23,13.31256,13.50,12.62496,12.87504,2265600,0.98664
2000-03-24,12.99996,13.62504,12.75,13.62504,4598600,1.04411
2000-03-27,13.37496,13.62504,13.125,13.125,2633600,1.00579
2000-03-28,13.25004,13.50,13.125,13.187521,1790800,1.01058
2000-03-29,13.25004,13.50,12.75,13.125,2230400,1.00579
2000-03-30,12.99996,12.99996,12.812521,12.87504,2664400,0.98664
2000-03-31,12.99996,12.99996,11.625,12.062521,5303600,0.92437
2000-04-03,12.15624,12.15624,10.62504,11.12496,5470000,0.85252
2000-04-04,11.12496,11.12496,10.25004,10.62504,7339600,0.81421
2000-04-05,10.37496,11.25,10.18752,10.68744,5208400,0.81900
2000-04-06,10.74996,11.37504,10.68744,11.06256,2582400,0.84774
2000-04-07,11.00004,11.06256,7.62504,8.06256,102558800,0.61785
2000-04-10,8.87496,8.87496,8.00004,8.06256,20695600,0.61785
2000-04-11,8.06256,8.12496,6.75,7.03128,7491200,0.53882
2000-04-12,7.18752,7.31256,6.31248,6.93744,9036800,0.53163
2000-04-13,7.06248,7.125,6.81252,6.87504,2665800,0.52684
2000-04-14,6.68748,6.75,6.375,6.50004,6372400,0.49811
2000-04-17,6.50004,6.56256,5.87496,6.375,13665200,0.4885
2000-04-18,6.31248,6.56256,6.00,6.31248,5312000,0.48373
2000-04-19,6.62496,6.68748,6.18744,6.21876,2793600,0.47655
2000-04-20,6.24996,6.68748,6.24996,6.68748,12741200,0.51247
2000-04-24,6.62496,6.75,6.31248,6.56256,3561800,0.50290
2000-04-25,6.68748,6.99996,6.24996,6.90624,31559600,0.5292
2000-04-26,7.06248,7.31256,6.65628,6.67188,5526600,0.5112
2000-04-27,6.75,6.7812,6.62496,6.75,5525200,0.51726
2000-04-28,6.96876,6.99996,6.12504,6.24996,9297200,0.47894
2000-05-01,6.50004,6.96876,6.24996,6.24996,12412800,0.47894
2000-05-02,6.56256,7.125,6.43752,6.81252,4435200,0.52205
2000-05-03,6.59376,6.75,6.46872,6.59376,3592400,0.50529
2000-05-04,6.62496,6.93744,6.62496,6.90624,1235400,0.5292
2000-05-05,6.87504,7.50,6.68748,7.37496,3276800,0.56515
2000-05-08,7.56252,8.12496,7.50,7.50,6435200,0.57474
2000-05-09,7.56252,7.875,7.06248,7.28124,2642000,0.55797
2000-05-10,5.75004,6.24996,5.49996,6.12504,23678800,0.46937
