Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,5.874986,5.874986,5.750017,5.750017,38600,0.52551
2000-01-04,5.687484,5.750017,5.687484,5.750017,7200,0.52551
2000-01-05,5.687484,5.874986,5.499983,5.750017,28800,0.52551
2000-01-06,5.874986,5.874986,5.437547,5.625048,58600,0.51409
2000-01-07,5.625048,5.874986,5.625048,5.750017,7200,0.52551
2000-01-10,5.874986,6.249989,5.750017,6.249989,81600,0.57120
2000-01-11,6.249989,6.500024,6.249989,6.437491,65000,0.58834
2000-01-12,6.500024,6.500024,6.249989,6.374958,50600,0.58262
2000-01-13,6.437491,6.500024,6.249989,6.437491,53000,0.58834
2000-01-14,6.500024,6.999995,6.500024,6.999995,98400,0.63975
2000-01-18,7.124964,7.374998,7.124964,7.374998,22600,0.67402
2000-01-19,7.625033,7.625033,7.499967,7.625033,61000,0.69687
2000-01-20,7.374998,7.499967,7.374998,7.499967,26600,0.68544
2000-01-21,7.499967,7.499967,7.374998,7.374998,31200,0.67402
2000-01-24,7.374998,7.374998,7.124964,7.124964,19400,0.65117
2000-01-25,6.999995,6.999995,6.249989,6.624992,348200,0.6054
2000-01-26,6.374958,6.624992,6.374958,6.624992,40800,0.6054
2000-01-27,6.749961,6.749961,6.624992,6.749961,9800,0.61690
2000-01-28,6.749961,6.875027,6.749961,6.875027,10600,0.62833
2000-01-31,6.875027,6.875027,6.500024,6.749961,53800,0.61690
2000-02-01,6.749961,6.749961,6.500024,6.624992,32200,0.6054
2000-02-02,6.500024,6.624992,6.374958,6.500024,15400,0.59405
2000-02-03,6.56246,6.624992,6.500024,6.624992,55400,0.6054
2000-02-04,6.749961,6.749961,6.749961,6.749961,10600,0.61690
2000-02-07,6.875027,6.875027,6.875027,6.875027,1000,0.62833
2000-02-08,6.999995,6.999995,6.999995,6.999995,19400,0.63975
2000-02-09,6.749961,6.999995,6.749961,6.875027,10600,0.62833
2000-02-10,6.999995,6.999995,6.999995,6.999995,1000,0.63975
2000-02-11,6.875027,7.124964,6.749961,7.124964,50400,0.65117
2000-02-14,7.124964,7.124964,7.124964,7.124964,15400,0.65117
2000-02-15,7.124964,7.25003,7.124964,7.25003,12000,0.66260
2000-02-16,7.124964,7.124964,7.124964,7.124964,13000,0.65117
2000-02-17,7.25003,7.25003,6.999995,7.25003,26600,0.66260
2000-02-18,6.999995,7.124964,6.999995,7.124964,5000,0.65117
2000-02-22,7.25003,7.25003,7.25003,7.25003,19200,0.66260
2000-02-23,7.124964,7.25003,7.124964,7.25003,21800,0.66260
2000-02-24,7.124964,7.25003,7.124964,7.187497,14600,0.65688
2000-02-25,6.999995,7.124964,6.999995,7.124964,12200,0.65117
2000-02-28,7.374998,7.374998,7.187497,7.25003,34600,0.66260
2000-02-29,7.124964,7.25003,6.999995,7.25003,33600,0.66260
2000-03-01,7.374998,7.374998,7.374998,7.374998,13000,0.67402
2000-03-02,7.374998,7.374998,7.374998,7.374998,000,0.67402
2000-03-03,7.437531,7.625033,7.437531,7.499967,93600,0.68544
2000-03-06,7.5625,8.125005,7.5625,8.000036,55400,0.7311
2000-03-07,8.000036,8.187538,8.000036,8.187538,52800,0.74828
2000-03-08,8.187538,8.37504,8.187538,8.37504,36200,0.76542
2000-03-09,8.37504,8.750043,8.125005,8.750043,177800,0.79969
2000-03-10,8.750043,8.750043,8.312507,8.312507,81800,0.75970
2000-03-13,8.062472,8.312507,8.062472,8.312507,44200,0.75970
2000-03-14,8.37504,8.37504,8.125005,8.37504,50400,0.76542
2000-03-15,8.500008,8.875012,8.37504,8.875012,110600,0.81111
2000-03-16,8.875012,9.250015,8.624977,9.250015,108200,0.8453
2000-03-17,9.499952,10.249958,9.499952,9.749987,117800,0.89108
2000-03-20,10.12499,10.375024,9.625018,9.625018,123400,0.87966
2000-03-21,9.499952,9.499952,9.250015,9.374984,31200,0.85681
2000-03-22,9.437516,9.437516,9.125046,9.125046,70600,0.83396
2000-03-23,9.125046,9.125046,8.999981,8.999981,19200,0.82253
2000-03-24,8.624977,9.062513,8.624977,9.062513,29000,0.82825
2000-03-27,9.312548,9.312548,8.999981,8.999981,44200,0.82253
2000-03-28,8.999981,8.999981,8.500008,8.500008,15400,0.77684
2000-03-29,7.625024,7.749984,7.625024,7.625024,10600,0.77967
2000-03-30,7.875032,7.875032,7.875032,7.875032,26600,0.80524
2000-03-31,7.875032,7.875032,7.749984,7.875032,12000,0.80524
2000-04-03,8.12504,8.12504,7.999992,7.999992,2600,0.8180
2000-04-04,7.749984,8.12504,7.749984,8.12504,14400,0.83080
2000-04-05,7.875032,8.25,7.875032,8.25,5800,0.84358
2000-04-06,8.25,8.37496,8.25,8.37496,1000,0.85636
2000-04-07,8.25,8.624968,8.25,8.624968,9800,0.88192
2000-04-10,8.25,8.500008,8.25,8.37496,21800,0.85636
2000-04-11,8.500008,8.624968,8.37496,8.624968,24200,0.88192
2000-04-12,8.750016,8.874976,8.624968,8.874976,31200,0.9074
2000-04-13,8.624968,8.874976,8.624968,8.750016,5800,0.89471
2000-04-14,8.624968,8.750016,8.624968,8.750016,5000,0.89471
2000-04-17,8.37496,9.000024,8.37496,9.000024,21600,0.92027
2000-04-18,8.750016,8.874976,8.624968,8.624968,26600,0.88192
2000-04-19,8.500008,8.500008,8.500008,8.500008,7200,0.86914
2000-04-20,8.37496,8.37496,8.37496,8.37496,4800,0.85636
2000-04-24,8.37496,8.37496,8.37496,8.37496,000,0.85636
2000-04-25,8.25,8.500008,8.25,8.500008,8200,0.86914
2000-04-26,8.25,8.624968,8.25,8.500008,40800,0.86914
2000-04-27,8.37496,8.500008,8.25,8.500008,13000,0.86914
2000-04-28,8.624968,8.874976,8.624968,8.874976,7200,0.9074
2000-05-01,9.000024,9.999969,9.000024,9.50004,73000,0.97140
2000-05-02,9.50004,9.74996,9.50004,9.50004,37000,0.97140
2000-05-03,9.50004,9.50004,9.000024,9.124984,31200,0.93305
2000-05-04,8.874976,9.000024,8.624968,9.000024,57600,0.92027
2000-05-05,9.000024,9.124984,9.000024,9.000024,37000,0.92027
2000-05-08,8.874976,9.124984,8.874976,9.124984,1000,0.93305
2000-05-09,9.000024,9.000024,8.750016,8.750016,5800,0.89471
2000-05-10,8.750016,9.000024,8.750016,8.874976,22600,0.9074
2000-05-11,8.750016,8.874976,8.500008,8.624968,31200,0.88192
2000-05-12,8.750016,8.750016,8.750016,8.750016,2400,0.89471
2000-05-15,8.500008,8.624968,8.37496,8.624968,14400,0.88192
2000-05-16,8.437528,8.437528,8.12504,8.37496,62600,0.85636
2000-05-17,8.25,8.37496,8.25,8.37496,5800,0.85636
2000-05-18,8.37496,8.37496,8.37496,8.37496,000,0.85636
2000-05-19,8.500008,8.500008,8.31248,8.500008,37000,0.86914
2000-05-22,8.500008,8.500008,8.500008,8.500008,000,0.86914
2000-05-23,8.37496,8.37496,8.25,8.25,9600,0.84358
2000-05-24,8.12504,8.12504,7.625024,7.875032,19200,0.80524
2000-05-25,7.999992,7.999992,7.999992,7.999992,3400,0.8180
2000-05-26,7.875032,8.12504,7.875032,8.12504,8200,0.83080
2000-05-30,8.12504,8.25,7.999992,8.25,48200,0.84358
2000-05-31,7.999992,8.12504,7.875032,7.875032,5800,0.80524
2000-06-01,7.999992,8.12504,7.875032,7.999992,17800,0.8180
2000-06-02,7.875032,7.875032,7.625024,7.625024,19400,0.77967
2000-06-05,7.375016,7.499976,7.249968,7.249968,24200,0.74132
2000-06-06,7.187488,7.375016,6.99996,7.375016,28800,0.75411
2000-06-07,7.499976,7.499976,7.375016,7.499976,3400,0.76689
2000-06-08,7.375016,7.625024,7.375016,7.625024,15400,0.77967
2000-06-09,7.749984,7.749984,7.749984,7.749984,200,0.79245
