Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,35.87499,36.00,35.18751,35.93751,46800,7.23086
2000-01-04,35.75001,36.12501,35.12499,35.31249,44600,7.10510
2000-01-05,35.31249,35.625,35.00001,35.37501,25200,7.11768
2000-01-06,35.31249,35.68749,35.0625,35.49999,25400,7.14283
2000-01-07,35.12499,35.68749,35.00001,35.68749,27200,7.1805
2000-01-10,35.93751,35.93751,35.625,35.68749,162000,7.1805
2000-01-11,35.8125,36.00,35.625,36.00,31400,7.24343
2000-01-12,35.93751,36.00,35.56251,35.56251,18200,7.15541
2000-01-13,35.31249,36.24999,35.31249,36.12501,36200,7.26859
2000-01-14,36.12501,36.12501,35.37501,35.75001,20000,7.19313
2000-01-18,35.87499,35.87499,35.37501,35.49999,24000,7.14283
2000-01-19,35.37501,35.4375,35.25,35.37501,11600,7.11768
2000-01-20,35.25,35.49999,35.25,35.49999,11400,7.14283
2000-01-21,35.37501,35.49999,35.37501,35.49999,25800,7.14283
2000-01-24,35.37501,35.68749,34.875,34.875,50000,7.01708
2000-01-25,34.875,34.875,34.06251,34.18749,30800,6.8787
2000-01-26,34.18749,34.18749,33.50001,33.68751,15200,6.77815
2000-01-27,33.68751,33.75,33.5625,33.5625,45000,6.75299
2000-01-28,33.5625,33.75,33.31251,33.68751,40400,6.77815
2000-01-31,33.5625,33.5625,33.12501,33.24999,54200,6.69011
2000-02-01,33.1875,33.375,33.1875,33.24999,24200,6.69011
2000-02-02,33.24999,33.375,33.12501,33.24999,33000,6.69011
2000-02-03,33.12501,33.1875,33.00,33.1875,37200,6.74243
2000-02-04,33.12501,33.12501,32.31249,32.68749,37200,6.64085
2000-02-07,32.68749,32.68749,31.93749,32.31249,49800,6.56466
2000-02-08,32.31249,32.49999,31.74999,31.93749,29000,6.48848
2000-02-09,31.81251,32.00001,31.3125,31.3125,24200,6.36150
2000-02-10,31.18749,31.50,30.81249,30.81249,20600,6.25992
2000-02-11,30.5625,30.5625,29.31249,29.31249,56400,5.95518
2000-02-14,29.31249,30.5625,29.18751,30.50001,43800,6.19644
2000-02-15,30.375,30.375,30.12501,30.12501,59600,6.12025
2000-02-16,30.06249,31.06251,29.49999,29.49999,52800,5.99327
2000-02-17,29.75001,30.00,29.4375,29.4375,43800,5.9805
2000-02-18,29.37501,29.37501,28.875,29.00001,22400,5.89169
2000-02-22,29.00001,29.00001,28.06251,28.125,31200,5.7139
2000-02-23,28.06251,28.06251,27.375,27.43749,21800,5.57425
2000-02-24,27.62499,28.06251,26.49999,26.49999,44400,5.3837
