Date,Open,High,Low,Close,Volume,Adj Clos
2003-07-01,25.50,26.40,25.00,25.549999,11648400,18.8371
2003-07-02,25.799999,25.799999,25.200001,25.40,1789400,18.7265
2003-07-03,25.299999,25.60,25.10,25.60,415700,18.87403
2003-07-07,25.48,26.10,25.35,25.799999,821100,19.02148
2003-07-08,25.75,25.969999,25.530001,25.889999,612400,19.08784
2003-07-09,25.889999,25.99,25.620001,25.700001,438500,18.94776
2003-07-10,25.65,25.73,25.00,25.35,1254400,18.68971
2003-07-11,25.27,25.75,25.200001,25.66,431300,18.9182
2003-07-14,25.50,26.200001,25.40,26.10,769400,19.24266
2003-07-15,26.00,27.75,25.950001,27.75,394600,20.45915
2003-07-16,27.50,27.50,26.10,26.10,569100,19.24266
2003-07-17,26.120001,26.120001,25.200001,25.549999,475500,18.8371
2003-07-18,25.620001,26.35,25.450001,25.879999,442600,19.08046
2003-07-21,25.90,26.530001,25.90,26.299999,242900,19.3901
2003-07-22,26.15,26.719999,25.99,26.530001,305000,19.55969
2003-07-23,26.530001,26.530001,25.49,25.49,1427500,18.79293
2003-07-24,25.690001,25.799999,25.50,25.65,554400,18.91089
2003-07-25,25.700001,26.389999,25.629999,26.379999,143300,19.44910
2003-07-28,26.379999,26.379999,26.00,26.129999,88500,19.26478
2003-07-29,26.200001,26.209999,25.77,25.85,214500,19.05835
2003-07-30,26.00,26.26,25.85,26.209999,207600,19.32376
2003-07-31,26.18,26.280001,26.049999,26.18,343800,19.30164
2003-08-01,26.10,26.10,25.50,25.50,440700,18.80030
2003-08-04,25.450001,25.450001,25.15,25.15,303900,18.54226
2003-08-05,25.15,25.60,25.10,25.40,413000,18.7265
2003-08-06,25.549999,26.129999,25.50,25.780001,393800,19.00674
2003-08-07,25.60,25.65,25.10,25.219999,789200,18.59387
2003-08-08,25.219999,25.23,24.65,25.15,383300,18.54226
2003-08-11,24.950001,25.030001,24.67,25.00,238300,18.43167
2003-08-12,25.35,25.35,24.99,25.01,297100,18.43904
2003-08-13,25.00,25.02,24.91,24.940001,160600,18.38743
2003-08-14,24.940001,24.950001,24.60,24.700001,167200,18.21049
2003-08-15,24.700001,24.799999,24.700001,24.700001,43900,18.21049
2003-08-18,24.700001,24.83,24.60,24.700001,126400,18.21049
2003-08-19,24.85,24.950001,24.40,24.700001,386700,18.21049
2003-08-20,24.77,24.77,24.50,24.65,330900,18.1736
2003-08-21,24.540001,24.700001,24.25,24.27,482700,17.89346
2003-08-22,24.27,24.27,23.309999,23.700001,671700,17.47322
2003-08-25,23.700001,24.389999,23.549999,24.299999,120700,17.91558
2003-08-26,24.450001,25.00,24.200001,24.719999,129800,18.22523
2003-08-27,24.76,25.200001,24.719999,25.01,187900,18.43904
2003-08-28,24.940001,25.00,24.43,24.43,66900,18.01143
2003-08-29,24.50,25.10,24.50,24.549999,117200,18.09990
2003-09-02,24.50,24.65,23.75,23.969999,247400,17.67228
2003-09-03,24.00,24.15,23.85,24.00,216600,17.69440
2003-09-04,23.90,24.00,23.25,23.42,334500,17.26679
2003-09-05,23.25,23.549999,23.10,23.450001,675700,17.28891
2003-09-08,23.530001,23.83,23.530001,23.799999,232600,17.54695
2003-09-09,23.799999,23.90,23.60,23.67,101100,17.45110
2003-09-10,23.67,24.00,23.65,23.68,81900,17.45848
2003-09-11,23.68,23.68,23.41,23.450001,164100,17.28891
2003-09-12,23.450001,23.450001,22.50,23.299999,398500,17.1783
2003-09-15,23.200001,23.200001,22.799999,23.10,304000,17.03086
2003-09-16,23.299999,24.049999,23.26,24.00,119400,17.69440
2003-09-17,24.00,24.65,24.00,24.309999,111400,17.92295
2003-09-18,24.309999,25.700001,23.90,25.549999,322600,18.8371
2003-09-19,25.60,25.75,25.40,25.50,272600,18.80030
2003-09-22,25.370001,25.700001,25.10,25.67,88100,18.92564
2003-09-23,25.52,25.52,24.799999,24.799999,31300,18.2842
2003-09-24,24.85,24.85,24.60,24.60,52700,18.13676
2003-09-25,24.40,24.719999,24.200001,24.700001,44800,18.21049
2003-09-26,24.82,25.43,24.40,24.40,121600,18.0404
2003-09-29,24.50,24.65,24.01,24.299999,64000,17.96650
2003-09-30,24.25,24.950001,24.200001,24.950001,43000,18.4470
2003-10-01,24.90,24.950001,24.450001,24.799999,54300,18.33618
2003-10-02,24.85,25.59,24.719999,25.49,61200,18.84634
2003-10-03,25.40,26.049999,25.299999,25.40,103400,18.77980
2003-10-06,25.40,25.65,25.40,25.60,15500,18.92767
2003-10-07,25.549999,26.00,25.50,25.85,84400,19.11251
2003-10-08,25.85,25.860001,25.549999,25.58,30000,18.91288
2003-10-09,25.65,26.049999,25.65,25.90,116800,19.14948
2003-10-10,25.90,26.299999,25.90,26.00,92300,19.2234
2003-10-13,25.77,25.780001,25.35,25.35,31700,18.74283
2003-10-14,25.299999,25.35,25.25,25.26,11700,18.67629
2003-10-15,25.27,25.280001,24.77,24.90,75700,18.41012
2003-10-16,24.85,24.90,24.200001,24.200001,114700,17.89256
2003-10-17,24.10,24.34,24.059999,24.25,114300,17.92953
2003-10-20,24.35,25.120001,24.35,25.10,57500,18.55799
2003-10-21,25.00,25.00,24.67,24.92,14100,18.42490
2003-10-22,25.00,25.00,24.799999,24.799999,95000,18.33618
2003-10-23,24.700001,24.799999,24.549999,24.73,24000,18.28442
2003-10-24,24.700001,24.700001,24.16,24.200001,39000,17.89256
2003-10-27,24.34,24.34,23.860001,23.93,85300,17.6929
2003-10-28,23.969999,23.98,23.50,23.959999,80700,17.7151
2003-10-29,23.969999,24.50,23.90,24.299999,172300,17.96650
2003-10-30,24.40,25.00,24.40,24.950001,195200,18.4470
2003-10-31,24.90,25.25,24.90,25.049999,42800,18.52102
2003-11-03,25.25,25.65,25.200001,25.50,135800,18.85373
2003-11-04,25.50,25.50,25.25,25.450001,43800,18.81677
2003-11-05,25.450001,25.85,25.299999,25.65,243400,18.96464
2003-11-06,26.40,27.700001,26.35,27.440001,395900,20.28810
2003-11-07,27.65,28.15,27.299999,27.299999,204000,20.1845
2003-11-10,26.75,26.83,26.50,26.51,66900,19.60049
2003-11-11,26.65,26.65,26.290001,26.450001,93800,19.55613
2003-11-12,26.299999,26.450001,26.10,26.450001,260300,19.55613
2003-11-13,26.35,26.60,26.299999,26.50,53300,19.59310
2003-11-14,26.549999,26.549999,26.049999,26.09,292800,19.28996
2003-11-17,26.200001,26.35,26.200001,26.34,45000,19.47480
2003-11-18,26.35,26.549999,26.299999,26.35,124500,19.48219
2003-11-19,26.35,26.629999,26.35,26.629999,53100,19.68921
2003-11-20,26.60,26.90,26.52,26.549999,16200,19.63006
2003-11-21,26.60,26.60,26.27,26.40,88600,19.51916
2003-11-24,26.40,27.450001,26.40,27.40,193900,20.25852
2003-11-25,27.450001,28.00,27.450001,28.00,172400,20.70214
2003-11-26,28.15,29.00,28.10,28.60,188400,21.14576
2003-11-28,28.58,28.60,28.42,28.549999,28000,21.10879
2003-12-01,28.65,28.700001,28.190001,28.40,26300,20.99788
2003-12-02,28.299999,28.32,27.90,27.90,61700,20.62820
2003-12-03,27.940001,28.49,27.879999,28.209999,77300,20.8574
2003-12-04,28.15,28.25,27.639999,27.65,178200,20.44336
2003-12-05,27.700001,27.700001,27.59,27.610001,269600,20.41379
2003-12-08,27.610001,27.66,27.540001,27.65,108200,20.44336
2003-12-09,27.85,27.950001,27.799999,27.799999,37100,20.55427
2003-12-10,27.700001,27.700001,27.00,27.17,255600,20.08847
2003-12-11,27.35,27.60,27.299999,27.50,57900,20.33246
2003-12-12,27.549999,27.60,27.50,27.60,5600,20.406
2003-12-15,27.60,27.75,27.50,27.50,43500,20.33246
2003-12-16,27.549999,27.74,27.50,27.65,101400,20.44336
2003-12-17,27.700001,27.700001,27.15,27.610001,53400,20.41379
2003-12-18,27.639999,28.00,27.57,27.940001,30400,20.65778
2003-12-19,28.00,28.02,27.799999,28.00,228100,20.70214
2003-12-22,27.90,28.50,27.90,28.459999,101300,21.0422
2003-12-23,28.309999,28.50,28.049999,28.200001,106000,20.85001
2003-12-24,28.17,28.469999,28.16,28.299999,6500,20.92395
2003-12-26,29.00,29.00,28.610001,28.799999,18500,21.29363
2003-12-29,28.780001,29.24,28.780001,29.24,235600,21.67162
2003-12-30,29.24,29.35,29.139999,29.27,117600,21.69386
2003-12-31,29.280001,29.42,29.209999,29.280001,42300,21.70127
2004-01-02,29.299999,29.620001,29.299999,29.620001,184400,21.9532
2004-01-05,30.15,30.40,30.10,30.18,309500,22.36832
2004-01-06,30.15,30.15,28.98,29.16,162300,21.61233
