Date,Open,High,Low,Close,Volume,Adj Clos
2001-08-06,0.22,0.22,0.215,0.22,6000,16.5
2001-08-07,0.22,0.22,0.215,0.22,6000,16.5
2001-08-08,0.22,0.22,0.215,0.22,6000,16.5
2001-08-09,0.18,0.18,0.18,0.18,100,13.5
2001-08-10,0.202,0.202,0.202,0.202,5000,15.1
2001-08-13,0.209,0.209,0.209,0.209,3000,15.67
2001-08-14,0.209,0.209,0.209,0.209,3000,15.67
2001-08-15,0.209,0.209,0.209,0.209,3000,15.67
2001-08-16,0.209,0.209,0.209,0.209,3000,15.67
2001-08-17,0.209,0.209,0.209,0.209,3000,15.67
2001-08-20,0.209,0.209,0.021,0.209,3000,15.67
2001-08-21,0.209,0.209,0.021,0.209,3000,15.67
2001-08-22,0.209,0.209,0.021,0.209,3000,15.67
2001-08-27,0.15,0.15,0.15,0.15,100,11.2
2001-08-28,0.15,0.15,0.15,0.15,100,11.2
2001-08-29,0.15,0.15,0.15,0.15,100,11.2
2001-08-30,0.15,0.15,0.15,0.15,100,11.2
2001-08-31,0.15,0.15,0.15,0.15,100,11.2
2001-09-04,0.15,0.15,0.15,0.15,100,11.2
2001-09-05,0.15,0.15,0.15,0.15,100,11.2
2001-09-06,0.15,0.15,0.15,0.15,100,11.2
2001-09-07,0.15,0.15,0.15,0.15,100,11.2
2001-09-10,0.15,0.205,0.15,0.15,35000,11.2
2001-09-11,0.15,0.205,0.15,0.15,35000,11.2
2001-09-12,0.15,0.205,0.15,0.15,35000,11.2
2001-09-13,0.15,0.205,0.15,0.15,35000,11.2
2001-09-14,0.15,0.205,0.15,0.15,35000,11.2
2001-09-18,0.18,0.20,0.18,0.18,600,13.5
2001-09-19,0.18,0.20,0.18,0.18,600,13.5
2001-09-20,0.20,0.20,0.18,0.18,600,13.5
2001-09-21,0.20,0.22,0.20,0.20,2600,15.0
2001-09-24,0.20,0.20,0.20,0.20,5000,15.0
2001-09-25,0.185,0.185,0.185,0.185,1000,13.87
2001-09-26,0.205,0.205,0.18,0.205,6500,15.37
2001-09-27,0.20,0.205,0.18,0.205,6500,15.37
2001-09-28,0.20,0.20,0.20,0.20,2500,15.0
2001-10-01,0.193,0.193,0.193,0.193,4400,14.47
2001-10-02,0.193,0.193,0.193,0.193,4400,14.47
2001-10-03,0.193,0.193,0.193,0.193,4400,14.47
2001-10-04,0.193,0.193,0.193,0.193,4400,14.47
2001-10-05,0.193,0.193,0.193,0.193,4400,14.47
2001-10-08,0.193,0.193,0.193,0.193,4400,14.47
2001-10-09,0.193,0.193,0.193,0.193,4400,14.47
2001-10-10,0.193,0.193,0.193,0.193,4400,14.47
2001-10-11,0.193,0.193,0.193,0.193,4400,14.47
2001-10-12,0.193,0.193,0.193,0.193,4400,14.47
2001-10-15,0.193,0.193,0.193,0.193,4400,14.47
2001-10-16,0.193,0.193,0.193,0.193,4400,14.47
2001-10-17,0.28,0.28,0.28,0.28,5000,21.0
2001-10-18,0.194,0.194,0.194,0.194,192500,14.5
2001-10-19,0.19,0.19,0.19,0.19,2000,14.2
2001-10-22,0.19,0.19,0.19,0.19,200,14.2
2001-10-23,0.17,0.17,0.17,0.17,1000,12.7
2001-10-24,0.17,0.17,0.17,0.17,1000,12.7
2001-10-25,0.16,0.16,0.16,0.16,1000,12.0
