Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,12.25,12.43752,12.06248,12.06248,121600,2.6229
2000-01-04,11.93752,12.06248,11.81248,12.00,33200,2.60940
2000-01-05,11.875,11.875,11.75,11.75,11600,2.55504
2000-01-06,11.68752,11.68752,11.50,11.625,12400,2.5278
2000-01-07,11.50,11.56248,11.125,11.56248,29600,2.51426
2000-01-10,11.56248,11.875,11.56248,11.75,7600,2.55504
2000-01-11,11.81248,11.81248,11.56248,11.68752,11200,2.54145
2000-01-12,11.56248,11.56248,10.68752,10.81248,48800,2.35117
2000-01-13,10.93752,11.25,10.93752,11.125,18000,2.41913
2000-01-14,11.25,11.25,11.00,11.00,7600,2.39195
2000-01-18,11.00,11.50,11.00,11.50,68400,2.50067
2000-01-19,11.375,11.56248,11.375,11.56248,44400,2.51426
2000-01-20,11.68752,11.68752,11.25,11.25,21600,2.44631
2000-01-21,11.25,11.25,10.875,10.875,78800,2.36477
2000-01-24,11.00,11.00,10.875,10.875,12400,2.36477
2000-01-25,11.00,11.00,10.68752,10.68752,53600,2.32400
2000-01-26,10.68752,10.81248,10.56248,10.625,24400,2.31040
2000-01-27,10.625,10.75,10.625,10.75,21200,2.33759
2000-01-28,10.875,10.93752,10.625,10.81248,32400,2.35117
2000-01-31,10.81248,10.81248,10.50,10.50,22800,2.28322
2000-02-01,10.50,10.625,10.375,10.56248,21200,2.29681
2000-02-02,10.50,10.50,10.43752,10.43752,6400,2.26964
2000-02-03,10.375,10.43752,10.375,10.375,12800,2.25604
2000-02-04,10.25,10.50,10.18752,10.31248,32400,2.24245
2000-02-07,10.25,10.75,10.25,10.75,204800,2.33759
2000-02-08,10.81248,11.00,10.81248,11.00,110400,2.39195
2000-02-09,11.125,11.125,10.625,10.625,35200,2.31040
2000-02-10,10.625,10.75,10.625,10.75,27600,2.33759
2000-02-11,10.625,10.625,10.375,10.50,7200,2.28322
2000-02-14,10.375,10.625,10.18752,10.625,36800,2.31040
2000-02-15,10.75,10.875,10.75,10.81248,6400,2.35117
2000-02-16,10.68752,11.06248,10.625,11.00,36800,2.39195
2000-02-17,11.00,11.00,10.56248,10.56248,58000,2.29681
2000-02-18,10.43752,10.43752,10.31248,10.43752,14800,2.26964
2000-02-22,10.375,10.375,10.125,10.125,17600,2.20168
2000-02-23,10.125,10.125,10.125,10.125,8000,2.20168
2000-02-24,10.125,10.625,10.00,10.625,51200,2.31040
2000-02-25,10.50,10.50,10.125,10.25,23200,2.22886
2000-02-28,10.375,10.43752,10.06248,10.06248,15200,2.18808
2000-02-29,10.25,10.375,10.06248,10.25,44800,2.22886
2000-03-01,10.25,10.625,10.25,10.43752,32000,2.26964
2000-03-02,10.50,12.00,10.50,11.75,91600,2.55504
2000-03-03,11.75,11.75,11.625,11.75,8800,2.55504
2000-03-06,11.625,11.75,11.56248,11.75,19600,2.55504
2000-03-07,11.68752,11.75,11.50,11.625,79600,2.5278
2000-03-08,11.56248,11.93752,11.50,11.75,46800,2.59069
2000-03-09,11.75,11.93752,11.75,11.93752,6400,2.63204
2000-03-10,11.81248,11.81248,11.68752,11.68752,8800,2.57692
2000-03-13,11.75,12.00,11.75,11.93752,30000,2.63204
2000-03-14,12.06248,12.06248,11.81248,11.81248,34000,2.60447
2000-03-15,11.81248,11.93752,11.81248,11.81248,7200,2.60447
2000-03-16,11.93752,11.93752,11.68752,11.93752,23600,2.63204
2000-03-17,11.81248,11.93752,11.81248,11.93752,7600,2.63204
2000-03-20,11.81248,11.93752,11.68752,11.81248,30000,2.60447
2000-03-21,11.93752,11.93752,11.75,11.75,13600,2.59069
2000-03-22,11.625,12.00,11.56248,11.93752,28800,2.63204
2000-03-23,11.81248,11.81248,11.68752,11.81248,15200,2.60447
2000-03-24,11.81248,11.81248,11.81248,11.81248,000,2.60447
2000-03-27,11.81248,11.81248,11.75,11.81248,4800,2.60447
2000-03-28,11.68752,11.81248,11.68752,11.81248,2400,2.60447
2000-03-29,11.68752,11.81248,11.68752,11.81248,5600,2.60447
2000-03-30,11.68752,11.75,11.625,11.625,51600,2.56313
2000-03-31,11.68752,11.81248,11.68752,11.81248,26800,2.60447
2000-04-03,11.875,11.875,11.625,11.68752,27200,2.57692
2000-04-04,11.81248,12.06248,11.75,12.06248,216800,2.65959
2000-04-05,12.06248,13.31248,12.06248,13.25,191600,2.92142
2000-04-06,13.125,14.25,13.125,13.75,291200,3.03166
2000-04-07,14.06248,14.75,13.875,13.93752,160800,3.07301
2000-04-10,14.31248,14.50,13.75,13.75,130000,3.03166
2000-04-11,13.625,13.81248,13.125,13.56248,104000,2.99032
2000-04-12,13.68752,13.68752,13.00,13.00,47200,2.86630
2000-04-13,13.00,13.00,12.625,12.625,50400,2.78362
2000-04-14,12.56248,13.00,12.56248,12.75,42000,2.81118
2000-04-17,12.875,12.93752,12.50,12.625,22400,2.78362
2000-04-18,12.56248,12.81248,12.375,12.68752,44800,2.79740
2000-04-19,12.56248,13.50,12.56248,13.06248,108800,2.8800
2000-04-20,13.06248,13.375,12.625,12.93752,39200,2.85252
2000-04-24,12.81248,13.18752,12.81248,13.06248,80800,2.8800
2000-04-25,13.18752,13.31248,13.00,13.125,110000,2.89386
2000-04-26,13.25,13.68752,13.125,13.625,48800,3.00410
2000-04-27,13.50,13.56248,13.375,13.43752,5200,2.96277
2000-04-28,13.50,13.625,13.50,13.625,16000,3.00410
2000-05-01,13.75,14.06248,13.625,13.75,72000,3.03166
2000-05-02,13.625,14.00,13.625,13.625,24400,3.00410
2000-05-03,13.50,13.75,13.375,13.75,24800,3.03166
2000-05-04,13.625,13.75,13.50,13.75,23200,3.03166
2000-05-05,13.625,13.81248,13.625,13.625,10800,3.00410
2000-05-08,13.50,13.75,13.375,13.50,37600,2.97654
2000-05-09,13.50,14.875,13.50,14.50,103600,3.19703
2000-05-10,14.375,14.50,13.875,14.125,65600,3.1143
2000-05-11,14.125,14.31248,14.06248,14.31248,24000,3.15568
2000-05-12,14.43752,14.43752,14.25,14.375,10800,3.16947
2000-05-15,14.43752,14.75,14.43752,14.75,46400,3.25215
2000-05-16,14.875,15.50,14.875,15.06248,145600,3.3210
2000-05-17,15.00,15.06248,14.68752,14.93752,66000,3.29349
2000-05-18,15.00,16.00,15.00,15.75,94400,3.47263
2000-05-19,15.375,15.875,15.375,15.56248,45200,3.43129
2000-05-22,15.56248,15.75,15.375,15.68752,88400,3.45886
2000-05-23,16.00,16.50,16.00,16.437519,166800,3.62422
2000-05-24,16.625,16.625,15.625,16.00,86000,3.52775
2000-05-25,15.75,15.75,15.50,15.68752,41200,3.45886
2000-05-26,15.50,15.75,15.25,15.75,103600,3.47263
2000-05-30,15.625,16.50,15.625,16.437519,72000,3.62422
2000-05-31,16.437519,16.437519,15.75,16.00,101200,3.52775
2000-06-01,15.875,15.875,15.75,15.75,15600,3.47263
2000-06-02,15.75,16.312481,15.75,16.00,57600,3.52775
2000-06-05,16.187519,18.25,16.062481,18.00,468400,3.96872
2000-06-06,18.00,18.625,17.75,17.75,446400,3.91360
2000-06-07,17.937519,17.937519,17.25,17.50,184800,3.85848
2000-06-08,17.75,17.875,17.25,17.25,74800,3.80336
2000-06-09,17.375,17.75,17.25,17.687519,108400,3.89983
2000-06-12,17.687519,18.312481,17.687519,17.875,243600,3.94116
2000-06-13,17.937519,17.937519,17.625,17.687519,39600,3.89983
2000-06-14,17.812481,18.00,17.625,18.00,226400,3.96872
2000-06-15,18.00,18.25,17.437519,18.00,133600,3.96872
2000-06-16,18.375,18.75,18.062481,18.687519,254800,4.12031
2000-06-19,19.375,20.50,19.125,20.312481,629600,4.47859
2000-06-20,22.00,22.937519,21.00,21.75,1294800,4.79554
2000-06-21,21.625,21.625,19.00,20.00,1158400,4.40969
2000-06-22,19.75,20.00,16.75,17.50,806000,3.85848
2000-06-23,17.25,17.625,15.625,16.125,756400,3.5553
2000-06-26,16.062481,17.937519,16.062481,17.875,392400,3.94116
2000-06-27,17.937519,18.50,17.437519,17.625,280400,3.88604
2000-06-28,17.875,18.312481,17.625,17.625,146400,3.88604
2000-06-29,17.75,17.75,17.25,17.375,91600,3.83092
2000-06-30,17.25,17.25,16.062481,16.25,218000,3.5828
2000-07-03,16.00,16.50,16.00,16.437519,122400,3.62422
2000-07-05,16.00,16.125,15.75,15.93752,240800,3.51398
2000-07-06,16.00,16.125,15.75,15.93752,134800,3.51398
2000-07-07,16.125,16.437519,16.062481,16.25,120400,3.5828
