Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,78.749999,78.937494,67.375004,72.000008,4674400,46.3546
2000-01-04,68.125003,68.875002,64.750005,66.499996,4765100,42.81368
2000-01-05,66.250003,66.499996,60.312503,62.374999,5758600,40.15794
2000-01-06,61.625,62.000002,58.124998,59.999992,2534400,38.62888
2000-01-07,59.062492,65.937493,59.000006,64.999998,2819600,41.8479
2000-01-10,68.999996,69.625001,67.5625,68.937505,2148400,44.38298
2000-01-11,68.937505,68.937505,66.437504,68.000004,1856000,43.77940
2000-01-12,68.000004,68.000004,64.062498,66.625005,1429900,42.89416
2000-01-13,68.375007,69.812497,66.00,67.625008,1134300,43.5379
2000-01-14,67.000002,69.374993,67.000002,68.375007,1316900,44.02084
2000-01-18,68.624994,72.875,68.125003,71.499996,2101800,46.03275
2000-01-19,72.000008,72.000008,69.812497,69.999998,2624900,45.06703
2000-01-20,70.749997,70.874991,67.499998,68.125003,2007900,43.85988
2000-01-21,69.125006,69.374993,66.437504,68.750003,1918300,44.26226
2000-01-24,68.50,71.812507,68.000004,68.50,2095900,44.10131
2000-01-25,68.750003,69.625001,66.437504,67.687499,1153800,43.57821
2000-01-26,67.937502,69.249999,67.874995,68.312499,1022400,43.98059
2000-01-27,69.875005,70.499994,67.249995,68.437498,868600,44.06107
2000-01-28,69.500002,69.500002,67.437507,68.062496,1609200,43.81964
2000-01-31,67.5625,67.625008,64.750005,66.187501,1040400,42.61249
2000-02-01,66.250003,72.000008,66.250003,71.00,1404300,45.71085
2000-02-02,71.874998,76.500002,71.562504,76.500002,1945200,49.25183
2000-02-03,75.1875,77.749996,73.812501,77.749996,1779500,50.05659
2000-02-04,77.749996,77.749996,75.000004,76.249993,1145700,49.09087
2000-02-07,77.687505,80.000004,76.249993,79.499998,1274300,51.18327
2000-02-08,80.750003,82.187499,78.250003,79.000002,1169700,50.8613
2000-02-09,77.624997,78.687507,75.687495,75.750003,1182800,48.76897
2000-02-10,76.999992,78.812501,75.312498,76.687497,1066800,49.37254
2000-02-11,76.500002,76.812496,74.812503,75.375001,751700,48.52754
2000-02-14,75.250007,76.937506,74.812503,76.437494,837700,49.2115
2000-02-15,76.562504,83.00,76.562504,81.875004,2017600,52.71233
2000-02-16,80.000004,81.875004,79.374999,80.999996,1801700,52.14899
2000-02-17,80.999996,97.000009,77.624997,97.000009,944900,62.45004
2000-02-18,88.500001,95.874992,88.062497,93.750005,4060100,60.3576
2000-02-22,96.000007,97.375011,89.999994,91.499992,2228000,58.90904
2000-02-23,91.625007,100.500001,91.625007,99.000003,1690000,63.73766
2000-02-24,101.375009,115.437499,100.500001,106.74999,2956400,68.72722
2000-02-25,103.375003,113.937501,103.249999,108.124995,2048200,69.61247
2000-02-28,108.124995,109.18751,98.249999,101.000007,1675400,65.02529
