Date,Open,High,Low,Close,Volume,Adj Clos
2000-02-11,15.00,15.50,13.875,14.125,7089100,11.17453
2000-02-14,14.125,14.125,13.375,13.50,846200,10.68008
2000-02-15,13.50,13.5625,13.00,13.125,602500,10.38341
2000-02-16,13.125,14.00,13.125,13.3125,182300,10.53175
2000-02-17,13.3125,14.00,13.00,13.00,300800,10.28452
2000-02-18,13.00,13.125,11.9375,12.125,272700,9.59230
2000-02-22,12.125,12.25,11.75,11.875,451500,9.39452
2000-02-23,11.875,13.00,11.875,12.8125,181000,10.13619
2000-02-24,12.875,13.50,12.50,12.625,74400,9.9878
2000-02-25,12.625,13.0625,12.25,13.00,151400,10.28452
2000-02-28,13.00,13.00,12.25,12.25,162600,9.69119
2000-02-29,12.25,12.4375,12.00,12.00,152800,9.49341
2000-03-01,12.75,12.75,11.875,12.0625,112300,9.54285
2000-03-02,12.09375,13.625,12.00,12.875,120600,10.18563
2000-03-03,13.375,13.375,12.25,12.4375,73100,9.83952
2000-03-06,12.25,13.25,12.25,13.1875,59700,10.43286
2000-03-07,13.0625,13.625,12.75,12.875,64400,10.18563
2000-03-08,13.625,13.625,12.125,12.50,111900,9.8889
2000-03-09,13.00,13.00,12.375,12.625,30700,9.9878
2000-03-10,12.375,12.50,12.25,12.25,31200,9.69119
2000-03-13,12.375,12.4375,12.00,12.1875,37000,9.64174
2000-03-14,12.25,12.50,11.75,12.125,59200,9.59230
2000-03-15,11.8125,12.125,11.5625,11.625,153600,9.19674
2000-03-16,11.625,11.875,11.00,11.00,402800,8.70229
2000-03-17,11.375,11.75,11.375,11.50,346800,9.09785
2000-03-20,11.4375,12.25,11.375,12.25,43500,9.69119
2000-03-21,12.125,12.3125,11.875,11.875,30600,9.39452
2000-03-22,12.125,12.125,11.875,11.875,45300,9.39452
2000-03-23,11.875,12.6875,11.875,12.50,147300,9.8889
2000-03-24,12.25,12.50,11.50,12.125,87700,9.59230
2000-03-27,12.125,12.125,11.6875,11.6875,34000,9.24618
2000-03-28,11.6875,12.125,11.6875,11.75,82100,9.29563
2000-03-29,11.6875,11.75,11.00,11.00,105100,8.70229
2000-03-30,11.00,11.5625,10.00,10.5625,1494800,8.3561
2000-03-31,10.00,10.50,8.125,9.25,435700,7.31783
2000-04-03,9.25,10.875,9.1875,10.375,46300,8.20784
2000-04-04,10.375,11.00,9.00,9.00,71500,7.12005
2000-04-05,9.00,9.625,8.75,8.8125,14700,6.97172
2000-04-06,8.8125,9.125,8.625,8.75,41400,6.92227
2000-04-07,8.75,9.375,8.75,9.0625,11900,7.16950
2000-04-10,9.00,9.125,9.00,9.125,17800,7.21894
2000-04-11,9.00,9.00,8.375,8.50,19000,6.724
2000-04-12,8.375,8.6875,8.375,8.50,72900,6.724
2000-04-13,8.50,9.5625,8.50,8.875,96100,7.02116
2000-04-14,9.00,9.00,7.75,7.75,245800,6.13116
2000-04-17,8.0625,8.25,8.00,8.00,93700,6.32894
2000-04-18,8.1875,8.1875,8.00,8.00,58100,6.32894
2000-04-19,8.125,8.375,7.9375,8.0625,282400,6.37838
2000-04-20,8.0625,8.25,7.875,8.25,1626500,6.5267
2000-04-24,8.125,8.5625,8.00,8.125,141700,6.42783
2000-04-25,8.125,9.00,8.125,8.625,19200,6.82338
2000-04-26,9.00,9.125,8.625,8.75,22700,6.92227
2000-04-27,9.09375,9.09375,8.50,8.75,12900,6.92227
2000-04-28,8.50,9.50,8.50,9.00,9000,7.12005
2000-05-01,9.25,9.25,8.75,9.125,33300,7.21894
2000-05-02,9.125,10.00,9.125,9.9375,73400,7.86173
2000-05-03,9.875,9.875,9.625,9.75,146900,7.71339
2000-05-04,10.0625,10.0625,9.50,9.6875,97100,7.66395
2000-05-05,9.625,10.875,9.625,10.8125,27200,8.55395
2000-05-08,10.50,11.50,10.50,11.125,9900,8.80118
2000-05-09,11.25,11.50,10.75,11.00,16300,8.70229
2000-05-10,10.75,10.75,9.75,10.00,21300,7.91117
2000-05-11,10.125,10.625,9.875,9.875,9400,7.81228
2000-05-12,10.00,10.25,10.00,10.00,6100,7.91117
2000-05-15,10.25,11.25,10.25,10.625,13900,8.40562
2000-05-16,10.75,11.00,10.50,10.50,33300,8.30673
2000-05-17,10.375,11.00,10.375,11.00,4200,8.70229
2000-05-18,10.75,10.875,10.625,10.8125,9200,8.55395
2000-05-19,10.625,10.625,9.75,10.1875,11700,8.05951
2000-05-22,10.125,10.125,9.875,10.0625,22000,7.96062
2000-05-23,9.875,10.01562,9.875,10.00,11200,7.91117
2000-05-24,10.00,10.00,9.625,9.625,41200,7.61450
2000-05-25,9.875,10.125,9.75,9.75,2500,7.71339
2000-05-26,9.625,10.00,9.625,9.75,47800,7.71339
2000-05-30,10.25,11.125,10.00,10.375,30300,8.20784
2000-05-31,10.75,11.00,10.125,10.125,26000,8.01006
2000-06-01,10.125,11.25,10.125,11.125,74300,8.80118
2000-06-02,11.50,13.375,11.50,12.50,266800,9.8889
2000-06-05,12.875,13.50,12.50,12.625,41100,9.9878
2000-06-06,12.625,13.0625,12.625,13.00,99300,10.28452
2000-06-07,12.875,13.875,12.875,13.50,130100,10.68008
2000-06-08,13.875,13.875,13.50,13.50,12900,10.68008
2000-06-09,13.125,13.25,12.0625,12.625,19100,9.9878
2000-06-12,13.00,14.00,13.00,13.375,58600,10.58119
2000-06-13,13.125,13.50,12.75,13.1875,14200,10.43286
2000-06-14,13.25,13.75,13.00,13.00,19200,10.28452
2000-06-15,12.875,12.875,12.4375,12.78125,7700,10.11147
2000-06-16,12.875,13.125,12.50,12.96875,11000,10.25980
2000-06-19,12.50,13.50,12.50,13.375,10100,10.58119
2000-06-20,13.1875,14.125,13.1875,13.75,25000,10.87786
2000-06-21,13.50,13.50,12.9375,13.50,18200,10.68008
2000-06-22,13.125,14.00,13.125,14.00,19600,11.07564
2000-06-23,13.375,13.98438,13.125,13.6875,28900,10.82842
2000-06-26,13.875,14.00,13.625,13.875,29800,10.97675
2000-06-27,13.9375,13.9375,13.625,13.875,20300,10.97675
2000-06-28,13.9375,14.0625,13.875,13.875,62000,10.97675
2000-06-29,13.875,16.625,13.1875,14.75,487000,11.66898
2000-06-30,14.75,15.4375,13.625,13.625,322800,10.77897
2000-07-03,13.625,13.875,13.03125,13.375,28600,10.58119
2000-07-05,13.375,13.6875,13.375,13.50,57900,10.68008
2000-07-06,13.625,13.625,13.125,13.25,14700,10.48230
2000-07-07,13.25,14.0625,13.1875,13.75,15500,10.87786
2000-07-10,13.50,14.00,13.50,13.625,3000,10.77897
2000-07-11,13.625,14.375,13.625,14.375,22600,11.37231
2000-07-12,13.8125,14.3125,13.8125,14.125,36100,11.17453
2000-07-13,14.00,14.0625,13.50,14.00,5800,11.07564
2000-07-14,13.6875,13.875,13.6875,13.875,48300,10.97675
2000-07-17,13.6875,14.3125,13.6875,14.3125,11600,11.32287
2000-07-18,13.875,14.25,13.875,14.00,12400,11.07564
2000-07-19,14.00,14.00,13.6875,13.875,10800,10.97675
2000-07-20,13.6875,14.1875,13.6875,14.1875,3900,11.22398
2000-07-21,13.6875,13.6875,13.6875,13.6875,3200,10.82842
2000-07-24,13.79688,13.90625,13.625,13.6875,14800,10.82842
2000-07-25,13.6875,14.125,13.6875,14.125,20700,11.17453
2000-07-26,13.6875,14.3125,13.6875,14.3125,38600,11.32287
2000-07-27,13.9375,15.0625,13.9375,15.00,37100,11.86676
2000-07-28,15.00,15.50,14.9375,15.125,42700,11.96565
2000-07-31,15.00,15.50,14.8125,15.375,36900,12.16343
2000-08-01,15.125,15.4375,15.0625,15.4375,9400,12.21287
2000-08-02,15.3125,15.375,15.0625,15.25,25700,12.06454
2000-08-03,15.0625,15.50,15.00,15.0625,12900,11.91620
2000-08-04,15.0625,15.50,15.00,15.125,39400,11.96565
2000-08-07,15.125,15.50,14.875,15.4375,12000,12.21287
2000-08-08,15.28125,15.50,15.125,15.50,6500,12.26232
2000-08-09,15.125,15.75,15.125,15.50,31900,12.26232
2000-08-10,15.4375,15.875,15.3125,15.75,16000,12.46010
2000-08-11,15.625,16.25,15.625,15.8125,62200,12.50954
2000-08-14,15.8125,15.8125,15.25,15.25,15500,12.06454
2000-08-15,15.25,15.3125,13.875,14.00,12300,11.07564
2000-08-16,13.875,14.00,12.125,12.50,37000,9.8889
2000-08-17,12.875,14.00,12.875,13.4375,7800,10.63064
2000-08-18,13.4375,14.0625,13.25,13.3125,3300,10.53175
2000-08-21,13.50,13.5625,13.3125,13.3125,1000,10.53175
2000-08-22,13.625,13.75,13.25,13.50,5700,10.68008
2000-08-23,13.375,14.375,13.375,14.00,6600,11.07564
2000-08-24,14.00,14.00,13.75,13.75,4100,10.87786
2000-08-25,13.75,13.75,13.50,13.50,2100,10.68008
2000-08-28,13.875,13.9375,13.625,13.75,6900,10.87786
2000-08-29,13.875,13.875,13.75,13.75,8900,10.87786
2000-08-30,13.6875,13.6875,13.50,13.5625,10600,10.72953
2000-08-31,13.5625,13.625,12.0625,12.3125,10700,9.74063
2000-09-01,12.50,12.8125,12.50,12.5625,11600,9.93841
2000-09-05,12.625,12.875,12.625,12.625,3000,9.9878
2000-09-06,12.6875,12.6875,11.75,11.75,15800,9.29563
2000-09-07,11.8125,11.8125,11.75,11.75,900,9.29563
2000-09-08,11.875,12.125,11.875,11.875,3500,9.39452
2000-09-11,11.875,12.00,11.75,11.75,46500,9.29563
2000-09-12,11.625,11.875,11.625,11.625,319900,9.19674
2000-09-13,11.75,12.00,11.625,11.75,29300,9.29563
2000-09-14,11.75,11.75,11.50,11.5625,5200,9.14729
2000-09-15,11.375,11.5625,11.375,11.50,10800,9.09785
2000-09-18,11.375,11.6875,11.3125,11.5625,24500,9.14729
2000-09-19,11.375,11.625,11.3125,11.625,2000,9.19674
2000-09-20,11.25,11.75,11.00,11.75,11700,9.29563
2000-09-21,11.75,11.75,11.25,11.3125,9800,8.94951
2000-09-22,11.00,11.125,11.00,11.0625,37200,8.75173
2000-09-25,11.3125,11.625,11.125,11.3125,36200,8.94951
2000-09-26,11.375,11.375,10.75,11.00,10800,8.70229
2000-09-27,10.75,10.75,10.125,10.25,7900,8.10895
2000-09-28,10.25,10.50,9.50,9.75,56800,7.71339
2000-09-29,9.5625,9.75,9.3125,9.6875,188500,7.66395
2000-10-02,9.625,9.625,9.375,9.375,32600,7.41672
2000-10-03,9.375,9.375,9.00,9.25,37400,7.31783
2000-10-04,9.25,9.50,9.0625,9.50,7900,7.51561
2000-10-05,9.50,9.50,9.50,9.50,200,7.51561
2000-10-06,9.00,9.375,8.9375,8.9375,1100,7.07061
2000-10-09,8.9375,9.00,8.875,9.00,1000,7.12005
2000-10-10,9.25,9.25,9.0625,9.0625,900,7.16950
2000-10-11,8.875,9.29688,8.875,8.9375,3700,7.07061
2000-10-12,8.9375,8.9375,8.9375,8.9375,100,7.07061
2000-10-13,8.9375,10.00,8.9375,9.95312,8700,7.87408
2000-10-16,9.00,9.375,9.00,9.00,1300,7.12005
2000-10-17,9.4375,9.4375,8.8125,9.00,16000,7.12005
2000-10-18,9.1875,9.50,9.0625,9.125,36500,7.21894
2000-10-19,9.50,9.50,9.25,9.375,6500,7.41672
2000-10-20,9.375,9.375,9.00,9.00,168200,7.12005
2000-10-23,9.00,9.00,7.75,8.50,93500,6.724
2000-10-24,8.625,9.00,8.5625,9.00,29300,7.12005
2000-10-25,8.75,8.75,8.3125,8.5625,40700,6.77394
2000-10-26,8.75,9.25,8.50,8.50,32500,6.724
2000-10-27,8.50,8.875,8.125,8.125,362400,6.42783
2000-10-30,8.00,8.03125,6.875,7.5625,174300,5.98282
2000-10-31,7.50,8.25,7.3125,8.25,611000,6.5267
2000-11-01,8.1875,8.1875,7.875,7.875,332300,6.23005
2000-11-02,7.8125,8.04688,7.8125,7.8125,1400,6.18060
2000-11-03,7.8125,7.9375,7.8125,7.875,47800,6.23005
2000-11-06,7.875,8.3125,7.875,7.9375,10300,6.27949
2000-11-07,7.9375,8.10938,7.9375,8.0625,3300,6.37838
2000-11-08,8.25,8.50,8.25,8.375,125600,6.6256
2000-11-09,8.0625,8.1875,8.0625,8.125,1900,6.42783
2000-11-10,8.125,8.625,8.00,8.375,419200,6.6256
2000-11-13,8.50,8.67188,8.50,8.67188,4800,6.86047
2000-11-14,8.70312,9.00,8.50,8.625,27400,6.82338
2000-11-15,8.75,8.75,8.00,8.00,4800,6.32894
2000-11-16,8.0625,8.0625,8.0625,8.0625,600,6.37838
2000-11-17,8.625,8.625,7.9375,8.0625,6700,6.37838
2000-11-20,7.78125,8.1875,7.375,8.125,34800,6.42783
2000-11-21,8.25,8.25,7.50,8.125,9800,6.42783
2000-11-22,8.25,8.3125,7.9375,8.3125,7500,6.57616
2000-11-24,8.375,8.375,8.375,8.375,500,6.6256
2000-11-27,8.25,8.375,8.0625,8.0625,6300,6.37838
2000-11-28,8.32812,8.75,8.1875,8.25,6900,6.5267
2000-11-29,8.75,8.75,8.00,8.125,10800,6.42783
2000-11-30,7.8125,7.875,7.00,7.875,15000,6.23005
2000-12-01,7.875,8.625,7.875,8.375,47000,6.6256
2000-12-04,8.59375,8.60938,7.875,7.875,4800,6.23005
2000-12-05,8.00,8.9375,8.00,8.9375,15800,7.07061
2000-12-06,8.92188,8.92188,8.3125,8.8125,2200,6.97172
2000-12-07,8.50,8.875,8.0625,8.0625,1300,6.37838
2000-12-08,8.9375,8.9375,7.625,7.75,31100,6.13116
2000-12-11,8.00,8.00,7.75,7.9375,17100,6.27949
2000-12-12,8.50,8.50,8.00,8.00,5200,6.32894
