Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,67.625,68.375,65.875,66.09375,307400,56.76608
2000-01-04,65.4375,65.625,63.00,63.75,278200,54.75310
2000-01-05,63.25,63.50,60.00,61.375,234200,52.7132
2000-01-06,60.50,60.875,55.0625,56.0625,324300,48.15052
2000-01-07,55.0625,57.25,54.50,56.0625,233900,48.15052
2000-01-10,56.25,60.75,56.25,60.50,149200,51.96176
2000-01-11,60.50,61.3125,60.125,61.03125,273500,52.41804
2000-01-12,60.50,61.125,60.25,60.875,117000,52.28384
2000-01-13,61.96875,62.00,60.125,60.625,347400,52.06912
2000-01-14,60.8125,65.875,60.625,64.3125,635900,55.23621
2000-01-18,65.21875,65.25,62.75,63.00,76500,54.10894
2000-01-19,63.00,63.00,60.9375,61.125,128800,52.49856
2000-01-20,61.1875,63.125,61.15625,62.6875,213700,53.84054
2000-01-21,62.5625,62.5625,61.875,62.00,104500,53.25007
2000-01-24,62.9375,63.25,60.25,61.09375,277200,52.47172
2000-01-25,60.21875,61.875,60.1875,61.1875,288400,52.55224
2000-01-26,61.25,61.25,60.50,61.25,107300,52.60592
2000-01-27,61.25,62.00,60.25,61.21875,181200,52.57908
2000-01-28,60.375,61.00,59.625,60.40625,410100,51.88124
2000-01-31,60.25,60.625,58.25,59.125,163800,50.78081
2000-02-01,58.75,59.625,58.625,59.25,170800,50.88817
2000-02-02,59.375,59.625,58.625,59.00,174400,50.67345
2000-02-03,58.75,59.50,58.625,59.0625,191900,50.72713
2000-02-04,59.50,59.9375,58.875,59.78125,310000,51.34445
2000-02-07,59.4375,62.734379,59.3125,60.00,331400,51.53233
2000-02-08,60.50,61.25,59.25,61.00,166300,52.39120
2000-02-09,60.75,62.00,60.1875,60.50,120500,51.96176
2000-02-10,59.875,62.00,59.75,61.8125,118500,53.08903
2000-02-11,61.50,62.50,59.50,60.9375,96800,52.33752
2000-02-14,60.875,61.50,59.75,60.125,91100,51.6396
2000-02-15,60.125,65.125,60.125,64.40625,198800,55.31673
2000-02-16,64.0625,65.00,63.50,63.9375,180800,54.9141
2000-02-17,63.9375,65.875,63.875,65.5625,220600,56.30980
2000-02-18,65.75,66.50,65.25,66.25,221200,56.90028
2000-02-22,66.1875,66.4375,64.50,66.40625,293000,57.0344
2000-02-23,66.50,72.375,66.375,71.25,368500,61.19464
2000-02-24,73.00,73.75,70.25,72.00,218000,61.83879
2000-02-25,71.875,72.50,71.125,71.6875,79800,61.57039
2000-02-28,72.50,72.50,69.765617,71.21875,101900,61.16780
2000-02-29,71.50,75.1875,71.125,74.8125,138500,64.25437
2000-03-01,74.71875,76.50,73.625,74.50,91100,63.98597
2000-03-02,74.375,74.375,70.25,71.21875,194500,61.16780
2000-03-03,71.00,72.50,71.00,72.46875,139700,62.24139
2000-03-06,72.75,72.75,70.9375,71.00,103600,60.97992
