Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,6.67188,6.687495,6.375,6.687495,3600,3.60512
2000-01-04,6.124995,6.687495,6.124995,6.250005,6100,3.36928
2000-01-05,6.250005,6.250005,6.250005,6.250005,7200,3.36928
2000-01-06,6.312495,6.312495,6.312495,6.312495,2700,3.40296
2000-01-07,6.499995,7.125,6.499995,7.125,7500,3.84097
2000-01-10,6.499995,6.499995,6.499995,6.499995,600,3.50404
2000-01-11,6.375,7.000005,6.375,6.375,12600,3.43666
2000-01-12,6.75,6.75,6.75,6.75,300,3.63882
2000-01-13,6.5625,6.75,6.5625,6.625005,23200,3.57143
2000-01-14,6.781245,7.000005,6.5625,6.5625,5400,3.53774
2000-01-18,6.781245,6.781245,6.499995,6.5625,4900,3.53774
2000-01-19,6.65625,7.125,6.65625,7.125,18600,3.84097
2000-01-20,7.249995,7.50,7.249995,7.50,6700,4.04313
2000-01-21,7.50,7.50,6.812505,6.812505,1000,3.67251
2000-01-24,7.375005,7.375005,6.812505,6.812505,1200,3.67251
2000-01-25,7.249995,7.249995,7.125,7.249995,5200,3.90836
2000-01-26,7.03125,7.03125,7.03125,7.03125,300,3.79043
2000-01-27,7.000005,7.249995,7.000005,7.249995,6600,3.90836
2000-01-28,7.000005,7.125,6.75,7.125,2400,3.84097
2000-01-31,6.687495,6.687495,6.687495,6.687495,1000,3.60512
2000-02-01,6.499995,6.625005,6.499995,6.5625,357600,3.53774
2000-02-02,6.499995,6.499995,6.250005,6.250005,3400,3.36928
2000-02-03,6.250005,6.250005,6.250005,6.250005,400,3.36928
2000-02-04,6.250005,6.75,6.250005,6.75,2100,3.63882
2000-02-07,6.250005,6.250005,6.250005,6.250005,100,3.36928
2000-02-08,6.250005,6.250005,6.250005,6.250005,1000,3.36928
2000-02-09,6.00,6.250005,6.00,6.250005,5800,3.36928
2000-02-10,6.250005,6.250005,6.250005,6.250005,000,3.36928
2000-02-11,6.75,6.75,6.75,6.75,600,3.63882
2000-02-14,6.124995,6.75,6.124995,6.625005,5500,3.57143
2000-02-15,6.625005,6.625005,6.625005,6.625005,000,3.57143
2000-02-16,6.75,6.75,6.250005,6.375,4600,3.43666
2000-02-17,6.75,6.75,6.75,6.75,5800,3.63882
2000-02-18,6.75,6.75,6.75,6.75,000,3.63882
2000-02-22,6.625005,6.625005,6.375,6.375,1900,3.43666
2000-02-23,6.375,6.687495,6.375,6.499995,1500,3.50404
2000-02-24,6.499995,6.499995,6.499995,6.499995,000,3.50404
2000-02-25,6.499995,6.75,6.375,6.75,1500,3.63882
2000-02-28,6.75,7.624995,6.75,6.9375,5100,3.739
2000-02-29,7.125,7.125,7.125,7.125,1900,3.84097
2000-03-01,6.9375,7.000005,6.9375,7.000005,5100,3.77359
2000-03-02,6.9375,7.000005,6.9375,7.000005,1000,3.77359
2000-03-03,6.9375,7.000005,6.9375,6.9375,3400,3.739
2000-03-06,7.000005,7.000005,7.000005,7.000005,4500,3.77359
2000-03-07,6.9375,7.125,6.9375,6.9375,20500,3.739
2000-03-08,7.125,7.249995,6.250005,7.000005,9000,3.77359
2000-03-09,7.125,7.125,7.000005,7.000005,6700,3.77359
2000-03-10,6.75,6.75,6.375,6.375,1600,3.43666
2000-03-13,6.375,6.375,6.375,6.375,000,3.43666
2000-03-14,7.375005,7.375005,7.375005,7.375005,1200,3.97575
2000-03-15,7.125,7.125,6.625005,6.625005,1300,3.57143
2000-03-16,7.125,7.375005,7.000005,7.375005,3600,3.97575
2000-03-17,7.125,7.125,6.687495,7.125,53100,3.84097
2000-03-20,6.625005,6.625005,6.625005,6.625005,900,3.57143
2000-03-21,7.125,7.125,6.250005,6.874995,18600,3.70620
2000-03-22,6.250005,6.375,6.250005,6.375,400,3.43666
2000-03-23,6.250005,6.250005,6.250005,6.250005,1500,3.36928
2000-03-24,6.250005,6.250005,6.250005,6.250005,1000,3.36928
2000-03-27,6.250005,6.250005,6.250005,6.250005,000,3.36928
2000-03-28,6.250005,6.250005,5.125005,5.125005,59800,2.76281
2000-03-29,6.00,7.375005,6.00,6.124995,20700,3.30189
2000-03-30,6.1875,6.625005,6.00,6.625005,30600,3.57143
2000-03-31,5.875005,6.625005,4.999995,6.00,106900,3.23450
