Date,Open,High,Low,Close,Volume,Adj Clos
2011-03-29,20.00,20.01,20.00,20.01,1443700,12.28249
2011-03-30,19.450001,20.030001,19.450001,20.02,120000,12.28863
2011-03-31,20.02,20.049999,20.00,20.01,139600,12.28249
2011-04-01,20.02,20.030001,20.00,20.01,95800,12.28249
2011-04-04,20.040001,20.049999,20.01,20.02,90600,12.28863
2011-04-05,20.02,20.040001,20.00,20.030001,111500,12.29477
2011-04-06,20.040001,20.139999,20.01,20.02,128800,12.28863
2011-04-07,20.049999,20.07,20.01,20.040001,93000,12.30091
2011-04-08,20.10,20.10,20.01,20.040001,82000,12.30091
2011-04-11,20.07,20.09,20.02,20.030001,74700,12.29477
2011-04-12,20.049999,20.07,20.00,20.00,66900,12.27635
2011-04-13,20.030001,20.049999,20.00,20.00,36800,12.27635
2011-04-14,20.00,20.01,20.00,20.00,39100,12.27635
2011-04-15,20.01,20.040001,20.00,20.040001,43800,12.30091
2011-04-18,20.040001,20.040001,20.00,20.00,167600,12.27635
2011-04-19,20.02,20.030001,20.00,20.02,74200,12.28863
2011-04-20,20.040001,20.059999,20.01,20.040001,93300,12.30091
2011-04-21,20.040001,20.040001,20.00,20.01,59100,12.28249
2011-04-25,20.00,20.040001,20.00,20.00,75900,12.27635
2011-04-26,20.00,20.02,20.00,20.00,64400,12.27635
2011-04-27,20.00,20.01,20.00,20.00,50800,12.27635
2011-04-28,20.00,20.030001,20.00,20.00,42200,12.27635
2011-04-29,20.01,20.02,20.00,20.02,49000,12.28863
2011-05-02,20.02,20.030001,20.00,20.00,26000,12.27635
2011-05-03,20.00,20.030001,20.00,20.00,119000,12.27635
2011-05-04,20.00,20.030001,20.00,20.00,908800,12.27635
2011-05-05,20.00,20.030001,20.00,20.00,242600,12.27635
2011-05-06,20.00,20.01,20.00,20.00,231700,12.27635
2011-05-09,20.00,20.01,20.00,20.00,213000,12.27635
2011-05-10,20.00,20.01,20.00,20.00,96600,12.27635
2011-05-11,20.00,20.01,20.00,20.00,354200,12.27635
2011-05-12,20.00,20.030001,20.00,20.01,376000,12.28249
2011-05-13,20.059999,20.059999,19.139999,19.200001,300700,11.78530
2011-05-16,19.10,19.15,18.85,19.110001,129600,11.73006
2011-05-17,18.90,18.950001,18.700001,18.940001,181700,11.62571
2011-05-18,18.940001,19.360001,18.83,19.290001,81900,11.84054
2011-05-19,19.299999,19.40,19.10,19.200001,73000,11.78530
2011-05-20,19.10,19.200001,18.90,19.059999,81600,11.69936
2011-05-23,19.030001,19.030001,18.17,18.540001,250400,11.38018
2011-05-24,18.620001,18.809999,18.25,18.34,240500,11.25742
2011-05-25,18.49,18.709999,18.469999,18.65,98300,11.44770
2011-05-26,18.76,18.889999,18.709999,18.83,81900,11.55819
2011-05-27,18.92,19.049999,18.83,19.00,76300,11.66254
2011-05-31,19.049999,19.08,19.00,19.059999,50400,11.69936
2011-06-01,19.15,19.299999,19.030001,19.07,122500,11.70550
2011-06-02,19.82,19.82,18.959999,19.01,84500,11.66867
2011-06-03,19.01,19.01,18.799999,18.799999,58600,11.53977
2011-06-06,18.860001,18.940001,18.700001,18.860001,96700,11.57660
2011-06-07,18.780001,18.83,18.49,18.790001,80100,11.53363
2011-06-08,18.860001,18.860001,18.52,18.620001,77100,11.4292
2011-06-09,18.65,18.74,18.120001,18.559999,135700,11.3924
2011-06-10,18.559999,18.690001,18.35,18.459999,146700,11.33107
2011-06-13,17.950001,18.15,17.889999,17.91,30400,11.20594
2011-06-14,17.889999,18.129999,17.860001,18.07,113600,11.30605
2011-06-15,18.01,18.030001,17.389999,17.780001,170700,11.12460
2011-06-16,17.530001,17.950001,17.51,17.82,154700,11.14963
2011-06-17,17.85,18.370001,17.50,17.75,117000,11.10583
2011-06-20,17.65,18.08,17.65,18.07,65400,11.30605
2011-06-21,18.200001,18.719999,18.049999,18.67,103800,11.6814
2011-06-22,18.52,18.52,18.23,18.42,66800,11.52503
2011-06-23,18.42,18.42,17.85,18.18,111100,11.37487
2011-06-24,18.18,18.33,18.07,18.209999,58900,11.39364
2011-06-27,18.299999,18.67,17.98,18.01,104400,11.2685
2011-06-28,18.02,18.200001,18.02,18.08,71200,11.31230
2011-06-29,18.10,18.35,18.10,18.34,119100,11.47498
2011-06-30,19.040001,19.040001,18.530001,18.559999,116400,11.61263
2011-07-01,18.59,18.690001,18.40,18.68,53000,11.68771
2011-07-05,18.66,18.85,18.540001,18.76,65500,11.73777
2011-07-06,18.620001,18.969999,18.620001,18.950001,70900,11.85665
2011-07-07,18.959999,19.15,18.93,19.059999,109500,11.92547
2011-07-08,19.01,19.24,18.91,19.120001,81300,11.96301
2011-07-11,18.799999,18.799999,18.50,18.719999,97900,11.71274
2011-07-12,18.66,18.700001,18.60,18.700001,61900,11.7002
2011-07-13,18.73,18.90,18.73,18.77,95400,11.74402
2011-07-14,18.85,18.85,18.60,18.790001,83300,11.75654
2011-07-15,18.83,18.85,18.629999,18.780001,64600,11.75028
2011-07-18,18.719999,18.799999,18.40,18.67,79500,11.6814
2011-07-19,18.67,18.98,18.49,18.790001,223600,11.75654
2011-07-20,18.90,18.92,18.60,18.91,120600,11.83162
2011-07-21,18.91,18.98,18.60,18.68,158100,11.68771
2011-07-22,18.629999,18.91,18.549999,18.68,125300,11.68771
2011-07-25,18.65,18.83,18.32,18.379999,101300,11.50001
2011-07-26,18.32,18.440001,18.120001,18.43,195900,11.53129
2011-07-27,18.450001,18.549999,18.00,18.040001,117100,11.28728
2011-07-28,18.00,18.16,17.66,17.67,149500,11.05577
2011-07-29,17.469999,18.40,17.299999,18.360001,472200,11.48749
2011-08-01,18.440001,18.59,18.219999,18.34,115700,11.47498
2011-08-02,18.34,18.43,17.91,18.209999,246700,11.39364
2011-08-03,18.25,18.25,17.24,18.24,260600,11.41241
2011-08-04,19.66,19.68,16.43,16.790001,536400,10.5051
2011-08-05,16.879999,17.040001,15.90,16.700001,510800,10.44886
2011-08-08,15.40,15.67,14.40,14.43,563400,9.02857
2011-08-09,14.61,15.15,13.89,14.94,412200,9.3476
2011-08-10,14.84,15.50,14.75,15.30,282000,9.57291
2011-08-11,15.27,16.110001,15.20,16.00,406400,10.01089
2011-08-12,16.27,16.549999,16.15,16.52,203500,10.33624
2011-08-15,16.60,17.48,16.57,17.18,316500,10.74919
2011-08-16,16.969999,17.219999,16.700001,17.059999,261900,10.67411
2011-08-17,17.110001,17.469999,16.68,17.110001,246600,10.70539
2011-08-18,16.83,16.92,16.10,16.35,199600,10.2298
2011-08-19,16.15,16.639999,15.85,15.85,150600,9.9170
2011-08-22,16.01,16.07,15.38,15.56,192700,9.73559
2011-08-23,15.58,15.75,15.35,15.75,289700,9.85447
2011-08-24,15.78,16.18,15.50,16.059999,164100,10.04843
2011-08-25,16.139999,16.200001,15.28,15.79,301700,9.87949
2011-08-26,15.72,16.139999,15.52,15.79,216500,9.87949
2011-08-29,15.95,16.610001,15.95,16.549999,121700,10.35501
2011-08-30,16.540001,16.860001,16.200001,16.790001,156400,10.5051
2011-08-31,17.709999,17.709999,16.74,16.75,259000,10.48015
2011-09-01,16.700001,16.90,16.67,16.799999,99000,10.51143
2011-09-02,16.719999,16.75,16.139999,16.25,293900,10.16731
2011-09-06,15.95,16.17,15.85,16.00,102800,10.01089
2011-09-07,16.049999,16.58,16.049999,16.389999,167000,10.25490
2011-09-08,16.389999,16.700001,16.379999,16.41,123100,10.26742
2011-09-09,15.94,16.459999,15.94,16.120001,117700,10.08597
2011-09-12,16.10,16.389999,15.72,15.97,149500,9.99212
2011-09-13,15.56,15.68,15.34,15.60,123600,9.97932
2011-09-14,15.68,15.75,15.33,15.61,174300,9.98572
2011-09-15,15.64,15.76,15.48,15.61,217600,9.98572
2011-09-16,15.36,15.74,15.36,15.58,170500,9.96653
2011-09-19,15.44,15.55,15.04,15.48,198900,9.90256
2011-09-20,15.62,15.78,15.20,15.35,151300,9.81940
2011-09-21,15.41,15.41,14.98,14.99,154900,9.5891
2011-09-22,14.66,14.80,13.81,14.08,338000,9.00698
2011-09-23,14.25,14.25,13.55,13.61,358200,8.70632
2011-09-26,13.54,13.95,13.25,13.93,271900,8.91102
2011-09-27,14.50,14.53,14.10,14.18,287500,9.07095
2011-09-28,14.10,14.40,13.67,14.18,512100,9.07095
2011-09-29,14.25,14.30,13.78,13.87,171700,8.87264
2011-09-30,14.26,14.34,13.45,13.45,231400,8.60397
2011-10-03,13.43,13.43,12.64,12.75,274600,8.15618
2011-10-04,12.00,12.49,11.77,12.42,519000,7.9450
2011-10-05,12.52,13.19,12.52,13.15,320100,8.41206
2011-10-06,13.18,13.90,13.16,13.78,324500,8.81507
2011-10-07,14.24,14.24,13.85,13.92,198100,8.90463
2011-10-10,14.03,14.54,14.03,14.26,283500,9.12212
2011-10-11,14.24,14.38,14.07,14.10,207900,9.01977
2011-10-12,14.16,14.51,14.16,14.20,341400,9.08374
2011-10-13,13.84,14.27,13.76,14.09,284800,9.0133
2011-10-14,14.39,14.55,14.22,14.55,163000,9.30764
2011-10-17,14.50,14.50,14.11,14.34,165800,9.17330
2011-10-18,14.27,14.65,14.15,14.61,158000,9.34602
2011-10-19,14.58,14.70,14.42,14.55,230800,9.30764
2011-10-20,14.38,14.50,14.23,14.33,147000,9.16690
2011-10-21,14.42,14.63,14.32,14.39,277400,9.2052
2011-10-24,14.40,14.60,14.40,14.53,270700,9.29484
2011-10-25,14.42,14.53,14.16,14.19,219500,9.07734
2011-10-26,14.50,14.58,14.10,14.53,250200,9.29484
2011-10-27,14.80,15.20,14.80,15.10,206700,9.65947
2011-10-28,15.09,15.44,14.95,15.38,151700,9.83859
2011-10-31,15.21,15.21,14.94,14.95,119600,9.56352
2011-11-01,14.41,14.77,14.41,14.72,104900,9.41639
2011-11-02,14.78,15.01,14.70,14.80,242500,9.46756
2011-11-03,14.92,15.07,14.77,14.88,198300,9.51874
2011-11-04,14.82,14.99,14.80,14.87,138700,9.51234
2011-11-07,14.85,15.10,14.78,15.08,265200,9.64668
2011-11-08,15.11,15.24,15.08,15.19,253400,9.7170
2011-11-09,14.90,15.02,14.65,14.68,194200,9.39080
2011-11-10,14.77,14.92,14.65,14.69,281300,9.397
2011-11-11,14.75,14.97,14.75,14.81,160300,9.47396
2011-11-14,14.85,14.95,14.76,14.93,198400,9.55072
2011-11-15,14.87,15.05,14.82,14.90,241700,9.53153
2011-11-16,14.88,15.04,14.82,14.90,171500,9.53153
2011-11-17,14.93,14.93,14.40,14.43,188500,9.23087
2011-11-18,14.45,14.50,14.20,14.45,316200,9.24367
2011-11-21,14.22,14.72,14.09,14.69,421800,9.397
2011-11-22,14.53,14.53,14.12,14.14,222100,9.04536
2011-11-23,14.00,14.18,13.82,13.90,215000,8.89183
2011-11-25,13.88,14.02,13.77,13.77,49000,8.80867
2011-11-28,14.05,14.16,13.90,14.01,298700,8.96220
2011-11-29,13.96,14.22,13.96,14.12,140600,9.03257
2011-11-30,14.50,14.72,14.50,14.66,195400,9.37800
2011-12-01,14.68,14.68,14.46,14.48,318100,9.26286
2011-12-02,14.73,14.74,14.38,14.40,240200,9.21168
2011-12-05,14.52,14.60,14.36,14.40,351900,9.21168
2011-12-06,14.31,14.42,14.27,14.38,351500,9.19889
2011-12-07,14.33,14.46,14.25,14.41,189500,9.21808
2011-12-08,14.38,14.45,14.01,14.02,287000,8.96860
2011-12-09,14.00,14.24,14.00,14.20,223200,9.08374
2011-12-12,14.04,14.04,13.81,14.00,215600,8.95580
2011-12-13,14.04,14.13,13.73,13.74,212800,8.78948
2011-12-14,13.73,13.77,13.28,13.35,294100,8.54000
2011-12-15,13.44,13.50,13.28,13.29,260700,8.50161
2011-12-16,12.97,13.26,12.96,13.03,259400,8.5607
2011-12-19,13.08,13.10,12.78,12.84,374800,8.43591
2011-12-20,12.94,13.32,12.94,13.15,456500,8.6395
2011-12-21,13.12,13.29,13.06,13.15,449500,8.6395
2011-12-22,13.17,13.36,13.15,13.31,370500,8.74471
2011-12-23,13.30,13.46,13.28,13.37,342100,8.78413
2011-12-27,13.32,13.41,13.20,13.29,681500,8.7315
2011-12-28,13.36,13.36,13.02,13.04,475100,8.5673
2011-12-29,13.06,13.20,13.06,13.19,399300,8.6658
2011-12-30,13.36,13.36,13.19,13.28,633400,8.72
2012-01-03,13.41,13.71,13.41,13.65,303300,8.96809
2012-01-04,13.68,13.85,13.62,13.85,169700,9.09949
2012-01-05,13.86,14.03,13.71,13.96,247000,9.17176
2012-01-06,14.00,14.04,13.91,13.96,256200,9.17176
2012-01-09,14.00,14.12,13.98,14.12,189900,9.27688
2012-01-10,14.21,14.39,14.21,14.34,222200,9.42142
2012-01-11,14.31,14.38,14.21,14.36,214200,9.43456
2012-01-12,14.37,14.38,14.25,14.35,147100,9.42799
2012-01-13,14.18,14.31,14.11,14.28,188400,9.38200
2012-01-17,14.42,14.48,14.33,14.36,146600,9.43456
2012-01-18,14.32,14.58,14.32,14.58,115400,9.57910
2012-01-19,14.64,14.73,14.59,14.70,180300,9.65794
2012-01-20,14.67,14.73,14.54,14.59,215700,9.58567
2012-01-23,14.69,14.80,14.64,14.73,173400,9.67765
2012-01-24,14.69,14.78,14.62,14.69,139200,9.65137
2012-01-25,14.72,15.09,14.59,15.09,248700,9.91417
2012-01-26,15.11,15.35,15.01,15.15,207800,9.95359
2012-01-27,15.15,15.29,15.09,15.18,128200,9.97330
2012-01-30,15.15,15.42,15.00,15.36,315600,10.09156
2012-01-31,15.39,15.58,15.30,15.54,283200,10.20982
2012-02-01,15.61,15.80,15.61,15.77,240600,10.36093
2012-02-02,15.77,16.07,15.77,15.84,292600,10.40692
2012-02-03,15.92,16.219999,15.89,15.94,248300,10.47262
2012-02-06,15.89,15.91,15.75,15.87,195300,10.42663
2012-02-07,15.81,15.97,15.73,15.95,262500,10.47919
2012-02-08,15.99,15.99,15.85,15.93,171400,10.46605
2012-02-09,15.98,16.049999,15.90,15.99,220200,10.50547
2012-02-10,15.94,15.94,15.68,15.74,261500,10.34122
2012-02-13,15.86,15.90,15.73,15.87,165600,10.42663
2012-02-14,15.80,15.86,15.59,15.65,202700,10.28209
2012-02-15,15.76,15.76,15.57,15.60,219600,10.24924
2012-02-16,15.68,15.70,15.53,15.56,276400,10.22296
2012-02-17,15.60,15.63,15.51,15.55,148000,10.21639
2012-02-21,15.59,15.72,15.56,15.61,213300,10.25581
2012-02-22,15.61,15.86,15.61,15.80,205900,10.38064
2012-02-23,15.85,16.02,15.77,15.98,239200,10.49890
2012-02-24,15.97,16.120001,15.96,16.02,239800,10.52518
2012-02-27,16.02,16.10,15.87,16.07,197600,10.55803
2012-02-28,16.129999,16.25,16.030001,16.25,302800,10.67629
2012-02-29,16.25,16.33,16.09,16.17,390600,10.62373
2012-03-01,16.16,16.27,16.15,16.23,166000,10.66315
2012-03-02,16.200001,16.200001,16.030001,16.139999,134500,10.60402
2012-03-05,16.110001,16.139999,15.79,15.90,158300,10.44634
2012-03-06,15.77,15.78,15.27,15.34,310700,10.07842
2012-03-07,15.49,15.54,15.30,15.50,187800,10.18354
2012-03-08,15.61,15.65,15.49,15.55,180900,10.21639
2012-03-09,15.75,15.75,15.55,15.73,156900,10.33465
2012-03-12,15.72,15.72,15.57,15.67,145300,10.29523
2012-03-13,15.39,15.50,15.27,15.50,51000,10.416
2012-03-14,15.50,15.50,15.22,15.26,204300,10.25491
2012-03-15,15.26,15.37,15.20,15.37,196900,10.32883
2012-03-16,15.39,15.49,15.34,15.43,130400,10.3691
2012-03-19,15.43,15.50,15.27,15.32,185400,10.29523
2012-03-20,15.24,15.24,15.11,15.11,165100,10.15411
2012-03-21,15.04,15.16,14.93,15.13,220700,10.16755
2012-03-22,15.07,15.07,14.83,14.89,124800,10.00627
2012-03-23,14.95,15.23,14.86,15.22,175700,10.22803
2012-03-26,15.31,15.36,15.21,15.22,143500,10.22803
2012-03-27,15.20,15.27,15.09,15.19,175700,10.20787
2012-03-28,15.18,15.20,14.99,15.09,157700,10.14067
2012-03-29,15.04,15.06,14.90,14.98,189100,10.06675
2012-03-30,15.10,15.92,15.04,15.13,341500,10.16755
2012-04-02,15.14,15.31,15.09,15.30,120600,10.28179
2012-04-03,15.23,15.27,15.15,15.17,145900,10.19443
2012-04-04,15.00,15.11,14.97,14.98,156400,10.06675
2012-04-05,14.90,15.04,14.78,14.80,140400,9.94579
2012-04-09,14.68,14.73,14.61,14.62,152400,9.82482
2012-04-10,14.60,14.65,14.36,14.43,161900,9.69714
2012-04-11,14.56,14.58,14.33,14.39,258900,9.67026
2012-04-12,14.35,14.59,14.35,14.52,357800,9.75762
2012-04-13,14.50,14.60,14.43,14.45,246700,9.71058
2012-04-16,14.48,14.52,14.22,14.22,350600,9.55602
2012-04-17,14.25,14.37,14.22,14.34,235100,9.63666
2012-04-18,14.32,14.33,14.19,14.29,157500,9.60306
2012-04-19,14.29,14.36,14.20,14.21,198200,9.54930
2012-04-20,14.23,14.33,14.13,14.16,218500,9.51570
2012-04-23,14.06,14.07,13.92,13.97,185400,9.38802
2012-04-24,13.94,13.98,13.86,13.92,259500,9.3544
2012-04-25,13.99,14.11,13.92,14.07,298500,9.45522
2012-04-26,13.95,14.21,13.94,14.19,192800,9.53586
2012-04-27,14.26,14.27,14.13,14.26,234100,9.58290
2012-04-30,14.30,14.30,14.16,14.25,228000,9.57618
2012-05-01,14.23,14.50,14.23,14.46,209700,9.71730
2012-05-02,14.41,14.41,14.26,14.41,189000,9.68370
2012-05-03,14.36,14.38,14.25,14.33,192000,9.62994
2012-05-04,14.22,14.26,14.02,14.12,149000,9.48882
2012-05-07,14.00,14.08,13.97,14.07,155000,9.45522
2012-05-08,13.89,13.92,13.74,13.89,234200,9.3342
2012-05-09,13.76,13.79,13.65,13.73,228100,9.22673
2012-05-10,13.85,13.85,13.70,13.70,103800,9.20657
2012-05-11,13.65,13.66,13.60,13.61,123000,9.14609
2012-05-14,13.54,13.57,13.39,13.42,140000,9.01841
2012-05-15,13.39,13.40,13.17,13.19,153000,8.8638
2012-05-16,13.22,13.29,13.05,13.07,247800,8.78320
2012-05-17,13.05,13.10,12.91,12.91,205500,8.67568
2012-05-18,12.88,13.01,12.51,12.60,209300,8.46736
2012-05-21,12.58,13.18,12.58,13.16,224700,8.8436
2012-05-22,13.10,13.22,13.02,13.10,215800,8.8033
2012-05-23,13.05,13.05,12.67,12.89,409000,8.66224
2012-05-24,12.98,12.98,12.80,12.91,207400,8.67568
2012-05-25,12.97,13.16,12.92,13.13,189800,8.8235
2012-05-29,13.20,13.39,13.20,13.35,133700,8.97137
2012-05-30,13.25,13.26,13.13,13.17,139000,8.8504
2012-05-31,13.20,13.20,12.93,13.09,160300,8.79664
2012-06-01,12.94,12.95,12.81,12.87,173700,8.64880
2012-06-04,12.81,12.90,12.66,12.75,150600,8.56816
2012-06-05,12.66,12.90,12.66,12.89,237400,8.66224
2012-06-06,12.94,13.26,12.94,13.19,118200,8.8638
2012-06-07,13.32,13.45,13.25,13.30,159500,8.93777
2012-06-08,13.24,13.40,13.12,13.39,144000,8.99825
2012-06-11,13.45,13.45,13.14,13.15,174100,8.8369
2012-06-12,13.15,13.31,13.09,13.28,148200,8.92433
2012-06-13,12.93,13.08,12.89,12.95,178600,8.93813
2012-06-14,12.99,13.10,12.82,13.08,192700,9.02786
2012-06-15,13.09,13.12,12.90,12.95,142300,8.93813
2012-06-18,12.93,12.99,12.84,12.92,126200,8.9174
