Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,32.00001,32.4375,31.125,31.6875,1188000,8.22102
2000-01-04,31.62501,31.74999,30.5625,31.125,1565700,8.07509
2000-01-05,31.06251,31.6875,30.43749,31.62501,2461800,8.20481
2000-01-06,31.56249,34.37499,31.56249,33.5625,3629700,8.7074
2000-01-07,34.56249,34.56249,33.00,33.81249,1439700,8.77233
2000-01-10,34.06251,34.25001,33.62499,33.99999,748800,8.82098
2000-01-11,33.5625,33.9375,33.24999,33.43749,826200,8.67504
2000-01-12,33.06249,33.81249,33.06249,33.5625,864600,8.7074
2000-01-13,33.9375,34.18749,33.375,33.5625,2897700,8.7074
2000-01-14,33.5625,33.68751,32.8125,33.375,5083800,8.65883
2000-01-18,33.1875,33.68751,32.87499,33.31251,1296600,8.64262
2000-01-19,33.24999,33.5625,33.06249,33.31251,1097400,8.64262
2000-01-20,33.24999,34.43751,33.12501,34.25001,2076900,8.88584
2000-01-21,35.625,36.1875,35.00001,35.37501,2886000,9.17771
2000-01-24,35.4375,36.31251,35.4375,35.8125,1769100,9.29122
2000-01-25,36.06249,39.1875,35.93751,38.49999,4832100,9.98846
2000-01-26,36.75,38.49999,36.12501,38.00001,2701500,9.85875
2000-01-27,37.875,37.875,36.5625,36.87501,1982100,9.5668
2000-01-28,36.75,36.75,35.56251,35.75001,1404900,9.27500
2000-01-31,35.75001,35.87499,35.25,35.68749,1673700,9.25878
2000-02-01,35.68749,35.68749,34.81251,35.00001,1577700,9.08042
2000-02-02,35.00001,36.1875,34.25001,35.56251,7222500,9.22636
2000-02-03,35.8125,36.06249,35.12499,35.37501,800700,9.17771
2000-02-04,35.31249,36.5625,35.31249,36.31251,2298600,9.42094
2000-02-07,36.00,36.43749,35.56251,35.56251,1297500,9.22636
2000-02-08,35.75001,35.8125,35.00001,35.12499,1023900,9.11285
2000-02-09,35.12499,35.12499,33.50001,33.5625,1068300,8.7074
2000-02-10,33.68751,34.6875,33.06249,33.1875,976500,8.6101
2000-02-11,32.93751,33.9375,32.49999,33.00,959700,8.56154
2000-02-14,33.00,33.00,31.62501,31.875,1509300,8.26967
2000-02-15,31.875,32.37501,31.62501,32.18751,2182500,8.35075
2000-02-16,32.12499,33.87501,30.99999,32.25,2101800,8.36696
2000-02-17,32.0625,32.0625,30.81249,30.9375,1389900,8.02644
2000-02-18,30.87501,31.18749,29.49999,29.8125,2033100,7.73457
2000-02-22,30.00,30.31251,29.31249,29.68749,5856000,7.70214
2000-02-23,29.68749,30.50001,28.81251,29.31249,994800,7.60485
2000-02-24,29.4375,29.4375,28.125,28.81251,3215700,7.47513
2000-02-25,28.81251,28.875,27.68751,27.68751,2167500,7.18326
2000-02-28,27.9375,28.125,27.50001,27.87501,2653500,7.23191
2000-02-29,26.87499,27.62499,26.56251,27.1875,2582100,7.05354
2000-03-01,26.75001,27.43749,24.62499,27.1875,5560800,7.05354
2000-03-02,27.1875,27.43749,26.56251,27.375,2813100,7.1021
2000-03-03,27.06249,28.25001,26.93751,27.81249,1230600,7.21569
2000-03-06,29.8125,29.93751,27.50001,27.75,2680500,7.19948
2000-03-07,27.87501,27.99999,26.31249,26.37501,1705800,6.84275
2000-03-08,26.37501,26.4375,25.18749,25.3125,1733100,6.56709
2000-03-09,25.3125,26.37501,24.81249,26.31249,2644800,6.82653
2000-03-10,25.50,27.21876,25.18749,26.25,2575500,6.81031
2000-03-13,25.81251,26.00001,25.3125,25.74999,3209700,6.68059
2000-03-14,25.50,25.62501,24.99999,25.18749,3876900,6.53466
2000-03-15,26.93751,28.3125,25.25001,27.99999,2316600,7.26433
2000-03-16,27.75,30.62499,27.68751,30.43749,3479100,7.89672
2000-03-17,32.00001,32.00001,30.00,30.00,3333000,7.78322
2000-03-20,30.00,30.75,29.0625,29.4375,1453500,7.63728
2000-03-21,29.18751,30.06249,28.62501,30.00,1165200,7.78322
2000-03-22,29.75001,30.375,28.93749,30.12501,1336500,7.81565
2000-03-23,29.87499,31.875,29.625,31.875,1929000,8.26967
2000-03-24,31.62501,34.6875,31.50,33.99999,3634200,8.82098
2000-03-27,33.87501,34.06251,32.00001,32.56251,2235000,8.44804
2000-03-28,32.68749,33.06249,31.50,31.81251,1915800,8.25346
2000-03-29,31.875,33.1875,31.74999,31.81251,2348400,8.26905
2000-03-30,31.93749,33.12501,31.37499,32.8125,1998900,8.52898
2000-03-31,32.25,33.75,31.875,33.43749,1884300,8.69143
2000-04-03,33.43749,34.93749,33.43749,33.75,1803600,8.7726
2000-04-04,33.99999,34.25001,32.00001,32.68749,2103300,8.49649
2000-04-05,32.75001,34.50,32.4375,34.06251,2108700,8.85390
2000-04-06,34.125,35.00001,33.99999,34.74999,1094700,9.03259
2000-04-07,34.50,34.74999,33.68751,33.9375,1113600,8.82140
2000-04-10,33.12501,33.75,32.75001,33.12501,1472400,8.61021
2000-04-11,33.62499,34.37499,33.24999,34.18749,1932600,8.88638
2000-04-12,34.3125,36.24999,34.25001,36.24999,3300000,9.42249
2000-04-13,35.625,35.68749,34.74999,34.74999,3443100,9.03259
2000-04-14,34.50,34.50,31.37499,31.81251,2034300,8.26905
2000-04-17,31.06251,31.875,30.75,31.18749,1887300,8.10659
2000-04-18,30.68751,33.24999,30.06249,33.12501,1385100,8.61021
2000-04-19,32.87499,33.87501,31.875,32.75001,1127700,8.51274
2000-04-20,32.12499,33.31251,32.12499,33.31251,871500,8.65895
2000-04-24,33.43749,33.87501,32.8125,33.68751,1726800,8.75642
2000-04-25,33.12501,34.74999,32.8125,34.62501,1438500,9.00011
2000-04-26,33.99999,34.37499,32.75001,33.5625,1425300,8.72393
2000-04-27,32.625,32.8125,30.9375,32.12499,2215800,8.3502
2000-04-28,33.50001,33.50001,31.25001,32.25,2228100,8.38277
2000-05-01,30.99999,33.00,30.99999,31.50,3306600,8.18782
2000-05-02,31.37499,31.875,31.06251,31.62501,1988100,8.22031
2000-05-03,31.37499,32.18751,30.1875,30.75,1858200,7.99287
2000-05-04,30.62499,30.75,29.87499,29.87499,836400,7.76543
2000-05-05,29.87499,31.06251,29.75001,29.75001,821700,7.73294
2000-05-08,30.00,31.18749,29.87499,30.75,1049700,7.99287
2000-05-09,30.50001,31.62501,30.06249,30.5625,779100,7.9441
2000-05-10,30.68751,30.75,29.56251,29.93751,791700,7.78168
2000-05-11,30.24999,30.75,29.87499,30.68751,887400,7.97663
2000-05-12,30.24999,31.43751,30.1875,31.06251,768600,8.07410
2000-05-15,31.875,32.25,31.81251,32.12499,915300,8.3502
2000-05-16,32.0625,32.31249,31.74999,32.18751,1140900,8.36653
2000-05-17,31.50,32.18751,31.18749,31.875,864600,8.285
2000-05-18,31.74999,33.24999,31.6875,31.875,821100,8.285
2000-05-19,30.62499,31.56249,29.8125,29.87499,1150800,7.76543
2000-05-22,30.12501,30.75,28.74999,29.68749,1109700,7.71669
2000-05-23,29.87499,30.5625,29.75001,30.24999,1165500,7.86290
2000-05-24,30.43749,31.74999,30.43749,30.9375,1226700,8.04161
2000-05-25,30.68751,31.62501,29.0625,29.4375,1255800,7.65171
2000-05-26,29.68749,30.24999,29.37501,29.56251,2280600,7.68421
2000-05-30,29.49999,30.12501,29.37501,29.93751,931500,7.78168
2000-05-31,29.56251,30.68751,29.37501,30.00,1993800,7.79792
2000-06-01,29.93751,30.99999,29.56251,30.43749,2248500,7.91164
2000-06-02,30.68751,32.8125,30.68751,32.4375,1772100,8.43151
2000-06-05,32.56251,32.93751,31.875,32.00001,1029300,8.31779
2000-06-06,31.74999,31.875,30.99999,31.50,973200,8.18782
2000-06-07,31.43751,33.24999,31.43751,32.625,1508100,8.48024
2000-06-08,32.4375,32.625,30.87501,30.9375,1131000,8.04161
2000-06-09,31.06251,32.37501,30.31251,30.5625,1621200,7.9441
2000-06-12,30.81249,31.125,30.06249,30.1875,672000,7.84666
2000-06-13,30.06249,30.99999,30.06249,30.9375,716700,8.04161
2000-06-14,31.875,31.875,30.9375,30.9375,1812000,8.04161
2000-06-15,30.87501,30.87501,28.18749,29.56251,3807600,7.68421
2000-06-16,29.56251,29.87499,29.25,29.49999,2202000,7.66796
2000-06-19,29.4375,31.50,29.4375,30.75,2607000,7.99287
2000-06-20,30.62499,31.25001,30.50001,30.99999,1754400,8.05785
2000-06-21,30.75,31.125,29.56251,30.00,1288500,7.79792
2000-06-22,29.75001,30.06249,29.49999,29.87499,1170600,7.76543
2000-06-23,29.93751,29.93751,28.62501,29.25,1191600,7.60298
2000-06-26,29.37501,30.81249,29.18751,30.75,2025300,7.99287
2000-06-27,30.81249,31.43751,30.31251,30.68751,864900,7.97663
