Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,39.4375,40.6875,37.9375,39.75,570400,19.6432
2000-01-04,36.875,42.25,36.50,41.875,351100,20.69340
2000-01-05,43.25,44.375,40.00,40.8125,441000,20.16834
2000-01-06,40.8125,42.375,39.00,39.0625,182700,19.30354
2000-01-07,40.0625,40.125,37.25,38.00,300200,18.77849
2000-01-10,38.375,39.125,36.75,38.50,334900,19.02557
2000-01-11,38.125,38.25,37.625,37.9375,102900,18.74760
2000-01-12,38.0625,38.1875,37.4375,38.00,200800,18.77849
2000-01-13,37.875,40.50,37.50,37.75,172300,18.65494
2000-01-14,37.8125,47.00,37.75,43.625,747700,21.55820
2000-01-18,44.50,44.50,40.4375,43.4375,313400,21.46554
2000-01-19,44.0625,45.75,43.3125,44.75,248100,22.11414
2000-01-20,45.125,50.00,44.375,48.75,415800,24.09082
2000-01-21,49.50,55.00,49.00,54.75,516300,27.05585
2000-01-24,56.90625,57.25,51.875,52.625,273000,26.00573
2000-01-25,52.00,53.50,50.375,52.125,237100,25.75865
2000-01-26,51.25,52.25,51.25,51.75,118700,25.5733
2000-01-27,52.125,54.375,51.50,53.00,131300,26.19105
2000-01-28,52.50,56.625,52.50,56.625,178100,27.98242
2000-01-31,58.875,70.875,57.25,68.6875,714800,33.94335
2000-02-01,69.50,71.75,65.25,67.50,408700,33.3565
2000-02-02,66.50,74.00,66.50,70.00,243200,34.59195
2000-02-03,72.9375,75.00,70.00,70.125,347500,34.65372
2000-02-04,70.625,71.00,64.3125,68.25,137700,33.72715
2000-02-07,66.00,69.00,65.25,68.375,61400,33.78892
2000-02-08,70.375,75.8125,69.75,75.1875,160600,37.15546
2000-02-09,75.4375,75.50,69.8125,69.875,151600,34.53018
2000-02-10,69.875,72.75,66.375,68.375,44100,33.78892
2000-02-11,67.75,72.00,67.375,71.75,116100,35.45675
2000-02-14,72.00,72.00,66.75,68.375,193700,33.78892
2000-02-15,67.8125,67.9375,60.50,63.625,137800,31.44161
2000-02-16,65.5625,66.00,61.375,63.9375,99300,31.59604
2000-02-17,63.9375,63.9375,61.00,61.75,111200,30.51504
2000-02-18,61.96875,62.6875,57.875,60.00,175800,29.65024
2000-02-22,58.875,60.125,58.50,58.625,51000,28.97076
2000-02-23,59.1875,60.25,52.6875,55.75,195200,27.55002
2000-02-24,55.00,56.00,53.50,54.25,363900,26.80876
