Date,Open,High,Low,Close,Volume,Adj Clos
2007-06-27,14.90,15.00,14.05,14.55,000,5.1309
2007-06-28,14.60,14.87,14.50,14.75,531900,5.20146
2007-06-29,14.75,14.95,14.55,14.75,396100,5.20146
2007-07-02,14.70,14.86,14.70,14.80,142200,5.219
2007-07-03,14.70,14.95,14.70,14.90,91300,5.25436
2007-07-05,15.99,15.99,14.75,15.14,165800,5.33899
2007-07-06,15.25,15.25,14.75,14.99,71100,5.28610
2007-07-09,14.95,15.00,14.80,14.99,62400,5.28610
2007-07-10,14.95,15.09,14.84,15.00,136800,5.28962
2007-07-11,14.99,15.00,14.86,15.00,251900,5.28962
2007-07-12,15.00,15.10,14.90,15.01,127000,5.29315
2007-07-13,14.90,15.10,14.90,14.96,80700,5.27552
2007-07-16,14.95,15.15,14.90,14.99,112200,5.28610
2007-07-17,14.91,15.00,14.90,15.00,80400,5.28962
2007-07-18,14.99,15.05,14.53,14.84,205100,5.23320
2007-07-19,14.80,14.87,14.60,14.75,142300,5.20146
2007-07-20,14.76,14.80,14.61,14.65,143900,5.16620
2007-07-23,14.69,14.72,14.60,14.70,49600,5.18383
2007-07-24,14.51,14.72,14.40,14.70,121000,5.18383
2007-07-25,14.45,14.71,14.31,14.70,75200,5.18383
2007-07-26,14.35,14.35,12.45,13.47,355300,4.75008
2007-07-27,13.17,13.50,12.50,13.11,188300,4.62313
2007-07-30,13.17,13.98,13.06,13.26,145100,4.67603
2007-07-31,12.87,13.38,12.63,13.16,198000,4.64076
2007-08-01,12.90,13.12,12.68,12.99,240800,4.58081
2007-08-02,12.90,13.18,12.73,12.95,161600,4.56671
2007-08-03,12.81,12.90,12.65,12.79,126300,4.5102
2007-08-06,12.73,13.12,12.37,13.01,495200,4.58787
2007-08-07,12.68,12.71,12.40,12.61,83300,4.44681
2007-08-08,12.60,12.99,12.60,12.80,89700,4.51381
2007-08-09,12.50,13.10,12.50,12.88,165500,4.54202
2007-08-10,12.27,12.89,12.27,12.70,107400,4.47855
2007-08-13,12.75,13.00,12.75,12.92,79000,4.55613
2007-08-14,12.92,13.00,12.88,13.00,84100,4.58434
2007-08-15,12.76,13.00,12.60,12.75,197100,4.49618
2007-08-16,12.31,13.00,12.00,12.66,225600,4.46444
2007-08-17,13.00,13.40,12.50,12.96,218500,4.57023
2007-08-20,13.12,14.00,12.95,14.00,199200,4.93698
2007-08-21,14.00,14.31,13.30,13.76,157900,4.85235
2007-08-22,13.99,14.35,13.80,14.05,200900,4.95461
2007-08-23,14.15,14.50,13.76,14.29,220100,5.03925
2007-08-24,14.14,14.50,13.75,14.12,222000,4.97930
2007-08-27,14.24,14.49,13.81,14.23,207300,5.01809
2007-08-28,14.04,14.14,13.90,13.99,125200,4.9334
2007-08-29,13.82,14.42,13.71,14.40,30900,5.07804
2007-08-30,14.28,14.59,14.28,14.59,38400,5.14504
2007-08-31,14.60,14.65,13.81,14.50,42600,5.11330
2007-09-04,14.56,14.65,14.25,14.42,50200,5.08509
2007-09-05,14.23,14.65,14.13,14.36,38900,5.06393
2007-09-06,14.31,14.63,14.14,14.48,76400,5.10625
2007-09-07,14.60,14.81,14.26,14.40,106000,5.07804
2007-09-10,14.77,14.77,14.20,14.41,125200,5.0815
2007-09-11,14.59,14.59,14.22,14.46,82700,5.09920
2007-09-12,14.29,14.30,13.94,14.29,74700,5.1
2007-09-13,14.30,14.50,14.30,14.40,59100,5.22995
2007-09-14,14.33,14.33,14.24,14.28,34800,5.18636
2007-09-17,14.22,14.84,14.18,14.56,60800,5.28806
2007-09-18,14.68,14.68,14.31,14.64,110200,5.31711
2007-09-19,14.70,14.87,14.23,14.50,106200,5.2662
2007-09-20,14.50,14.50,14.06,14.24,87500,5.1718
