Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,22.4375,22.4375,21.6875,21.875,38700,11.20744
2000-01-04,21.875,21.875,21.50,21.6875,21900,11.11138
2000-01-05,21.75,22.625,21.5625,22.4375,20500,11.49563
2000-01-06,22.50,22.625,22.0625,22.625,22800,11.59170
2000-01-07,22.5625,22.875,22.0625,22.8125,31400,11.68776
2000-01-10,22.9375,23.00,22.5625,22.8125,35800,11.68776
2000-01-11,22.8125,22.875,22.50,22.50,19800,11.52765
2000-01-12,22.50,22.50,21.75,21.875,22600,11.20744
2000-01-13,21.75,22.3125,21.625,22.3125,23400,11.43159
2000-01-14,22.1875,22.50,21.875,22.0625,12900,11.30350
2000-01-18,21.5625,21.9375,21.50,21.875,51500,11.20744
2000-01-19,21.125,22.25,21.125,22.25,55000,11.39957
2000-01-20,22.375,22.4375,21.6875,22.4375,31200,11.49563
2000-01-21,22.6875,23.50,22.6875,23.3125,57100,11.94393
2000-01-24,23.50,24.3125,23.50,24.0625,45400,12.3281
2000-01-25,24.3125,24.4375,24.00,24.1875,43800,12.39223
2000-01-26,24.1875,24.9375,24.1875,24.9375,35700,12.77648
2000-01-27,24.9375,25.00,23.9375,24.1875,57900,12.39223
2000-01-28,24.0625,24.5625,24.0625,24.25,24400,12.42425
2000-01-31,24.375,24.375,23.50,23.9375,42100,12.26414
2000-02-01,24.00,24.00,23.6875,24.00,20200,12.29616
2000-02-02,23.9375,24.00,23.875,23.9375,14300,12.26414
2000-02-03,24.00,24.375,23.875,24.3125,46500,12.45627
2000-02-04,24.25,24.25,24.00,24.1875,19600,12.39223
2000-02-07,24.1875,24.5625,24.1875,24.1875,16400,12.39223
2000-02-08,24.25,24.8125,24.25,24.6875,31800,12.64840
2000-02-09,24.50,25.1875,24.1875,25.0625,38300,12.98251
2000-02-10,25.00,25.00,24.125,24.125,17200,12.49688
2000-02-11,23.9375,24.4375,23.50,23.50,23500,12.17313
2000-02-14,23.3125,23.8125,23.0625,23.8125,23100,12.33500
2000-02-15,23.75,23.75,23.0625,23.50,25800,12.17313
2000-02-16,23.5625,23.5625,23.00,23.0625,14700,11.94650
2000-02-17,22.8125,23.25,22.8125,23.00,26300,11.91412
2000-02-18,22.9375,22.9375,21.8125,22.1875,26600,11.49324
2000-02-22,22.125,22.125,21.125,21.4375,66400,11.10474
2000-02-23,21.50,21.50,21.0625,21.25,47300,11.00761
2000-02-24,21.0625,21.125,20.4375,20.5625,41100,10.6514
2000-02-25,20.50,20.9375,20.50,20.8125,67400,10.78099
2000-02-28,20.9375,21.375,20.625,21.375,37700,11.0723
2000-02-29,21.50,22.00,21.50,22.00,66500,11.39612
2000-03-01,22.00,22.1875,21.875,22.125,60900,11.46087
2000-03-02,22.1875,22.8125,22.0625,22.6875,37900,11.75225
2000-03-03,22.875,22.9375,22.6875,22.8125,27700,11.81700
2000-03-06,22.625,22.625,22.3125,22.50,27700,11.65512
2000-03-07,22.5625,22.9375,22.5625,22.9375,23400,11.88175
2000-03-08,23.00,23.4375,23.00,23.25,33600,12.0436
2000-03-09,23.1875,23.3125,22.9375,23.125,12800,11.9788
2000-03-10,23.0625,23.1875,22.9375,22.9375,17500,11.88175
2000-03-13,22.6875,22.8125,22.00,22.125,34900,11.46087
2000-03-14,22.125,22.125,21.50,22.125,25100,11.46087
2000-03-15,21.875,22.25,21.625,22.125,21000,11.46087
2000-03-16,22.25,23.1875,22.125,22.9375,47100,11.88175
2000-03-17,22.50,22.6875,22.25,22.625,37300,11.71987
2000-03-20,22.375,22.50,22.1875,22.375,29600,11.59037
2000-03-21,22.375,22.5625,22.25,22.375,23700,11.59037
2000-03-22,22.375,22.4375,21.8125,22.375,27000,11.59037
2000-03-23,22.3125,22.375,22.25,22.25,21900,11.52562
2000-03-24,22.00,22.1875,22.00,22.0625,12200,11.42849
2000-03-27,22.0625,22.1875,21.75,22.0625,35500,11.42849
2000-03-28,22.125,22.375,22.125,22.1875,43700,11.49324
2000-03-29,22.1875,22.375,22.0625,22.0625,34800,11.42849
2000-03-30,22.1875,22.50,22.1875,22.50,35800,11.65512
2000-03-31,22.50,22.625,22.0625,22.0625,82800,11.42849
2000-04-03,21.8125,22.25,21.75,21.9375,36900,11.36374
2000-04-04,22.00,22.00,21.375,21.625,39500,11.20187
2000-04-05,21.5625,22.25,21.5625,22.1875,36400,11.49324
2000-04-06,22.3125,22.50,22.3125,22.4375,24000,11.62275
2000-04-07,22.3125,22.50,22.00,22.125,16300,11.46087
2000-04-10,22.1875,22.1875,21.5625,21.5625,24900,11.16949
2000-04-11,21.5625,22.1875,21.5625,21.6875,31600,11.23424
2000-04-12,21.5625,22.1875,21.50,21.625,19300,11.20187
2000-04-13,21.625,21.875,21.3125,21.4375,27000,11.10474
2000-04-14,21.375,21.50,21.00,21.4375,25000,11.10474
2000-04-17,21.3125,21.375,20.875,21.375,27400,11.0723
2000-04-18,21.1875,21.5625,21.00,21.5625,42200,11.16949
2000-04-19,21.50,21.5625,21.50,21.50,25900,11.13712
2000-04-20,21.5625,21.6875,21.375,21.5625,33800,11.16949
2000-04-24,21.50,21.75,21.50,21.625,16800,11.20187
2000-04-25,21.75,21.875,21.5625,21.875,16500,11.33137
2000-04-26,21.9375,22.25,21.875,22.1875,138500,11.49324
2000-04-27,22.0625,23.00,21.9375,23.00,35900,11.91412
2000-04-28,22.875,22.9375,22.3125,22.9375,30300,11.88175
2000-05-01,22.8125,23.125,22.00,23.125,88000,11.9788
2000-05-02,22.9375,23.5625,22.8125,23.5625,59300,12.20550
2000-05-03,23.4375,23.5625,22.125,22.125,25300,11.46087
2000-05-04,22.3125,23.125,22.1875,23.125,53600,11.9788
2000-05-05,23.375,23.75,23.125,23.50,35000,12.17313
2000-05-08,23.125,23.50,22.9375,23.25,27800,12.0436
2000-05-09,23.25,23.375,23.00,23.375,35200,12.10838
2000-05-10,23.125,23.3125,22.875,22.9375,6000,12.02060
2000-05-11,23.00,23.25,22.9375,23.1875,25700,12.15161
2000-05-12,23.1875,23.25,22.8125,23.0625,18400,12.08610
2000-05-15,22.9375,23.25,22.3125,23.25,21400,12.1843
2000-05-16,23.25,23.375,23.0625,23.3125,19600,12.21712
2000-05-17,23.3125,23.3125,22.875,23.125,23600,12.11886
2000-05-18,23.25,23.3125,22.3125,22.50,29900,11.79132
2000-05-19,22.625,22.625,22.00,22.50,26800,11.79132
2000-05-22,22.375,23.00,22.3125,22.9375,17900,12.02060
2000-05-23,22.8125,22.875,22.50,22.5625,16100,11.8240
2000-05-24,22.5625,23.00,22.50,22.8125,22400,11.95509
2000-05-25,23.125,23.375,22.6875,23.0625,24500,12.08610
2000-05-26,23.0625,24.00,23.0625,23.8125,45600,12.47915
2000-05-30,23.9375,23.9375,23.3125,23.6875,18500,12.41364
2000-05-31,23.50,24.00,23.50,23.9375,23100,12.54466
2000-06-01,23.9375,24.0625,23.50,24.00,60400,12.57741
2000-06-02,24.125,24.125,23.375,23.5625,41700,12.34813
2000-06-05,23.5625,23.5625,22.3125,22.50,32100,11.79132
2000-06-06,22.625,22.6875,22.25,22.375,50900,11.72581
2000-06-07,22.25,22.4375,22.25,22.25,30300,11.66031
2000-06-08,22.25,22.6875,22.25,22.625,16800,11.85683
2000-06-09,22.625,22.875,22.50,22.75,29700,11.92234
2000-06-12,22.9375,23.125,22.8125,22.8125,22500,11.95509
2000-06-13,23.00,23.25,22.50,23.25,31900,12.1843
2000-06-14,23.0625,24.25,23.0625,24.0625,35300,12.61016
2000-06-15,23.9375,24.625,23.875,24.625,58700,12.90495
2000-06-16,24.50,24.75,23.875,24.125,69100,12.64292
2000-06-19,24.125,24.6875,23.9375,24.6875,26900,12.93770
2000-06-20,24.8125,25.125,24.3125,25.125,49300,13.16698
2000-06-21,25.00,25.1875,24.50,24.625,10800,12.90495
2000-06-22,24.50,24.5625,23.50,23.625,20500,12.38089
2000-06-23,23.5625,24.0625,23.4375,23.9375,29900,12.54466
2000-06-26,23.75,23.9375,23.75,23.8125,8400,12.47915
2000-06-27,24.00,24.1875,23.3125,23.375,49600,12.24987
2000-06-28,23.25,23.5625,23.00,23.5625,40100,12.34813
2000-06-29,23.5625,24.1875,23.125,23.25,53600,12.1843
2000-06-30,23.0625,23.3125,22.546881,22.546881,63400,11.81589
2000-07-03,22.6875,23.3125,22.6875,23.0625,15500,12.08610
2000-07-05,23.00,23.25,22.5625,23.125,65000,12.11886
2000-07-06,23.25,23.375,23.00,23.375,42700,12.24987
2000-07-07,23.4375,23.875,23.375,23.6875,62700,12.41364
2000-07-10,23.6875,23.6875,23.25,23.3125,15700,12.21712
2000-07-11,23.375,23.375,23.00,23.3125,18200,12.21712
2000-07-12,23.3125,23.8125,23.1875,23.8125,16900,12.47915
2000-07-13,23.6875,23.9375,23.4375,23.5625,13100,12.34813
2000-07-14,23.50,23.50,23.1875,23.25,9300,12.1843
2000-07-17,23.125,23.25,22.9375,22.9375,16100,12.02060
2000-07-18,23.00,23.00,22.375,22.50,51500,11.79132
2000-07-19,22.25,23.00,22.25,22.9375,22300,12.02060
2000-07-20,22.6875,23.00,22.6875,22.9375,15800,12.02060
2000-07-21,22.9375,23.1875,22.625,22.6875,9400,11.88958
2000-07-24,22.6875,22.9375,22.25,22.3125,21600,11.69306
2000-07-25,22.50,22.75,22.00,22.4375,27100,11.75857
2000-07-26,22.375,23.00,22.375,22.9375,20200,12.02060
2000-07-27,23.00,23.25,23.00,23.125,9500,12.11886
2000-07-28,23.0625,23.125,22.75,23.0625,29600,12.08610
2000-07-31,23.00,23.1875,22.6875,23.1875,17900,12.15161
2000-08-01,23.125,23.375,23.125,23.1875,22200,12.15161
2000-08-02,23.1875,23.25,22.8125,22.875,9600,11.98784
2000-08-03,23.00,24.25,22.8125,24.1875,38900,12.67567
2000-08-04,24.1875,24.3125,23.75,24.3125,25500,12.74118
2000-08-07,24.1875,24.9375,24.1875,24.75,15200,12.97045
2000-08-08,24.5625,25.00,24.50,25.00,16600,13.10147
2000-08-09,24.875,24.9375,24.3125,24.4375,15300,12.8066
2000-08-10,24.50,25.125,24.50,24.8125,33200,13.00321
2000-08-11,24.8125,25.875,24.75,25.8125,31600,13.52727
2000-08-14,25.6875,26.00,25.375,26.00,37400,13.62553
2000-08-15,25.875,26.00,25.1875,25.75,25700,13.49451
2000-08-16,25.3125,25.625,25.1875,25.50,8600,13.50510
2000-08-17,25.6875,25.75,24.125,25.1875,24200,13.33960
2000-08-18,25.25,25.4375,24.875,25.4375,9500,13.47200
2000-08-21,25.3125,25.375,25.125,25.1875,5700,13.33960
2000-08-22,25.1875,25.1875,24.50,24.9375,7500,13.20720
2000-08-23,24.75,24.75,24.50,24.5625,12900,13.00859
2000-08-24,24.6875,24.75,24.375,24.6875,11100,13.07479
2000-08-25,24.875,25.0625,24.6875,25.0625,12300,13.27340
2000-08-28,25.0625,25.375,25.0625,25.25,63900,13.37270
2000-08-29,25.25,25.375,24.9375,25.25,50500,13.37270
2000-08-30,25.3125,25.50,25.25,25.50,25900,13.50510
2000-08-31,25.50,25.5625,25.375,25.50,21100,13.50510
2000-09-01,25.5625,25.8125,25.3125,25.8125,28800,13.67061
2000-09-05,25.9375,26.00,25.75,25.9375,31900,13.73681
2000-09-06,25.8125,26.00,25.50,26.00,27500,13.76991
2000-09-07,25.875,26.9375,25.875,26.9375,34100,14.26642
2000-09-08,26.90625,28.1875,26.8125,27.125,38200,14.36572
2000-09-11,27.125,27.5625,26.9375,27.1875,30200,14.3988
2000-09-12,27.3125,27.625,26.9375,27.50,28300,14.56433
2000-09-13,27.25,27.875,27.1875,27.75,35000,14.69673
2000-09-14,27.9375,29.00,27.75,29.00,26500,15.35875
2000-09-15,28.75,30.125,28.6875,29.25,89100,15.49115
2000-09-18,29.25,29.25,27.625,28.1875,57300,14.92844
2000-09-19,28.00,28.25,27.75,28.25,38400,14.96154
2000-09-20,28.00,28.25,27.875,28.0625,26700,14.8622
2000-09-21,28.00,28.375,27.5625,27.6875,14500,14.66363
2000-09-22,27.50,27.9375,26.875,27.875,17300,14.76293
2000-09-25,27.75,27.9375,27.25,27.875,13500,14.76293
2000-09-26,27.875,28.25,27.75,28.0625,22700,14.8622
2000-09-27,28.00,28.25,27.375,28.0625,16900,14.8622
2000-09-28,27.9375,28.5625,27.9375,28.25,25700,14.96154
2000-09-29,28.125,28.3125,27.8125,28.0625,75600,14.8622
2000-10-02,28.1875,28.625,28.00,28.1875,23200,14.92844
2000-10-03,28.0625,28.375,27.4375,27.625,17900,14.63053
2000-10-04,27.625,27.8125,27.00,27.75,27200,14.69673
2000-10-05,27.875,28.4375,27.875,28.00,19400,14.82913
2000-10-06,28.125,28.125,27.6875,28.0625,15600,14.8622
2000-10-09,28.125,28.125,27.4375,27.6875,20100,14.66363
2000-10-10,27.5625,28.875,27.5625,27.9375,65700,14.79603
2000-10-11,28.1875,28.50,28.00,28.375,35600,15.02774
2000-10-12,28.00,28.375,27.75,28.375,21800,15.02774
2000-10-13,28.1875,29.00,27.6875,29.00,36000,15.35875
2000-10-16,29.00,29.00,28.4375,28.50,19600,15.09394
2000-10-17,28.50,28.6875,28.1875,28.625,42400,15.16014
2000-10-18,28.5625,28.8125,28.00,28.375,23100,15.02774
2000-10-19,28.4375,29.3125,28.375,29.3125,28500,15.52425
2000-10-20,29.5625,29.75,29.5625,29.6875,12100,15.7228
2000-10-23,30.00,30.125,28.875,29.3125,25800,15.52425
2000-10-24,29.1875,29.6875,29.125,29.5625,38000,15.65665
2000-10-25,29.625,30.4375,29.5625,30.4375,57800,16.12006
2000-10-26,30.4375,30.5625,30.00,30.5625,47800,16.18627
2000-10-27,30.4375,31.00,30.375,30.9375,27600,16.38487
2000-10-30,30.75,31.375,30.75,31.375,29200,16.6165
2000-10-31,31.125,31.4375,31.0625,31.25,46000,16.55037
2000-11-01,31.375,31.8125,31.25,31.75,38200,16.81518
2000-11-02,31.50,31.75,30.8125,31.25,47500,16.55037
2000-11-03,31.375,31.375,30.3125,31.0625,30300,16.45107
2000-11-06,31.0625,31.0625,30.1875,30.3125,14200,16.05386
2000-11-07,30.0625,30.50,29.6875,30.0625,22900,15.92146
2000-11-08,30.00,30.4375,29.50,29.875,23300,15.82216
2000-11-09,29.9375,29.9375,28.875,29.50,15300,15.62355
2000-11-10,29.375,29.8125,28.875,29.125,22000,15.42495
2000-11-13,28.8125,29.125,28.75,29.125,23400,15.42495
2000-11-14,29.25,29.50,29.1875,29.3125,24400,15.52425
2000-11-15,29.1875,29.625,28.9375,29.0625,27500,15.53494
2000-11-16,28.9375,29.25,28.75,28.875,17100,15.43472
2000-11-17,29.0625,29.625,29.00,29.625,19100,15.83562
2000-11-20,29.75,30.375,29.4375,30.375,31500,16.23652
2000-11-21,30.375,32.125,30.00,32.125,55000,17.17196
2000-11-22,32.125,33.375,31.625,33.375,57500,17.84013
2000-11-24,33.375,34.00,33.375,34.00,28800,18.17421
2000-11-27,33.9375,34.5625,33.875,34.375,45400,18.37466
2000-11-28,33.875,34.0625,33.3125,34.00,77800,18.17421
2000-11-29,33.8125,34.50,33.75,34.50,57200,18.44148
2000-11-30,34.625,35.0625,33.625,34.125,68000,18.24103
2000-12-01,34.1875,34.25,33.9375,34.1875,45100,18.27444
2000-12-04,34.25,34.375,34.00,34.1875,36800,18.27444
2000-12-05,34.25,34.3125,34.0625,34.3125,30600,18.34126
2000-12-06,34.0625,34.75,34.00,34.3125,38200,18.34126
2000-12-07,34.3125,36.25,34.3125,35.25,56300,18.84238
2000-12-08,35.25,35.75,35.00,35.75,54400,19.10965
2000-12-11,35.5625,37.50,35.4375,37.25,93600,19.91145
2000-12-12,37.50,38.0625,37.375,37.6875,98500,20.14531
2000-12-13,37.8125,38.3125,37.625,38.125,163100,20.37917
2000-12-14,38.0625,38.375,37.875,38.0625,43200,20.3457
