Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,0.04,0.04,0.04,0.04,000,0.1007
2000-01-04,0.04,0.04,0.04,0.04,000,0.1007
2000-01-05,0.04,0.04,0.04,0.04,000,0.1007
2000-01-06,0.04,0.04,0.04,0.04,000,0.1007
2000-01-07,0.04,0.04,0.04,0.04,000,0.1007
2000-01-10,0.04,0.04,0.04,0.04,000,0.1007
2000-01-11,0.04,0.04,0.04,0.04,000,0.1007
2000-01-12,0.04,0.04,0.04,0.04,000,0.1007
2000-01-13,0.04,0.04,0.04,0.04,000,0.1007
2000-01-14,0.04,0.04,0.04,0.04,000,0.1007
2000-01-17,0.06,0.06,0.06,0.06,100,0.1511
2000-01-18,0.06,0.06,0.06,0.06,000,0.1511
2000-01-19,0.06,0.06,0.06,0.06,000,0.1511
2000-01-20,0.06,0.06,0.06,0.06,000,0.1511
2000-01-21,0.06,0.06,0.06,0.06,000,0.1511
2000-01-24,0.06,0.06,0.06,0.06,000,0.1511
2000-01-25,0.06,0.06,0.06,0.06,000,0.1511
2000-01-26,0.06,0.06,0.06,0.06,000,0.1511
2000-01-27,0.06,0.06,0.06,0.06,000,0.1511
2000-01-28,0.10,0.10,0.09,0.09,5500,0.2266
2000-01-31,0.09,0.09,0.09,0.09,000,0.2266
2000-02-01,0.09,0.09,0.09,0.09,000,0.2266
2000-02-02,0.09,0.09,0.09,0.09,000,0.2266
2000-02-03,0.09,0.09,0.09,0.09,000,0.2266
2000-02-04,0.09,0.09,0.09,0.09,000,0.2266
2000-02-07,0.09,0.09,0.09,0.09,000,0.2266
2000-02-08,0.09,0.09,0.09,0.09,000,0.2266
2000-02-09,0.11,0.11,0.11,0.11,000,0.2770
2000-02-10,0.11,0.11,0.11,0.11,000,0.2770
2000-02-11,0.14,0.14,0.14,0.14,100,0.3525
2000-02-14,0.16,0.16,0.16,0.16,000,0.4029
2000-02-15,0.13,0.13,0.11,0.11,2300,0.2770
2000-02-16,0.11,0.11,0.11,0.11,800,0.2770
2000-02-17,0.15,0.15,0.11,0.15,1700,0.3777
2000-02-18,0.11,0.11,0.11,0.11,000,0.2770
2000-02-21,0.11,0.11,0.11,0.11,200,0.2770
2000-02-22,0.15,0.15,0.15,0.15,400,0.3777
2000-02-23,0.18,0.18,0.16,0.18,2800,0.4533
2000-02-24,0.22,0.22,0.18,0.22,1400,0.5540
2000-02-25,0.50,0.50,0.22,0.37,36700,0.9318
2000-02-28,0.39,0.39,0.28,0.30,10700,0.7555
