Date,Open,High,Low,Close,Volume,Adj Clos
2005-03-29,25.00,25.01,25.00,25.00,807900,8.89699
2005-03-30,25.00,25.01,25.00,25.00,18300,8.89699
2005-03-31,25.00,25.02,25.00,25.01,21400,8.90055
2005-04-01,25.02,25.02,25.00,25.00,10300,8.89699
2005-04-04,25.01,25.01,25.00,25.00,30900,8.89699
2005-04-05,25.00,25.01,25.00,25.01,19000,8.90055
2005-04-06,25.00,25.059999,25.00,25.00,6500,8.89699
2005-04-07,25.00,25.02,25.00,25.02,9600,8.90411
2005-04-08,25.040001,25.049999,25.00,25.00,7100,8.89699
2005-04-11,25.030001,25.040001,25.00,25.01,3300,8.90055
2005-04-12,25.01,25.02,25.00,25.00,13700,8.89699
2005-04-13,25.01,25.10,25.00,25.00,8000,8.89699
2005-04-14,25.00,25.10,25.00,25.049999,3900,8.91479
2005-04-15,25.049999,25.10,25.00,25.00,14600,8.89699
2005-04-18,25.00,25.07,25.00,25.07,8100,8.92190
2005-04-19,25.049999,25.049999,25.00,25.00,9000,8.89699
2005-04-20,25.049999,25.08,25.00,25.00,5600,8.89699
2005-04-21,25.00,25.10,25.00,25.07,14100,8.92190
2005-04-22,25.10,25.10,25.00,25.00,13000,8.89699
2005-04-25,25.00,25.10,25.00,25.049999,16200,8.91479
2005-04-26,24.74,25.139999,24.50,25.040001,190800,8.91123
2005-04-27,25.059999,25.10,24.700001,24.799999,24900,8.82582
2005-04-28,24.700001,24.700001,24.00,24.00,37900,8.54111
2005-04-29,24.049999,24.049999,23.50,23.799999,11900,8.46994
2005-05-02,23.799999,23.799999,22.90,23.35,48900,8.30979
2005-05-03,23.35,23.85,23.35,23.799999,32100,8.46994
2005-05-04,23.90,24.10,23.60,24.00,44300,8.54111
2005-05-05,24.00,24.60,23.90,24.60,44200,8.75464
2005-05-06,24.65,24.65,24.35,24.50,27100,8.71905
2005-05-09,24.549999,24.68,24.450001,24.68,10900,8.78311
2005-05-10,24.50,24.700001,24.50,24.65,12000,8.77243
2005-05-11,24.65,24.67,24.299999,24.450001,9800,8.70126
2005-05-12,24.450001,24.450001,24.200001,24.40,8600,8.68346
2005-05-13,24.209999,24.209999,23.809999,24.10,20600,8.57670
2005-05-16,24.10,24.60,24.00,24.25,11500,8.63008
2005-05-17,24.200001,24.35,24.10,24.200001,6400,8.61229
2005-05-18,24.25,24.700001,24.15,24.700001,15200,8.79023
2005-05-19,24.690001,24.690001,24.200001,24.299999,9200,8.64788
2005-05-20,24.200001,24.450001,24.200001,24.299999,3500,8.64788
2005-05-23,24.35,24.60,24.10,24.50,11900,8.71905
2005-05-24,24.65,24.65,24.110001,24.200001,14400,8.61229
2005-05-25,24.25,24.60,24.129999,24.40,21800,8.68346
2005-05-26,24.450001,24.549999,24.200001,24.40,7600,8.68346
2005-05-27,24.299999,24.50,24.110001,24.450001,25900,8.70126
2005-05-31,24.50,24.50,24.10,24.200001,29200,8.61229
2005-06-01,24.299999,24.450001,24.15,24.309999,17400,8.6514
2005-06-02,24.35,24.60,24.35,24.41,16900,8.68702
2005-06-03,24.469999,24.690001,24.35,24.59,15000,8.75108
2005-06-06,24.49,24.59,24.299999,24.59,8600,8.75108
2005-06-07,24.49,24.65,24.40,24.65,11200,8.77243
2005-06-08,24.549999,24.74,24.51,24.73,10900,8.8009
2005-06-09,24.629999,24.75,24.50,24.700001,17900,8.79023
2005-06-10,24.60,24.73,24.40,24.65,21800,8.77243
2005-06-13,24.200001,24.50,24.10,24.35,16300,8.80280
2005-06-14,24.35,24.43,24.299999,24.42,13300,8.82811
2005-06-15,24.40,24.549999,24.200001,24.450001,16600,8.83895
2005-06-16,24.40,24.60,24.25,24.33,14300,8.79557
2005-06-17,24.40,24.60,24.299999,24.60,9500,8.89318
2005-06-20,24.50,24.65,24.42,24.65,9000,8.9112
2005-06-21,24.75,24.809999,24.42,24.42,13600,8.82811
2005-06-22,24.41,24.700001,24.40,24.700001,17800,8.92933
2005-06-23,24.700001,24.799999,24.50,24.700001,12600,8.92933
2005-06-24,24.799999,24.799999,24.40,24.40,18100,8.82088
2005-06-27,24.469999,24.68,24.200001,24.200001,20700,8.7485
2005-06-28,24.200001,24.60,24.200001,24.33,10000,8.79557
2005-06-29,24.40,24.59,24.33,24.59,6700,8.88956
2005-06-30,24.50,24.73,24.40,24.50,12800,8.85703
2005-07-01,24.700001,24.75,24.549999,24.75,15200,8.94741
2005-07-05,24.65,24.85,24.50,24.75,18500,8.94741
2005-07-06,24.65,24.85,24.65,24.700001,17800,8.92933
2005-07-07,24.700001,24.799999,24.50,24.700001,15000,8.92933
2005-07-08,24.82,25.00,24.82,24.950001,21500,9.01971
2005-07-11,24.91,25.00,24.60,24.60,26000,8.89318
2005-07-12,24.549999,25.00,24.549999,24.799999,18000,8.96548
2005-07-13,24.90,25.00,24.719999,24.940001,19000,9.01609
2005-07-14,24.84,24.90,24.620001,24.84,13200,8.97994
2005-07-15,24.940001,24.98,24.25,24.65,28300,8.9112
2005-07-18,24.700001,24.99,24.450001,24.99,27200,9.03417
2005-07-19,24.950001,25.00,24.75,24.90,20000,9.00163
2005-07-20,24.950001,25.00,24.610001,24.940001,38300,9.01609
2005-07-21,24.98,25.00,24.709999,24.99,37500,9.03417
2005-07-22,24.870001,25.00,24.75,24.950001,26600,9.01971
2005-07-25,24.90,24.950001,24.620001,24.950001,34000,9.01971
2005-07-26,24.98,24.98,24.559999,24.75,35400,8.94741
2005-07-27,24.85,25.00,24.60,24.99,34600,9.03417
2005-07-28,25.00,25.00,24.700001,24.799999,35500,8.96548
2005-07-29,24.90,25.049999,24.700001,25.00,28300,9.03778
2005-08-01,25.00,25.00,24.60,24.60,41900,8.89318
2005-08-02,24.65,24.92,24.60,24.90,41800,9.00163
2005-08-03,25.09,25.10,24.85,25.040001,31300,9.0522
2005-08-04,25.139999,25.139999,24.90,24.969999,34900,9.02694
2005-08-05,25.00,25.51,24.85,25.059999,26300,9.05947
2005-08-08,25.559999,25.66,25.00,25.450001,36200,9.20046
2005-08-09,25.43,25.49,25.00,25.18,31000,9.10286
2005-08-10,25.200001,25.200001,24.91,25.02,30300,9.04501
2005-08-11,25.07,25.15,25.00,25.10,18600,9.0739
2005-08-12,25.290001,25.35,25.120001,25.33,42700,9.15708
2005-08-15,25.35,25.379999,25.049999,25.370001,32000,9.17154
2005-08-16,25.379999,25.389999,24.90,25.049999,41500,9.05586
2005-08-17,25.299999,25.299999,24.959999,25.040001,34300,9.0522
2005-08-18,25.200001,25.27,24.969999,25.15,21800,9.09201
2005-08-19,25.10,25.299999,24.99,25.15,29800,9.09201
2005-08-22,25.10,25.18,24.90,25.139999,27900,9.088
2005-08-23,25.200001,25.200001,24.90,25.08,27600,9.0667
2005-08-24,25.280001,25.370001,25.00,25.00,26300,9.03778
2005-08-25,25.030001,25.10,24.74,24.85,32700,8.98356
2005-08-26,24.799999,25.09,24.799999,25.049999,16800,9.05586
2005-08-29,25.17,25.17,24.82,25.10,26300,9.0739
2005-08-30,25.17,25.18,24.84,25.08,44500,9.0667
2005-08-31,25.09,25.389999,24.940001,25.219999,21600,9.11732
2005-09-01,25.35,25.389999,25.10,25.299999,29500,9.14624
2005-09-02,25.389999,25.40,25.10,25.299999,23400,9.14624
2005-09-06,25.25,25.450001,25.049999,25.440001,25000,9.19685
2005-09-07,25.440001,25.540001,25.200001,25.49,43600,9.2149
2005-09-08,25.549999,25.90,25.50,25.90,48100,9.36314
2005-09-09,26.15,26.40,26.00,26.40,42300,9.54390
2005-09-12,26.65,26.700001,25.809999,25.969999,58500,9.38845
2005-09-13,25.83,25.83,25.40,25.780001,41400,9.45964
2005-09-14,26.00,26.00,25.51,25.700001,48100,9.43028
2005-09-15,25.50,25.799999,25.50,25.75,30200,9.44863
2005-09-16,25.780001,25.790001,25.50,25.75,26400,9.44863
2005-09-19,25.780001,25.82,25.110001,25.389999,41200,9.31653
2005-09-20,25.469999,25.85,24.98,25.75,39200,9.44863
2005-09-21,25.879999,26.24,25.799999,25.950001,87000,9.5220
2005-09-22,25.82,26.25,25.65,25.65,44700,9.41193
2005-09-23,25.40,25.90,25.299999,25.40,28600,9.32020
2005-09-26,25.60,25.950001,25.280001,25.51,49600,9.36056
2005-09-27,25.40,25.60,25.00,25.450001,51900,9.33855
2005-09-28,25.40,25.50,25.23,25.50,30900,9.35689
2005-09-29,25.50,25.57,25.10,25.219999,19900,9.25415
2005-09-30,25.35,25.799999,25.040001,25.51,37300,9.36056
2005-10-03,25.610001,26.200001,25.52,26.01,60100,9.54403
2005-10-04,26.17,26.91,26.02,26.73,52600,9.80823
2005-10-05,26.75,26.75,26.02,26.02,66700,9.54770
2005-10-06,26.10,26.139999,25.43,25.75,30000,9.44863
2005-10-07,25.75,26.049999,25.549999,25.799999,17300,9.46697
2005-10-10,26.049999,26.10,25.559999,25.85,21200,9.48532
2005-10-11,25.950001,26.50,25.85,26.15,23700,9.59540
2005-10-12,26.299999,26.299999,25.50,25.82,19500,9.47431
2005-10-13,25.780001,26.50,25.60,25.85,42100,9.48532
2005-10-14,26.00,26.10,25.51,25.870001,30300,9.49266
2005-10-17,26.00,26.00,25.50,25.75,22500,9.44863
2005-10-18,25.950001,25.950001,25.549999,25.65,19000,9.41193
2005-10-19,25.530001,25.65,25.059999,25.120001,34600,9.21746
2005-10-20,25.299999,25.49,25.049999,25.200001,32000,9.24681
2005-10-21,25.299999,25.35,25.01,25.10,19400,9.21012
