Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,23.81246,24.99995,23.81246,24.99995,400,10.05714
2000-01-04,24.99995,24.99995,24.99995,24.99995,000,10.05714
2000-01-05,22.999961,24.499947,22.999961,24.499947,1800,9.85599
2000-01-06,23.499963,23.999966,23.499963,23.999966,2600,9.65486
2000-01-07,23.124952,23.124952,23.124952,23.124952,300,9.30285
2000-01-10,23.124952,23.124952,23.124952,23.124952,000,9.30285
2000-01-11,22.999961,23.999966,22.999961,22.999961,700,9.25257
2000-01-12,22.999961,23.499963,22.999961,23.499963,1500,9.45371
2000-01-13,23.499963,23.499963,23.499963,23.499963,000,9.45371
2000-01-14,23.499963,23.499963,23.499963,23.499963,000,9.45371
2000-01-18,23.499963,23.749964,23.499963,23.749964,3800,9.55428
2000-01-19,23.749964,23.749964,23.749964,23.749964,000,9.55428
2000-01-20,23.749964,23.749964,23.749964,23.749964,000,9.55428
2000-01-21,23.499963,23.499963,23.499963,23.499963,2900,9.45371
2000-01-24,23.499963,23.499963,23.499963,23.499963,000,9.45371
2000-01-25,22.999961,22.999961,22.999961,22.999961,400,9.25257
2000-01-26,22.999961,22.999961,22.999961,22.999961,600,9.25257
2000-01-27,22.999961,22.999961,22.999961,22.999961,000,9.25257
2000-01-28,22.999961,22.999961,22.999961,22.999961,000,9.25257
2000-01-31,22.999961,22.999961,22.999961,22.999961,000,9.25257
2000-02-01,22.999961,22.999961,22.74996,22.999961,1900,9.25257
2000-02-02,22.999961,22.999961,22.999961,22.999961,5500,9.25257
2000-02-03,23.124952,23.124952,23.124952,23.124952,1000,9.30285
2000-02-04,23.124952,23.124952,22.499958,22.499958,1500,9.05142
2000-02-07,22.499958,22.499958,22.499958,22.499958,000,9.05142
2000-02-08,22.499958,22.499958,22.499958,22.499958,000,9.05142
2000-02-09,22.74996,22.74996,22.74996,22.74996,3800,9.15200
2000-02-10,22.624969,22.624969,22.624969,22.624969,1300,9.10171
2000-02-11,22.374968,22.374968,22.374968,22.374968,100,9.00114
2000-02-14,22.374968,22.374968,22.374968,22.374968,1800,9.00114
2000-02-15,22.374968,22.374968,22.374968,22.374968,100,9.00114
2000-02-16,22.374968,22.374968,22.374968,22.374968,900,9.00114
2000-02-17,22.374968,22.374968,22.374968,22.374968,000,9.00114
2000-02-18,22.374968,22.374968,22.249958,22.249958,1900,8.95085
2000-02-22,22.249958,22.499958,22.249958,22.499958,1300,9.05142
2000-02-23,22.249958,22.249958,21.749955,21.749955,9300,8.74971
2000-02-24,21.249953,21.249953,20.249968,20.999971,7500,8.44800
2000-02-25,20.999971,20.999971,20.999971,20.999971,000,8.44800
2000-02-28,21.499955,21.499955,20.749971,20.749971,1800,8.34743
2000-02-29,20.749971,20.749971,20.749971,20.749971,300,8.34743
2000-03-01,20.749971,20.749971,20.499971,20.749971,1300,8.34743
2000-03-02,20.499971,20.499971,20.499971,20.499971,1200,8.24686
2000-03-03,20.499971,20.499971,20.499971,20.499971,3800,8.24686
2000-03-06,20.499971,21.249953,20.499971,21.249953,9800,8.54856
2000-03-07,21.499955,21.499955,21.249953,21.249953,2600,8.54856
2000-03-08,21.499955,21.499955,21.249953,21.249953,1800,8.54856
2000-03-09,21.124963,21.499955,21.124963,21.499955,5600,8.64914
2000-03-10,21.499955,21.499955,21.499955,21.499955,2300,8.64914
2000-03-13,21.499955,21.999957,21.499955,21.999957,1200,8.85028
2000-03-14,21.499955,21.499955,21.499955,21.499955,100,8.64914
2000-03-15,21.499955,21.499955,21.249953,21.249953,1600,8.54856
2000-03-16,21.999957,21.999957,21.999957,21.999957,300,8.85028
2000-03-17,21.999957,21.999957,21.999957,21.999957,000,8.85028
2000-03-20,21.999957,21.999957,21.999957,21.999957,000,8.85028
2000-03-21,21.999957,21.999957,21.999957,21.999957,000,8.85028
2000-03-22,21.249953,21.249953,21.249953,21.249953,1000,8.54856
2000-03-23,20.999971,20.999971,20.499971,20.499971,2300,8.24686
2000-03-24,20.249968,20.499971,20.249968,20.499971,2900,8.24686
2000-03-27,20.37496,20.749971,20.37496,20.749971,20100,8.34743
2000-03-28,20.749971,21.124963,20.749971,21.124963,1300,8.49828
2000-03-29,21.124963,21.124963,21.124963,21.124963,000,8.49828
