Date,Open,High,Low,Close,Volume,Adj Clos
2000-06-07,14.75,16.20,14.52,16.20,474300,16.2
2000-06-08,18.49,19.58,16.75,19.50,253200,19.5
2000-06-09,21.40,21.40,19.50,19.99,103800,19.9
2000-06-12,19.99,19.99,19.99,19.99,000,19.9
2000-06-13,19.50,19.90,17.75,17.80,30200,17.8
2000-06-14,19.55,19.55,17.53,18.45,58300,18.4
2000-06-15,17.55,18.15,17.50,17.70,18700,17.7
2000-06-16,17.45,17.70,16.25,17.00,43400,17.0
2000-06-19,17.00,17.30,16.37,16.48,23200,16.4
2000-06-20,16.52,18.12,16.52,17.74,44700,17.7
2000-06-21,18.50,18.99,17.40,17.64,33200,17.6
2000-06-22,17.90,18.30,17.51,18.30,23200,18.3
2000-06-23,17.50,19.35,17.50,18.90,50900,18.9
2000-06-26,19.30,21.70,19.00,21.40,52700,21.4
2000-06-27,21.00,24.71,20.80,24.71,57900,24.7
2000-06-28,25.00,29.85,25.00,29.85,78200,29.8
2000-06-29,30.40,32.83,25.60,26.50,34000,26.5
2000-06-30,27.50,28.44,25.02,25.02,53200,25.0
2000-07-03,27.50,27.50,25.60,27.40,7400,27.4
2000-07-04,27.40,27.40,25.60,26.15,6000,26.1
2000-07-05,25.95,25.95,25.00,25.74,11900,25.7
2000-07-06,25.75,25.75,24.21,25.20,13400,25.2
2000-07-07,25.20,25.20,25.20,25.20,000,25.2
2000-07-10,26.00,26.80,25.00,25.00,16500,25.0
2000-07-11,24.50,25.50,24.50,25.00,11600,25.0
2000-07-12,25.50,25.70,25.00,25.00,4000,25.0
2000-07-13,25.00,25.00,25.00,25.00,000,25.0
2000-07-14,25.00,25.00,25.00,25.00,000,25.0
2000-07-17,24.50,26.00,24.50,25.00,19600,25.0
2000-07-18,26.59,26.59,25.30,25.99,7100,25.9
2000-07-19,25.80,26.90,25.00,26.44,7100,26.4
2000-07-20,26.50,27.09,25.70,26.73,19700,26.7
2000-07-21,26.70,30.87,26.00,30.87,65400,30.8
2000-07-24,30.90,30.90,27.10,28.97,12800,28.9
2000-07-25,29.79,29.79,27.70,28.59,2500,28.5
2000-07-26,27.75,29.00,26.01,28.70,3100,28.7
2000-07-27,29.00,29.00,27.00,27.99,1900,27.9
2000-07-28,27.99,28.00,26.20,27.49,2000,27.4
2000-07-31,27.49,28.39,26.10,28.00,8600,28.0
2000-08-01,27.20,27.20,25.20,25.50,22100,25.5
2000-08-02,27.45,27.45,25.50,26.50,4500,26.5
2000-08-03,25.50,26.00,24.30,24.70,32200,24.7
2000-08-04,25.00,25.75,25.00,25.00,39800,25.0
2000-08-07,25.99,26.50,25.30,26.50,2700,26.5
2000-08-08,26.50,27.05,26.00,26.60,13300,26.6
2000-08-09,26.94,28.50,26.50,28.35,19100,28.3
2000-08-10,29.19,29.70,28.80,28.97,12500,28.9
2000-08-11,29.00,29.00,28.50,28.51,3400,28.5
2000-08-14,28.75,29.40,28.48,28.85,8300,28.8
2000-08-15,28.46,28.80,28.46,28.60,5500,28.6
2000-08-16,28.45,29.00,28.45,28.89,1900,28.8
2000-08-17,28.90,29.15,28.61,28.99,15500,28.9
2000-08-18,28.89,31.00,28.89,30.99,23800,30.9
2000-08-21,32.00,33.90,31.00,33.90,21000,33.9
2000-08-22,35.50,36.00,34.10,35.50,24700,35.5
2000-08-23,37.50,37.50,35.00,35.14,12900,35.1
2000-08-24,35.00,36.00,34.52,35.00,11400,35.0
2000-08-25,34.50,35.00,34.05,34.50,12100,34.5
2000-08-28,35.40,35.40,33.00,33.80,8400,33.8
2000-08-29,32.50,34.09,32.50,34.00,7900,34.0
2000-08-30,34.70,34.80,34.00,34.50,26900,34.5
2000-08-31,34.50,34.50,34.00,34.00,5800,34.0
2000-09-01,34.70,37.40,34.10,35.90,14500,35.9
2000-09-04,39.00,39.48,37.70,39.00,34700,39.0
2000-09-05,40.20,40.20,38.10,39.79,21400,39.7
2000-09-06,39.79,39.80,37.00,38.40,14500,38.4
2000-09-07,38.50,38.99,38.10,38.70,10100,38.7
2000-09-08,39.00,39.00,38.10,38.10,7600,38.1
2000-09-11,39.00,39.00,38.56,39.00,3200,39.0
2000-09-12,39.90,39.90,38.56,39.15,4400,39.1
2000-09-13,39.15,39.15,39.15,39.15,000,39.1
2000-09-14,39.90,39.90,38.10,38.74,3700,38.7
2000-09-15,38.50,38.85,35.10,37.49,6200,37.4
2000-09-18,35.50,36.60,33.00,33.00,28700,33.0
2000-09-19,31.00,32.50,30.30,32.50,20400,32.5
2000-09-20,35.45,35.65,33.95,34.50,11200,34.5
2000-09-21,34.50,34.52,33.10,33.30,5400,33.3
2000-09-22,31.90,33.40,31.00,33.30,7000,33.3
2000-09-25,34.40,36.45,34.40,36.30,6900,36.3
2000-09-26,35.12,35.65,34.60,35.50,1100,35.5
2000-09-27,34.00,35.60,34.00,35.50,1100,35.5
2000-09-28,35.40,35.50,35.02,35.50,11400,35.5
2000-09-29,35.50,38.85,35.30,36.05,8100,36.0
2000-10-02,36.50,36.50,34.00,36.40,5500,36.4
2000-10-03,36.00,36.40,35.56,36.15,8500,36.1
2000-10-04,36.00,36.12,35.80,36.00,14400,36.0
2000-10-05,36.20,36.20,36.00,36.12,1500,36.1
2000-10-06,35.76,36.10,33.95,34.90,3000,34.9
2000-10-09,34.50,34.90,31.45,33.20,7400,33.2
2000-10-10,30.56,33.90,30.56,32.90,12100,32.9
2000-10-11,32.50,32.50,30.10,30.95,10100,30.9
2000-10-12,31.00,31.00,28.02,29.90,7500,29.9
2000-10-13,28.50,29.70,26.60,29.00,14700,29.0
2000-10-16,30.00,30.85,29.50,30.00,2000,30.0
2000-10-17,30.50,31.00,30.00,31.00,3000,31.0
2000-10-18,30.47,30.47,28.00,28.30,3400,28.3
2000-10-19,28.50,29.20,27.60,29.20,2300,29.2
2000-10-20,29.50,30.40,28.65,30.00,26300,30.0
2000-10-23,30.00,30.00,29.60,30.00,5100,30.0
2000-10-24,30.00,30.00,30.00,30.00,000,30.0
2000-10-25,30.90,30.90,29.80,30.10,40700,30.1
2000-10-26,29.90,30.75,29.51,30.50,16700,30.5
2000-10-27,30.50,30.90,30.00,30.90,11500,30.9
2000-10-30,30.90,31.00,30.00,30.00,7200,30.0
2000-10-31,30.00,30.00,30.00,30.00,000,30.0
2000-11-01,31.30,32.03,30.80,31.20,1900,31.2
2000-11-02,31.00,31.20,30.60,31.20,4400,31.2
2000-11-03,31.20,35.00,31.20,34.10,8300,34.1
2000-11-06,34.30,34.50,32.71,34.50,900,34.5
2000-11-07,35.00,35.00,33.01,34.30,5500,34.3
2000-11-08,35.10,35.10,32.90,33.45,5900,33.4
2000-11-09,33.98,33.98,32.50,33.48,2900,33.4
2000-11-10,33.00,33.39,31.50,33.39,13900,33.3
2000-11-13,33.40,33.40,30.71,31.90,4100,31.9
2000-11-14,31.90,31.90,31.90,31.90,000,31.9
2000-11-15,32.00,32.50,31.46,32.40,3300,32.4
2000-11-16,31.99,32.48,31.60,32.48,5000,32.4
2000-11-17,31.60,32.47,31.10,31.99,20300,31.9
2000-11-20,31.75,31.75,29.80,30.80,3700,30.8
2000-11-21,28.50,30.30,28.50,29.96,4000,29.9
2000-11-22,29.10,29.90,27.01,28.57,11500,28.5
2000-11-23,26.60,30.95,26.00,30.79,11200,30.7
2000-11-24,29.99,30.00,29.00,30.00,1300,30.0
2000-11-27,30.80,30.80,29.50,29.51,2400,29.5
2000-11-28,29.53,30.70,28.05,29.34,1700,29.3
2000-11-29,29.50,29.50,28.10,28.39,1200,28.3
2000-11-30,28.49,28.49,26.05,26.90,2300,26.9
2000-12-01,25.80,29.50,25.50,29.50,5600,29.5
2000-12-04,29.73,29.73,26.65,28.80,1300,28.8
2000-12-05,28.65,28.75,26.40,28.65,3600,28.6
2000-12-06,28.80,29.50,28.60,29.50,2100,29.5
2000-12-07,29.50,29.60,29.00,29.60,300,29.6
2000-12-08,28.00,30.50,28.00,30.50,1000,30.5
2000-12-11,30.50,30.50,29.50,30.45,1600,30.4
2000-12-12,30.45,30.45,29.75,30.00,900,30.0
2000-12-13,29.70,29.99,29.00,29.99,200,29.9
2000-12-14,29.00,32.80,29.00,30.95,23200,30.9
2000-12-15,31.00,31.00,28.75,29.26,1800,29.2
2000-12-18,28.00,29.34,28.00,28.20,3300,28.2
