Date,Open,High,Low,Close,Volume,Adj Clos
2003-07-15,14.500005,14.500005,14.500005,14.500005,000,7.85816
2003-07-16,14.500005,14.500005,14.500005,14.500005,000,7.85816
2003-07-17,14.65,14.65,14.500005,14.500005,3500,7.85816
2003-07-18,14.500005,14.500005,14.500005,14.500005,000,7.85816
2003-07-21,14.500005,14.500005,14.500005,14.500005,000,7.85816
2003-07-22,14.500005,14.500005,14.500005,14.500005,000,7.85816
2003-07-23,14.500005,14.500005,14.500005,14.500005,000,7.85816
2003-07-24,14.65,14.65,14.500005,14.500005,700,7.85816
2003-07-25,14.700004,14.849998,14.700004,14.849998,500,8.04783
2003-07-28,15.000008,15.000008,15.000008,15.000008,300,8.12913
2003-07-29,15.000008,15.000008,15.000008,15.000008,000,8.12913
2003-07-30,14.750007,15.000008,14.640003,14.750007,41400,7.99364
2003-07-31,15.450006,15.450006,15.450006,15.450006,100,8.37300
2003-08-01,15.999997,16.100004,15.999997,16.100004,300,8.72526
2003-08-04,16.100004,16.100004,16.100004,16.100004,000,8.72526
2003-08-05,15.499994,15.499994,15.400003,15.400003,800,8.34590
2003-08-06,15.35,15.35,15.35,15.35,1400,8.3188
2003-08-07,15.35,15.35,15.35,15.35,000,8.3188
2003-08-08,15.35,15.35,15.35,15.35,000,8.3188
2003-08-11,15.999997,15.999997,15.999997,15.999997,600,8.67107
2003-08-12,16.100004,16.100004,16.100004,16.100004,500,8.72526
2003-08-13,16.499999,16.75,15.999997,16.75,8800,9.0775
2003-08-14,17.000001,17.729995,16.600006,16.600006,19000,8.99624
2003-08-15,17.000001,17.500003,16.649993,17.500003,3400,9.48398
2003-08-18,17.740008,17.740008,17.000001,17.000001,27200,9.21301
2003-08-19,17.000001,17.000001,16.850007,17.000001,21700,9.21301
2003-08-20,17.000001,17.000001,17.000001,17.000001,11100,9.21301
2003-08-21,17.000001,17.000001,17.000001,17.000001,5500,9.21301
2003-08-22,17.000001,17.000001,17.000001,17.000001,000,9.21301
2003-08-25,17.000001,17.000001,16.75,16.75,8800,9.0775
2003-08-26,16.75,16.899994,16.660007,16.709994,14000,9.05584
2003-08-27,16.300007,16.300007,15.149997,15.200006,41800,9.06127
2003-08-28,15.200006,15.500004,15.200006,15.500004,800,9.24011
2003-08-29,15.750006,15.750006,15.40,15.699998,3000,9.35933
