Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,18.6875,18.6875,17.6875,17.8125,328900,10.21706
2000-01-04,17.75,17.8125,17.5625,17.5625,302800,10.07366
2000-01-05,17.625,17.625,17.5625,17.5625,232800,10.07366
2000-01-06,17.5625,18.1875,17.5625,18.00,136700,10.3246
2000-01-07,18.00,18.125,18.00,18.125,105500,10.39630
2000-01-10,18.125,18.25,17.75,17.8125,295500,10.21706
2000-01-11,17.8125,17.8125,17.1875,17.1875,335900,9.85856
2000-01-12,17.1875,17.25,16.125,16.125,481900,9.2491
2000-01-13,16.375,17.125,16.375,17.125,534700,9.82271
2000-01-14,17.00,17.875,17.00,17.625,251300,10.10951
2000-01-18,17.50,17.875,17.25,17.6875,265100,10.14536
2000-01-19,17.6875,18.0625,17.4375,17.5625,157100,10.07366
2000-01-20,17.50,17.6875,17.375,17.375,289600,9.96611
2000-01-21,17.50,17.5625,16.875,16.875,173700,9.67932
2000-01-24,16.9375,17.3125,16.375,16.375,154500,9.39252
2000-01-25,16.5625,17.4375,16.5625,17.125,259400,9.82271
2000-01-26,17.125,17.5625,17.00,17.0625,203200,9.7868
2000-01-27,17.25,17.5625,17.125,17.25,102900,9.89441
2000-01-28,17.625,17.6875,16.625,16.6875,281900,9.57177
2000-01-31,16.5625,17.25,16.5625,17.1875,245100,9.85856
2000-02-01,17.0625,17.4375,17.0625,17.125,185400,9.82271
2000-02-02,17.125,17.375,17.125,17.125,270700,9.82271
2000-02-03,17.1875,17.25,17.00,17.1875,256900,9.85856
2000-02-04,17.125,17.25,16.9375,17.00,128800,9.75102
2000-02-07,17.00,17.00,16.125,16.4375,131700,9.42837
2000-02-08,16.50,16.5625,16.00,16.50,205800,9.46422
2000-02-09,16.375,16.50,16.00,16.00,235300,9.17743
2000-02-10,16.0625,16.0625,15.0625,15.0625,306800,8.63969
2000-02-11,15.1875,15.8125,15.1875,15.5625,364300,8.92648
2000-02-14,15.5625,15.625,15.0625,15.125,276300,8.6755
2000-02-15,15.00,15.8125,15.00,15.50,458000,8.89063
2000-02-16,15.3125,15.5625,15.125,15.50,156000,8.89063
2000-02-17,15.375,15.5625,15.3125,15.4375,120500,8.85478
2000-02-18,15.4375,15.4375,15.125,15.3125,729500,8.78308
2000-02-22,15.3125,15.625,15.3125,15.625,452700,8.96233
2000-02-23,15.625,15.6875,15.3125,15.3125,171600,8.78308
2000-02-24,15.25,15.375,15.0625,15.25,246400,8.84544
2000-02-25,15.1875,15.25,15.0625,15.125,209300,8.77293
2000-02-28,15.0625,15.25,15.0625,15.25,347800,8.84544
2000-02-29,15.25,15.25,14.9375,15.1875,240100,8.8091
2000-03-01,15.0625,15.125,14.375,14.625,362200,8.48292
2000-03-02,14.875,15.125,14.625,15.00,302500,8.70043
2000-03-03,15.00,15.625,14.9375,15.625,437400,9.06295
2000-03-06,15.375,15.375,15.0625,15.125,181500,8.77293
2000-03-07,15.3125,15.625,15.3125,15.625,326500,9.06295
2000-03-08,15.625,15.6875,15.50,15.5625,239900,9.02670
