Date,Open,High,Low,Close,Volume,Adj Clos
2011-04-01,12.15,12.45,12.12,12.16,179400,12.1
2011-04-04,12.49,12.49,12.13,12.27,181400,12.2
2011-04-05,12.27,12.40,12.16,12.26,220500,12.2
2011-04-06,12.26,12.48,12.23,12.41,46000,12.4
2011-04-07,12.50,12.60,12.38,12.60,34200,12.6
2011-04-08,12.69,13.14,12.64,13.12,85800,13.1
2011-04-11,13.15,14.20,12.99,14.00,85500,14.0
2011-04-12,13.60,14.08,13.51,14.05,112700,14.0
2011-04-13,14.2499,14.25,14.07,14.18,49800,14.1
2011-04-14,14.2344,14.26,14.15,14.20,5800,14.2
2011-04-15,14.15,14.32,14.12,14.32,19300,14.3
2011-04-18,14.15,14.27,14.15,14.22,24300,14.2
2011-04-19,14.24,14.24,13.76,14.01,33600,14.0
2011-04-20,14.00,14.14,13.64,13.88,17600,13.8
2011-04-21,13.68,13.84,13.26,13.43,27900,13.4
2011-04-25,13.21,13.32,13.18,13.18,3300,13.1
2011-04-26,13.18,13.24,13.00,13.01,12700,13.0
2011-04-27,13.01,13.01,12.91,12.91,400,12.9
2011-04-28,12.81,12.95,12.66,12.66,7500,12.6
2011-04-29,12.41,12.41,12.16,12.35,36600,12.3
2011-05-02,12.54,12.54,11.75,11.95,5300,11.9
2011-05-03,11.88,11.88,11.46,11.53,7000,11.5
2011-05-04,11.23,11.23,10.60,10.70,35600,10.7
2011-05-05,10.70,10.70,10.54,10.60,8900,10.6
2011-05-06,10.73,10.73,10.50,10.62,13100,10.6
2011-05-09,10.51,10.54,10.35,10.50,21900,10.5
2011-05-10,10.62,10.67,10.45,10.67,10000,10.6
2011-05-11,10.74,10.74,10.36,10.46,51700,10.4
2011-05-12,10.45,10.45,9.75,10.25,95200,10.2
2011-05-13,10.06,10.33,10.06,10.15,4400,10.1
2011-05-16,10.85,11.47,10.85,11.20,437700,11.2
2011-05-17,11.40,11.50,11.21,11.25,463400,11.2
2011-05-18,11.31,11.31,11.00,11.10,168100,11.1
2011-05-19,11.50,11.50,11.00,11.03,113800,11.0
2011-05-20,11.00,11.18,10.78,10.78,159500,10.7
2011-05-23,10.86,11.11,10.80,10.85,173300,10.8
2011-05-24,10.79,10.83,10.31,10.41,330400,10.4
2011-05-25,10.45,10.45,10.25,10.37,307000,10.3
2011-05-26,10.43,10.63,10.30,10.54,201900,10.5
2011-05-27,10.59,10.60,10.35,10.42,387300,10.4
2011-05-31,10.45,10.46,10.28,10.28,433600,10.2
2011-06-01,10.27,10.40,10.20,10.24,602600,10.2
2011-06-02,10.34,10.34,10.09,10.20,577000,10.2
2011-06-03,10.20,10.38,10.11,10.20,767100,10.2
2011-06-06,10.20,10.38,10.05,10.11,323700,10.1
2011-06-07,10.12,10.20,10.06,10.06,373600,10.0
