Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,3.40,3.40,3.40,3.40,000,1.38217
2000-01-04,3.40,3.40,3.40,3.40,000,1.38217
2000-01-05,3.40,3.40,3.40,3.40,000,1.38217
2000-01-06,3.32,3.32,3.32,3.32,2000,1.34965
2000-01-07,3.32,3.32,3.32,3.32,000,1.34965
2000-01-10,3.32,3.32,3.32,3.32,000,1.34965
2000-01-11,4.00,4.00,4.00,4.00,2000,1.62608
2000-01-12,4.00,4.00,4.00,4.00,000,1.62608
2000-01-13,4.00,4.00,4.00,4.00,000,1.62608
2000-01-14,4.00,4.00,4.00,4.00,000,1.62608
2000-01-18,4.00,4.00,4.00,4.00,000,1.62608
2000-01-19,3.72,3.72,3.72,3.72,8000,1.51226
2000-01-20,3.72,3.72,3.72,3.72,800,1.51226
2000-01-21,3.72,3.72,3.72,3.72,1600,1.51226
2000-01-24,3.72,3.72,3.72,3.72,000,1.51226
2000-01-25,3.40,3.40,3.40,3.40,4000,1.38217
2000-01-26,3.40,3.40,3.40,3.40,000,1.38217
2000-01-27,3.40,3.40,3.40,3.40,000,1.38217
2000-01-28,3.48,3.64,3.48,3.48,3200,1.41469
2000-01-31,3.56,3.56,3.56,3.56,400,1.44721
2000-02-01,3.56,3.56,3.56,3.56,000,1.44721
2000-02-02,3.56,3.56,3.56,3.56,000,1.44721
2000-02-03,3.56,3.56,3.56,3.56,000,1.44721
2000-02-04,3.56,3.56,3.56,3.56,000,1.44721
2000-02-07,4.56,4.56,4.56,4.56,400,1.85374
2000-02-08,4.56,4.56,4.56,4.56,400,1.85374
2000-02-09,4.32,4.32,4.32,4.32,1200,1.75617
2000-02-10,4.32,4.32,4.32,4.32,1200,1.75617
2000-02-11,4.32,4.32,4.32,4.32,000,1.75617
2000-02-14,4.32,4.32,4.32,4.32,000,1.75617
2000-02-15,4.32,4.32,4.32,4.32,000,1.75617
2000-02-16,4.32,4.32,4.32,4.32,1200,1.75617
2000-02-17,4.32,4.32,4.32,4.32,000,1.75617
2000-02-18,4.32,4.32,4.32,4.32,000,1.75617
2000-02-22,4.32,4.32,4.32,4.32,000,1.75617
2000-02-23,4.32,4.32,4.32,4.32,000,1.75617
2000-02-24,4.88,5.00,4.88,5.00,3200,2.03261
2000-02-25,4.88,4.88,4.88,4.88,2000,1.98382
2000-02-28,4.80,4.80,4.80,4.80,8400,1.95130
2000-02-29,5.00,5.00,5.00,5.00,800,2.03261
2000-03-01,5.00,5.00,5.00,5.00,000,2.03261
2000-03-02,5.00,5.00,5.00,5.00,20000,2.03261
2000-03-03,5.00,5.00,5.00,5.00,28800,2.03261
2000-03-06,5.32,5.32,5.32,5.32,32000,2.16269
2000-03-07,5.24,5.24,5.24,5.24,1200,2.13017
2000-03-08,5.24,5.24,5.24,5.24,000,2.13017
2000-03-09,5.08,5.08,5.08,5.08,15200,2.06513
2000-03-10,5.08,5.08,5.08,5.08,000,2.06513
2000-03-13,5.08,5.08,5.08,5.08,000,2.06513
2000-03-14,5.08,5.08,5.08,5.08,000,2.06513
2000-03-15,5.08,5.08,5.08,5.08,000,2.06513
2000-03-16,5.08,5.08,5.08,5.08,000,2.06513
2000-03-17,5.08,5.08,5.08,5.08,000,2.06513
2000-03-20,5.08,5.08,5.08,5.08,000,2.06513
2000-03-21,5.08,5.08,5.08,5.08,000,2.06513
2000-03-22,5.08,5.08,5.08,5.08,000,2.06513
2000-03-23,5.08,5.08,5.08,5.08,000,2.06513
2000-03-24,5.08,5.08,5.08,5.08,000,2.06513
2000-03-27,5.08,5.08,5.08,5.08,000,2.06513
2000-03-28,5.08,5.08,5.08,5.08,000,2.06513
2000-03-29,5.08,5.08,5.08,5.08,000,2.06513
2000-03-30,5.08,5.08,5.08,5.08,000,2.06513
2000-03-31,5.08,5.08,5.08,5.08,000,2.06513
2000-04-03,5.08,5.08,5.08,5.08,000,2.06513
2000-04-04,5.08,5.08,5.08,5.08,000,2.06513
2000-04-05,5.08,5.08,5.08,5.08,000,2.06513
2000-04-06,5.08,5.08,5.08,5.08,000,2.06513
2000-04-07,5.08,5.08,5.08,5.08,000,2.06513
2000-04-10,5.08,5.08,5.08,5.08,000,2.06513
2000-04-11,5.08,5.08,5.08,5.08,000,2.06513
2000-04-12,5.08,5.08,5.08,5.08,000,2.06513
2000-04-13,5.08,5.08,5.08,5.08,000,2.06513
2000-04-14,5.08,5.08,5.08,5.08,000,2.06513
2000-04-17,5.08,5.08,5.08,5.08,000,2.06513
2000-04-18,5.08,5.08,5.08,5.08,000,2.06513
2000-04-19,5.08,5.08,5.08,5.08,000,2.06513
2000-04-20,5.08,5.08,5.08,5.08,000,2.06513
2000-04-24,5.08,5.08,5.08,5.08,000,2.06513
2000-04-25,5.08,5.08,5.08,5.08,000,2.06513
2000-04-26,4.56,4.56,4.56,4.56,800,1.85374
2000-04-27,4.56,4.56,4.56,4.56,000,1.85374
2000-04-28,4.56,4.56,4.56,4.56,000,1.85374
2000-05-01,4.56,4.56,4.56,4.56,000,1.85374
2000-05-02,4.56,4.56,4.56,4.56,000,1.85374
2000-05-03,4.56,4.56,4.56,4.56,000,1.85374
2000-05-04,4.56,4.56,4.56,4.56,000,1.85374
2000-05-05,4.56,4.56,4.56,4.56,000,1.85374
2000-05-08,4.56,4.56,4.56,4.56,000,1.85374
2000-05-09,4.56,4.56,4.56,4.56,000,1.85374
2000-05-10,4.56,4.56,4.56,4.56,000,1.85374
2000-05-11,4.56,4.56,4.56,4.56,000,1.85374
