Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,12.50,12.50,12.00,12.00,1900,7.68090
2000-01-04,11.875,11.875,11.50,11.50,7300,7.36086
2000-01-05,11.3125,11.3125,11.3125,11.3125,900,7.24085
2000-01-06,11.75,12.00,11.50,11.75,1100,7.52088
2000-01-07,11.50,11.50,11.25,11.25,9100,7.20084
2000-01-10,11.50,11.50,11.375,11.375,1200,7.28085
2000-01-11,11.125,11.25,10.75,11.25,10800,7.20084
2000-01-12,11.125,11.25,11.00,11.125,7700,7.1208
2000-01-13,11.125,11.125,11.125,11.125,1100,7.1208
2000-01-14,11.125,11.50,11.125,11.25,11300,7.20084
2000-01-18,11.375,11.50,11.125,11.375,15300,7.28085
2000-01-19,11.375,11.375,11.375,11.375,000,7.28085
2000-01-20,11.25,11.375,11.25,11.375,1400,7.28085
2000-01-21,11.39062,11.50,11.375,11.375,52200,7.28085
2000-01-24,11.50,11.50,11.4375,11.4375,5100,7.32086
2000-01-25,11.75,12.50,11.5625,11.625,15300,7.44087
2000-01-26,11.50,11.50,11.375,11.375,1100,7.28085
2000-01-27,11.375,11.875,11.375,11.50,39400,7.36086
2000-01-28,11.375,11.375,11.375,11.375,1700,7.28085
2000-01-31,11.375,11.375,11.375,11.375,000,7.28085
2000-02-01,11.50,11.625,11.50,11.625,5000,7.44087
2000-02-02,11.375,11.875,11.375,11.375,500,7.28085
2000-02-03,11.375,11.625,11.375,11.375,13400,7.28085
2000-02-04,11.375,11.50,11.3125,11.375,9600,7.28085
2000-02-07,11.40625,11.40625,11.40625,11.40625,3500,7.30086
2000-02-08,11.3125,11.3125,11.3125,11.3125,3500,7.24085
2000-02-09,11.40625,11.40625,11.25,11.25,10900,7.20084
2000-02-10,11.25,11.50,11.25,11.375,47500,7.28085
2000-02-11,11.375,11.375,11.375,11.375,000,7.28085
2000-02-14,11.25,11.375,11.00,11.00,15200,7.04083
2000-02-15,11.3125,11.375,11.3125,11.3125,700,7.24085
2000-02-16,11.125,11.3125,11.125,11.3125,1100,7.24085
2000-02-17,11.3125,11.3125,11.3125,11.3125,000,7.24085
2000-02-18,11.50,11.50,11.125,11.125,1500,7.1208
2000-02-22,11.125,11.125,11.125,11.125,700,7.1208
2000-02-23,11.3125,11.375,11.125,11.1875,33100,7.16084
2000-02-24,11.25,11.25,11.25,11.25,8900,7.20084
2000-02-25,11.1875,11.1875,11.125,11.1875,4900,7.16084
2000-02-28,11.25,11.25,11.125,11.125,700,7.1208
2000-02-29,11.125,11.125,11.125,11.125,000,7.1208
2000-03-01,11.1875,11.375,11.1875,11.375,5900,7.28085
2000-03-02,11.1875,11.3125,11.1875,11.1875,23200,7.16084
2000-03-03,11.50,11.50,11.50,11.50,400,7.36086
2000-03-06,11.50,11.50,11.1875,11.1875,2200,7.16084
2000-03-07,11.1875,11.375,11.1875,11.375,1900,7.28085
2000-03-08,11.1875,11.25,11.125,11.125,5000,7.1208
2000-03-09,11.50,11.50,11.125,11.125,6400,7.1208
2000-03-10,11.125,11.50,10.75,11.00,24600,7.04083
2000-03-13,10.50,10.50,9.50,10.375,2700,6.72020
2000-03-14,10.125,10.25,9.875,10.25,800,6.63923
2000-03-15,10.125,11.25,10.125,11.25,6800,7.28696
2000-03-16,10.0625,10.0625,10.0625,10.0625,1000,6.51778
2000-03-17,10.0625,10.25,10.00,10.25,4500,6.63923
2000-03-20,10.25,10.50,10.25,10.50,3100,6.80117
2000-03-21,10.50,10.50,10.50,10.50,000,6.80117
2000-03-22,10.50,10.50,10.50,10.50,000,6.80117
2000-03-23,10.50,10.50,10.50,10.50,000,6.80117
2000-03-24,10.25,10.375,10.25,10.375,1300,6.72020
2000-03-27,10.25,10.625,10.25,10.625,1100,6.88213
2000-03-28,10.25,10.25,10.25,10.25,500,6.63923
2000-03-29,10.25,10.25,10.25,10.25,000,6.63923
2000-03-30,10.25,10.25,10.25,10.25,000,6.63923
2000-03-31,10.25,10.25,10.125,10.125,3600,6.55827
2000-04-03,10.0625,10.125,10.00,10.125,5700,6.55827
2000-04-04,10.00,10.00,10.00,10.00,13200,6.47730
2000-04-05,9.96875,9.96875,8.75,9.3125,30500,6.03199
2000-04-06,11.25,11.25,10.375,10.375,1600,6.72020
2000-04-07,10.125,10.25,10.00,10.00,4100,6.47730
2000-04-10,10.25,10.25,10.125,10.125,5800,6.55827
2000-04-11,10.125,10.125,10.125,10.125,000,6.55827
2000-04-12,10.125,10.125,9.875,9.875,3800,6.39633
2000-04-13,10.00,10.00,9.625,9.875,30200,6.39633
2000-04-14,9.75,11.00,9.75,11.00,500,7.12503
2000-04-17,9.75,9.75,9.75,9.75,1200,6.31537
2000-04-18,10.50,10.625,10.50,10.625,3500,6.88213
2000-04-19,10.50,10.50,10.00,10.00,10400,6.47730
2000-04-20,10.0625,10.0625,10.0625,10.0625,500,6.51778
2000-04-24,10.0625,10.0625,9.9375,10.00,700,6.47730
2000-04-25,10.25,10.25,10.25,10.25,2000,6.63923
2000-04-26,10.25,10.25,10.25,10.25,000,6.63923
2000-04-27,9.875,9.875,9.50,9.5625,700,6.19392
2000-04-28,9.625,9.625,9.125,9.1875,26800,5.95102
2000-05-01,9.5625,9.5625,9.5625,9.5625,100,6.19392
2000-05-02,9.5625,9.5625,9.375,9.375,1300,6.07247
2000-05-03,9.375,9.375,9.25,9.25,1800,5.99150
2000-05-04,9.125,9.125,9.125,9.125,400,5.91054
2000-05-05,9.125,10.125,9.125,10.125,2600,6.55827
2000-05-08,10.125,10.125,10.125,10.125,000,6.55827
2000-05-09,10.125,10.125,10.125,10.125,000,6.55827
2000-05-10,9.625,9.625,9.625,9.625,600,6.23440
2000-05-11,9.625,9.625,9.625,9.625,000,6.23440
2000-05-12,9.6875,9.6875,9.6875,9.6875,2000,6.2748
2000-05-15,9.6875,9.6875,9.6875,9.6875,000,6.2748
2000-05-16,10.00,10.75,9.875,10.75,13900,6.96310
2000-05-17,10.125,10.125,10.00,10.00,2400,6.47730
2000-05-18,9.875,10.00,9.875,10.00,32000,6.47730
2000-05-19,10.00,10.00,10.00,10.00,000,6.47730
2000-05-22,9.8125,9.8125,9.8125,9.8125,100,6.35585
2000-05-23,9.8125,9.8125,9.8125,9.8125,400,6.35585
2000-05-24,9.8125,9.8125,9.8125,9.8125,000,6.35585
2000-05-25,9.8125,9.8125,9.8125,9.8125,000,6.35585
2000-05-26,9.8125,9.8125,9.8125,9.8125,000,6.35585
2000-05-30,9.8125,9.8125,9.8125,9.8125,000,6.35585
2000-05-31,9.8125,9.8125,9.8125,9.8125,000,6.35585
2000-06-01,9.8125,9.8125,9.8125,9.8125,000,6.35585
2000-06-02,9.9375,9.9375,9.8125,9.8125,1000,6.35585
2000-06-05,9.8125,9.8125,9.8125,9.8125,000,6.35585
2000-06-06,9.8125,9.8125,9.75,9.75,5100,6.31537
2000-06-07,9.875,9.875,9.76562,9.76562,1200,6.3254
2000-06-08,9.76562,9.76562,9.76562,9.76562,000,6.3254
2000-06-09,9.8125,9.8125,9.8125,9.8125,400,6.35585
2000-06-12,9.75,9.75,9.5625,9.75,3700,6.31537
2000-06-13,9.375,9.375,9.375,9.375,500,6.15453
