Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,32.5625,34.00,32.5625,33.50,214600,13.30537
2000-01-04,33.25,33.375,31.75,31.875,451000,12.65996
2000-01-05,31.75,32.75,31.75,32.6875,144400,12.98267
2000-01-06,32.875,33.50,32.75,32.875,340600,13.05714
2000-01-07,33.75,34.25,33.75,34.125,258000,13.55361
2000-01-10,34.375,35.4375,34.375,35.1875,247000,13.97561
2000-01-11,35.4375,35.4375,34.75,34.75,413000,13.80184
2000-01-12,34.625,34.625,33.50,33.9375,161400,13.47914
2000-01-13,34.00,34.625,33.9375,34.625,85400,13.75220
2000-01-14,34.50,35.25,34.375,34.6875,281600,13.77702
2000-01-18,34.375,37.25,34.1875,37.0625,253800,14.72031
2000-01-19,36.9375,37.00,36.125,36.375,59200,14.44725
2000-01-20,36.125,36.3125,35.875,36.3125,58000,14.42243
2000-01-21,36.25,36.25,34.50,34.75,148800,13.80184
2000-01-24,34.50,35.00,34.203121,34.625,251200,13.75220
2000-01-25,34.75,34.8125,34.125,34.5625,154400,13.72737
2000-01-26,34.3125,35.00,34.3125,34.50,321800,13.70255
2000-01-27,34.875,34.875,34.875,34.875,29200,13.85149
2000-01-28,34.50,34.50,33.75,34.125,119000,13.55361
2000-01-31,33.875,33.875,31.625,33.00,172400,13.10679
2000-02-01,33.125,33.125,32.375,33.00,169200,13.10679
2000-02-02,32.75,33.00,32.25,33.00,45600,13.10679
2000-02-03,33.25,33.50,32.00,32.0625,605800,12.73443
2000-02-04,32.25,32.75,32.25,32.4375,152200,12.8833
2000-02-07,32.00,32.625,32.00,32.00,220600,12.70961
2000-02-08,32.00,32.75,32.00,32.3125,275400,12.83373
2000-02-09,32.4375,33.00,32.375,33.00,165200,13.10679
2000-02-10,33.125,33.25,32.75,33.00,74800,13.10679
2000-02-11,32.75,33.375,32.75,33.25,267400,13.20608
2000-02-14,33.25,34.9375,32.6875,33.00,205000,13.10679
2000-02-15,33.125,33.125,30.375,30.375,354000,12.06420
2000-02-16,30.375,31.625,30.375,31.375,535400,12.46138
2000-02-17,31.625,32.25,31.625,32.00,520200,12.70961
2000-02-18,32.125,32.875,32.00,32.5625,376600,12.93302
