Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,23.1875,23.1875,22.9375,22.9375,3400,6.03748
2000-01-04,23.00,23.00,22.8125,22.875,6000,6.02103
2000-01-05,22.9375,23.50,22.9375,23.375,22200,6.15264
2000-01-06,23.375,23.375,23.125,23.125,5200,6.08683
2000-01-07,23.1875,23.1875,23.0625,23.0625,3400,6.07038
2000-01-10,23.00,23.00,22.625,22.875,26000,6.02103
2000-01-11,22.9375,23.00,22.875,22.875,29800,6.02103
2000-01-12,23.00,23.00,22.875,22.875,3600,6.02103
2000-01-13,22.9375,23.00,22.9375,23.00,43200,6.05393
2000-01-14,22.875,23.00,22.84376,22.9375,57800,6.03748
2000-01-18,23.125,23.125,23.125,23.125,3000,6.08683
2000-01-19,23.125,23.125,23.00,23.00,10000,6.05393
2000-01-20,23.00,23.00,22.8125,22.875,12200,6.02103
2000-01-21,22.875,22.875,22.8125,22.8125,800,6.00458
2000-01-24,22.8125,22.8125,22.4375,22.4375,5000,5.90587
2000-01-25,22.50,23.00,22.50,22.6875,17800,5.97168
2000-01-26,22.8125,23.0625,22.8125,23.00,46000,6.05393
2000-01-27,23.125,23.3125,23.125,23.1875,7800,6.1032
2000-01-28,23.25,23.25,22.875,23.00,7400,6.05393
2000-01-31,22.9375,23.00,22.8125,23.00,8000,6.05393
2000-02-01,22.875,22.9375,22.125,22.125,16000,5.82362
2000-02-02,22.0625,22.0625,21.875,21.875,14600,5.7578
2000-02-03,21.625,21.625,21.50,21.50,6600,5.65911
2000-02-04,21.50,21.50,21.50,21.50,000,5.65911
2000-02-07,21.625,21.625,21.25,21.375,2400,5.62621
2000-02-08,21.5625,21.75,21.5625,21.75,6400,5.72491
2000-02-09,21.625,21.625,21.00,21.00,13200,5.52750
2000-02-10,21.125,21.3125,21.0625,21.1875,4400,5.5768
2000-02-11,21.375,21.375,21.0625,21.25,6200,5.59331
2000-02-14,21.125,21.4375,21.00,21.4375,13400,5.64266
2000-02-15,21.3125,21.3125,21.125,21.125,3400,5.56040
2000-02-16,21.125,21.125,21.0625,21.0625,9200,5.54395
2000-02-17,21.0625,21.75,21.0625,21.50,13200,5.65911
2000-02-18,21.50,21.6875,21.50,21.50,4000,5.65911
2000-02-22,21.25,22.00,21.25,22.00,16200,5.79072
2000-02-23,22.25,22.3125,22.0625,22.125,8600,5.82362
2000-02-24,22.125,22.125,22.00,22.00,12600,5.79072
2000-02-25,22.125,22.125,21.9375,21.9375,31000,5.77427
