Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,17.00,17.00,15.75,17.00,4100,12.609
2000-01-04,16.625,16.625,15.50,15.50,4800,11.496
2000-01-05,15.938,15.938,15.875,15.875,2600,11.77
2000-01-06,15.563,15.563,15.563,15.563,600,11.543
2000-01-07,15.50,15.50,15.50,15.50,1200,11.496
2000-01-10,15.50,15.50,15.50,15.50,300,11.496
2000-01-12,15.50,15.50,15.50,15.50,600,11.496
2000-01-14,15.50,15.50,15.50,15.50,100,11.496
2000-01-18,16.00,16.25,15.75,15.75,4300,11.682
2000-01-20,16.50,16.50,16.50,16.50,500,12.238
2000-01-21,17.25,17.25,17.25,17.25,1400,12.794
2000-01-24,18.00,18.00,17.625,17.625,12000,13.07
2000-01-26,18.50,18.50,17.25,17.50,16100,12.980
2000-01-27,18.25,18.25,17.875,17.875,2200,13.258
2000-01-28,17.50,17.50,17.50,17.50,900,12.980
2000-02-01,17.50,17.50,17.50,17.50,200,12.980
2000-02-02,18.00,18.00,17.75,17.75,7500,13.241
2000-02-03,17.75,17.75,17.50,17.75,3200,13.241
2000-02-04,17.75,17.75,17.75,17.75,10600,13.241
2000-02-07,17.75,17.75,17.125,17.125,1500,12.775
2000-02-08,17.75,17.75,16.25,17.25,21300,12.868
2000-02-11,16.875,16.875,16.875,16.875,300,12.588
2000-02-14,16.81,16.813,16.75,16.75,2100,12.495
2000-02-15,16.75,16.75,16.75,16.75,600,12.495
2000-02-16,16.75,17.00,16.75,17.00,6000,12.681
2000-02-18,16.75,16.75,16.75,16.75,3000,12.495
2000-02-22,16.88,17.00,16.625,16.625,17400,12.402
2000-02-23,16.88,17.00,16.75,16.75,11100,12.495
2000-02-24,16.75,16.75,16.25,16.375,11300,12.215
2000-02-25,16.875,16.875,16.25,16.25,6300,12.122
2000-02-29,16.50,16.625,16.50,16.625,3600,12.402
2000-03-01,16.50,16.50,16.50,16.50,4000,12.308
2000-03-06,16.50,16.50,16.50,16.50,400,12.308
2000-03-07,15.75,16.125,15.75,16.00,13000,11.935
2000-03-08,15.75,16.00,14.50,15.625,14400,11.656
2000-03-09,15.00,15.50,15.00,15.375,16200,11.469
2000-03-10,15.50,15.75,15.25,15.25,7000,11.376
2000-03-13,15.25,15.25,15.25,15.25,1000,11.376
2000-03-14,15.50,15.50,14.50,15.25,13400,11.376
2000-03-15,15.00,15.00,15.00,15.00,2000,11.189
2000-03-16,15.50,16.00,15.50,16.00,2200,11.935
2000-03-20,16.00,16.00,16.00,16.00,200,11.935
2000-03-21,15.50,15.50,15.50,15.50,100,11.562
2000-03-22,15.88,16.625,15.75,16.625,7200,12.402
2000-03-23,16.75,16.75,16.75,16.75,1600,12.495
2000-03-24,16.75,16.75,16.75,16.75,100,12.495
2000-03-27,16.50,16.50,15.75,15.75,500,11.749
2000-03-29,15.75,16.25,15.75,16.25,6400,12.122
2000-03-30,16.25,16.25,15.75,15.75,1100,11.749
2000-03-31,15.50,15.50,14.875,14.875,5600,11.096
2000-04-03,15.00,15.063,14.75,14.75,600,11.003
2000-04-04,15.375,15.375,14.75,14.75,400,11.003
2000-04-05,14.75,14.75,14.75,14.75,900,11.003
2000-04-06,15.125,15.125,15.00,15.00,1900,11.189
2000-04-07,15.125,15.125,15.00,15.125,2300,11.283
2000-04-10,15.25,15.25,15.00,15.25,2900,11.376
2000-04-12,15.25,15.25,15.25,15.25,2000,11.376
2000-04-13,15.25,15.25,15.25,15.25,1000,11.376
2000-04-14,15.25,15.25,14.75,14.75,3100,11.003
2000-04-18,14.75,14.75,14.625,14.75,13700,11.003
2000-04-19,15.25,15.25,15.25,15.25,100,11.376
2000-04-20,14.75,15.125,14.50,15.125,3100,11.283
2000-04-24,14.88,15.125,14.625,14.625,11100,10.910
2000-04-25,14.63,15.00,14.625,15.00,700,11.189
2000-04-26,14.75,14.75,14.75,14.75,700,11.003
2000-04-27,15.25,15.25,15.25,15.25,4100,11.376
2000-04-28,15.25,15.75,15.00,15.75,14500,11.749
2000-05-01,16.125,16.125,15.75,15.75,16600,11.749
2000-05-02,15.75,16.00,15.75,16.00,13900,11.935
2000-05-04,15.875,15.875,15.875,15.875,300,11.881
2000-05-05,16.00,16.00,16.00,16.00,600,11.975
2000-05-08,16.063,16.125,16.063,16.125,5400,12.068
2000-05-09,16.25,16.625,16.25,16.625,9000,12.442
2000-05-12,16.375,16.375,16.375,16.375,200,12.255
2000-05-15,16.125,16.125,16.125,16.125,200,12.068
2000-05-16,15.875,15.875,15.875,15.875,800,11.881
2000-05-18,16.125,16.125,16.125,16.125,400,12.068
2000-05-22,16.25,16.375,16.25,16.375,2700,12.255
2000-05-23,16.375,16.375,16.375,16.375,2100,12.255
2000-05-24,16.38,16.50,16.375,16.50,3600,12.349
2000-05-25,16.375,16.375,16.375,16.375,400,12.255
2000-05-26,16.38,16.438,16.375,16.438,5000,12.30
2000-05-31,16.50,16.50,16.25,16.25,5300,12.162
2000-06-01,16.31,16.625,16.25,16.625,21000,12.442
2000-06-02,16.81,16.813,16.625,16.625,6100,12.442
2000-06-06,16.50,16.813,16.50,16.813,2500,12.583
2000-06-07,16.81,17.00,16.75,16.75,8700,12.536
2000-06-08,16.875,16.875,16.875,16.875,500,12.6
2000-06-12,16.625,16.625,16.625,16.625,800,12.442
2000-06-13,16.688,16.688,16.688,16.688,400,12.490
2000-06-15,16.875,16.875,16.75,16.75,2700,12.536
2000-06-16,16.75,16.75,16.75,16.75,500,12.536
2000-06-20,16.875,16.875,16.75,16.75,5600,12.536
2000-06-21,16.75,16.75,16.75,16.75,5500,12.536
2000-06-26,16.375,16.375,16.375,16.375,1500,12.255
2000-06-27,16.50,16.50,16.50,16.50,100,12.349
2000-06-28,16.00,16.00,16.00,16.00,5000,11.975
2000-06-29,16.00,16.00,14.25,14.75,4400,11.039
2000-06-30,14.50,15.50,14.50,15.50,2100,11.600
2000-07-03,14.50,15.50,14.50,15.50,2100,11.600
2000-07-05,14.50,15.50,14.50,15.50,2100,11.600
2000-07-06,14.625,14.625,14.625,14.625,100,10.94
2000-07-10,15.50,15.625,15.50,15.50,4200,11.600
2000-07-11,15.25,15.50,15.00,15.50,5100,11.600
2000-07-12,15.375,15.375,15.375,15.375,500,11.507
2000-07-13,15.50,17.00,15.50,17.00,12100,12.723
2000-07-14,17.00,17.00,17.00,17.00,1100,12.723
2000-07-17,17.00,17.00,17.00,17.00,500,12.723
2000-07-18,17.00,17.00,17.00,17.00,500,12.723
2000-07-21,17.375,17.375,17.00,17.00,700,12.723
2000-07-24,17.00,17.00,17.00,17.00,100,12.723
2000-07-25,17.00,17.00,17.00,17.00,200,12.723
2000-07-26,17.00,17.313,17.00,17.313,7900,12.957
2000-07-27,17.25,17.25,17.25,17.25,3000,12.910
