Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,56.25,56.25,52.625,54.00,47800,20.89013
2000-01-04,54.50,54.50,47.875,50.00,33400,19.34271
2000-01-05,48.00,49.75,46.75,46.875,102600,18.13379
2000-01-06,46.625,49.25,46.625,48.875,54000,18.90750
2000-01-07,49.75,49.75,47.50,48.50,10200,18.76243
2000-01-10,48.00,48.3125,45.1875,46.6875,161200,18.06126
2000-01-11,46.75,47.625,46.00,47.625,28000,18.4239
2000-01-12,46.25,46.875,44.50,45.25,186800,17.50516
2000-01-13,45.25,47.125,44.125,44.75,166200,17.31173
2000-01-14,45.25,45.875,44.50,45.375,121400,17.55351
2000-01-18,46.375,48.50,46.00,48.00,90200,18.5690
2000-01-19,48.25,48.50,47.375,48.375,297200,18.71408
2000-01-20,48.375,53.75,48.1875,53.75,103400,20.79342
2000-01-21,53.50,54.9375,52.75,53.875,62400,20.8417
2000-01-24,54.00,55.00,52.75,53.25,53400,20.59999
2000-01-25,52.8125,53.50,50.9375,53.00,58600,20.50328
2000-01-26,53.75,56.125,53.00,54.25,40600,20.9868
2000-01-27,55.00,55.00,51.25,51.25,18000,19.82628
2000-01-28,51.375,52.0625,50.25,52.00,42800,20.11642
2000-01-31,50.75,52.00,50.25,51.375,71000,19.87464
2000-02-01,52.00,52.00,47.50,48.125,72600,18.61736
2000-02-02,47.50,49.00,46.125,47.125,93000,18.23051
2000-02-03,46.00,46.00,43.625,44.0625,138200,17.04577
2000-02-04,44.3125,45.00,40.50,41.75,141800,16.1511
2000-02-07,41.75,43.75,41.625,43.75,214200,16.92487
2000-02-08,44.00,48.00,43.875,47.125,722200,18.23051
2000-02-09,46.00,53.50,46.00,53.00,149800,20.50328
2000-02-10,53.00,53.00,50.00,51.00,57000,19.72957
2000-02-11,50.50,51.625,49.875,50.00,91800,19.34271
2000-02-14,49.9375,50.00,49.8125,49.9375,228000,19.31854
2000-02-15,50.25,51.00,49.9375,50.50,349800,19.53614
2000-02-16,50.1875,50.375,49.0625,49.50,974600,19.14929
2000-02-17,49.375,49.375,48.875,49.125,397000,19.00422
2000-02-18,49.375,49.375,46.50,46.50,384200,17.98872
2000-02-22,45.625,47.125,43.125,43.125,262000,16.68309
2000-02-23,43.00,45.00,41.625,42.375,8213200,16.39295
2000-02-24,42.625,42.75,41.6875,42.125,1713400,16.29624
2000-02-25,42.0625,42.50,42.00,42.50,1068800,16.44131
2000-02-28,42.125,51.125,42.0625,50.50,956800,19.53614
2000-02-29,49.00,57.25,47.25,49.875,802600,19.29436
2000-03-01,49.75,51.1875,49.25,50.00,170800,19.34271
2000-03-02,49.00,50.00,47.75,50.00,143200,19.34271
2000-03-03,48.625,52.625,48.625,52.00,170000,20.11642
2000-03-06,52.00,58.00,52.00,57.00,377600,22.050
2000-03-07,56.625,58.00,54.625,54.625,292000,21.13192
2000-03-08,54.50,54.625,48.50,52.00,509800,20.11642
2000-03-09,52.00,54.625,52.00,54.625,287400,21.13192
2000-03-10,53.50,56.625,53.50,55.00,174200,21.27699
2000-03-13,53.125,55.50,52.75,54.25,76000,20.9868
2000-03-14,53.00,57.375,53.00,55.6875,617200,21.54295
2000-03-15,55.50,56.00,55.00,56.00,257200,21.66384
2000-03-16,55.50,56.25,53.75,55.00,154400,21.27699
2000-03-17,53.00,56.125,53.00,55.625,148400,21.51877
2000-03-20,53.25,56.50,52.00,55.00,181200,21.27699
2000-03-21,54.6875,56.1875,54.625,55.25,70400,21.37370
2000-03-22,54.50,56.375,54.50,56.0625,235600,21.68802
2000-03-23,55.875,56.125,54.75,56.00,300000,21.66384
2000-03-24,55.50,63.75,55.00,59.50,463600,23.01783
2000-03-27,59.875,62.00,55.75,60.50,379400,23.4046
2000-03-28,58.50,60.25,54.75,59.00,146600,22.82440
2000-03-29,58.0625,58.75,55.4375,56.00,90000,21.66384
2000-03-30,55.50,56.484379,53.875,53.875,110200,20.8417
2000-03-31,53.875,53.875,46.00,50.75,269400,19.6328
2000-04-03,50.00,52.75,50.00,51.25,105600,19.82628
2000-04-04,51.968761,54.75,49.875,54.75,183000,21.18027
2000-04-05,53.75,58.00,53.00,57.0625,176000,22.07487
2000-04-06,57.00,58.125,51.625,52.00,171000,20.11642
2000-04-07,51.375,56.375,51.125,56.375,199800,21.80891
2000-04-10,54.8125,56.50,53.75,53.875,65000,20.8417
2000-04-11,53.875,56.00,51.50,52.625,81600,20.35821
2000-04-12,52.125,53.625,51.50,52.75,68400,20.40656
2000-04-13,51.50,52.75,50.75,50.75,66000,19.6328
2000-04-14,49.875,52.00,48.125,48.50,60600,18.76243
2000-04-17,48.375,49.6875,44.00,47.125,134000,18.23051
