Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,4.1875,4.25,3.875,3.875,92600,3.79095
2000-01-04,3.875,3.875,3.8125,3.8125,69300,3.72981
2000-01-05,3.875,3.875,3.75,3.75,49300,3.66866
2000-01-06,3.8125,3.8125,3.75,3.75,22400,3.66866
2000-01-07,3.75,3.8125,3.6875,3.6875,62900,3.60752
2000-01-10,3.6875,3.75,3.625,3.625,55500,3.5463
2000-01-11,3.625,3.625,3.625,3.625,34000,3.5463
2000-01-12,3.625,3.625,3.5625,3.5625,23000,3.48523
2000-01-13,3.5625,3.75,3.5625,3.625,38500,3.5463
2000-01-14,3.5625,3.625,3.5625,3.5625,9700,3.48523
2000-01-18,3.625,3.625,3.50,3.50,68000,3.42409
2000-01-19,3.50,3.625,3.4375,3.4375,185600,3.36294
2000-01-20,3.4375,3.5625,3.4375,3.5625,41900,3.48523
2000-01-21,3.5625,3.625,3.50,3.625,15300,3.5463
2000-01-24,3.625,3.625,3.50,3.625,27000,3.5463
2000-01-25,3.50,3.5625,3.50,3.5625,25200,3.48523
2000-01-26,3.4375,3.50,3.4375,3.50,32000,3.42409
2000-01-27,3.4375,3.50,3.375,3.4375,27400,3.36294
2000-01-28,3.4375,3.50,3.4375,3.50,17500,3.42409
2000-01-31,3.4375,3.50,3.375,3.4375,146500,3.36294
2000-02-01,3.375,3.4375,3.375,3.375,13400,3.30180
2000-02-02,3.50,3.50,3.4375,3.50,8400,3.42409
2000-02-03,3.4375,3.625,3.4375,3.5625,50600,3.48523
2000-02-04,3.625,3.75,3.625,3.75,46800,3.66866
2000-02-07,3.75,3.8125,3.625,3.625,71200,3.5463
2000-02-08,3.625,3.75,3.625,3.625,52000,3.5463
2000-02-09,3.75,3.75,3.6875,3.6875,15600,3.60752
2000-02-10,3.75,3.75,3.625,3.6875,16100,3.60752
2000-02-11,3.625,3.8125,3.625,3.8125,78500,3.72981
2000-02-14,3.75,3.875,3.75,3.75,16700,3.66866
2000-02-15,3.75,3.8125,3.6875,3.75,21400,3.66866
