Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,6.4375,6.625,6.375,6.625,6000,5.64269
2000-01-04,6.5625,6.5625,6.25,6.375,15100,5.42976
2000-01-05,6.1875,6.1875,6.1875,6.1875,1600,5.27006
2000-01-06,6.1875,6.1875,6.1875,6.1875,000,5.27006
2000-01-07,6.25,6.25,6.0625,6.0625,3300,5.16360
2000-01-10,6.0625,6.125,6.0625,6.125,4100,5.21683
2000-01-11,6.00,6.125,5.875,6.0625,17800,5.16360
2000-01-12,6.125,6.25,6.00,6.25,8200,5.32330
2000-01-13,6.375,6.625,6.125,6.25,16800,5.32330
2000-01-14,6.1875,6.3125,6.125,6.1875,28200,5.27006
2000-01-18,6.1875,6.3125,6.125,6.25,32000,5.32330
2000-01-19,6.1875,6.1875,6.1875,6.1875,14900,5.27006
2000-01-20,6.25,6.25,6.25,6.25,5500,5.32330
2000-01-21,6.25,6.25,6.125,6.1875,20300,5.27006
2000-01-24,6.0625,6.1875,6.00,6.0625,20300,5.16360
2000-01-25,6.0625,6.1875,6.0625,6.1875,2800,5.27006
2000-01-26,6.3125,6.3125,6.1875,6.3125,13200,5.37653
2000-01-27,6.3125,6.4375,6.3125,6.375,7000,5.42976
2000-01-28,6.125,6.125,6.00,6.00,7300,5.11036
2000-01-31,6.125,6.1875,6.125,6.1875,4800,5.27006
2000-02-01,6.125,6.125,6.125,6.125,800,5.21683
2000-02-02,6.25,6.25,6.1875,6.25,6100,5.32330
2000-02-03,6.125,6.3125,6.125,6.3125,2500,5.37653
2000-02-04,6.1875,6.3125,6.1875,6.25,1000,5.32330
2000-02-07,6.25,6.25,6.125,6.125,5900,5.21683
2000-02-08,6.125,6.25,6.125,6.1875,3600,5.27006
2000-02-09,6.1875,6.25,6.1875,6.25,1200,5.32330
2000-02-10,6.25,6.4375,5.9375,6.4375,41100,5.48
2000-02-11,6.50,6.50,6.25,6.25,2800,5.32330
2000-02-14,6.375,8.75,6.125,8.75,77400,7.45262
2000-02-15,8.50,8.50,6.875,8.125,102300,6.92029
2000-02-16,7.8125,8.50,7.3125,7.75,41100,6.60089
2000-02-17,7.625,9.875,7.625,8.25,85900,7.02675
2000-02-18,8.50,8.5625,8.25,8.25,26500,7.02675
2000-02-22,8.125,8.1875,8.00,8.00,4400,6.81382
2000-02-23,7.9375,8.00,7.625,7.625,19500,6.49442
2000-02-24,7.50,7.50,6.625,6.8125,22900,5.80239
2000-02-25,6.5625,6.5625,6.25,6.3125,32400,5.37653
2000-02-28,6.1875,6.4375,6.1875,6.3125,4200,5.37653
2000-02-29,6.1875,6.1875,6.0625,6.125,20800,5.21683
2000-03-01,6.0625,6.1875,6.00,6.0625,17900,5.16360
2000-03-02,6.125,6.125,6.0625,6.0625,9100,5.16360
2000-03-03,6.00,6.0625,5.875,6.0625,19300,5.16360
2000-03-06,6.00,6.125,5.875,6.0625,5800,5.16360
2000-03-07,6.00,6.25,6.00,6.0625,16600,5.16360
2000-03-08,6.125,6.1875,6.125,6.1875,1200,5.27006
2000-03-09,6.125,6.125,6.125,6.125,600,5.21683
2000-03-10,6.0625,6.0625,5.9375,5.9375,4500,5.05713
2000-03-13,5.9375,6.00,5.9375,6.00,700,5.11036
2000-03-14,5.9375,5.9375,5.875,5.875,25500,5.00390
2000-03-15,5.875,5.875,5.75,5.875,3000,5.00390
2000-03-16,6.00,6.125,6.00,6.125,3700,5.21683
