Date,Open,High,Low,Close,Volume,Adj Clos
2004-12-14,18.999981,18.999981,16.709983,16.749983,297800,117.24988
2004-12-15,16.989983,17.349982,16.749983,17.279983,27200,120.95987
2004-12-16,17.489983,17.679983,17.009983,17.649983,21900,123.5498
2004-12-17,17.749982,18.999981,17.249983,18.019982,22400,126.13987
2004-12-20,18.249982,19.649981,17.979982,18.98998,41800,132.9298
2004-12-21,19.399981,19.399981,18.599981,19.249981,5900,134.74986
2004-12-22,19.34998,21.27998,19.34998,20.739978,13300,145.17984
2004-12-23,20.999979,21.379979,20.35998,20.789979,13700,145.52985
2004-12-27,20.979979,21.099978,19.99998,20.259981,4800,141.81986
2004-12-28,20.45998,21.239978,20.259981,20.979979,2700,146.85985
2004-12-29,21.099978,21.099978,20.24998,20.949978,2600,146.64984
2004-12-30,20.749979,20.849979,20.009981,20.60998,3300,144.2698
2004-12-31,20.31998,22.099977,20.31998,21.969977,6200,153.7898
2005-01-03,24.619975,24.819976,22.029979,22.299979,30800,156.0998
2005-01-04,22.439978,22.749977,20.519979,21.549979,13900,150.84985
2005-01-05,21.499979,21.499979,20.219979,20.349979,11500,142.44985
2005-01-06,20.14998,20.199979,18.389981,19.719979,17600,138.03985
2005-01-07,19.499981,19.93998,18.849981,19.269981,5300,134.88986
2005-01-10,19.44998,20.47998,18.999981,20.299981,11100,142.09986
2005-01-11,20.39998,20.39998,19.61998,19.99998,13500,139.9998
2005-01-12,19.969979,20.259981,19.499981,19.76998,5900,138.38986
2005-01-13,19.509982,19.989979,19.36998,19.839981,5600,138.87986
2005-01-14,19.399981,21.589979,19.399981,20.62998,4800,144.40985
2005-01-18,19.82998,21.759979,19.82998,21.679978,16700,151.75984
2005-01-19,22.949976,23.469976,21.999978,22.699976,17000,158.89983
2005-01-20,22.899978,22.899978,22.049979,22.499978,3000,157.49984
2005-01-21,22.779978,22.999977,21.709978,22.989976,19700,160.92983
2005-01-24,23.329976,23.489976,22.389977,22.909976,12500,160.36983
2005-01-25,23.049978,23.209977,22.509979,22.649978,7100,158.54984
2005-01-26,23.059977,24.019976,22.999977,23.999976,16900,167.99983
2005-01-27,23.999976,24.999975,23.989975,24.299977,21900,170.09983
2005-01-28,24.259977,24.599975,23.589977,24.099976,7000,168.69982
2005-01-31,24.589976,24.589976,22.799978,23.949975,11800,167.64982
2005-02-01,23.989975,24.149976,23.569977,23.799977,3900,166.5998
2005-02-02,23.799977,24.499976,23.599976,24.239975,11100,169.67982
2005-02-03,25.989973,25.989973,24.649976,25.069976,30700,175.4898
2005-02-04,24.649976,26.869973,24.649976,26.149974,31700,183.0498
2005-02-07,26.579973,26.699972,24.549976,24.819976,20400,173.73983
2005-02-08,25.119974,25.479975,24.759976,24.769975,11200,173.38982
2005-02-09,24.749975,25.979974,24.499976,25.049976,11700,175.34983
