Date,Open,High,Low,Close,Volume,Adj Clos
2007-07-26,15.00,15.01,15.00,15.00,1399100,6.08646
2007-07-27,15.00,15.01,15.00,15.00,713000,6.08646
2007-07-30,14.75,14.76,14.01,14.09,722300,5.7172
2007-07-31,14.02,14.45,14.00,14.06,165000,5.70504
2007-08-01,14.03,14.15,14.00,14.02,88200,5.68881
2007-08-02,14.05,14.38,14.04,14.10,65500,5.72127
2007-08-03,14.07,14.22,14.00,14.12,101600,5.72939
2007-08-06,14.05,14.14,13.40,13.75,171200,5.5792
2007-08-07,13.75,13.85,13.50,13.65,100000,5.53868
2007-08-08,13.75,14.05,13.55,13.99,99300,5.67664
2007-08-09,13.90,14.38,13.65,13.90,114500,5.68482
2007-08-10,13.80,13.91,13.40,13.87,86800,5.67255
2007-08-13,13.95,14.10,13.44,13.70,74100,5.60302
2007-08-14,13.56,13.69,12.61,12.90,199900,5.27584
2007-08-15,12.60,12.80,11.71,12.05,325600,4.9282
2007-08-16,11.75,12.40,11.01,12.40,493000,5.07135
2007-08-17,12.70,13.49,12.00,13.35,262400,5.45988
2007-08-20,13.35,13.40,13.00,13.15,102900,5.37808
2007-08-21,13.15,13.70,13.00,13.57,96400,5.54985
2007-08-22,13.45,13.89,13.22,13.40,124400,5.48033
2007-08-23,13.41,13.74,13.25,13.70,58500,5.60302
2007-08-24,13.60,13.79,13.49,13.66,73200,5.58666
2007-08-27,13.65,14.09,13.21,14.05,123900,5.7461
2007-08-28,13.99,13.99,12.95,13.60,168200,5.56212
2007-08-29,13.67,13.90,13.55,13.72,63100,5.61120
2007-08-30,13.60,13.92,13.50,13.75,65100,5.62347
2007-08-31,13.99,14.00,13.71,13.72,108700,5.61120
2007-09-04,13.76,14.04,13.62,13.99,108900,5.72163
2007-09-05,13.99,14.05,13.70,14.05,121400,5.7461
2007-09-06,14.01,14.08,13.92,14.04,98300,5.7420
2007-09-07,13.95,14.04,13.66,13.97,139600,5.71345
2007-09-10,13.87,13.92,13.51,13.60,147300,5.56212
2007-09-11,13.62,13.64,13.15,13.46,119100,5.54975
2007-09-12,13.36,13.40,13.03,13.18,110700,5.43431
2007-09-13,13.28,13.38,13.15,13.29,83900,5.47966
2007-09-14,13.21,13.35,13.00,13.34,105600,5.50028
2007-09-17,13.24,13.29,12.93,13.06,93200,5.38483
2007-09-18,13.25,13.40,13.02,13.40,137400,5.5250
2007-09-19,13.36,13.60,13.25,13.53,231100,5.57862
2007-09-20,13.53,13.70,13.41,13.58,103000,5.59923
2007-09-21,13.46,13.80,13.39,13.77,135300,5.67757
2007-09-24,13.79,13.87,13.35,13.50,263300,5.56625
2007-09-25,13.35,13.69,13.24,13.50,155200,5.56625
2007-09-26,13.65,13.77,13.21,13.23,147600,5.45492
2007-09-27,13.24,13.45,13.19,13.35,205500,5.50440
2007-09-28,13.23,13.42,13.14,13.19,177800,5.43843
2007-10-01,13.26,13.37,13.10,13.31,192400,5.48791
2007-10-02,13.32,13.46,13.17,13.46,153000,5.54975
2007-10-03,13.36,13.63,13.22,13.59,203300,5.6033
2007-10-04,13.55,13.75,13.52,13.63,113900,5.61985
2007-10-05,13.74,13.87,13.58,13.62,176800,5.6157
2007-10-08,13.63,13.82,13.55,13.76,83400,5.67345
2007-10-09,13.70,13.70,13.26,13.54,150300,5.62773
2007-10-10,13.55,13.70,13.40,13.55,107800,5.6318
2007-10-11,13.70,13.76,13.26,13.38,188300,5.56123
2007-10-12,13.34,13.45,13.26,13.38,104300,5.56123
2007-10-15,13.38,13.39,13.18,13.37,122000,5.55707
2007-10-16,13.37,13.37,13.14,13.29,169700,5.52382
2007-10-17,13.30,13.50,13.26,13.26,128500,5.51135
2007-10-18,13.19,13.42,13.17,13.22,234300,5.4947
2007-10-19,13.24,13.34,13.02,13.29,180300,5.52382
2007-10-22,13.14,13.46,13.01,13.31,228800,5.53213
2007-10-23,13.26,13.45,13.14,13.29,191200,5.52382
2007-10-24,13.25,13.28,13.03,13.25,144500,5.50719
2007-10-25,13.16,13.25,12.85,12.99,256600,5.39913
2007-10-26,13.11,13.31,13.00,13.07,210800,5.43238
2007-10-29,13.12,13.24,13.01,13.15,163800,5.46563
2007-10-30,13.14,13.18,12.95,13.07,226900,5.43238
2007-10-31,13.10,13.21,12.91,13.09,245900,5.44069
2007-11-01,13.01,13.09,12.92,13.00,139800,5.40328
2007-11-02,13.00,13.23,12.95,12.97,151900,5.3908
2007-11-05,12.92,13.00,12.80,12.95,152600,5.38250
2007-11-06,12.91,13.00,12.64,12.99,211100,5.39913
2007-11-07,14.88,14.88,12.24,12.31,265800,5.16019
2007-11-08,12.40,12.86,12.01,12.41,290100,5.20211
2007-11-09,12.37,12.50,12.10,12.39,195400,5.19373
2007-11-12,12.28,12.46,12.13,12.34,208900,5.17277
2007-11-13,12.37,12.69,12.15,12.60,292100,5.28176
2007-11-14,12.59,12.72,12.26,12.39,204500,5.19373
2007-11-15,12.39,12.50,12.22,12.27,197500,5.14342
2007-11-16,12.27,12.41,12.18,12.26,216000,5.13923
2007-11-19,12.36,12.36,11.95,12.05,336100,5.05120
2007-11-20,12.07,12.21,11.77,11.93,357500,5.00090
2007-11-21,11.88,12.14,11.80,12.09,265600,5.06797
2007-11-23,12.15,12.30,12.00,12.30,104200,5.15600
2007-11-26,12.17,12.30,12.05,12.09,236800,5.06797
2007-11-27,12.03,12.34,11.71,11.86,449300,4.97156
2007-11-28,12.00,12.20,11.92,12.15,414300,5.09312
