Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,11.375,11.875,11.375,11.50,113200,2.08518
2000-01-04,11.375,11.375,11.00,11.0625,165800,2.00585
2000-01-05,11.00,11.25,11.00,11.25,4000,2.03985
2000-01-06,11.25,11.375,11.25,11.25,12000,2.03985
2000-01-07,11.3125,11.50,11.25,11.50,18000,2.08518
2000-01-10,11.375,11.9375,11.375,11.75,131900,2.13051
2000-01-11,11.625,11.875,11.625,11.6875,44600,2.11918
2000-01-12,11.625,11.875,11.4375,11.625,171400,2.10785
2000-01-13,11.875,12.4375,11.875,12.0625,92200,2.1871
2000-01-14,12.1875,12.50,12.125,12.4375,55500,2.25517
2000-01-18,12.50,12.50,12.375,12.375,84200,2.24384
2000-01-19,12.4375,12.50,12.4375,12.50,38800,2.26650
2000-01-20,12.50,12.5625,12.4375,12.4375,98000,2.25517
2000-01-21,12.50,12.50,12.375,12.4375,23500,2.25517
2000-01-24,12.50,12.5625,12.4375,12.4375,136800,2.25517
2000-01-25,12.3125,12.375,12.1875,12.1875,53500,2.20984
2000-01-26,12.25,12.375,12.25,12.3125,35300,2.2325
2000-01-27,12.375,12.4375,12.25,12.25,108400,2.22117
2000-01-28,12.1875,12.3125,12.1875,12.25,79400,2.22117
2000-01-31,12.125,12.1875,12.00,12.125,43200,2.19851
2000-02-01,12.125,12.125,11.75,11.75,23400,2.13051
2000-02-02,11.875,12.00,11.6875,11.8125,58000,2.1418
2000-02-03,11.875,12.00,11.8125,11.875,140000,2.15318
2000-02-04,11.9375,12.125,11.9375,12.125,31000,2.19851
2000-02-07,12.1875,12.375,12.125,12.375,27200,2.24384
2000-02-08,12.375,12.625,12.375,12.5625,28300,2.2778
2000-02-09,12.625,12.625,12.50,12.50,23600,2.26650
2000-02-10,12.50,12.50,12.50,12.50,35300,2.26650
2000-02-11,12.5625,12.75,12.5625,12.625,35400,2.28917
2000-02-14,12.5625,12.5625,12.50,12.5625,24800,2.2778
2000-02-15,12.50,12.5625,12.4375,12.4375,23300,2.25517
2000-02-16,12.3125,12.4375,12.125,12.25,9700,2.22117
2000-02-17,12.375,12.375,12.125,12.25,10800,2.22117
2000-02-18,12.125,12.1875,11.875,11.875,33500,2.15318
2000-02-22,11.75,11.875,11.6875,11.8125,24500,2.1418
2000-02-23,11.75,11.75,11.50,11.625,16200,2.10785
2000-02-24,11.75,11.75,11.5625,11.5625,117600,2.0965
2000-02-25,11.8125,11.8125,11.3125,11.3125,150500,2.0511
2000-02-28,11.375,11.625,11.25,11.375,42500,2.06252
2000-02-29,11.4375,11.5625,11.125,11.375,51800,2.06252
2000-03-01,11.4375,11.5625,11.375,11.50,42300,2.08518
2000-03-02,11.5625,11.5625,11.4375,11.50,71600,2.08518
2000-03-03,11.4375,11.5625,11.4375,11.50,8800,2.08518
2000-03-06,11.50,11.50,11.4375,11.50,43200,2.08518
2000-03-07,11.4375,11.4375,11.25,11.3125,11100,2.0511
2000-03-08,11.25,11.5625,11.25,11.4375,41500,2.07385
2000-03-09,11.375,11.375,11.1875,11.1875,33700,2.02852
2000-03-10,11.1875,11.25,11.0625,11.0625,74600,2.00585
2000-03-13,10.6875,11.00,10.6875,10.8125,37500,1.96052
2000-03-14,10.8125,10.875,10.8125,10.8125,21400,1.96052
2000-03-15,10.8125,10.9375,10.6875,10.8125,45000,1.96052
2000-03-16,10.875,10.875,10.6875,10.6875,166500,1.93786
2000-03-17,10.6875,10.8125,10.5625,10.6875,233300,1.93786
2000-03-20,10.8125,10.8125,10.6875,10.75,50800,1.94919
2000-03-21,10.625,10.625,10.50,10.625,99600,1.92653
2000-03-22,10.625,10.625,10.50,10.625,93700,1.92653
2000-03-23,10.5625,10.625,10.5625,10.625,32800,1.92653
2000-03-24,10.6875,10.75,10.625,10.625,126000,1.92653
2000-03-27,10.6875,11.00,10.6875,10.9375,57700,1.98319
2000-03-28,11.00,11.0625,10.75,10.75,27800,1.94919
2000-03-29,10.875,10.875,10.6875,10.75,21700,1.94919
2000-03-30,10.6875,10.6875,10.4375,10.50,37300,1.90386
2000-03-31,10.625,10.875,10.625,10.875,24500,1.97186
2000-04-03,10.8125,10.875,10.625,10.625,10600,1.92653
2000-04-04,10.6875,10.6875,10.4375,10.4375,25500,1.89253
2000-04-05,10.4375,10.50,10.375,10.50,10100,1.90386
2000-04-06,10.50,10.6875,10.4375,10.5625,27900,1.91519
2000-04-07,10.625,10.625,10.50,10.5625,48500,1.91519
2000-04-10,10.50,10.625,10.50,10.50,17000,1.90386
2000-04-11,10.5625,10.5625,10.4375,10.50,11200,1.90386
2000-04-12,10.375,10.50,10.3125,10.375,11700,1.88120
2000-04-13,10.3125,10.375,10.25,10.25,57500,1.85853
2000-04-14,10.25,10.3125,9.875,9.875,79000,1.79054
2000-04-17,9.75,9.8125,9.50,9.5625,66500,1.73387
2000-04-18,9.6875,10.00,9.6875,9.8125,45100,1.77920
2000-04-19,9.8125,10.00,9.8125,9.875,8500,1.79054
2000-04-20,10.0625,10.0625,10.00,10.0625,18500,1.82453
2000-04-24,10.00,10.00,9.75,9.75,24700,1.76787
2000-04-25,9.8125,9.875,9.8125,9.8125,18600,1.77920
2000-04-26,9.8125,9.9375,9.8125,9.875,46800,1.79054
2000-04-27,9.875,9.875,9.625,9.6875,93500,1.75654
2000-04-28,9.75,9.75,9.50,9.5625,72300,1.73387
2000-05-01,9.75,9.9375,9.625,9.9375,54800,1.80187
2000-05-02,9.8125,9.875,9.75,9.8125,25600,1.77920
2000-05-03,9.6875,9.75,9.50,9.5625,19500,1.73387
2000-05-04,9.6875,9.6875,9.50,9.6875,12100,1.75654
2000-05-05,9.5625,9.5625,9.4375,9.50,62100,1.72254
2000-05-08,9.50,9.625,9.4375,9.625,13700,1.74521
2000-05-09,9.6875,9.6875,9.4375,9.50,27900,1.72254
2000-05-10,9.4375,9.4375,9.3125,9.3125,56900,1.68854
2000-05-11,9.25,9.375,9.25,9.3125,12600,1.68854
2000-05-12,9.375,9.75,9.375,9.75,24800,1.76787
2000-05-15,9.6875,10.4375,9.625,10.375,102600,1.88120
2000-05-16,10.4375,10.4375,10.3125,10.375,80900,1.88120
2000-05-17,10.50,10.50,10.0625,10.0625,35900,1.82453
2000-05-18,10.00,10.0625,9.9375,9.9375,9100,1.80187
2000-05-19,9.875,9.9375,9.6875,9.6875,54300,1.75654
2000-05-22,9.75,9.75,9.5625,9.5625,29800,1.73387
2000-05-23,9.5625,9.625,9.50,9.5625,45100,1.73387
2000-05-24,9.50,9.5625,9.375,9.4375,27700,1.71121
2000-05-25,9.4375,9.50,9.4375,9.50,24600,1.72254
2000-05-26,9.375,9.375,9.25,9.3125,42200,1.68854
2000-05-30,9.4375,9.5625,9.375,9.50,61600,1.72254
2000-05-31,9.50,9.50,9.4375,9.4375,16100,1.71121
2000-06-01,9.50,9.625,9.375,9.4375,207800,1.71121
2000-06-02,9.50,10.5625,9.50,9.875,102200,1.79054
2000-06-05,9.875,10.0625,9.875,10.00,55400,1.81320
2000-06-06,9.875,10.00,9.6875,9.8125,143300,1.77920
2000-06-07,9.6875,9.8125,9.6875,9.75,3200,1.76787
2000-06-08,9.6875,9.75,9.625,9.75,19400,1.76787
2000-06-09,9.75,9.875,9.75,9.875,21900,1.79054
2000-06-12,10.125,10.125,9.625,9.875,78400,1.79054
2000-06-13,9.8125,9.8125,9.5625,9.75,19900,1.76787
2000-06-14,9.75,9.75,9.4375,9.625,18700,1.74521
2000-06-15,9.75,9.75,9.625,9.6875,49700,1.75654
2000-06-16,9.625,9.6875,9.50,9.6875,10400,1.75654
2000-06-19,9.625,9.625,9.50,9.625,16600,1.74521
2000-06-20,9.625,9.625,9.50,9.50,14200,1.72254
2000-06-21,9.625,9.625,9.50,9.50,8900,1.72254
2000-06-22,9.5625,9.625,9.5625,9.5625,3400,1.73387
2000-06-23,9.625,9.6875,9.5625,9.6875,6900,1.75654
2000-06-26,9.75,9.75,9.625,9.625,20700,1.74521
2000-06-27,9.50,9.625,9.50,9.5625,11000,1.73387
2000-06-28,9.5625,9.5625,9.5625,9.5625,8200,1.73387
2000-06-29,9.5625,9.75,9.50,9.5625,4000,1.73387
2000-06-30,9.50,10.00,9.50,9.75,57900,1.76787
2000-07-03,9.75,9.875,9.75,9.8125,47600,1.77920
2000-07-05,9.8125,9.8125,9.625,9.625,30600,1.74521
2000-07-06,9.75,10.00,9.75,9.9375,89400,1.80187
