Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,58.374126,58.389751,53.749195,55.624167,1293200,194.68458
2000-01-04,52.686711,54.936677,52.249218,53.186703,1165900,186.15346
2000-01-05,51.999221,52.186718,48.186778,49.749255,1824100,174.12239
2000-01-06,49.999251,51.624227,45.37432,45.874313,1687900,160.56009
2000-01-07,49.374261,60.249098,47.999281,57.749135,5233500,202.12197
2000-01-10,60.061601,65.374021,58.12413,64.374036,2154600,225.30912
2000-01-11,62.74906,65.749015,59.874103,60.374096,1423400,211.30933
2000-01-12,59.999101,62.499064,57.374141,59.249113,901300,207.37189
2000-01-13,63.124055,63.749045,60.249098,62.499064,951700,218.74672
2000-01-14,62.999057,68.045856,62.999057,66.811499,1561200,233.84024
2000-01-18,67.248993,69.936453,66.499004,69.686456,1163000,243.90259
2000-01-19,69.998952,70.498944,66.436505,68.248978,660500,238.87142
2000-01-20,71.998922,76.936348,71.623927,73.4364,1936800,257.02740
2000-01-21,74.498884,76.12386,70.373946,73.811395,943900,258.33988
2000-01-24,75.123875,79.373811,74.248888,76.873849,1085600,269.05847
2000-01-25,78.248828,78.373826,69.498959,73.998892,1170900,258.99612
2000-01-26,73.967642,74.998877,67.748985,68.12398,872200,238.43392
2000-01-27,71.248933,74.998877,68.873969,70.686441,1268700,247.40254
2000-01-28,69.623957,71.998922,63.749045,66.12401,1081300,231.43403
2000-01-31,66.249008,66.998997,60.061601,65.624017,989500,229.6840
2000-02-01,68.248978,69.873954,65.686516,69.248963,647700,242.3713
2000-02-02,69.498959,74.998877,69.498959,74.12389,899700,259.43361
2000-02-03,74.936378,75.498869,71.686426,75.43637,1152800,264.02729
2000-02-04,75.748866,77.186344,74.248888,75.561368,719300,264.46478
2000-02-07,78.748821,83.373751,77.998832,80.81129,1285000,282.83951
2000-02-08,82.998757,86.498705,82.12377,86.248708,1040100,301.87047
2000-02-09,85.686217,86.998697,82.498765,83.686247,907200,292.90186
2000-02-10,84.186239,99.936003,84.12374,98.998517,3100100,346.49481
2000-02-11,98.998517,105.248424,94.12359,96.998547,1823400,339.49491
2000-02-14,98.748521,104.248439,98.623523,99.811005,986300,349.33851
2000-02-15,99.748506,103.998443,94.186089,99.686007,1037800,348.90102
2000-02-16,98.061031,121.49818,97.873534,117.685738,3219200,411.90008
2000-02-17,118.123231,118.18573,110.060852,113.560799,1971600,397.46279
2000-02-18,116.998248,125.498121,114.748282,115.310773,2387400,403.58770
2000-02-22,116.998248,124.748132,114.18579,119.060717,1573800,416.71250
2000-02-23,118.998218,121.748177,115.49827,116.810751,1012200,408.83762
2000-02-24,118.810721,126.498106,117.123246,124.685633,1507000,436.39971
2000-02-25,125.998113,142.497866,123.498151,135.622969,1612000,474.68039
2000-02-28,136.622954,151.997724,128.87307,149.310264,2238800,522.58592
2000-02-29,152.497716,161.747578,151.497731,159.810107,2460600,559.33537
2000-03-01,159.872606,180.497297,157.997634,176.997349,1791900,619.49072
2000-03-02,181.497282,188.99717,152.997709,157.497641,2598500,551.24174
2000-03-03,165.122527,180.247301,160.060103,169.309964,2185600,592.58487
2000-03-06,171.747428,180.93479,171.497432,176.184861,889500,616.64701
2000-03-07,179.497312,179.497312,162.997559,168.997469,1442700,591.49114
2000-03-08,170.24745,170.622445,150.997739,153.622699,2155000,537.67944
2000-03-09,158.872621,168.997469,151.872726,167.934985,1355600,587.77244
2000-03-10,164.497537,170.997439,156.997649,162.872561,804800,570.05396
2000-03-13,149.497761,158.997619,143.997844,147.122797,1479000,514.92978
2000-03-14,151.060238,153.997694,133.997993,133.997993,1851300,468.99297
2000-03-15,134.685483,134.747982,122.498165,125.310623,2117300,438.58718
2000-03-16,132.498016,133.872995,115.123276,133.482376,3151900,467.18831
2000-03-17,134.497986,143.872845,132.998008,142.622864,1502500,499.18002
2000-03-20,143.997844,143.997844,130.560545,131.310534,1368100,459.58686
2000-03-21,128.998068,143.185356,119.185715,140.685393,1503000,492.39887
2000-03-22,141.747877,157.997634,138.24793,150.560245,1459200,526.96085
2000-03-23,148.997769,155.497671,144.497836,154.685183,1232100,541.39814
2000-03-24,161.247585,166.24751,156.122662,162.372568,1370000,568.30398
2000-03-27,162.872561,165.497522,156.747653,157.435142,776700,551.02299
2000-03-28,156.747653,156.872651,146.8728,147.185296,966600,515.14853
2000-03-29,147.497791,147.747787,128.998068,129.810556,1858700,454.33694
2000-03-30,122.998158,135.997963,121.998173,129.248064,1830300,452.36822
2000-03-31,132.998008,132.998008,122.248169,126.123111,1398200,441.43088
2000-04-03,121.623179,128.810571,112.18582,113.873295,1723800,398.55653
2000-04-04,114.435786,114.748282,79.248813,102.123471,4631600,357.43214
2000-04-05,94.998577,106.998398,92.498615,99.123516,2309000,346.93230
2000-04-06,104.998428,118.498225,103.998443,117.435741,2065300,411.02509
