Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,10.25,10.25,10.00,10.00,5100,9.10327
2000-01-04,10.125,10.1875,9.9375,10.00,9500,9.10327
2000-01-05,10.0625,10.3125,10.00,10.3125,49900,9.38775
2000-01-06,10.4375,11.00,10.4375,11.00,28200,10.01360
2000-01-07,10.9375,11.9375,10.9375,11.8125,22300,10.75324
2000-01-10,11.8125,11.8125,11.375,11.375,20300,10.35497
2000-01-11,11.50,11.75,11.375,11.375,25400,10.35497
2000-01-12,11.375,11.625,11.25,11.4375,34200,10.41187
2000-01-13,11.5625,11.625,11.50,11.50,35800,10.46876
2000-01-14,11.625,11.625,11.4375,11.4375,33700,10.41187
2000-01-18,11.50,11.625,11.25,11.375,10800,10.35497
2000-01-19,11.4375,12.00,11.375,12.00,46900,10.92393
2000-01-20,12.00,12.50,12.00,12.50,28900,11.37909
2000-01-21,12.625,12.875,12.50,12.5625,92500,11.4359
2000-01-24,12.6875,12.6875,12.4375,12.4375,20700,11.32219
2000-01-25,12.4375,12.4375,12.375,12.4375,33200,11.32219
2000-01-26,12.4375,12.4375,12.3125,12.375,33400,11.26530
2000-01-27,12.375,12.50,12.125,12.125,20700,11.03772
2000-01-28,12.125,12.1875,12.125,12.125,5500,11.03772
2000-01-31,12.00,12.25,11.875,12.125,13100,11.03772
2000-02-01,12.50,13.1875,12.50,12.5625,35000,11.4359
2000-02-02,12.625,13.125,12.625,13.125,19400,11.94804
2000-02-03,13.0625,13.0625,13.00,13.00,3500,11.83425
2000-02-04,13.00,13.3125,13.00,13.3125,9100,12.11873
2000-02-07,13.1875,13.50,13.1875,13.50,10700,12.28942
2000-02-08,13.4375,13.625,13.375,13.625,10900,12.40321
2000-02-09,13.625,13.8125,13.5625,13.6875,6000,12.46010
2000-02-10,13.8125,13.8125,13.4375,13.5625,12200,12.34631
2000-02-11,13.5625,13.5625,13.5625,13.5625,2900,12.34631
2000-02-14,13.4375,13.5625,13.4375,13.50,7500,12.28942
2000-02-15,13.50,13.5625,13.375,13.5625,14700,12.34631
2000-02-16,14.00,14.25,13.75,14.25,28200,12.97216
2000-02-17,14.125,14.125,14.00,14.0625,2800,12.80148
2000-02-18,14.00,14.25,13.875,13.9375,44600,12.6876
2000-02-22,13.875,14.00,13.875,13.875,12100,12.63079
