Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,64.00,64.00,62.00,62.25,2434800,22.11112
2000-01-04,61.25,61.9375,60.50,60.625,2358400,21.53392
2000-01-05,60.75,61.25,57.75,58.5625,3169400,20.8013
2000-01-06,58.00,60.00,57.875,58.4375,5802200,20.7569
2000-01-07,59.125,62.3125,58.00,61.9375,5570200,22.00012
2000-01-10,63.50,63.625,61.75,63.625,3049600,22.59952
2000-01-11,63.00,64.8125,62.9375,63.9375,3850800,22.71052
2000-01-12,63.25,64.4375,62.8125,64.375,2332600,22.86592
2000-01-13,64.125,65.6875,63.8125,64.8125,2643000,23.02132
2000-01-14,66.00,66.75,62.0625,63.3125,4695800,22.48852
2000-01-18,63.0625,63.625,62.0625,63.00,2902000,22.37752
2000-01-19,63.00,63.25,61.125,61.50,2470200,21.84472
2000-01-20,61.375,63.75,60.50,61.9375,3082000,22.00012
2000-01-21,63.25,63.25,60.375,61.3125,3642200,21.77812
2000-01-24,62.75,63.00,60.50,60.6875,3024800,21.6118
2000-01-25,61.75,61.8125,59.25,59.625,1929000,21.23344
2000-01-26,59.75,60.625,58.9375,60.1875,1368000,21.43376
2000-01-27,59.75,61.3125,59.75,60.3125,2075200,21.47827
2000-01-28,60.5625,61.125,58.50,59.50,3138400,21.18893
2000-01-31,58.75,59.6875,58.50,59.25,3411800,21.09990
2000-02-01,59.25,60.1875,58.4375,59.625,3090800,21.23344
2000-02-02,60.50,61.625,59.75,61.3125,3010400,21.83439
2000-02-03,61.00,61.75,58.375,60.00,4268600,21.3669
2000-02-04,59.50,59.5625,55.00,56.25,6497800,20.03155
2000-02-07,56.25,56.8125,53.5625,56.375,5906200,20.07606
2000-02-08,56.375,59.375,56.375,58.6875,5455600,20.89958
2000-02-09,59.75,59.75,57.50,58.1875,4435400,20.72152
2000-02-10,58.25,58.50,57.375,57.50,2444400,20.47669
2000-02-11,57.625,57.625,55.625,55.875,3301200,19.8980
2000-02-14,55.9375,55.9375,53.00,54.00,3962000,19.23029
2000-02-15,54.75,55.8125,53.8125,55.6875,4309200,19.83123
2000-02-16,55.875,56.75,55.125,55.375,3066000,19.71995
2000-02-17,55.625,56.00,53.50,53.9375,2682200,19.20803
2000-02-18,52.50,54.875,52.00,53.0625,4189600,18.89643
