Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,4.624999,4.749992,4.624999,4.749992,7300,0.91562
2000-01-04,4.624999,4.624999,4.624999,4.624999,25600,0.89153
2000-01-05,4.624999,4.624999,4.624999,4.624999,000,0.89153
2000-01-06,4.749992,4.812514,4.749992,4.812514,12300,0.92768
2000-01-07,4.937507,4.937507,4.749992,4.749992,10000,0.91562
2000-01-10,4.937507,4.937507,4.812514,4.812514,44700,0.92768
2000-01-11,4.937507,4.999978,4.874985,4.999978,134500,0.96381
2000-01-12,4.999978,5.593759,4.937507,5.375008,162100,1.0361
2000-01-13,5.375008,5.375008,5.375008,5.375008,6000,1.0361
2000-01-14,5.375008,5.375008,5.375008,5.375008,000,1.0361
2000-01-18,5.375008,5.375008,5.375008,5.375008,000,1.0361
2000-01-19,5.125022,5.375008,4.999978,5.250015,16300,1.01201
2000-01-20,4.999978,5.250015,4.999978,4.999978,60000,0.96381
2000-01-21,5.125022,5.125022,4.999978,4.999978,9400,0.96381
2000-01-24,4.999978,4.999978,4.999978,4.999978,11400,0.96381
2000-01-25,5.500002,5.500002,5.125022,5.125022,16300,0.98792
2000-01-26,5.250015,5.250015,5.250015,5.250015,100,1.01201
2000-01-27,5.250015,5.250015,5.250015,5.250015,900,1.01201
2000-01-28,5.375008,5.375008,5.125022,5.125022,11400,0.98792
2000-01-31,5.187493,5.187493,5.125022,5.125022,20400,0.98792
2000-02-01,5.125022,5.125022,5.125022,5.125022,000,0.98792
2000-02-02,5.125022,5.125022,5.125022,5.125022,000,0.98792
2000-02-03,5.0625,5.0625,5.0625,5.0625,4900,0.97586
2000-02-04,5.0625,5.0625,5.0625,5.0625,900,0.97586
2000-02-07,5.0625,5.0625,5.0625,5.0625,000,0.97586
2000-02-08,5.125022,5.125022,5.125022,5.125022,3300,0.98792
2000-02-09,5.187493,5.437479,5.187493,5.437479,104100,1.04815
2000-02-10,5.375008,5.375008,5.187493,5.187493,28300,0.99996
2000-02-11,5.125022,5.125022,5.125022,5.125022,2200,0.98792
2000-02-14,5.125022,5.125022,5.125022,5.125022,12100,0.98792
2000-02-15,5.375008,5.375008,5.375008,5.375008,900,1.0361
2000-02-16,5.250015,5.250015,5.125022,5.125022,2800,0.98792
2000-02-17,5.125022,5.125022,5.125022,5.125022,000,0.98792
2000-02-18,5.125022,5.375008,5.125022,5.375008,4200,1.0361
2000-02-22,5.437479,5.437479,5.125022,5.125022,29200,0.98792
2000-02-23,5.375008,5.500002,5.375008,5.375008,38700,1.0361
2000-02-24,5.624994,5.624994,5.624994,5.624994,6900,1.08429
2000-02-25,5.375008,5.375008,5.125022,5.250015,10300,1.01201
2000-02-28,5.250015,5.718752,5.250015,5.375008,14100,1.0361
2000-02-29,5.687517,5.687517,5.687517,5.687517,1300,1.0963
2000-03-01,5.500002,5.874981,5.312486,5.874981,37800,1.13248
2000-03-02,5.718752,6.187488,5.718752,6.187488,70200,1.19272
2000-03-03,6.874976,6.874976,6.375004,6.749983,264600,1.30115
2000-03-06,6.687512,6.687512,6.499997,6.499997,50800,1.25296
