Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,83.8068,85.6784,80.0982,83.8068,6612500,41.903
2000-01-04,74.0072,81.6628,73.2244,74.0072,7356000,37.003
2000-01-05,74.041,76.1174,73.2244,74.041,4301800,37.020
2000-01-06,68.5292,76.2186,68.0524,68.5292,3340000,34.264
2000-01-07,75.6742,75.879,67.3044,75.6742,5538300,37.837
2000-01-10,75.7428,78.9408,75.3684,75.7428,3748900,37.871
2000-01-11,73.6326,78.2266,72.0342,73.6326,4772700,36.816
2000-01-12,73.9736,76.5594,70.9106,73.9736,2511600,36.986
2000-01-13,78.6348,79.0094,74.4494,78.6348,2546200,39.317
2000-01-14,80.745,81.6628,77.9206,80.745,2570000,40.372
2000-01-18,78.601,81.3906,77.5798,78.601,3390400,39.300
2000-01-19,79.4852,81.1184,78.7372,79.4852,2336000,39.742
2000-01-20,83.1948,83.7044,79.4852,83.1948,4843300,41.597
2000-01-21,81.8676,84.521,80.6426,81.8676,2134000,40.933
2000-01-24,79.1454,86.2904,78.8732,79.1454,3489200,39.572
2000-01-25,82.7518,82.7518,74.8576,82.7518,3264000,41.375
2000-01-26,78.9756,82.8878,77.988,78.9756,2427500,39.487
2000-01-27,74.3132,77.852,71.1828,74.3132,5945000,37.156
2000-01-28,76.3896,82.1736,74.654,76.3896,4628400,38.194
2000-01-31,78.0566,78.3964,72.3402,78.0566,3806600,39.028
2000-02-01,76.798,81.1184,75.6068,76.798,2359200,38.39
2000-02-02,79.4176,81.1184,77.3076,79.4176,3112300,39.708
2000-02-03,89.693,89.693,80.1658,89.693,8392000,44.846
2000-02-04,90.9528,93.9124,87.6514,90.9528,7239200,45.476
2000-02-07,89.8978,90.1014,87.6514,89.8978,3548700,44.948
2000-02-08,95.1036,95.342,91.1228,95.1036,4473700,47.551
2000-02-09,100.9898,101.8064,95.1372,100.9898,8773300,50.494
2000-02-10,101.8064,102.3508,97.3836,101.8064,3561200,50.903
2000-02-11,95.3082,101.1258,94.729,95.3082,2222900,47.654
2000-02-14,99.4588,100.514,95.2734,99.4588,1873900,49.729
2000-02-15,96.1924,100.7176,92.5512,96.1924,3324600,48.096
2000-02-16,105.9244,107.3866,94.729,105.9244,5153300,52.962
2000-02-17,105.209,108.8164,101.5342,105.209,3456100,52.604
2000-02-18,98.064,108.8838,97.5872,98.064,6852400,49.03
2000-02-22,95.172,99.2204,92.9596,95.172,4153700,47.58
2000-02-23,100.4802,100.7176,94.2194,100.4802,4708800,50.240
2000-02-24,100.9222,102.487,98.676,100.9222,5092400,50.461
2000-02-25,103.4396,106.9108,101.3644,103.4396,3023400,51.719
2000-02-28,101.8064,103.984,96.0224,101.8064,4355800,50.903
2000-02-29,107.183,108.6116,97.451,107.183,3552700,53.591
2000-03-01,111.3686,114.2268,106.9784,111.3686,3633200,55.684
2000-03-02,113.6824,114.941,110.0076,113.6824,3895100,56.841
2000-03-03,123.8554,134.4716,114.7364,123.8554,6765300,61.927
2000-03-06,128.27921,128.483,123.0388,128.27921,4140100,64.139
2000-03-07,120.9296,134.87981,113.8522,120.9296,6723100,60.464
2000-03-08,120.4528,129.57179,115.9612,120.4528,7593000,60.226
2000-03-09,130.3208,131.37601,121.4054,130.3208,4536900,65.160
2000-03-10,127.1904,130.6606,124.1962,127.1904,4406800,63.595
2000-03-13,114.192,122.8688,113.8522,114.192,5306900,57.09
2000-03-14,110.0412,119.2278,109.4282,110.0412,3292600,55.020
2000-03-15,95.2734,112.219,94.729,95.2734,6146700,47.636
2000-03-16,107.1144,108.3056,94.5928,107.1144,11490700,53.557
2000-03-17,113.3752,114.1756,103.0314,113.3752,6030200,56.687
2000-03-20,99.6636,114.3966,97.5872,99.6636,6659900,49.831
2000-03-21,109.0886,109.4282,90.918,109.0886,6579800,54.544
2000-03-22,108.6116,113.6474,106.9108,108.6116,3713600,54.305
2000-03-23,109.156,109.9726,103.4396,109.156,3628400,54.57
2000-03-24,107.795,114.8724,105.6174,107.795,4234200,53.897
2000-03-27,113.7836,115.6554,108.2034,113.7836,3836000,56.891
2000-03-28,108.5442,114.0558,107.353,108.5442,4921900,54.272
2000-03-29,97.3836,107.795,96.0562,97.3836,6263900,48.691
2000-03-30,93.0794,101.3306,89.0126,93.0794,7787300,46.539
2000-03-31,102.8952,102.8952,92.8234,102.8952,4250400,51.447
2000-04-03,90.3398,104.2562,89.2848,90.3398,5453500,45.169
2000-04-04,45.5614,48.7255,40.287,45.5614,5307100,45.561
2000-04-05,46.8881,49.338,42.873,46.8881,4843100,46.888
2000-04-06,49.1001,51.7198,46.378,49.1001,3404900,49.100
2000-04-07,48.5894,51.7198,47.6367,48.5894,3638900,48.589
2000-04-10,47.1266,51.3115,46.1395,47.1266,3587800,47.126
2000-04-11,40.0829,45.1868,40.0148,40.0829,6456200,40.082
2000-04-12,37.0548,41.0356,35.3872,37.0548,10911000,37.054
2000-04-13,39.3686,42.7369,36.2039,39.3686,8294500,39.368
2000-04-14,40.2533,42.0564,35.9317,40.2533,6715200,40.253
2000-04-17,41.58,42.3966,38.0413,41.58,4811700,41.5
