Date,Open,High,Low,Close,Volume,Adj Clos
2000-07-31,28.50,28.50,27.87504,27.87504,104000,2.86896
2000-08-01,28.00,28.00,27.437519,28.00,62400,2.88182
2000-08-02,29.00,29.437519,29.00,29.25,46400,3.01047
2000-08-03,29.25,29.687519,29.187519,29.312481,74400,3.01690
2000-08-04,29.25,29.437519,29.00,29.37504,61600,3.02334
2000-08-07,29.25,29.25,28.50,28.562481,31200,2.93971
2000-08-08,29.437519,30.00,29.187519,29.437519,54400,3.02977
2000-08-09,29.312481,30.00,29.312481,29.75,114400,3.06193
2000-08-10,30.25,30.25,30.062481,30.25,44800,3.11339
2000-08-11,30.25,30.562481,30.25,30.562481,12000,3.1455
2000-08-14,30.75,31.00,30.75,30.87504,116000,3.17772
2000-08-15,31.312481,31.37504,30.687519,30.687519,25600,3.15842
2000-08-16,30.62496,31.437519,30.62496,31.37504,49600,3.2291
2000-08-17,31.687519,32.187519,31.687519,32.062481,53600,3.29994
2000-08-18,32.124962,32.124962,31.62496,31.812481,46400,3.27421
2000-08-21,31.937519,31.937519,31.687519,31.75,22400,3.26778
2000-08-22,31.75,31.75,31.37504,31.562481,27200,3.24848
2000-08-23,31.687519,32.50,31.687519,32.50,218400,3.34497
2000-08-24,32.375038,32.375038,32.124962,32.124962,65600,3.30637
2000-08-25,32.437519,32.687519,32.312481,32.624962,19200,3.35783
2000-08-28,32.624962,33.25,32.562481,33.25,101600,3.42216
2000-08-29,33.312481,33.812481,32.375038,32.375038,65600,3.33211
2000-08-30,32.187519,32.312481,32.187519,32.187519,13600,3.31281
2000-08-31,32.437519,32.75,32.437519,32.50,15200,3.34497
2000-09-01,32.50,32.50,32.00,32.00,52000,3.29351
2000-09-05,32.312481,32.624962,32.124962,32.624962,32000,3.35783
2000-09-06,32.50,33.624962,32.375038,33.50,48800,3.44789
2000-09-07,33.624962,34.00,33.50,33.812481,57600,3.48005
2000-09-08,33.437519,33.437519,33.375038,33.375038,16800,3.43503
2000-09-11,33.562481,34.00,33.562481,33.75,32000,3.47362
2000-09-12,34.25,35.25,34.00,35.25,63200,3.6280
2000-09-13,35.50,35.875038,35.312481,35.75,93600,3.67947
2000-09-14,35.75,35.875038,35.375038,35.375038,59200,3.64087
2000-09-15,35.562481,37.25,35.562481,37.25,102400,3.83385
2000-09-18,37.25,37.875038,36.124962,36.875038,112800,3.79526
2000-09-19,37.187519,37.187519,36.437519,36.562481,68800,3.76309
2000-09-20,37.562481,37.562481,36.00,36.00,55200,3.70520
2000-09-21,34.75,35.00,34.624962,34.75,30400,3.57654
2000-09-22,33.812481,34.75,33.25,33.50,89600,3.44789
2000-09-25,32.937519,32.937519,32.187519,32.937519,127200,3.39000
2000-09-26,33.624962,33.624962,33.562481,33.562481,6400,3.45432
2000-09-27,34.00,34.00,33.562481,33.624962,13600,3.46075
2000-09-28,33.062481,33.437519,33.062481,33.312481,524800,3.42859
2000-09-29,33.124962,33.50,33.00,33.50,24000,3.44789
2000-10-02,34.00,34.375038,33.50,34.25,30400,3.52508
2000-10-03,34.25,34.562481,33.812481,33.812481,16000,3.48005
2000-10-04,34.25,34.312481,33.875038,34.187519,53600,3.51865
2000-10-05,33.562481,33.562481,32.875038,32.875038,15200,3.38357
2000-10-06,32.75,32.75,32.187519,32.187519,54400,3.31281
2000-10-09,32.437519,32.437519,32.375038,32.375038,6400,3.33211
2000-10-10,32.687519,33.375038,32.687519,32.812481,76000,3.37713
2000-10-11,33.062481,33.25,33.00,33.00,24000,3.39643
2000-10-12,32.75,34.062481,32.75,33.562481,83200,3.45432
2000-10-13,33.50,33.50,32.437519,32.624962,17600,3.35783
2000-10-16,32.00,32.00,31.12496,31.12496,15200,3.20345
2000-10-17,31.25,31.37504,30.812481,31.00,60000,3.1905
2000-10-18,31.00,31.00,30.062481,30.62496,64800,3.1519
2000-10-19,30.75,31.00,30.75,31.00,20000,3.1905
2000-10-20,30.312481,31.12496,30.312481,31.12496,38400,3.20345
2000-10-23,31.187519,31.187519,30.75,31.00,25600,3.1905
2000-10-24,30.87504,30.87504,30.187519,30.187519,29600,3.10696
2000-10-25,30.37504,30.50,30.187519,30.187519,6400,3.10696
2000-10-26,30.62496,30.87504,30.437519,30.437519,8000,3.13269
2000-10-27,30.187519,30.187519,29.12496,29.12496,86400,2.99760
2000-10-30,29.12496,29.12496,28.562481,28.562481,40000,2.93971
2000-10-31,28.687519,29.437519,28.687519,29.37504,11200,3.02334
2000-11-01,29.62496,29.87504,29.37504,29.62496,36800,3.04906
2000-11-02,29.187519,29.37504,29.00,29.00,23200,2.98474
2000-11-03,29.062481,29.062481,28.562481,28.562481,30400,2.93971
2000-11-06,28.87504,28.87504,28.25,28.75,37600,2.95901
2000-11-07,28.62496,29.062481,28.62496,29.062481,11200,2.99117
2000-11-08,29.562481,29.562481,28.87504,28.87504,20800,2.97188
2000-11-09,29.25,29.562481,28.87504,28.87504,97600,2.97188
2000-11-10,29.00,29.062481,28.562481,28.62496,77600,2.94614
2000-11-13,28.62496,29.00,27.75,27.75,92000,2.85609
2000-11-14,28.187519,28.37504,27.75,28.15624,115200,2.89790
2000-11-15,28.00,28.562481,28.00,28.187519,65600,2.90112
2000-11-16,28.37504,28.50,28.25,28.312481,136800,2.91398
2000-11-17,28.50,28.50,28.00,28.12496,125600,2.89468
2000-11-20,28.12496,28.25,27.75,27.75,110400,2.85609
2000-11-21,27.50,27.50,26.37504,27.12496,490400,2.79176
2000-11-22,27.062481,27.062481,26.062481,26.37504,94400,2.71457
2000-11-24,27.312481,27.687519,27.312481,27.687519,31200,2.84966
2000-11-27,27.437519,27.812481,27.312481,27.62496,68800,2.84322
2000-11-28,27.50,28.687519,27.50,28.25,92000,2.90755
2000-11-29,28.62496,28.62496,27.812481,27.812481,138400,2.86252
2000-11-30,27.87504,28.00,27.12496,27.62496,68800,2.84322
2000-12-01,27.687519,28.062481,27.437519,27.437519,16000,2.82393
2000-12-04,27.687519,29.75,27.687519,29.75,234400,3.06193
2000-12-05,29.562481,29.937519,27.937519,28.062481,101600,2.88825
2000-12-06,28.062481,29.00,28.062481,28.937519,36800,2.97831
2000-12-07,29.062481,29.687519,29.062481,29.50,53600,3.03620
2000-12-08,29.50,29.562481,28.812481,28.937519,59200,2.97831
2000-12-11,29.187519,29.453119,28.75,29.25,92000,3.01047
2000-12-12,29.062481,29.25,28.937519,28.937519,49600,2.97831
2000-12-13,29.12496,29.12496,28.75,28.812481,23200,2.96544
2000-12-14,28.812481,28.812481,27.312481,27.37504,89600,2.81750
2000-12-15,27.437519,27.50,27.187519,27.50,29600,2.83036
2000-12-18,27.50,28.187519,27.50,28.00,76800,2.88182
2000-12-19,27.812481,27.812481,26.87504,26.87504,64000,2.7660
2000-12-20,26.87504,26.87504,25.62496,25.687519,85600,2.64381
2000-12-21,25.75,25.75,24.75,24.937519,260800,2.56662
2000-12-22,25.00,25.50,24.87504,24.87504,118400,2.56019
2000-12-26,25.00,26.00,25.00,26.00,15200,2.67597
2000-12-27,25.50,26.37504,25.50,26.312481,88000,2.7081
2000-12-28,26.312481,27.37504,26.312481,27.12496,165600,2.79176
2000-12-29,27.25,27.50,26.62496,27.50,187200,2.83036
2001-01-02,27.75,28.37504,27.75,28.062481,356000,2.88825
2001-01-03,28.00,28.00,26.87504,27.12496,92800,2.79176
2001-01-04,27.187519,27.25,26.37504,26.687519,70400,2.7467
2001-01-05,26.50,27.437519,26.50,27.312481,111200,2.81106
2001-01-08,27.62496,27.687519,26.937519,26.937519,269600,2.7724
2001-01-09,27.00,27.50,26.75,27.37504,52800,2.81750
2001-01-10,27.12496,27.812481,27.00,27.812481,55200,2.86252
2001-01-11,27.437519,28.12496,27.437519,27.62496,95200,2.84322
2001-01-12,27.687519,27.87504,27.37504,27.687519,76000,2.84966
2001-01-16,27.812481,28.562481,27.812481,28.437519,203200,2.92685
2001-01-17,28.437519,29.00,28.12496,28.437519,124800,2.92685
2001-01-18,28.187519,28.187519,27.75,27.75,172800,2.85609
2001-01-19,27.62496,27.687519,27.25,27.50,21600,2.83036
2001-01-22,27.87504,28.25,27.87504,28.25,190400,2.90755
2001-01-23,28.25,28.87504,28.00,28.75,112000,2.95901
2001-01-24,28.937519,28.937519,28.12496,28.62496,71200,2.94614
2001-01-25,28.62496,28.812481,28.562481,28.812481,12000,2.96544
2001-01-26,28.75,29.562481,28.687519,29.25,136000,3.01047
2001-01-29,29.48,29.59,29.33,29.33,88800,3.0187
2001-01-30,29.129999,29.25,28.790001,29.25,51200,3.01047
2001-01-31,29.27,29.299999,29.219999,29.219999,20800,3.00738
2001-02-01,29.209999,29.98,29.209999,29.98,56800,3.08560
2001-02-02,30.219999,30.35,30.00,30.129999,92800,3.10104
2001-02-05,29.98,29.98,29.620001,29.65,38400,3.05164
2001-02-06,29.60,29.60,29.139999,29.139999,79200,2.99915
2001-02-07,29.200001,29.24,29.00,29.18,88800,3.00327
2001-02-08,29.219999,29.639999,29.219999,29.639999,64800,3.05061
2001-02-09,29.59,30.15,29.59,30.040001,136000,3.09178
2001-02-12,30.120001,30.50,29.950001,30.33,164800,3.12163
2001-02-13,30.40,30.530001,30.299999,30.50,57600,3.13912
2001-02-14,30.40,31.139999,30.40,31.01,96000,3.19161
2001-02-15,31.01,31.01,29.799999,29.799999,364800,3.06708
2001-02-16,29.870001,31.15,29.870001,30.99,221600,3.18956
2001-02-20,31.700001,31.799999,30.50,30.50,144800,3.13912
2001-02-21,30.200001,30.200001,29.299999,29.370001,234400,3.02282
2001-02-22,29.370001,29.93,29.35,29.799999,123200,3.06708
2001-02-23,29.799999,29.799999,29.40,29.50,88000,3.03620
2001-02-26,29.450001,29.700001,29.200001,29.27,200800,3.01253
2001-02-27,29.25,29.25,28.700001,28.780001,101600,2.96210
2001-02-28,28.530001,28.530001,28.030001,28.15,129600,2.89726
2001-03-01,28.50,28.60,28.25,28.40,52800,2.92299
2001-03-02,28.50,29.280001,28.309999,29.280001,83200,3.01356
2001-03-05,29.35,30.610001,29.35,30.610001,168800,3.1504
2001-03-06,31.00,31.200001,30.68,30.799999,257600,3.17000
2001-03-07,30.75,32.450001,30.75,32.450001,257600,3.33982
2001-03-08,32.279999,32.419998,31.59,32.16,196800,3.3099
2001-03-09,32.299999,32.299999,31.700001,32.09,172800,3.30277
2001-03-12,31.700001,31.77,30.799999,30.799999,253600,3.17000
2001-03-13,30.75,30.75,30.299999,30.65,293600,3.15456
2001-03-14,30.35,31.389999,30.35,31.040001,408800,3.19470
2001-03-15,30.85,30.85,30.00,30.00,55200,3.09764
2001-03-16,30.10,30.10,28.76,28.809999,208800,2.97477
2001-03-19,29.00,29.860001,29.00,29.030001,130400,2.9974
2001-03-20,29.43,29.870001,29.43,29.60,68000,3.05634
2001-03-21,29.780001,29.780001,29.42,29.66,128000,3.06254
2001-03-22,29.52,29.92,28.940001,29.07,164800,3.0016
2001-03-23,29.799999,29.90,29.40,29.459999,52800,3.0418
2001-03-26,29.40,29.950001,29.40,29.42,93600,3.0377
2001-03-27,29.469999,29.60,29.370001,29.48,26400,3.04395
2001-03-28,29.200001,29.68,29.059999,29.120001,92800,3.00678
2001-03-29,28.90,29.219999,28.379999,28.67,175200,2.96031
2001-03-30,28.84,29.23,28.610001,28.85,102400,2.97890
2001-04-02,29.40,29.50,28.40,28.40,331200,2.9324
2001-04-03,28.65,28.700001,27.85,28.02,76800,2.89320
2001-04-04,28.00,28.74,28.00,28.42,157600,2.93450
2001-04-05,28.549999,28.690001,28.35,28.35,175200,2.92727
2001-04-06,28.15,28.85,28.10,28.379999,132000,2.93037
2001-04-09,28.57,29.299999,28.57,29.299999,101600,3.02536
2001-04-10,29.799999,30.219999,29.50,30.219999,143200,3.12036
2001-04-11,30.219999,30.35,29.33,29.40,94400,3.03569
2001-04-12,29.700001,29.790001,29.040001,29.040001,40000,2.99852
2001-04-16,29.049999,29.469999,29.049999,29.17,40800,3.01194
2001-04-17,29.75,29.75,29.389999,29.43,136000,3.03879
2001-04-18,29.60,29.60,29.110001,29.110001,558400,3.00575
2001-04-19,29.16,29.200001,29.00,29.02,87200,2.99645
2001-04-20,29.219999,29.65,29.10,29.379999,279200,3.03362
2001-04-23,29.950001,30.549999,29.90,30.120001,713600,3.11003
2001-04-24,30.35,30.950001,30.110001,30.120001,515200,3.11003
2001-04-25,30.200001,30.65,30.200001,30.50,140800,3.14927
2001-04-26,30.799999,31.16,30.549999,31.110001,226400,3.2122
2001-04-27,31.43,31.60,31.200001,31.50,407200,3.2525
2001-04-30,31.90,32.049999,31.15,31.40,391200,3.24220
2001-05-01,31.40,31.40,30.01,30.60,387200,3.159
2001-05-02,30.00,30.00,28.299999,28.40,625600,2.9324
2001-05-03,28.700001,28.950001,28.43,28.610001,286400,2.95412
2001-05-04,28.82,29.50,28.709999,29.23,132000,3.01814
2001-05-07,29.50,29.959999,29.049999,29.16,203200,3.01091
2001-05-08,29.10,29.540001,29.059999,29.41,102400,3.03672
2001-05-09,29.65,30.65,29.65,30.50,271200,3.14927
2001-05-10,31.10,31.379999,30.66,30.66,170400,3.16579
2001-05-11,30.75,30.780001,30.200001,30.370001,152800,3.13585
2001-05-14,30.60,31.120001,30.35,30.92,187200,3.19264
2001-05-15,31.25,32.00,31.02,31.82,374400,3.28557
2001-05-16,32.07,32.220001,31.85,32.150002,268000,3.31964
2001-05-17,32.299999,32.700001,32.299999,32.540001,572000,3.35991
2001-05-18,32.540001,33.240002,32.470001,33.240002,448800,3.43219
2001-05-21,33.700001,34.509998,33.700001,34.310001,276000,3.54267
2001-05-22,33.470001,33.799999,33.189999,33.259998,555200,3.43425
2001-05-23,33.27,33.34,32.799999,33.16,310400,3.42393
2001-05-24,33.400002,33.799999,32.709999,33.029999,454400,3.4105
2001-05-25,33.040001,33.32,32.450001,32.759998,269600,3.38263
2001-05-29,33.259998,33.880001,33.25,33.57,888800,3.46626
2001-05-30,34.049999,34.049999,33.099998,33.59,1064000,3.46833
2001-05-31,33.259998,33.880001,32.52,33.560001,238400,3.46523
2001-06-01,34.00,34.00,33.209999,33.400002,326400,3.44871
2001-06-04,33.549999,33.970001,33.400002,33.48,253600,3.45697
2001-06-05,33.549999,33.73,33.459999,33.549999,159200,3.46420
2001-06-06,33.400002,33.470001,33.150002,33.400002,242400,3.44871
2001-06-07,33.349998,33.349998,32.650002,32.830002,142400,3.38985
2001-06-08,32.75,32.75,31.940001,32.349998,105600,3.34029
2001-06-11,32.27,32.560001,32.27,32.41,76800,3.34649
2001-06-12,32.299999,32.799999,32.200001,32.66,56800,3.37230
2001-06-13,32.650002,32.709999,32.470001,32.549999,150400,3.3712
2001-06-14,32.419998,32.419998,32.029999,32.150002,141600,3.32984
2001-06-15,32.400002,32.549999,32.200001,32.299999,272800,3.34537
2001-06-18,32.43,32.619999,32.220001,32.450001,127200,3.36091
2001-06-19,32.41,32.41,31.82,31.82,132000,3.29566
2001-06-20,31.879999,31.879999,30.77,30.85,138400,3.19519
2001-06-21,31.049999,31.110001,29.82,30.07,561600,3.11441
2001-06-22,30.200001,30.379999,29.26,30.379999,759200,3.14651
2001-06-25,30.629999,30.799999,29.90,30.200001,108800,3.12787
2001-06-26,30.23,30.23,29.75,29.860001,87200,3.09266
2001-06-27,29.73,29.73,28.639999,28.700001,119200,2.97251
2001-06-28,28.450001,29.07,28.190001,28.50,296800,2.95180
2001-06-29,28.75,29.700001,28.549999,29.65,57600,3.07091
2001-07-02,29.60,29.639999,29.299999,29.35,35200,3.03983
2001-07-03,29.110001,29.120001,28.90,29.00,104800,3.00358
2001-07-05,29.23,29.41,29.139999,29.139999,85600,3.01808
2001-07-06,29.02,29.17,28.60,29.00,92000,3.00358
2001-07-09,28.969999,29.00,28.42,28.450001,550400,2.94662
2001-07-10,29.17,29.17,28.200001,28.379999,272000,2.93937
2001-07-11,28.200001,28.450001,27.90,28.450001,315200,2.94662
2001-07-12,28.50,28.50,28.00,28.27,112000,2.92798
2001-07-13,28.15,28.700001,27.98,28.610001,84800,2.96319
2001-07-16,28.360001,28.41,28.10,28.10,116800,2.91037
2001-07-17,28.200001,28.35,27.51,27.780001,355200,2.87723
2001-07-18,27.620001,27.620001,26.799999,27.360001,328000,2.83373
2001-07-19,27.51,27.700001,27.450001,27.60,32800,2.85858
2001-07-20,28.10,28.59,27.799999,28.59,77600,2.96112
2001-07-23,29.110001,29.25,28.610001,29.120001,132800,3.01601
2001-07-24,29.08,29.18,28.90,28.90,146400,2.99323
2001-07-25,29.040001,29.83,29.040001,29.610001,125600,3.06676
2001-07-26,29.860001,29.860001,28.959999,29.27,252000,3.03155
2001-07-27,29.27,29.27,28.90,29.049999,124000,3.00876
2001-07-30,29.290001,29.469999,29.200001,29.309999,27200,3.03569
2001-07-31,29.25,29.83,29.25,29.65,140800,3.07091
2001-08-01,29.85,29.879999,29.49,29.49,19200,3.05433
2001-08-02,29.74,30.41,29.530001,30.15,456800,3.12269
2001-08-03,30.299999,30.82,30.200001,30.77,152000,3.18691
2001-08-06,30.92,31.200001,30.60,30.60,112800,3.16930
2001-08-07,30.67,31.43,30.67,31.43,162400,3.25526
2001-08-08,31.620001,32.279999,31.08,31.08,285600,3.21901
2001-08-09,31.00,31.00,29.90,29.940001,102400,3.10094
2001-08-10,29.93,30.639999,29.93,30.40,152800,3.1485
2001-08-13,30.40,30.60,30.25,30.299999,91200,3.13823
2001-08-14,30.25,30.25,29.99,29.99,39200,3.10612
2001-08-15,29.99,30.90,29.99,30.75,81600,3.1848
2001-08-16,30.90,30.90,29.809999,30.00,224800,3.10716
2001-08-17,29.90,29.90,29.27,29.299999,96000,3.0346
2001-08-20,29.34,29.549999,29.25,29.25,58400,3.02948
2001-08-21,29.35,29.530001,29.10,29.299999,77600,3.0346
2001-08-22,29.40,30.200001,29.40,29.66,104000,3.07194
2001-08-23,29.66,29.66,29.25,29.299999,33600,3.0346
2001-08-24,29.34,29.549999,29.34,29.51,15200,3.05641
2001-08-27,29.60,29.60,28.90,28.90,59200,2.99323
2001-08-28,28.74,28.90,28.299999,28.40,52800,2.94144
2001-08-29,28.450001,28.450001,28.00,28.040001,334400,2.9041
2001-08-30,28.030001,28.030001,27.50,27.60,142400,2.85858
2001-08-31,27.50,27.84,27.50,27.84,92800,2.88344
2001-09-04,27.860001,29.299999,27.860001,28.50,319200,2.95180
2001-09-05,28.530001,29.60,28.530001,29.26,197600,3.03051
2001-09-06,29.16,29.24,28.77,29.16,113600,3.0201
2001-09-07,29.209999,29.209999,28.690001,29.120001,59200,3.01601
2001-09-10,29.07,29.50,28.92,29.41,42400,3.04605
2001-09-17,29.41,30.200001,29.41,29.75,255200,3.08126
2001-09-18,29.75,29.75,28.549999,28.610001,106400,2.96319
2001-09-19,28.700001,28.700001,26.530001,27.34,365600,2.83165
