Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,5.06,5.063,4.75,4.75,18100,4.3882
2000-01-04,4.81,4.938,4.781,4.875,19800,4.5037
2000-01-05,4.72,4.875,4.688,4.75,19800,4.3882
2000-01-06,4.88,4.938,4.625,4.75,13200,4.3882
2000-01-07,4.75,4.875,4.688,4.813,25800,4.4464
2000-01-10,4.875,4.875,4.656,4.688,100600,4.3309
2000-01-11,4.63,4.656,4.50,4.531,71800,4.1859
2000-01-12,4.53,4.656,4.50,4.656,11400,4.3014
2000-01-13,4.50,4.625,4.50,4.563,5600,4.2155
2000-01-14,4.50,4.625,4.50,4.625,25500,4.2727
2000-01-18,4.63,4.656,4.25,4.25,35300,3.9263
2000-01-19,4.00,4.375,3.875,4.313,47700,3.9845
2000-01-20,4.53,5.25,4.438,5.25,71600,4.8501
2000-01-21,5.16,6.00,5.00,6.00,73800,5.5430
2000-01-24,6.00,6.219,5.25,5.375,59600,4.9656
2000-01-25,5.38,5.438,5.00,5.00,29200,4.6192
2000-01-26,5.06,5.438,4.75,5.438,49800,5.0238
2000-01-27,5.25,5.375,5.188,5.25,3800,4.8501
2000-01-28,5.31,6.063,5.063,6.00,43200,5.5430
2000-01-31,6.06,6.063,5.50,5.531,19200,5.1097
2000-02-01,5.91,5.938,5.531,5.938,25800,5.485
2000-02-02,5.94,6.00,5.875,6.00,54900,5.5430
2000-02-03,5.94,6.25,5.938,6.25,26900,5.7740
2000-02-04,6.219,6.219,5.625,5.938,37200,5.485
2000-02-07,5.875,5.875,5.625,5.875,6600,5.427
2000-02-08,5.75,5.875,5.75,5.75,12900,5.3121
2000-02-09,5.75,6.375,5.625,6.25,89200,5.7740
2000-02-10,6.25,6.50,6.00,6.125,145200,5.6585
2000-02-11,6.375,6.375,5.438,5.938,22000,5.485
2000-02-14,6.00,6.00,5.563,5.875,40600,5.427
2000-02-15,5.69,5.875,5.50,5.75,9100,5.3121
2000-02-16,5.50,5.969,5.50,5.969,31100,5.5144
2000-02-17,5.969,5.969,5.50,5.875,21000,5.427
2000-02-18,5.75,6.00,5.50,5.938,26500,5.485
2000-02-22,6.03,6.219,5.938,6.125,19200,5.6585
2000-02-23,6.25,6.25,5.75,5.938,55800,5.485
2000-02-24,5.75,6.50,5.50,6.00,111000,5.5430
2000-02-25,6.06,6.063,5.563,6.00,20700,5.5430
2000-02-28,5.88,6.00,5.50,5.688,12700,5.2548
2000-02-29,5.69,5.875,5.50,5.625,45700,5.1966
2000-03-01,5.59,5.688,5.50,5.688,85000,5.2548
2000-03-02,5.531,6.00,5.531,5.875,45100,5.427
2000-03-03,5.75,5.938,5.625,5.875,22600,5.427
2000-03-06,5.63,5.688,5.531,5.688,15700,5.2548
2000-03-07,5.69,5.75,5.531,5.531,39200,5.1097
2000-03-08,5.59,5.688,5.438,5.688,19500,5.2548
2000-03-09,5.44,5.563,5.438,5.563,22400,5.1393
2000-03-10,5.47,5.688,5.438,5.625,36400,5.1966
2000-03-13,5.688,5.688,5.563,5.688,10100,5.2548
2000-03-14,5.56,5.625,5.50,5.563,50500,5.1393
2000-03-15,5.50,5.563,5.375,5.50,10900,5.0811
2000-03-16,5.41,5.50,5.313,5.375,18700,4.9656
2000-03-17,5.313,5.438,5.313,5.438,21800,5.0238
2000-03-20,5.38,5.438,5.313,5.438,12900,5.0238
2000-03-21,5.38,5.438,5.313,5.438,500,5.0238
2000-03-22,5.375,5.375,5.313,5.344,8200,4.9370
2000-03-23,5.38,5.50,5.313,5.375,13800,4.9656
2000-03-24,5.50,5.50,5.375,5.438,13000,5.0238
2000-03-27,5.313,5.50,5.313,5.50,39800,5.0811
2000-03-28,5.50,5.50,5.375,5.50,11400,5.0811
2000-03-29,5.44,5.563,5.438,5.563,17600,5.1393
2000-03-30,5.63,5.75,5.375,5.75,34300,5.3121
2000-03-31,5.66,6.00,5.656,5.875,36400,5.427
2000-04-03,6.00,6.00,5.75,5.938,19300,5.485
2000-04-04,6.00,6.00,5.50,5.50,28500,5.0811
2000-04-05,5.63,5.688,5.50,5.625,24600,5.1966
2000-04-06,5.56,5.625,5.50,5.625,13200,5.1966
2000-04-07,5.56,5.938,5.50,5.938,12700,5.485
2000-04-10,5.75,5.938,5.50,5.75,13700,5.3121
2000-04-11,5.56,5.688,5.50,5.688,12000,5.2548
2000-04-12,5.50,5.688,5.375,5.375,10000,4.9656
2000-04-13,5.25,5.50,5.188,5.438,6800,5.0238
2000-04-14,5.25,5.375,4.875,4.938,42300,4.5619
2000-04-17,5.00,5.188,4.688,4.813,54500,4.4464
2000-04-18,4.88,5.00,4.688,5.00,6000,4.6192
2000-04-19,4.75,5.25,4.75,5.25,20400,4.8501
2000-04-20,5.00,5.25,4.75,4.75,7900,4.3882
2000-04-24,4.75,5.00,4.75,4.875,2800,4.5037
2000-04-25,4.94,5.25,4.813,5.125,9000,4.7347
2000-04-26,4.97,5.125,4.875,5.125,5000,4.7347
2000-04-27,4.91,5.094,4.688,5.094,13500,4.7060
2000-04-28,4.813,5.094,4.813,5.094,3800,4.7060
2000-05-01,4.75,5.00,4.75,5.00,15000,4.6192
2000-05-02,5.13,5.188,4.875,5.188,10900,4.7929
2000-05-03,5.13,5.188,5.00,5.188,5600,4.7929
2000-05-04,5.19,5.50,5.188,5.50,37200,5.0811
2000-05-05,5.31,5.531,5.188,5.438,23400,5.0238
2000-05-08,5.25,5.438,5.25,5.438,11300,5.0238
2000-05-09,5.38,5.688,5.375,5.688,9800,5.2548
2000-05-10,5.66,5.875,5.625,5.75,50500,5.3121
2000-05-11,5.88,6.00,5.688,5.813,35400,5.3703
2000-05-12,5.75,5.938,5.75,5.875,28300,5.427
2000-05-15,5.84,5.938,5.75,5.875,13000,5.427
2000-05-16,5.75,5.938,5.688,5.75,22600,5.3121
2000-05-17,5.69,5.75,5.688,5.688,7300,5.2548
2000-05-18,5.75,5.75,5.625,5.75,9600,5.3121
2000-05-19,5.875,5.875,5.625,5.688,20000,5.2548
2000-05-22,5.75,5.781,5.563,5.625,26900,5.1966
2000-05-23,5.63,5.75,5.563,5.563,14100,5.1393
2000-05-24,5.563,5.625,5.563,5.594,21600,5.16
2000-05-25,5.563,5.688,5.563,5.563,16100,5.1393
2000-05-26,5.56,5.594,5.50,5.50,49800,5.0811
2000-05-30,5.063,5.438,5.063,5.313,3800,4.908
2000-05-31,5.34,5.50,5.25,5.438,8500,5.0238
2000-06-01,5.47,6.00,5.469,5.938,53900,5.485
2000-06-02,5.84,6.313,5.75,6.125,63500,5.6585
2000-06-05,5.94,7.50,5.938,6.813,185700,6.2941
2000-06-06,7.00,7.438,7.00,7.00,124000,6.4669
2000-06-07,7.25,7.50,7.031,7.031,54500,6.4955
2000-06-08,7.31,7.406,6.75,7.25,69700,6.6978
2000-06-09,7.25,7.375,7.00,7.188,47700,6.6406
2000-06-12,7.281,8.063,7.281,8.00,259100,7.3907
2000-06-13,8.34,8.375,7.75,7.938,109900,7.3334
2000-06-14,7.88,7.938,7.25,7.25,92700,6.6978
2000-06-15,7.56,7.625,7.063,7.125,47000,6.5824
2000-06-16,7.28,7.375,6.75,6.875,59300,6.3514
2000-06-19,6.84,7.00,6.188,6.25,90900,5.7740
2000-06-20,6.38,6.75,6.25,6.50,48700,6.00
2000-06-21,6.34,6.50,6.188,6.25,25300,5.7740
2000-06-22,6.25,6.25,5.813,5.875,69900,5.427
2000-06-23,6.00,6.75,5.938,6.25,30100,5.7740
2000-06-26,6.84,6.844,6.188,6.344,16400,5.8608
2000-06-27,6.22,6.375,6.00,6.313,12400,5.8322
2000-06-28,6.19,6.625,5.875,6.188,45200,5.7167
2000-06-29,6.28,6.50,6.25,6.375,27900,5.8895
2000-06-30,6.47,6.938,6.375,6.75,32500,6.2359
2000-07-03,6.875,6.875,6.281,6.625,13900,6.1204
2000-07-05,6.625,6.625,6.25,6.563,30200,6.063
2000-07-06,6.50,6.50,6.281,6.313,13700,5.8322
2000-07-07,6.31,6.313,6.125,6.25,20000,5.7740
2000-07-10,6.125,6.50,6.125,6.375,10900,5.8895
2000-07-11,6.44,6.719,6.25,6.688,28300,6.1786
2000-07-12,6.69,7.313,6.50,7.063,41200,6.5251
2000-07-13,7.19,7.25,6.75,7.00,20400,6.4669
2000-07-14,6.66,7.50,6.656,6.875,48000,6.3514
2000-07-17,7.19,7.375,7.125,7.188,15100,6.6406
2000-07-18,7.188,7.188,7.00,7.00,3200,6.4669
2000-07-19,7.188,7.188,7.00,7.00,6800,6.4669
2000-07-20,7.19,7.25,6.75,6.75,9300,6.2359
2000-07-21,6.75,6.75,6.188,6.563,33700,6.063
2000-07-24,7.12,7.375,6.563,7.00,132200,6.4669
2000-07-25,6.94,7.25,6.406,6.625,50900,6.1204
2000-07-26,6.44,6.938,6.375,6.75,41100,6.2359
2000-07-27,6.75,6.875,5.75,6.313,75100,5.8322
2000-07-28,6.41,6.50,6.00,6.00,54800,5.5430
2000-07-31,5.94,6.25,5.938,6.188,19200,5.7167
2000-08-01,6.38,6.406,6.125,6.25,15100,5.7740
2000-08-02,6.25,6.375,6.00,6.25,27200,5.7740
2000-08-03,5.94,6.063,5.75,6.00,40700,5.5430
2000-08-04,5.88,6.00,5.625,5.875,38200,5.427
2000-08-07,5.75,6.188,5.625,6.00,42100,5.5430
2000-08-08,6.06,6.50,6.00,6.50,21400,6.00
2000-08-09,6.00,6.188,6.00,6.188,5000,5.7167
2000-08-10,6.125,6.125,5.813,6.00,17600,5.5430
2000-08-11,5.88,6.438,5.875,6.375,14700,5.8895
2000-08-14,6.16,6.75,6.156,6.75,20900,6.2359
2000-08-15,6.41,7.313,6.375,7.313,29000,6.7560
2000-08-16,7.31,7.375,6.875,7.313,20700,6.7560
2000-08-17,7.13,7.25,6.813,7.125,10800,6.5824
2000-08-18,7.125,7.125,6.75,6.75,19400,6.2359
