Date,Open,High,Low,Close,Volume,Adj Clos
2006-05-18,15.00,15.00,14.45,14.90,574400,5.82641
2006-05-19,14.90,14.90,14.60,14.60,11400,5.70910
2006-05-22,14.75,15.44,14.66,15.10,161800,5.90462
2006-05-23,15.05,15.20,14.70,14.75,120500,5.76776
2006-05-24,14.85,14.99,14.70,14.79,31700,5.78340
2006-05-25,14.68,14.89,14.68,14.80,16700,5.78731
2006-05-26,14.90,14.99,14.70,14.95,17000,5.84596
2006-05-30,15.00,15.00,14.81,14.81,16300,5.79122
2006-05-31,14.99,14.99,14.82,14.82,131900,5.79513
2006-06-01,14.98,14.98,14.80,14.80,10800,5.78731
2006-06-02,14.96,14.98,14.80,14.96,34200,5.8498
2006-06-05,14.94,14.98,14.91,14.95,22200,5.84596
2006-06-06,15.00,15.04,14.90,15.04,36200,5.88116
2006-06-07,15.04,15.05,14.95,14.95,24500,5.84596
2006-06-08,15.00,15.03,14.90,15.03,18500,5.87725
2006-06-09,15.04,15.05,14.97,15.00,14700,5.86552
2006-06-12,15.00,15.01,14.94,15.01,23800,5.86943
2006-06-13,15.05,15.05,14.95,15.00,63700,5.86552
2006-06-14,15.01,15.01,14.82,14.95,18900,5.84596
2006-06-15,14.90,14.95,14.75,14.90,117700,5.82641
2006-06-16,14.90,14.90,14.37,14.80,81800,5.78731
2006-06-19,14.85,15.00,14.68,14.70,191400,5.74821
2006-06-20,14.81,14.90,14.70,14.90,53300,5.82641
2006-06-21,14.75,15.00,14.75,14.95,22400,5.84596
2006-06-22,14.80,14.95,14.80,14.86,33300,5.81077
2006-06-23,14.95,14.99,14.83,14.90,43600,5.82641
2006-06-26,14.94,15.01,14.79,14.94,33500,5.84205
2006-06-27,14.94,14.94,14.80,14.86,27400,5.81077
2006-06-28,14.90,14.90,14.69,14.87,43000,5.81468
2006-06-29,14.89,14.94,14.72,14.82,94600,5.79513
2006-06-30,14.80,14.84,14.27,14.27,1137400,5.58006
2006-07-03,14.72,14.90,14.70,14.88,27000,5.81859
2006-07-05,14.75,14.87,14.54,14.57,43200,5.69737
2006-07-06,14.55,14.90,14.50,14.64,42600,5.72474
2006-07-07,14.58,14.74,14.33,14.50,19600,5.72198
2006-07-10,14.38,14.85,14.31,14.41,17800,5.68647
2006-07-11,14.40,14.64,14.34,14.40,15300,5.68252
2006-07-12,14.35,14.85,14.17,14.29,39400,5.63911
2006-07-13,14.41,14.53,14.04,14.09,25000,5.56019
2006-07-14,14.09,14.37,13.91,14.19,54500,5.59965
2006-07-17,14.19,14.67,13.36,13.53,218800,5.33920
2006-07-18,13.57,14.20,13.32,13.45,112200,5.30763
2006-07-19,13.45,13.90,13.45,13.54,319500,5.34315
2006-07-20,13.64,14.45,13.40,13.51,1808100,5.33131
2006-07-21,13.42,14.01,12.79,13.50,134400,5.32736
2006-07-24,13.65,14.20,13.51,14.02,83600,5.53256
2006-07-25,14.06,14.10,13.95,14.06,33300,5.54835
2006-07-26,14.00,14.14,14.00,14.00,43400,5.52467
2006-07-27,14.00,14.13,13.90,13.90,28000,5.48521
2006-07-28,14.00,14.56,13.97,14.54,125800,5.73777
2006-07-31,14.80,14.80,14.50,14.68,36200,5.79301
2006-08-01,14.52,14.75,14.50,14.66,40600,5.78512
2006-08-02,14.75,14.75,14.53,14.60,29300,5.76144
2006-08-03,14.55,14.62,14.49,14.60,30100,5.76144
2006-08-04,14.60,14.70,14.20,14.41,21000,5.68647
2006-08-07,14.40,14.56,14.21,14.29,69700,5.63911
2006-08-08,14.38,14.58,14.35,14.47,85500,5.71014
2006-08-09,14.49,14.58,14.40,14.45,30800,5.70225
2006-08-10,14.45,14.60,14.45,14.47,55600,5.71014
2006-08-11,14.45,14.55,14.44,14.45,342400,5.70225
2006-08-14,14.55,14.55,14.45,14.53,23200,5.73382
2006-08-15,14.55,14.75,14.49,14.59,71000,5.75750
2006-08-16,14.70,14.70,14.41,14.45,32200,5.70225
2006-08-17,14.42,14.69,14.42,14.68,51000,5.79301
2006-08-18,14.70,14.70,14.50,14.51,16600,5.72593
2006-08-21,14.51,14.75,14.49,14.70,25000,5.8009
2006-08-22,14.73,14.73,14.49,14.50,27800,5.72198
2006-08-23,14.55,14.80,14.35,14.40,46800,5.68252
2006-08-24,14.42,14.69,14.35,14.44,36800,5.69830
2006-08-25,14.45,14.70,14.28,14.51,38600,5.72593
2006-08-28,14.54,14.68,14.50,14.57,42400,5.7496
2006-08-29,14.61,14.67,14.38,14.53,31400,5.73382
2006-08-30,14.50,14.61,14.42,14.51,24500,5.72593
2006-08-31,14.56,14.79,14.42,14.71,51500,5.80485
2006-09-01,14.78,14.95,14.71,14.80,28200,5.84037
2006-09-05,14.84,14.95,14.60,14.70,64200,5.8009
2006-09-06,14.62,14.79,14.50,14.56,24800,5.74566
2006-09-07,14.71,14.89,14.62,14.82,35900,5.84826
2006-09-08,14.86,14.91,14.78,14.78,17000,5.8324
2006-09-11,14.76,14.87,14.67,14.77,34100,5.82853
2006-09-12,14.81,14.94,14.71,14.90,42100,5.87983
2006-09-13,14.90,14.94,14.80,14.93,44900,5.89167
2006-09-14,14.98,14.99,14.77,14.93,93600,5.89167
2006-09-15,14.97,14.98,14.84,14.97,87600,5.90745
2006-09-18,14.87,15.03,14.85,14.89,89900,5.87588
2006-09-19,14.95,15.14,14.88,15.04,95300,5.93508
2006-09-20,15.04,15.27,15.00,15.04,126300,5.93508
2006-09-21,15.18,15.25,15.00,15.06,79200,5.94297
2006-09-22,15.01,15.10,15.00,15.02,27500,5.92718
2006-09-25,15.00,15.17,15.00,15.07,62800,5.9469
2006-09-26,15.10,15.10,15.00,15.09,38900,5.95481
2006-09-27,15.10,15.24,15.00,15.17,66000,5.98638
2006-09-28,15.23,15.46,15.14,15.36,85800,6.06135
2006-09-29,15.42,15.75,15.29,15.30,100400,6.03768
2006-10-02,15.32,15.95,15.31,15.70,112000,6.1955
2006-10-03,15.72,15.79,15.50,15.72,72000,6.20342
2006-10-04,15.74,16.27,15.70,16.120001,71700,6.36127
2006-10-05,16.16,16.50,15.95,16.50,57900,6.51122
2006-10-06,16.42,16.549999,16.25,16.50,33100,6.51122
2006-10-09,16.50,16.91,16.32,16.83,118200,6.64145
2006-10-10,16.98,16.98,16.559999,16.65,46300,6.57041
2006-10-11,16.530001,16.559999,16.01,16.17,43300,6.48341
2006-10-12,16.25,16.450001,16.049999,16.440001,41500,6.5916
2006-10-13,16.48,16.49,16.40,16.49,51100,6.61171
2006-10-16,16.50,16.50,16.25,16.370001,26700,6.56360
2006-10-17,16.32,16.370001,16.15,16.290001,25500,6.53152
2006-10-18,16.33,16.40,16.01,16.139999,35100,6.47138
2006-10-19,16.18,16.42,16.00,16.200001,101500,6.49544
2006-10-20,16.26,16.280001,16.00,16.00,52700,6.4152
2006-10-23,16.16,16.190001,16.00,16.190001,30800,6.49143
2006-10-24,16.110001,16.299999,16.08,16.290001,103300,6.53152
2006-10-25,16.379999,16.40,16.23,16.360001,65700,6.55959
2006-10-26,16.41,16.43,16.00,16.26,45000,6.51949
2006-10-27,16.290001,16.440001,16.00,16.309999,51200,6.53954
2006-10-30,16.24,16.450001,15.92,16.450001,50700,6.5956
2006-10-31,16.41,17.02,16.00,16.93,89700,6.78813
2006-11-01,17.01,17.190001,16.60,16.690001,82500,6.69190
2006-11-02,16.66,16.950001,15.41,16.59,25800,6.65181
2006-11-03,16.73,16.77,16.059999,16.309999,26900,6.53954
2006-11-06,16.389999,16.75,16.280001,16.469999,19300,6.60369
2006-11-07,16.50,16.90,16.379999,16.57,41100,6.64379
2006-11-08,16.790001,16.950001,16.530001,16.85,48100,6.75606
2006-11-09,16.93,17.24,16.93,17.190001,180200,6.89238
2006-11-10,17.18,17.18,16.799999,16.879999,28300,6.76808
2006-11-13,16.83,17.49,16.75,17.15,73200,6.87634
2006-11-14,17.16,17.200001,16.85,17.15,39500,6.87634
2006-11-15,17.10,17.370001,16.83,17.35,59600,6.95653
2006-11-16,17.33,17.360001,17.040001,17.040001,37400,6.83224
2006-11-17,17.059999,17.33,17.00,17.33,29900,6.94851
2006-11-20,17.26,17.59,17.18,17.389999,59000,6.97257
2006-11-21,17.41,17.450001,17.18,17.40,26800,6.97658
2006-11-22,17.48,17.889999,17.17,17.690001,66700,7.09286
2006-11-24,17.629999,17.65,17.32,17.530001,7400,7.02870
2006-11-27,17.52,17.90,17.120001,17.299999,63600,6.93648
