Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,14.5625,14.5625,13.75,13.9375,30500,13.937
2000-01-04,13.75,13.75,13.75,13.75,9600,13.7
2000-01-05,13.6875,13.75,13.625,13.6875,2900,13.687
2000-01-06,13.6875,13.875,13.6875,13.875,21300,13.87
2000-01-07,13.875,14.25,13.8125,13.8125,21800,13.812
2000-01-10,13.6875,13.6875,13.50,13.50,9700,13.5
2000-01-11,13.5625,13.625,13.375,13.4375,19900,13.437
2000-01-12,13.50,13.625,13.375,13.50,19100,13.5
2000-01-13,13.50,13.50,13.375,13.4375,107700,13.437
2000-01-14,13.4375,13.4375,13.00,13.00,8800,13.0
2000-01-18,13.0625,13.25,12.625,12.75,41700,12.7
2000-01-19,12.875,13.25,12.875,13.25,55900,13.2
2000-01-20,13.125,13.125,12.75,12.9375,14200,12.937
2000-01-21,12.9375,13.25,12.9375,13.125,11300,13.12
2000-01-24,13.25,13.3125,13.125,13.1875,22500,13.187
2000-01-25,13.0625,13.0625,12.625,12.625,12400,12.62
2000-01-26,12.50,12.625,12.25,12.50,37600,12.5
2000-01-27,12.50,12.75,12.25,12.25,125300,12.2
2000-01-28,12.375,12.375,12.125,12.375,19500,12.37
2000-01-31,12.25,12.375,12.00,12.00,11600,12.0
2000-02-01,12.0625,12.25,12.00,12.25,16000,12.2
2000-02-02,12.25,12.625,12.25,12.625,39300,12.62
2000-02-03,12.8125,13.50,12.8125,13.375,64100,13.37
2000-02-04,13.50,13.5625,13.25,13.375,44800,13.37
2000-02-07,13.25,13.25,13.00,13.125,12000,13.12
2000-02-08,13.00,13.125,12.875,13.125,39700,13.12
2000-02-09,13.00,13.00,12.375,12.8125,112300,12.812
2000-02-10,12.875,13.125,12.875,12.875,11900,12.87
2000-02-11,12.875,13.00,12.75,13.00,10700,13.0
2000-02-14,13.00,13.1875,12.875,13.1875,11100,13.187
2000-02-15,13.1875,14.00,13.1875,13.9375,52200,13.937
2000-02-16,13.8125,14.25,13.8125,14.0625,31900,14.062
2000-02-17,13.9375,14.125,13.9375,14.0625,184400,14.062
2000-02-18,14.0625,14.0625,13.875,13.875,3200,13.87
2000-02-22,13.8125,13.8125,13.625,13.6875,6400,13.687
2000-02-23,13.625,13.75,13.375,13.375,76300,13.37
2000-02-24,13.375,13.50,13.25,13.3125,78500,13.312
2000-02-25,13.3125,13.625,13.00,13.00,19800,13.0
2000-02-28,13.125,13.25,13.0625,13.1875,16800,13.187
2000-02-29,13.1875,14.00,13.1875,14.00,59500,14.0
2000-03-01,13.875,14.6875,13.875,14.625,62100,14.62
2000-03-02,14.375,15.0625,14.375,14.875,50900,14.87
2000-03-03,14.875,15.375,14.875,15.00,28500,15.0
2000-03-06,14.875,15.00,14.6875,14.6875,20500,14.687
2000-03-07,14.75,14.875,14.50,14.75,138300,14.7
2000-03-08,14.8125,14.9375,14.6875,14.75,29200,14.7
2000-03-09,14.8125,15.0625,14.8125,15.00,113900,15.0
2000-03-10,15.00,15.5625,14.8125,15.5625,52700,15.562
2000-03-13,15.375,15.375,15.00,15.375,42500,15.37
