Date,Open,High,Low,Close,Volume,Adj Clos
2002-05-21,17.50,18.41,17.02,18.120001,1685400,10.60780
2002-05-22,18.24,18.25,18.00,18.25,304500,10.68391
2002-05-23,18.33,18.90,18.15,18.549999,183100,10.85953
2002-05-24,18.700001,18.950001,18.610001,18.879999,26000,11.05272
2002-05-28,18.75,19.309999,18.559999,19.15,68900,11.2107
2002-05-29,19.00,19.01,18.459999,18.799999,119300,11.00589
2002-05-30,18.700001,18.950001,18.65,18.75,139600,10.97662
2002-05-31,18.950001,19.25,18.51,18.75,124800,10.97662
2002-06-03,18.76,19.01,18.530001,18.60,139300,10.88880
2002-06-04,18.799999,18.799999,18.50,18.57,102900,10.87124
2002-06-05,18.549999,18.68,18.40,18.50,163400,10.83026
2002-06-06,18.559999,18.77,18.51,18.690001,17400,10.94149
2002-06-07,18.60,18.709999,18.40,18.709999,165500,10.95320
2002-06-10,18.700001,18.940001,18.450001,18.719999,128100,10.95905
2002-06-11,18.879999,19.50,18.549999,18.90,31900,11.06443
2002-06-12,18.76,19.00,18.76,19.00,13300,11.12297
2002-06-13,18.799999,19.450001,18.799999,19.139999,22200,11.20493
2002-06-14,19.50,19.50,18.98,19.07,10400,11.16395
2002-06-17,19.60,20.35,19.200001,20.25,57900,11.85475
2002-06-18,20.190001,20.549999,19.940001,20.299999,52000,11.88402
2002-06-19,20.09,21.450001,20.09,21.18,44300,12.39919
2002-06-20,21.049999,21.35,20.200001,20.799999,90000,12.17673
2002-06-21,20.200001,20.92,20.200001,20.74,54100,12.14160
2002-06-24,20.639999,20.99,20.25,20.51,58500,12.00696
2002-06-25,20.879999,21.200001,20.280001,21.10,56100,12.35235
2002-06-26,20.60,22.42,20.27,21.49,102300,12.58067
2002-06-27,21.50,23.200001,21.030001,22.50,63500,13.17194
2002-06-28,21.99,21.99,21.35,21.530001,334700,12.60408
2002-07-01,20.52,21.389999,20.26,20.370001,99600,11.92500
2002-07-02,20.940001,20.940001,17.35,18.50,81500,10.83026
2002-07-03,18.42,18.91,18.200001,18.85,73600,11.03516
2002-07-05,18.85,19.91,18.84,19.91,14200,11.65570
2002-07-08,19.559999,20.82,19.530001,20.35,45600,11.91329
2002-07-09,20.360001,20.65,20.00,20.049999,26500,11.73766
2002-07-10,20.01,20.51,18.969999,19.07,27500,11.16395
2002-07-11,18.90,19.32,18.559999,18.790001,45200,11.00003
2002-07-12,18.83,20.00,18.83,19.540001,24000,11.43910
2002-07-15,20.049999,20.50,19.50,20.00,36200,11.70839
2002-07-16,20.00,20.15,19.799999,20.00,24800,11.70839
2002-07-17,20.00,20.00,19.00,20.00,46700,11.70839
2002-07-18,20.049999,20.74,19.75,19.790001,39700,11.58545
2002-07-19,19.90,19.959999,19.17,19.50,23300,11.41568
2002-07-22,19.950001,19.950001,18.209999,18.209999,52900,10.66049
2002-07-23,18.35,19.049999,18.209999,18.84,64900,11.0293
2002-07-24,18.50,19.709999,18.139999,19.639999,80200,11.49764
