Date,Open,High,Low,Close,Volume,Adj Clos
2007-03-21,22.00,22.549999,21.50,21.709999,5474600,8.67113
2007-03-22,21.90,22.00,21.52,21.67,788200,8.65515
2007-03-23,21.75,21.799999,21.52,21.75,593800,8.68710
2007-03-26,21.75,21.790001,20.790001,21.200001,633700,8.46743
2007-03-27,21.25,21.450001,21.00,21.25,926300,8.48740
2007-03-28,21.299999,21.33,21.00,21.01,553500,8.39154
2007-03-29,21.129999,21.200001,21.00,21.18,50200,8.45944
2007-03-30,21.33,21.40,21.00,21.35,186200,8.52734
2007-04-02,21.33,21.33,21.00,21.209999,72400,8.47142
2007-04-03,21.16,21.16,21.00,21.01,149600,8.39154
2007-04-04,21.02,21.24,21.02,21.190001,57700,8.46344
2007-04-05,21.209999,21.209999,21.10,21.200001,40800,8.46743
2007-04-09,21.200001,21.209999,21.10,21.17,31300,8.45545
2007-04-10,21.129999,21.15,21.040001,21.10,76800,8.42749
2007-04-11,21.200001,21.209999,21.049999,21.209999,24600,8.47142
2007-04-12,21.030001,21.25,21.030001,21.209999,99600,8.47142
2007-04-13,21.190001,21.280001,21.110001,21.200001,175300,8.46743
2007-04-16,21.09,21.43,21.08,21.40,49900,8.54731
2007-04-17,21.49,21.90,21.370001,21.76,288300,8.69110
2007-04-18,21.610001,21.860001,21.139999,21.60,113100,8.62719
2007-04-19,21.60,21.700001,21.10,21.450001,82100,8.56728
2007-04-20,21.549999,21.59,21.00,21.50,98500,8.58725
2007-04-23,21.450001,21.59,21.110001,21.25,274800,8.48740
2007-04-24,21.40,21.50,21.219999,21.299999,211600,8.50737
2007-04-25,21.299999,21.50,21.290001,21.33,254100,8.51935
2007-04-26,21.530001,21.790001,21.309999,21.75,309600,8.68710
2007-04-27,21.50,21.870001,21.23,21.700001,272400,8.67831
2007-04-30,21.35,21.50,21.030001,21.129999,250200,8.45035
2007-05-01,21.200001,21.92,20.00,20.35,510400,8.13841
2007-05-02,20.469999,20.48,19.74,20.469999,391500,8.18640
2007-05-03,20.40,20.90,20.299999,20.85,188600,8.33837
2007-05-04,20.879999,20.940001,20.35,20.85,203200,8.33837
2007-05-07,20.85,21.00,20.540001,20.90,163100,8.35837
2007-05-08,20.82,21.00,20.65,20.99,124000,8.39436
2007-05-09,21.00,21.00,20.700001,20.99,155500,8.39436
2007-05-10,20.860001,20.99,20.709999,20.799999,136300,8.3183
