Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,2.50,2.75,2.50,2.5625,1200,2.562
2000-01-04,2.5625,2.6875,2.5625,2.6875,16000,2.687
2000-01-05,2.6875,2.6875,2.625,2.6875,2100,2.687
2000-01-06,2.625,2.6875,2.625,2.625,1400,2.62
2000-01-07,2.625,2.8125,2.625,2.8125,18700,2.812
2000-01-10,2.6875,2.875,2.6875,2.8125,43800,2.812
2000-01-11,2.75,2.9375,2.6875,2.9375,10500,2.937
2000-01-12,2.8125,3.00,2.8125,3.00,20600,3.0
2000-01-13,2.9375,3.00,2.9375,3.00,11200,3.0
2000-01-14,3.00,3.00,2.875,3.00,12500,3.0
2000-01-18,3.00,3.00,2.875,2.9375,19000,2.937
2000-01-19,2.875,2.9375,2.875,2.875,8800,2.87
2000-01-20,2.9375,2.9375,2.75,2.9375,21900,2.937
2000-01-21,2.8125,2.9375,2.8125,2.8125,7600,2.812
2000-01-24,2.75,2.875,2.75,2.875,7400,2.87
2000-01-25,2.875,3.00,2.8125,2.8125,11300,2.812
2000-01-26,2.75,2.875,2.75,2.8125,5400,2.812
2000-01-27,2.875,2.875,2.75,2.75,10400,2.7
2000-01-28,2.75,2.75,2.625,2.75,9300,2.7
2000-01-31,2.625,2.875,2.625,2.625,4400,2.62
2000-02-01,2.6875,2.75,2.625,2.6875,700,2.687
2000-02-02,2.8125,2.9375,2.8125,2.9375,44600,2.937
2000-02-03,2.875,3.00,2.8125,3.00,38000,3.0
2000-02-04,2.9375,3.125,2.9375,3.125,25800,3.12
2000-02-07,3.00,3.1875,3.00,3.0625,15500,3.062
2000-02-08,2.9375,3.1875,2.875,3.125,53100,3.12
2000-02-09,3.0625,3.375,3.0625,3.1875,30600,3.187
2000-02-10,3.1875,3.1875,3.1875,3.1875,000,3.187
2000-02-11,3.375,3.50,3.375,3.50,38000,3.5
2000-02-14,3.375,3.625,3.375,3.625,28700,3.62
2000-02-15,3.625,3.75,3.5625,3.5625,13300,3.562
2000-02-16,3.5625,3.6875,3.5625,3.625,5300,3.62
2000-02-17,3.5625,3.625,3.50,3.50,32700,3.5
2000-02-18,3.50,3.6875,3.50,3.6875,21000,3.687
2000-02-22,3.75,3.75,3.5625,3.625,7700,3.62
2000-02-23,3.625,3.625,3.375,3.50,16100,3.5
2000-02-24,3.50,3.625,3.375,3.625,12400,3.62
2000-02-25,3.50,3.625,3.375,3.625,9900,3.62
2000-02-28,4.375,4.375,3.25,3.50,15000,3.5
2000-02-29,3.25,3.625,3.25,3.625,26200,3.62
2000-03-01,3.375,3.625,3.25,3.625,13900,3.62
2000-03-02,3.6875,3.6875,3.50,3.625,24200,3.62
2000-03-03,3.50,3.625,3.375,3.50,17100,3.5
