Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,13.375,13.375,12.0625,12.125,10500,97.0
2000-01-04,12.0625,12.25,11.9375,12.00,16900,96.0
2000-01-05,12.00,12.875,11.8125,12.875,10800,103.0
2000-01-06,12.75,12.9375,12.375,12.75,12700,102.0
2000-01-07,12.6875,13.00,12.625,12.75,34000,102.0
2000-01-10,12.875,12.9375,12.75,12.75,10900,102.0
2000-01-11,12.625,12.9375,12.625,12.875,14700,103.0
2000-01-12,12.9375,12.9375,12.375,12.6875,3200,101.5
2000-01-13,12.5625,12.875,12.375,12.875,8300,103.0
2000-01-14,13.00,13.125,11.875,12.125,13400,97.0
2000-01-18,12.00,12.4375,11.375,12.125,20800,97.0
2000-01-19,12.00,12.25,11.75,12.00,10900,96.0
2000-01-20,12.125,12.3125,11.75,12.0625,12000,96.5
2000-01-21,11.875,11.875,11.25,11.3125,23400,90.5
2000-01-24,11.50,11.75,10.875,10.875,20900,87.0
2000-01-25,11.00,11.625,10.875,11.4375,65400,91.5
2000-01-26,11.5625,11.5625,10.75,10.875,9000,87.0
2000-01-27,11.1875,11.75,11.0625,11.25,23600,90.0
2000-01-28,11.375,11.5625,10.625,10.875,14800,87.0
2000-01-31,10.75,11.00,10.625,10.9375,8000,87.5
2000-02-01,10.9375,11.125,10.75,11.125,20600,89.0
2000-02-02,11.25,12.00,11.1875,11.375,21800,91.0
2000-02-03,11.4375,11.50,11.0625,11.125,12900,89.0
2000-02-04,11.125,11.3125,11.125,11.125,9500,89.0
2000-02-07,11.25,11.25,10.875,11.00,20300,88.0
2000-02-08,11.00,11.125,10.5625,10.5625,26700,84.5
2000-02-09,10.6875,10.6875,10.0625,10.0625,47400,80.5
2000-02-10,10.125,10.25,8.9375,9.4375,79000,75.5
2000-02-11,9.4375,9.50,8.875,9.3125,50200,74.5
2000-02-14,9.1875,9.50,9.125,9.3125,51900,74.5
2000-02-15,9.4375,9.50,9.00,9.25,43700,74.0
2000-02-16,9.3125,9.4375,9.00,9.00,40200,72.0
2000-02-17,9.25,9.375,9.00,9.125,28300,73.0
2000-02-18,9.125,9.1875,8.9375,8.9375,33900,71.5
2000-02-22,9.00,9.00,8.375,8.50,56400,68.0
2000-02-23,8.50,8.8125,8.375,8.75,26700,70.0
2000-02-24,8.625,8.875,8.3125,8.6875,12700,69.5
2000-02-25,8.6875,8.8125,8.3125,8.375,44800,67.0
2000-02-28,8.50,8.6875,8.125,8.4375,12700,67.5
2000-02-29,8.50,8.8125,8.50,8.6875,25400,69.5
2000-03-01,8.6875,8.875,8.25,8.375,37000,67.0
2000-03-02,8.50,8.6875,8.3125,8.5625,45000,68.5
2000-03-03,8.50,8.5625,8.25,8.3125,9400,66.5
2000-03-06,8.4375,8.4375,8.0625,8.125,16700,65.0
2000-03-07,8.1875,8.1875,7.1875,7.1875,23100,57.5
2000-03-08,7.5625,7.75,7.125,7.5625,41900,60.5
2000-03-09,7.6875,7.9375,7.5625,7.6875,15000,61.5
2000-03-10,7.75,7.875,7.125,7.4375,10100,59.5
2000-03-13,7.4375,7.625,6.75,6.9375,31300,55.5
2000-03-14,7.0625,8.1875,7.0625,7.50,56200,60.0
2000-03-15,7.625,7.6875,7.25,7.3125,29500,58.5
2000-03-16,7.50,7.6875,7.25,7.5625,28600,60.5
2000-03-17,7.8125,8.25,7.5625,8.00,27400,64.0
2000-03-20,8.25,9.00,8.125,8.625,25900,69.0
2000-03-21,8.5625,8.6875,8.3125,8.625,15500,69.0
2000-03-22,8.625,8.8125,8.375,8.375,8300,67.0
2000-03-23,8.50,8.625,8.125,8.1875,22800,65.5
2000-03-24,8.25,8.3125,8.00,8.3125,14000,66.5
2000-03-27,8.1875,8.50,8.0625,8.1875,27700,65.5
2000-03-28,8.125,8.1875,7.9375,7.9375,14500,63.5
2000-03-29,8.0625,8.4375,8.00,8.3125,11200,66.5
2000-03-30,8.25,8.875,8.00,8.8125,21800,70.5
2000-03-31,8.8125,8.8125,8.50,8.6875,31600,69.5
2000-04-03,8.75,9.0625,8.4375,8.5625,13800,68.5
2000-04-04,8.6875,8.875,7.5625,8.25,10500,66.0
2000-04-05,8.375,8.6875,8.25,8.50,33300,68.0
2000-04-06,8.4375,8.50,8.00,8.1875,21900,65.5
2000-04-07,8.1875,8.375,8.125,8.3125,21100,66.5
2000-04-10,8.375,8.375,7.75,7.9375,31000,63.5
2000-04-11,8.00,8.25,7.9375,8.1875,9200,65.5
2000-04-12,8.0625,8.0625,7.375,7.625,27800,61.0
2000-04-13,7.75,8.1875,7.6875,8.00,10700,64.0
2000-04-14,8.00,8.00,7.50,7.50,24500,60.0
2000-04-17,7.75,8.1875,7.5625,8.125,23200,65.0
2000-04-18,8.25,8.375,8.125,8.25,15600,66.0
