Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,2.688,2.688,2.563,2.688,9800,2.68
2000-01-04,2.50,2.563,2.50,2.50,3900,2.5
2000-01-05,2.50,2.50,2.375,2.50,6200,2.5
2000-01-06,2.50,2.50,2.375,2.50,22300,2.5
2000-01-07,2.438,2.688,2.313,2.438,26400,2.43
2000-01-10,2.563,2.563,2.50,2.563,2500,2.56
2000-01-11,2.75,2.75,2.50,2.75,1700,2.7
2000-01-12,2.75,3.00,2.625,2.75,3600,2.7
2000-01-13,2.875,2.875,2.875,2.875,600,2.87
2000-01-14,3.00,3.00,2.75,3.00,12800,3.0
2000-01-18,2.875,3.00,2.875,2.875,4900,2.87
2000-01-19,2.75,2.875,2.75,2.75,7200,2.7
2000-01-20,2.875,2.875,2.688,2.875,12600,2.87
2000-01-21,3.125,3.125,2.875,3.125,12700,3.12
2000-01-24,3.375,3.75,2.875,3.375,30100,3.37
2000-01-25,3.75,3.75,3.375,3.75,9700,3.7
2000-01-26,3.938,3.938,3.75,3.938,5600,3.93
2000-01-27,3.50,3.938,3.50,3.50,8800,3.5
2000-01-28,3.25,3.375,3.00,3.25,7400,3.2
2000-01-31,3.625,3.625,3.375,3.625,10400,3.62
2000-02-01,3.50,3.688,3.50,3.50,9600,3.5
2000-02-03,3.50,3.625,3.50,3.50,2400,3.5
2000-02-04,3.50,3.50,3.375,3.50,4400,3.5
2000-02-07,3.50,3.50,3.375,3.50,600,3.5
2000-02-08,3.50,3.625,3.375,3.50,6900,3.5
2000-02-09,3.375,3.625,3.375,3.375,4700,3.37
2000-02-11,3.688,3.75,3.50,3.688,16600,3.68
2000-02-14,3.625,3.813,3.625,3.625,13000,3.62
2000-02-15,3.375,3.375,3.25,3.375,5900,3.37
2000-02-16,3.25,3.50,3.25,3.25,6200,3.2
2000-02-17,2.875,3.125,2.875,2.875,23700,2.87
2000-02-18,3.313,3.50,3.00,3.313,17400,3.31
2000-02-22,2.875,3.188,2.875,2.875,9000,2.87
2000-02-23,3.188,3.50,3.00,3.188,15200,3.18
2000-02-24,3.00,3.063,3.00,3.00,5000,3.0
2000-02-25,3.125,3.375,3.125,3.125,18400,3.12
2000-02-28,2.938,3.25,2.938,2.938,6800,2.93
2000-02-29,3.188,3.188,3.063,3.188,10600,3.18
2000-03-01,3.375,3.375,3.313,3.375,7400,3.37
2000-03-02,3.188,3.25,3.00,3.188,7900,3.18
2000-03-03,3.188,3.313,3.188,3.188,900,3.18
2000-03-06,3.063,3.063,3.063,3.063,1000,3.06
2000-03-07,3.00,3.063,3.00,3.00,1300,3.0
2000-03-08,3.25,3.25,3.00,3.25,4200,3.2
2000-03-09,3.375,3.375,3.125,3.375,4400,3.37
2000-03-10,3.375,3.438,3.375,3.375,4100,3.37
2000-03-13,3.25,3.50,3.125,3.25,10500,3.2
2000-03-14,3.438,3.438,3.125,3.438,13900,3.43
2000-03-15,3.438,3.438,3.313,3.438,4300,3.43
2000-03-16,3.313,3.438,3.25,3.313,7900,3.31
2000-03-17,3.438,3.438,3.25,3.438,2000,3.43
2000-03-20,3.125,3.438,3.125,3.125,6300,3.12
2000-03-21,3.125,3.125,3.00,3.125,2700,3.12
2000-03-22,3.625,3.75,3.25,3.625,35600,3.62
2000-03-23,3.938,3.938,3.50,3.938,9600,3.93
2000-03-24,4.125,4.125,3.813,4.125,14200,4.12
2000-03-27,4.25,4.375,4.25,4.25,2300,4.2
2000-03-28,4.438,4.438,4.125,4.438,4300,4.43
2000-03-29,4.375,4.50,4.375,4.375,10800,4.37
2000-03-30,4.375,4.50,4.375,4.375,7500,4.37
2000-03-31,4.188,4.313,4.125,4.188,5100,4.18
2000-04-03,4.313,4.50,4.25,4.313,4300,4.31
2000-04-04,3.875,4.50,3.875,3.875,18800,3.87
2000-04-05,4.00,4.00,3.875,4.00,8500,4.0
2000-04-06,3.875,3.875,3.875,3.875,100,3.87
2000-04-07,4.00,4.00,3.875,4.00,8100,4.0
2000-04-10,3.813,3.875,3.75,3.813,5500,3.81
2000-04-11,3.688,3.813,3.688,3.688,1200,3.68
2000-04-12,3.875,3.875,3.813,3.875,300,3.87
2000-04-13,3.875,4.125,3.875,3.875,8500,3.87
2000-04-14,3.75,3.75,3.625,3.75,2400,3.7
2000-04-17,3.625,3.938,3.625,3.625,10100,3.62
2000-04-18,3.75,3.75,3.625,3.75,2700,3.7
2000-04-19,3.75,3.875,3.625,3.75,3500,3.7
2000-04-20,3.875,3.875,3.875,3.875,700,3.87
2000-04-24,3.625,3.75,3.625,3.625,1200,3.62
2000-04-25,3.50,3.50,3.50,3.50,3200,3.5
2000-04-26,3.625,3.625,3.625,3.625,600,3.62
2000-05-01,3.875,3.875,3.75,3.875,4400,3.87
2000-05-02,4.00,4.00,4.00,4.00,100,4.0
2000-05-03,3.875,3.875,3.875,3.875,1500,3.87
2000-05-04,3.813,3.875,3.813,3.813,1200,3.81
2000-05-05,3.75,3.75,3.75,3.75,10000,3.7
2000-05-09,3.75,3.75,3.625,3.75,1600,3.7
2000-05-10,3.50,3.50,3.50,3.50,5000,3.5
2000-05-11,3.375,3.375,3.375,3.375,400,3.37
2000-05-15,3.25,3.313,3.188,3.25,4500,3.2
2000-05-16,3.125,3.125,3.00,3.125,6200,3.12
2000-05-17,3.00,3.00,3.00,3.00,1000,3.0
2000-05-18,2.75,2.875,2.75,2.75,2300,2.7
2000-05-19,3.00,3.00,2.875,3.00,4500,3.0
2000-05-22,2.875,2.875,2.875,2.875,600,2.87
2000-05-24,2.813,3.125,2.813,2.813,9000,2.81
2000-05-25,3.00,3.00,2.938,3.00,4000,3.0
2000-05-26,2.875,2.875,2.875,2.875,2900,2.87
2000-05-30,2.75,2.75,2.625,2.75,4600,2.7
2000-05-31,2.688,2.813,2.688,2.688,4100,2.68
2000-06-01,3.00,3.00,2.75,3.00,3000,3.0
2000-06-02,3.00,3.125,2.875,3.00,8500,3.0
2000-06-05,2.75,2.875,2.75,2.75,11700,2.7
2000-06-06,2.875,2.875,2.75,2.875,1000,2.87
2000-06-07,2.875,2.875,2.875,2.875,800,2.87
2000-06-08,2.875,2.875,2.875,2.875,900,2.87
2000-06-09,2.813,2.813,2.813,2.813,600,2.81
2000-06-12,3.125,3.125,2.938,3.125,2700,3.12
2000-06-13,3.375,3.375,3.25,3.375,1600,3.37
2000-06-14,3.438,3.438,3.438,3.438,2000,3.43
2000-06-15,3.313,3.563,3.313,3.313,3000,3.31
2000-06-19,3.125,3.438,3.125,3.125,3600,3.12
2000-06-22,3.25,3.25,3.25,3.25,200,3.2
2000-06-29,3.125,3.25,3.125,3.125,700,3.12
2000-06-30,3.25,3.25,3.25,3.25,500,3.2
2000-07-03,3.25,3.25,3.25,3.25,500,3.2
2000-07-05,3.125,3.25,3.00,3.125,18100,3.12
2000-07-06,3.125,3.125,2.875,3.125,5100,3.12
2000-07-07,3.25,3.25,3.00,3.25,13400,3.2
2000-07-11,3.125,3.125,3.125,3.125,2000,3.12
2000-07-12,3.00,3.125,3.00,3.00,800,3.0
2000-07-13,3.00,3.00,3.00,3.00,5800,3.0
2000-07-14,3.00,3.00,2.875,3.00,7200,3.0
2000-07-17,3.25,3.25,3.00,3.25,6700,3.2
2000-07-18,3.438,3.438,3.313,3.438,1800,3.43
2000-07-19,3.375,3.50,3.25,3.375,2300,3.37
2000-07-20,3.375,3.375,3.375,3.375,6000,3.37
2000-07-21,3.25,3.25,3.125,3.25,3300,3.2
2000-07-25,3.25,3.25,3.25,3.25,1000,3.2
2000-07-26,3.25,3.25,3.25,3.25,400,3.2
2000-07-27,3.125,3.125,3.125,3.125,400,3.12
2000-08-03,3.00,3.00,3.00,3.00,19000,3.0
2000-08-04,3.00,3.00,2.875,3.00,3000,3.0
2000-08-07,3.00,3.00,3.00,3.00,400,3.0
2000-08-08,3.00,3.00,3.00,3.00,4900,3.0
2000-08-09,3.375,3.375,3.125,3.375,5500,3.37
2000-08-10,3.25,3.25,3.25,3.25,300,3.2
2000-08-11,3.125,3.125,3.00,3.125,10500,3.12
2000-08-14,3.063,3.063,3.063,3.063,1000,3.06
2000-08-15,3.063,3.125,3.00,3.063,7800,3.06
2000-08-16,3.00,3.125,2.875,3.00,3200,3.0
2000-08-17,2.813,2.875,2.813,2.813,600,2.81
2000-08-18,3.00,3.00,3.00,3.00,2100,3.0
2000-08-21,2.875,2.875,2.875,2.875,600,2.87
2000-08-23,2.875,2.875,2.75,2.875,4700,2.87
2000-08-24,3.00,3.00,2.813,3.00,4200,3.0
2000-08-25,3.063,3.125,3.00,3.063,5900,3.06
2000-08-28,3.375,3.375,3.00,3.375,3900,3.37
2000-08-29,3.375,3.375,3.25,3.375,700,3.37
2000-08-30,3.25,3.25,3.25,3.25,800,3.2
2000-08-31,3.125,3.25,3.125,3.125,2900,3.12
2000-09-05,3.00,3.125,3.00,3.00,3500,3.0
2000-09-06,2.875,3.00,2.875,2.875,5000,2.87
2000-09-07,3.00,3.00,3.00,3.00,500,3.0
2000-09-08,2.875,2.875,2.875,2.875,400,2.87
2000-09-11,3.063,3.125,2.938,3.063,31500,3.06
2000-09-12,3.125,3.375,3.00,3.125,10300,3.12
2000-09-13,3.125,3.25,3.00,3.125,4600,3.12
2000-09-14,3.063,3.063,3.063,3.063,1200,3.06
2000-09-15,3.188,3.313,3.188,3.188,5900,3.18
2000-09-18,3.063,3.125,3.063,3.063,3900,3.06
2000-09-20,3.063,3.063,3.063,3.063,2000,3.06
2000-09-21,3.063,3.188,3.063,3.063,1200,3.06
2000-09-22,3.00,3.00,3.00,3.00,700,3.0
2000-09-25,3.063,3.125,3.00,3.063,1600,3.06
2000-09-26,2.875,2.875,2.875,2.875,6100,2.87
2000-09-27,3.00,3.00,2.875,3.00,600,3.0
2000-09-28,3.00,3.00,2.875,3.00,1500,3.0
2000-09-29,3.00,3.00,3.00,3.00,4000,3.0
2000-10-02,2.938,2.938,2.875,2.938,1700,2.93
2000-10-04,2.938,2.938,2.938,2.938,200,2.93
2000-10-05,2.938,3.00,2.875,2.938,9300,2.93
2000-10-06,3.125,3.25,3.125,3.125,5200,3.12
2000-10-09,3.00,3.00,3.00,3.00,100,3.0
2000-10-11,3.00,3.00,2.938,3.00,6200,3.0
2000-10-12,2.875,2.938,2.875,2.875,4300,2.87
2000-10-13,2.875,2.875,2.875,2.875,500,2.87
2000-10-16,2.875,3.00,2.875,2.875,1900,2.87
2000-10-18,2.875,2.875,2.875,2.875,1700,2.87
2000-10-19,2.875,2.875,2.875,2.875,1300,2.87
2000-10-20,2.875,2.875,2.875,2.875,1300,2.87
2000-10-23,2.875,2.875,2.875,2.875,1200,2.87
2000-10-24,2.875,3.00,2.875,2.875,1200,2.87
2000-10-26,3.00,3.00,2.875,3.00,1500,3.0
2000-10-27,2.875,2.875,2.875,2.875,600,2.87
2000-10-31,3.00,3.00,3.00,3.00,4100,3.0
2000-11-01,3.00,3.00,3.00,3.00,2000,3.0
2000-11-02,2.875,2.875,2.75,2.875,2700,2.87
2000-11-03,3.063,3.063,3.00,3.063,7300,3.06
2000-11-06,2.938,3.188,2.938,2.938,1600,2.93
2000-11-08,3.063,3.063,3.063,3.063,200,3.06
2000-11-09,3.063,3.063,2.938,3.063,96900,3.06
2000-11-10,3.00,3.125,3.00,3.00,1700,3.0
2000-11-14,2.688,2.875,2.625,2.688,15800,2.68
2000-11-15,3.125,3.188,2.75,3.125,24300,3.12
2000-11-16,3.50,3.50,3.25,3.50,14800,3.5
2000-11-17,3.625,3.625,3.50,3.625,2900,3.62
2000-11-20,3.25,3.625,3.25,3.25,4000,3.2
2000-11-21,3.188,3.25,3.00,3.188,10500,3.18
2000-11-22,2.938,3.063,2.938,2.938,9900,2.93
2000-11-27,3.063,3.063,2.813,3.063,7200,3.06
2000-11-28,2.875,3.00,2.875,2.875,700,2.87
2000-11-29,2.563,2.75,2.563,2.563,4200,2.56
2000-11-30,2.688,2.813,2.688,2.688,6100,2.68
2000-12-01,2.875,2.875,2.563,2.875,3500,2.87
2000-12-04,2.625,2.75,2.25,2.625,13600,2.62
2000-12-05,2.625,2.625,2.375,2.625,3100,2.62
2000-12-06,2.875,3.00,2.50,2.875,14000,2.87
2000-12-07,2.625,2.75,2.375,2.625,16600,2.62
2000-12-08,2.625,2.625,2.375,2.625,11900,2.62
2000-12-11,2.50,2.50,2.438,2.50,94600,2.5
2000-12-12,2.438,2.50,2.25,2.438,13200,2.43
2000-12-13,2.375,2.438,2.25,2.375,5100,2.37
2000-12-14,2.375,2.50,2.375,2.375,40500,2.37
2000-12-15,2.25,2.375,2.25,2.25,1500,2.2
2000-12-18,2.188,2.25,2.188,2.188,11000,2.18
2000-12-19,2.25,2.25,2.063,2.25,7000,2.2
2000-12-21,2.125,2.25,2.125,2.125,6700,2.12
2000-12-22,2.063,2.125,2.063,2.063,3800,2.06
2000-12-26,2.063,2.063,2.063,2.063,4600,2.06
2000-12-27,2.063,2.063,1.875,2.063,27300,2.06
2000-12-28,2.063,2.063,1.938,2.063,50600,2.06
2000-12-29,2.063,2.188,2.00,2.063,14300,2.06
2001-01-02,2.188,2.563,2.188,2.50,5400,2.5
2001-01-03,2.50,2.50,2.50,2.50,000,2.5
2001-01-04,2.375,2.375,2.25,2.375,6000,2.37
2001-01-05,2.375,2.375,2.375,2.375,000,2.37
2001-01-08,2.25,2.25,2.00,2.00,13500,2.0
2001-01-09,2.063,2.125,1.938,2.063,5900,2.06
2001-01-10,2.063,2.063,2.063,2.063,000,2.06
2001-01-11,2.063,2.063,2.063,2.063,000,2.06
2001-01-12,2.00,2.00,2.00,2.00,500,2.0
2001-01-16,2.00,2.00,2.00,2.00,000,2.0
2001-01-17,2.00,2.00,1.875,1.875,2000,1.87
2001-01-18,1.875,2.00,1.875,1.875,4800,1.87
2001-01-19,2.00,2.125,2.00,2.125,1100,2.12
2001-01-22,2.125,2.25,2.063,2.25,2700,2.2
2001-01-23,2.25,2.25,2.25,2.25,1600,2.2
2001-01-24,2.25,2.25,2.125,2.125,600,2.12
2001-01-25,2.125,2.25,2.063,2.063,1700,2.06
2001-01-26,2.188,2.188,2.063,2.063,1500,2.06
2001-01-29,2.06,2.06,2.06,2.06,000,2.0
2001-01-30,2.07,2.07,2.07,2.07,1700,2.0
2001-01-31,1.80,2.00,1.80,2.00,7400,2.0
2001-02-01,2.00,2.00,2.00,2.00,1400,2.0
2001-02-02,2.00,2.00,2.00,2.00,200,2.0
2001-02-05,2.00,2.00,2.00,2.00,000,2.0
2001-02-06,2.00,2.00,2.00,2.00,5600,2.0
2001-02-07,2.00,2.00,2.00,2.00,1000,2.0
2001-02-08,2.00,2.00,2.00,2.00,000,2.0
2001-02-09,2.12,2.25,2.00,2.25,3600,2.2
2001-02-12,2.25,2.25,2.25,2.25,000,2.2
2001-02-13,2.15,2.15,2.15,2.15,200,2.1
2001-02-14,2.15,2.15,2.15,2.15,000,2.1
2001-02-15,2.15,2.15,2.15,2.15,000,2.1
2001-02-16,2.15,2.15,2.15,2.15,000,2.1
2001-02-20,2.25,2.37,2.20,2.20,2300,2.2
2001-02-21,2.08,2.15,2.08,2.15,500,2.1
2001-02-22,1.96,1.96,1.96,1.96,100,1.9
2001-02-23,1.96,1.96,1.96,1.96,000,1.9
2001-02-26,1.96,1.96,1.96,1.96,000,1.9
2001-02-27,1.95,1.95,1.85,1.85,4800,1.8
2001-02-28,1.85,1.85,1.85,1.85,000,1.8
2001-03-01,1.85,1.85,1.80,1.80,2100,1.8
2001-03-02,1.92,2.09,1.76,1.76,5900,1.7
2001-03-05,1.76,1.76,1.76,1.76,300,1.7
2001-03-06,1.76,1.76,1.76,1.76,600,1.7
2001-03-07,1.76,1.76,1.76,1.76,000,1.7
2001-03-08,1.76,1.76,1.76,1.76,1000,1.7
2001-03-09,1.76,1.76,1.76,1.76,000,1.7
2001-03-12,1.76,1.76,1.76,1.76,000,1.7
2001-03-13,1.76,1.76,1.70,1.75,3200,1.7
2001-03-14,1.75,1.75,1.75,1.75,000,1.7
2001-03-15,1.75,1.75,1.75,1.75,000,1.7
2001-03-16,1.75,1.85,1.75,1.85,200,1.8
2001-03-19,1.97,2.10,1.95,2.10,4100,2.1
2001-03-20,2.10,2.10,2.10,2.10,1500,2.1
2001-03-21,2.00,2.00,1.90,1.90,900,1.9
2001-03-22,1.80,1.89,1.80,1.89,1000,1.8
2001-03-23,1.80,1.80,1.80,1.80,1000,1.8
2001-03-26,1.80,1.80,1.72,1.72,1200,1.7
2001-03-27,1.85,1.85,1.75,1.75,700,1.7
2001-03-28,1.85,1.85,1.85,1.85,600,1.8
